ກປ.ອອນໄລ - ສືບຕໍ່ບັນດາການເຄື່ອນໄຫວຂອງທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຢູ່ກໍາປູເຈຍ.	Thủ tướng Nguyễn Xuân Phúc tiếp tục các hoạt động tại Campuchia
ຕອນບ່າຍວັນທີ 25 ເມສາ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ເຂົ້າຢ້ຽມຂ່ຳນັບ ແລະອວຍພອນປີໃໝ່ ພະມະຫາອາຈານ Samdech Tep Vong.	Chiều 25/4, tại Trụ sở Chính phủ, Thủ tướng Chính phủ Nguyễn Xuân Phúc đã đến chào xã giao Ngài Samdech Tep Vong.
ພະມະຫາອາຈານ Samdech Tep Vong ສະແດງຄວາມປິຕິຊົມຊື່ນທີ່ໄດ້ຕ້ອນຮັບທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະ ພັນລະຍາ ພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງລັດຖະບານຫວຽດນາມ ທີ່ໄດ້ມາຢ້ຽມຢາມກົງກັບໂອກາດຕົ້ນປີໃໝ່ຂອງປະຊາຊົນກຳປູເຈຍ.	Hòa thượng Samdech Tep Vong đón Thủ tướng Chính phủ Nguyễn Xuân Phúc và Phu nhân cùng Đoàn đại biểu cấp cao Chính phủ Việt Nam nhân dịp Năm mới Campuchia.
ພະມະຫາອາຈານ ຂອບໃຈທ່ານນາຍົກລັດຖະມົນຕີ ແລະປະຊາຊົນຫວຽດນາມ ຍາມໃດກໍ່ສະໜັບສະໜູນ, ຊ່ວຍເຫຼືອປະຊາຊົນກຳປູເຈຍ ກໍ່ສ້າງກິດຈະກຳສຳຄັນຫຼາຍຢ່າງ, ໃນນັ້ນມີຂົວ ລອງບິ່ງ-ຈເຣີຍທອມ ຊຶ່ງນາຍົກລັດຖະມົນຕີສອງທ່ານໄດ້ເຂົ້າຮ່ວມພິທີເປີດສະຫຼອງ.	Ông cảm ơn Thủ tướng và nhân dân Việt Nam đã ủng hộ, giúp đỡ nhân dân Campuchia xây dựng nhiều công trình quan trọng, trong đó có cầu Long Bình-Jia Tom do hai Thủ tướng cùng tham dự.
ພະມະຫາອາຈານ ຖືວ່າ, ນີ້ແມ່ນການຊ່ວຍເຫຼືອສຳຄັນໃນການຮ່ວມມືລະຫວ່າງສອງປະເທດ, ພາຍຫຼັງທີ່ຫວຽດນາມຊ່ວຍ ກຳປູເຈຍ ກໍ່ສ້າງໂຮງໝໍ ເຈິໄຣ໊ ຢູ່ນະຄອນຫຼວງພະນົມເປັນ - ເຊິ່ງແມ່ນຮາກຖານການແພດທັນສະໄໝ, ປະກອບສ່ວນຍົກສູງຄຸນນະພາບການເບິ່ງແຍງດູແລສຸຂະພາບໃຫ້ແກ່ປະຊາຊົນກຳປູເຈຍ.	Cho rằng đây là sự trợ giúp quan trọng trong quan hệ hợp tác giữa hai nước, sau khi Việt Nam giúp Campuchia xây dựng bệnh viện tại Phnom Penh - cơ sở y tế hiện đại, góp phần nâng cao chất lượng chăm sóc sức khỏe cho nhân dân Campuchia.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະທ່ານນາຍົກລັດຖະມົນຕີ Samdech Techo Hun Sen ຕັດແຖບຜ້າເປີດສະຫຼອງ ຂົວ ລອງບິ່ງ-ຈເຣີຍທອມ.	Thủ tướng Nguyễn Xuân Phúc và Thủ tướng Samdech Techo Hun Sen cắt băng khánh thành cầu Long Bình-Georgia Tom.
ພາບ: giaoduc.net.vn	Ảnh: giaoduc.net.vn
ໃນຕອນບ່າຍວັນດຽວກັນ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ໃຫ້ການຕ້ອນຮັບສະມາຄົມມິດຕະພາບກຳປູເຈຍ-ຫວຽດນາມ ໂດຍທ່ານນາງ Men Sam An, ຮອງນາຍົກລັດຖະມົນຕີລາດຊະວົງກຳປູເຈຍ, ລັດຖະມົນຕີການພົວພັນກັບສະພາແຫ່ງຊາດ, ສະພາສູງ ແລະກວດກາ, ປະທານສະມາຄົມມິດຕະພາບກຳປູເຈຍ-ຫວຽດນາມ ໄດ້ນຳໜ້າຄະນະເຂົ້າຢ້ຽມຂ່ຳນັບ.	Chiều cùng ngày, tại Trụ sở Chính phủ, Thủ tướng Nguyễn Xuân Phúc đã tiếp Hội Hữu nghị Campuchia-Việt Nam do ông Men Sam An, Phó Thủ tướng Vương quốc Campuchia, Bộ trưởng Quốc hội, Thượng viện và Thanh tra, Chủ tịch nước Campuchia làm trưởng đoàn. Hội hữu nghị Việt Nam.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຕີລາຄາຜົນງານອັນໃຫຍ່ຫຼວງໃນການພົວພັນຂອງສອງປະເທດ ຫວຽດນາມ-ກຳປູເຈຍ ໃນປະຈຸບັນທີ່ມີການປະກອບສ່ວນຢ່າງຕັ້ງໜ້າຂອງສະມາຄົມມິດຕະພາບກຳປູເຈຍ - ຫວຽດນາມ.	Thủ tướng Nguyễn Xuân Phúc biểu dương những thành tựu to lớn trong quan hệ Việt Nam-Campuchia có sự đóng góp tích cực của Hội Hữu nghị Campuchia-Việt Nam.
ເນັ້ນໜັກເຖິງການພົວພັນທີ່ເປັນມູນເຊື້ອ, ຄວາມສາມັກຄີ, ການສະໜັບສະໜູນ ແລະການຊ່ວຍເຫຼືອເຊິ່ງກັນແລະ ກັນລະຫວ່າງປະຊາຊົນຫວຽດນາມ ແລະກຳປູເຈຍ, ທ່ານນາຍົກລັດຖະມົນຕີ ຖືວ່າພ້ອມກັບການເຄື່ອນໄຫວຮ່ວມມືຂອງບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນຕ່າງໆ, ສະມາຄົມມິດຕະພາບຫວຽດນາມ-ກໍາປູເຈຍ ແລະສະມາຄົມມິດຕະພາບກຳປູເຈຍ-ຫວຽດນາມ ມີບົດບາດສຳຄັນໃນການສົ່ງເສີມ, ການເຊື່ອມຕໍ່ຮ່ວມມືລະຫວ່າງປະຊາຊົນສອງປະເທດໃນທຸກຂົງເຂດ.	Nhấn mạnh mối quan hệ truyền thống, đoàn kết, tương trợ, giúp đỡ giữa nhân dân Việt Nam và Campuchia, Thủ tướng cho rằng cùng với hoạt động chung của các bộ, ban, ngành, địa phương, Hội Hữu nghị Việt Nam - Campuchia hai nước.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ຊີ້ແຈ້ງວ່າ: ນາຍົກລັດຖະມົນຕີ ແລະລັດຖະບານຫວຽດນາມຕີລາຄາສູງບັນດາການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງຂອງທ່ານນາງ Men Sam An ແລະສະມາຄົມມິດຕະພາບກຳປູເຈຍ-ຫວຽດນາມ ທີ່ໄດ້ປະກອບສ່ວນປົກປັກຮັກສາ, ເພີ່ມພູນຄູນສ້າງ, ເພີ່ມທະວີການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງປະເທດ.	Thủ tướng Nguyễn Xuân Phúc biểu dương những đóng góp to lớn của Thủ tướng và Chính phủ Việt Nam đối với Men Sam An và Hội Hữu nghị Campuchia-Việt Nam đã góp phần giữ gìn, nâng cao và làm sâu sắc hơn quan hệ hữu nghị truyền thống và hợp tác toàn diện giữa hai nước.
ສ່ວນທ່ານນາງ Men Sam An ໄດ້ຊົມເຊີຍທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງລັດຖະບານຫວຽດນາມ ໄດ້ມາຢ້ຽມຢາມກຳປູເຈຍຢ່າງເປັນທາງການ.	Men Sam An chúc mừng Thủ tướng Chính phủ Nguyễn Xuân Phúc và Đoàn đại biểu cấp cao Việt Nam thăm chính thức Campuchia.
ທ່ານນາງ Men Sam An ໃຫ້ຮູ້ວ່າ, ໃນໄລຍະຜ່ານມາ, ສະມາຄົມມິດຕະພາບກຳປູເຈຍ-ຫວຽດນາມ ໄດ້ສົມທົບຢ່າງແໜ້ນແຟ້ນກັບສະມາຄົມມິດຕະພາບຫວຽດນາມ-ກຳປູເຈຍ ເປັນປະຈຳ.	Bà Men Sam An cho biết, trong thời gian qua, Hội Hữu nghị Campuchia-Việt Nam đã và đang phối hợp chặt chẽ với Hội Hữu nghị Việt Nam-Campuchia.
ປະຈຸບັນ, ສອງຝ່າຍກຳລັງຕັ້ງໜ້າຮັກສາບັນດາການເຮັດວຽກທີ່ກ່ຽວຂ້ອງເຖິງການຈັດຕັ້ງບັນດາເຫດການເພື່ອຂ່ຳນັບຮັບຕ້ອນເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 50 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງສອງປະເທດ.	Hiện hai bên đang nỗ lực tổ chức chuỗi sự kiện kỷ niệm 50 năm thiết lập quan hệ ngoại giao giữa hai nước.
ທ່ານນາງ Men Sam An ປາດຖະໜາຢາກສືບຕໍ່ໄດ້ຮັບຄວາມເອົາໃຈໃສ່ຈາກລັດຖະບານສອງປະເທດເພື່ອໃຫ້ສອງສະມາຄົມປະຕິບັດໜ້າທີ່ເປັນຂົວເຊື່ອມຕໍ່ແຫ່ງນ້ຳໃຈມິດຕະພາບລະຫວ່າງຫວຽດນາມ-ກຳປູເຈຍ ໃຫ້ດີຂຶ້ນກວ່າເກົ່າ.	Men Sam An mong tiếp tục nhận được sự quan tâm của Chính phủ hai nước để Hội Nước hữu nghị Việt Nam-Campuchia, cầu nối giữa Việt Nam và Campuchia ngày càng phát triển.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
