ກປ.ອອນໄລ - ນີ້ແມ່ນຂໍ້ມູນຂ່າວສານ ເຊິ່ງບໍລິສັດໃຫຍ່ໂທລະຄົມມະນາຄົມ Viettel ປະກາດໃນຕອນບ່າຍວັນທີ 15 ພຶດສະພາ.	KR Online - Đây là thông tin được đại gia viễn thông Viettel công bố vào chiều ngày 15/5.
ລາຍການໄດ້ຮັບການຈັດຕັ້ງປະຈຳປີທີ່ດຶງດູດໄດ້ການເຂົ້າຮ່ວມຂອງລູກຄ້າເປັນຈຳນວນຫຼວງຫຼາຍ.	Chương trình được tổ chức thường niên, thu hút sự tham gia của đông đảo khách hàng.
ດ້ວຍທິດນຳຖືຄຳເຫັນຂອງລູກຄ້າແມ່ນເຂັມທິດ ແລະກຳລັງໜູນເພື່ອໃຫ້ Viettel ປັບປຸງຜະລິດຕະພັນຂອງຕົນໃຫ້ນັບມື້ນັບສົມບູບແບບກວ່າ.	Với những phản hồi của khách hàng chính là la bàn và là động lực để Viettel ngày càng hoàn thiện hơn nữa sản phẩm của mình.
Viettel ຮັບຟັງທຸກຄໍາເຫັນປະກອບຂອງລູກຄ້າ, ພ້ອມທັງຊອກຫາວິທີເພື່ອຍົກສູງຄຸນນະພາບການຮັບໃຊ້.	Viettel luôn lắng nghe mọi ý kiến phản hồi của khách hàng, cũng như tìm cách nâng cao chất lượng dịch vụ.
ລູກຄ້າໄດ້ຮັບລາງວັນໃນລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ ປີ 2017.	Khách hàng đã được nhận thưởng trong chương trình “Lắng nghe để phát triển 2017”.
ພາບ: ວັນຟອງ.	Ảnh: Bubble Day
ຕາມນັ້ນ, ລູກຄ້າສາມາດສົ່ງຄຳເຫັນເຂົ້າຮ່ວມລາຍການຜ່ານ 5 ຮູບການ: Fanpage ທາງການຂອງ Viettel Telecom ທີ່ເວັບໄຊ https://www.facebook.com/Vietteltelecom ຫຼື www.Vietteltelecom.vn, ສົ່ງອີແມວເຖິງ cskh@viettel.com.vn, ໄປເຖິງຮ້ານຄ້າຂອງ Viettel ໃນທົ່ວປະເທດ ຫຼື ໂທຫາ 18008098 ໂດຍບໍ່ເສຍຄ່າ.	Do đó, khách hàng có thể gửi ý kiến tham gia chương trình qua 5 kênh: Fanpage chính thức của Viettel Telecom tại https://www.facebook.com/Vietteltelecom hoặc www.Vietteltelecom.vn, gửi email đến cskh@viettel.com.vn , đến các cửa hàng Viettel trên toàn quốc hoặc gọi miễn phí 18008098.
ລາງວັນຂອງລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ ປີທີ 5 ຄາດຄະເນວ່າຈະມີ 3.000 ລາງວັນດ້ວຍຍອດມູນຄ່າກວ່າ 1 ຕື້ດົ່ງ.	Giải thưởng của chương trình Lắng nghe để phát triển năm thứ 5 ước tính lên tới 3.000 em với tổng giá trị hơn 1 tỷ đồng.
ລາຍລະອຽດແຕ່ລະວັນຈະມີ 10 ລາງວັນ (100.000 ດົ່ງ/ລາງວັນ) ຈະມອບໃຫ້ລູກຄ້າທີ່ມີຄຳເຫັນປະກອບທີ່ມີຄຸນນະພາບ ແລະນອກຈາກນັ້ນລູກຄ້າຍັງມີໂອກາດໄດ້ຮັບລາງວັນເດືອນ ແລະໄຕມາດ ດ້ວຍມູນຄ່າແຕ່ 1 ລ້ານດົ່ງເຖິງ 5 ລ້ານດົ່ງ.	Chi tiết hàng ngày sẽ có 10 giải thưởng (100.000 đồng / giải) được trao cho khách hàng có bình luận chất lượng và khách hàng còn có cơ hội nhận được giải thưởng hàng tháng, hàng quý trị giá từ 1 triệu đồng đến 5 triệu đồng.
ສຳລັບລາງວັນປີ, ຄະນະຈັດຕັ້ງຈະຕີລາຄາເພື່ອຄັດເລືອກ 1 ລາງວັນເພັດ, 3 ລາງວັນຄໍາ, 5 ລາງວັນເງິນ.	Đối với giải thưởng năm nay, ban tổ chức sẽ chọn ra một viên kim cương, ba giải vàng và năm giải bạc.
ຄາດວ່າ, Viettel ຈະຈັດຕັ້ງພິທີມອບລາງວັນໃນວັນທີ 15 ຕຸລາ ຈະມາເຖິງ.	Dự kiến, Viettel sẽ tổ chức lễ trao giải vào ngày 15/10.
ໃນ 4 ປີແຫ່ງການຜັນຂະຫຍາຍ (ນັບແຕ່ປີ 2014-2017), ລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ ຂອງ Viettel ໄດ້ຮັບນັບພັນຄໍາເຫັນປະກອບຂອງລູກຄ້າ.	Trong bốn năm triển khai (từ 2014-2017), chương trình “Lắng nghe để phát triển” của Viettel đã nhận được hàng nghìn lượt bình luận của khách hàng.
ໃນນັ້ນ, ມີຫຼາຍຄໍາເຫັນສ່ອງແສງໄດ້ຮັບການຄົ້ນຄວ້າ ແລະໝູນໃຊ້ເຂົ້າໃນພຶດຕິກໍາຕົວຈິງ, ຊ່ວຍ Viettel ປັບປຸງຜະລິດຕະພັນ, ການບໍລິການໃຫ້ສົມບູນ ແລະຍົກສູງວຽກງານດູແລລູກຄ້າ.	Nhiều ý kiến đóng góp này đã được nghiên cứu và ứng dụng vào thực tế, giúp Viettel hoàn thiện sản phẩm, dịch vụ và nâng cao công tác chăm sóc khách hàng.
ໂດຍ: ສົມເພັດ.	Bởi: Somphet.
