ກປ.ອອນໄລ - ນີ້ແມ່ນຂໍ້ມູນຂ່າວສານຫາກໍ່ໄດ້ປະກາດໃນຕອນບ່າຍວັນທີ 15 ພຶດສະພາ ຈາກບໍລິສັດໃຫຍ່ໂທລະຄົມມະນາຄົມ Viettel.	KPR Online - Đây là thông tin vừa được công bố vào chiều ngày 15/5 từ hãng viễn thông lớn Viettel.
ລາຍການແມ່ນການເຄື່ອນໄຫວປະຈໍາປີດຶງດູດການເຂົ້າຮ່ວມຂອງລູກຄ້າເປັນຈໍານວນຫຼວງຫຼາຍ ແລະກໍ່ແມ່ນການເຄື່ອນໄຫວເລີ່ມຕົ້ນໃຫ້ບັນດາລາຍການດູແລລູກຄ້າເປັນພິເສດເຊິ່ງ Viettel ຜັນຂະຫຍາຍໃນປີ 2018.	Chương trình là sự kiện thường niên thu hút đông đảo khách hàng tham gia và cũng là điểm khởi đầu cho các chương trình chăm sóc khách hàng đặc biệt mà Viettel sẽ triển khai trong năm 2018.
ດ້ວຍທິດນຳຖືລູກຄ້າແມ່ນເຂັມທິດ ແລະກໍາລັງໜູູນເພື່ອໃຫ້ Viettel ນັບມື້ນັບປັບປຸງຜະລິດຕະພັນການບໍລິການໃຫ້ສົມບູນ, Viettel ເຄົາລົບ ແລະຮັບຟັງບັນດາຄໍາເຫັນປະກອບຂອງລູກຄ້າ, ພ້ອມທັງຊອກຫາວິທີແກ້ໄຂເພື່ອຍົກສູງຄຸນນະພາບຮັບໃຊ້.	Với phương thức hướng tới khách hàng và lấy lực lượng làm trọng, Viettel không ngừng cải tiến sản phẩm, dịch vụ, Viettel luôn tôn trọng và lắng nghe ý kiến phản hồi của khách hàng, cũng như tìm kiếm các giải pháp để nâng cao chất lượng dịch vụ.
ຮັບຟັງເພື່ອພັດທະນາຈະເປີດສາກໃຫ້ບັນດາລາຍການດູແລລູກຄ້າເປັນພິເສດຂອງ Viettel ໃນປີ 2018.	Lắng nghe Nhà phát triển sẽ triển khai các chương trình chăm sóc khách hàng độc quyền của Viettel trong năm 2018.
ພາບ: baocongthuong.com.vn.	Ảnh: baocongthuong.com.vn.
ເພື່ອແນໃສ່ສົ່ງເສີມລູກຄ້າເຂົ້າຮ່ວມການປະກອບຄໍາເຫັນຫຼາຍຕື່ມອີກ, Viettel ໄດ້ຈັດຕັ້ງຊ່ອງຮັບເອົາຄຳເຫັນຢ່າງສະດວກ ແລະມີຫຼາຍຮູບຫຼາຍແບບ.	Nhằm khuyến khích nhiều khách hàng tham gia bình luận, Viettel đã thiết lập một kênh phản hồi tiện lợi và đa năng.
ຕາມນັ້ນແລ້ວ, ລູກຄ້າສາມາດສົ່ງຄໍາຄິດເຫັນເຂົ້າຮ່ວມລາຍການຜ່ານ 5 ຮູບແບບ: Fanpage ຂອງ Viettel Telecom ຢູ່: https://www.facebook.com/Vietteltelecom, ເວັບໄຊ: www.Vietteltelecom.vn, ສົ່ງອີເມວເຖິງ cskh@viettel.com.vn, ສົ່ງເຖິງຮ້ານຂາຍເຄື່ອງໂດຍກົງຂອງ Viettel ໃນທົ່ວປະເທດ ຫຼືໂທລະສັບເຖິງສູນບໍລິການໂດຍບໍ່ເສຍຄ່າຕາມເບີ 18008098.	Theo đó, khách hàng có thể gửi ý kiến tham gia chương trình qua 5 hình thức: Fanpage Viettel Telecom tại địa chỉ: https://www.facebook.com/Vietteltelecom, Website: www.Vietteltelecom.vn, gửi email đến địa chỉ cskh@viettel.com. vn, gửi đến các Cửa hàng Trực tiếp của Viettel trên toàn quốc hoặc gọi đến số tổng đài miễn phí 180080.
ຖັນແຖວພາລະກອນ Viettel ຍາມໃດກໍ່ປະຈໍາ, ພ້ອມແລ້ວທີ່ຈະແກ້ໄຂ ແລະຮັບຄໍາເຫັນປະກອບຂອງລູກຄ້າ.	Đội đặc nhiệm Viettel luôn túc trực, sẵn sàng giải quyết và tiếp nhận phản hồi của khách hàng.
ບັນດາລູກຄ້າໄດ້ຮັບລາງວັນໃນລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ ປີ 2017.	Khách hàng đã được nhận thưởng trong chương trình “Lắng nghe để phát triển 2017”.
ພາບ: ວັນຟອງ.	Ảnh: Bubble Day
ກົນໄກລາງວັນຂອງລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ" ປີທີ 5 ຄາດວ່າຈະມີ 3.000 ລາງວັນດ້ວຍມູນຄ່າທັງໝົດກວ່າ 1 ຕື້ດົ່ງ.	Cơ chế giải thưởng của chương trình Lắng nghe để phát triển năm thứ 5 dự kiến có 3.000 giải thưởng với tổng giá trị hơn 1 tỷ đồng.
ສໍາລັບລາງວັນຂອງປີ, ສະພາວິຊາການຈະຕີລາຄາໂດຍກົງເພື່ອຄັດເລືອກ 1 ລາງວັນເພັດ, 3 ລາງວັນຄໍາ, 5 ລາງວັນເງິນ.	Đối với các giải thưởng của năm, Hội đồng học thuật sẽ trực tiếp đánh giá để chọn ra 1 giải Kim cương, 3 giải Vàng, 5 giải Bạc.
ຄາດວ່າ, Viettel ຈະຈັດຕັ້ງພິທີມອບລາງວັນໃນວັນທີ 15 ຕຸລາ ຈະມາເຖິງ.	Dự kiến, Viettel sẽ tổ chức lễ trao giải vào ngày 15/10.
ເມື່ອແບ່ງປັນກ່ຽວກັບເລື່ອງ Viettel ຜັນຂະຫຍາຍລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ , ທ່ານພັນເອກພິເສດ ຮວ່າງເຊີນ, ຜູ້ອໍານວຍການໃຫຍ່ບໍລິສັດໃຫຍ່ໂທລະຄົມມະນາຄົມ Viettel ເນັ້ນໜັກວ່າ “ພວກຂ້າພະເຈົ້າຖືຄໍາເຫັນປະກອບແຕ່ລະຄຳຂອງລູກຄ້າແມ່ນຂອງຂວັນອັນລໍ້າຄ່າ.	Khi chia sẻ về câu chuyện Viettel triển khai chương trình “Lắng nghe để phát triển”, Đại tá Hoàng Sơn, Tổng Giám đốc Viễn thông Viettel đặc biệt nhấn mạnh: “Chúng tôi coi mỗi ý kiến đóng góp của khách hàng như một món quà quý giá.
ຍ້ອນເຫດນັ້ນ, ຊຸມປີຜ່ານມາ, Viettel ໄດ້ຄົ້ນຄວ້າ ແລະນໍາເອົາຄໍາເຫັນປະກອບຂອງລູກຄ້ານັບພັນຄໍາເຂົ້າໃນການໝູນໃຊ້ໃນພຶດຕິກຳຕົວຈິງ.	Kết quả là trong nhiều năm qua, Viettel đã nghiên cứu và đưa hàng nghìn ứng dụng phản hồi của khách hàng vào hoạt động.
ບໍ່ພຽງແຕ່ຊ່ວຍ Viettel ປັບປຸງການບໍລິການໃຫ້ສົມບູນ ແລະນັບມື້ນັບໄດ້ຮັບການພັດທະນາເທົ່ານັ້ນ, ຫາກລູກຄ້າກໍ່ຍັງໄດ້ຮັບການຮັບໃຊ້ເປັນຢ່າງດີກວ່າອີກດ້ວຍຍ້ອນຊີ້ອອກບັນດາຂໍ້ຄົງຄ້າງເພື່ອໃຫ້ພວກຂ້າພະເຈົ້າແກ້ໄຂ.	Điều đó không chỉ giúp Viettel cải thiện dịch vụ và ngày càng phát triển hơn mà còn giúp khách hàng của chúng tôi được phục vụ tốt hơn bằng cách chỉ ra những vấn đề còn tồn tại để chúng tôi giải quyết.
ອາດຈະເຫັນໄດ້ວ່າລາຍການຮັບຟັງເພື່ອພັດທະນາ Viettel ໄດ້ປະຕິຮູບ ແລະປ່ຽນແປງໃໝ່ຜ່ານແຕ່ລະປີ.	Có thể thấy, danh sách người nghe để phát triển Viettel đã được cải cách và thay đổi theo từng năm.
ໃນ 4 ປີແຫ່ງການຜັນຂະຫຍາຍ (ນັບແຕ່ປີ 2014-2017), ລາຍການ “ຮັບຟັງເພື່ອພັດທະນາ ຂອງ Viettel ໄດ້ຮັບຄໍາເຫັນປະກອບຂອງລູກຄ້ານັບພັນຄໍາ.	Trong bốn năm triển khai (từ 2014-2017), chương trình “Lắng nghe để phát triển” của Viettel đã nhận được hàng nghìn lượt bình luận của khách hàng.
ໃນນັ້ນ, ມີຫຼາຍຄໍາເຫັນສ່ອງແສງໄດ້ຮັບການຄົ້ນຄວ້າ ແລະໝູນໃຊ້ເຂົ້າໃນພຶດຕິກໍາຕົວຈິງ, ຊ່ວຍ Viettel ປັບປຸງຜະລິດຕະພັນ, ການບໍລິການໃຫ້ສົມບູນ ແລະຍົກສູງວຽກງານດູແລລູກຄ້າ.	Nhiều ý kiến đóng góp này đã được nghiên cứu và ứng dụng vào thực tế, giúp Viettel hoàn thiện sản phẩm, dịch vụ và nâng cao công tác chăm sóc khách hàng.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
