ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 14 ພຶດສະພາ, ວິທະຍາຄານຕໍາຫຼວດປະຊາຊົນໄດ້ຈັດຕັ້ງພິທີສະເຫຼີມສະຫຼອງ 50 ປີແຫ່ງວັນສ້າງຕັ້ງ (15-5-1968/15-5-2018)	Pro trực tuyến - sáng ngày 14 tháng 5, cảnh sát cảnh sát đã tổ chức 50 năm lễ kỷ niệm (15-5-1968)
ແລະຮັບນາມມະຍົດວິລະຊົນກໍາລັງປະກອບອາວຸດປະຊາຊົນໃນສະໄໝຕ້ານອາເມລິກາ, ກູ້ຊາດ.	Và nhận những anh hùng của các lực lượng vũ trang trong việc chống Mỹ, giải cứu.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ເຂົ້າຮ່ວມພິທີດັ່ງກ່າວ.	Thủ tướng Nguyễn Xuân Phúc đã tham dự buổi lễ.
ຕາມທ່ານນາຍົກລັດຖະມົນຕີ ແລ້ວ, ສະພາບການໃນໂລກຍາມໃດກໍ່ມີການຜັນແປຫຼາຍຢ່າງ ແລະນັບມື້ນັບສັບສົນ.	Như bạn có, tình huống trong đó tình huống ở bất kỳ khía cạnh nào của sự kiện có rất nhiều bản dịch và phức tạp.
ບັນດາຄວາມຫຍຸ້ງຍາກ ແລະສິ່ງທ້າທາຍໃນໄລຍະປັດຈຸບັນຮຽກຮ້ອງໃຫ້ກໍາລັງຕໍາຫຼວດປະຊາຊົນຕ້ອງມີການປັບປຸງໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ, ສຸມໃສ່ການປ່ຽນແປງໃໝ່, ຍົກສູງຄຸນນະທາດ, ລະດັບຄວາມຮູ້, ປະສິດທິຜົນຄຸນນະພາບໃນວຽກງານທຸກດ້ານ, ສືບຕໍ່ເປັນກໍາລັງຫຼັກແຫຼ່ງ, ປະກອບສ່ວນສໍາຄັນສ້າງສະພາບແວດລ້ອມສະດວກໃຫ້ແກ່ການພັດທະນາເສດຖະກິດ-ສັງຄົມ ແລະຮັບປະກັນໃຫ້ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນມີຄວາມສະຫງົບສຸກ.	Khó khăn và thách thức đối với các lực lượng cảnh sát hiện tại cần cải thiện nguồn, cải thiện công chúng và thiết yếu của vật nuôi.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ມອບນາມມະຍົດວິລະຊົນກໍາລັງປະກອບອາວຸດປະຊາຊົນສະໄໝຕ້ານອາເມລິກາ, ກູ້ຊາດໃຫ້ແກ່ວິທະຍາຄານຕໍາຫຼວດປະຊາຊົນ.	Thủ tướng Nguyễn Xuân Phúc thu thập những người anh hùng nặng nề được vũ trang theo cách chống Mỹ, Đại học Cảnh sát Lào.
ພາບ ກວາງຮ໋ຽວ.	Xin chúc mừng thành phố Congro.
ເພື່ອປະຕິບັດບັນດາໜ້າທີ່ດັ່ງກ່າວ, ວິທະຍາຄານຄວນກໍານົດຢ່າງຈະແຈ້ງວິໄສທັດໃນການພັດທະນາ, ມີຄວາມໃຝ່ຝັນສູງກວ່າ ແລະມີບັນດາບາດກ້າວໝັ້ນຄົງເຂັ້ມແຂງ ເພື່ອກາຍເປັນຮາກຖານການສຶກສາຈຸດສຸມ ແລະໂຮງຮຽນບັນລຸໄດ້ມາດຕະຖານຂອງຊາດໂດຍໄວ, ສູ້ຊົນກາຍເປັນສູນບໍາລຸງສ້າງຕໍາຫຼວດທີ່ມີຊື່ສຽງຂອງພາກພື້ນ ແລະສາກົນ.	Để hoàn thành phòng thí nghiệm, trường đại học cần xác định rõ tầm nhìn của giao thông phổ biến và quốc tế nhất.
ທີ່ພິທີ, ຕາງໜ້າການນໍາພັກ, ລັດ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ມອບນາມມະຍົດວິລະຊົນກໍາລັງປະກອບອາວຸດປະຊາຊົນສະໄໝຕ້ານອາເມລິກາ, ກູ້ຊາດໃຫ້ແກ່ວິທະຍາຄານຕໍາຫຼວດປະຊາຊົນ.	Tại buổi lễ, Thủ tướng Nguyễn Xu Xuân Phúc đã đưa ra vị trí của trò chơi Brothers vũ trang chống lại một đám đông chống Mỹ.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານນາຍົກລັດຖະມົນຕີ ໄດ້ຕັດແຖບຜ້າເປີດການນຳໃຊ້ກິດຈະກໍາວັດທະນະທໍາສະເຫຼີມສະຫຼອງ 50 ປີແຫ່ງວັນສ້າງຕັ້ງວິທະຍາຄານຕໍາຫຼວດປະຊາຊົນ.	Nhân dịp này, Thủ tướng đã cắt các ban nhạc văn hóa bằng cách sử dụng cảnh sát công cộng 50 năm.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Samuel.
