ກປ.ອອນໄລ - ວັນທີ 10 ກໍລະກົດ, ທີ່ສໍານັກງານກະຊວງການຕ່າງປະເທດ ລັດເຊຍ ໄດ້ດໍາເນີນການເຈລະຈາຍຸດທະສາດ ຫວຽດນາມ - ສະຫະພັນລັດເຊຍ ຄັ້ງທີ 10.	Đối thoại Chiến lược Việt-Nga lần thứ 10 được tổ chức vào ngày 10/7 tại Bộ Ngoại giao Nga.
ທ່ານ ບຸ່ຍແທງເຊີນ ຮອງລັດຖະມົນຕີຜູ້ປະຈໍາການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ແລະຄູ່ຕຳແໜ່ງ ລັດເຊຍ ທ່ານ Igor Morgulov ນໍາໜ້າຄະນະຜູ້ແທນສອງປະເທດເຂົ້າຮ່ວມການປະຊຸມ.	Thứ trưởng Ngoại giao Bùi Thanh Sơn và người đồng cấp Nga Igor Morgulov dẫn đầu đoàn đại biểu hai nước.
ກ່າວຄໍາເຫັນຂໍ່ານັບຮັບຕ້ອນຄະນະຜູ້ແທນຫວຽດນາມ, ທ່ານ Igor Morgulov ຮັບຮູ້ວ່າສອງຝ່າຍໄດ້ຮັກສາການເຈລະຈາດ້ານການເມືອງຢູ່ຂັ້ນສູງ, ການຮ່ວມມືຢ່າງແໜ້ນແຟ້ນລະຫວ່າງອົງການນິຕິບັນຍັດ, ບັນດາກະຊວງ, ຂະແໜງການ ແລະບັນດາອົງການຈັດຕັ້ງສັງຄົມເປັນປະຈໍາ.	Tiếp đoàn Việt Nam, ông Igor Morgulov ghi nhận hai bên thường xuyên duy trì đối thoại chính trị cấp cao, hợp tác chặt chẽ giữa cơ quan lập pháp, các bộ, ban, ngành và các tổ chức xã hội dân sự.
ຫວຽດນາມ ແລະສະຫະພັນ ລັດເຊຍ ກໍ່ສົມທົບກັນເຄື່ອນໄຫວໃນບັນດາເວທີສາກົນຢ່າງກົມກຽວ, ປົກປັກຮັກສາວິທີການສໍາຜັດຮ່ວມກັນ, ພິເສດໃນສະພາບການເມືອງທີ່ບໍ່ງ່າຍດາຍໃນປະຈຸບັນ.	Việt Nam và Liên bang Nga đang hợp tác hài hòa trên trường quốc tế để bảo vệ nền tảng chung, nhất là trong tình hình chính trị khó khăn hiện nay.
ການພົວພັນດ້ານເສດຖະກິດການຄ້າລະຫວ່າງສອງປະເທດກໍ່ນັບມື້ນັບໄດ້ຮັບການເປີດກວ້າງ.	Quan hệ kinh tế thương mại giữa hai nước ngày càng rộng mở.
ບັນຍາກາດທີ່ການເຈລະຈາ.	Không khí đàm phán.
ພາບ: vov.vn.	Ảnh: vov.vn.
ສ່ວນທ່ານ ບຸ່ຍແທງເຊີນ ໄດ້ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອໄດ້ດໍາເນີນການເຈລະຈາຍຸດທະສາດເປັນປະຈໍາໄລຍະລະຫວ່າງ ລັດເຊຍ-ຫວຽດນາມ.	Ông Bùi Thanh Sơn bày tỏ vui mừng được tổ chức thường kỳ các cuộc hội đàm chiến lược giữa Nga và Việt Nam.
ທ່ານ ບຸ່ຍແທງເຊີນ ກໍ່ເຫັນດີເປັນເອກະພາບຕໍ່ຄໍາຄິດເຫັນຕີລາຄາສາຍພົວພັນຍຸດທະສາດລະຫວ່າງສອງປະເທດຂອງທ່ານ I.Morgulov.	Bùi Thanh Sơn cũng nhất trí với I. Morgulov về đánh giá của ông về mối quan hệ chiến lược giữa hai nước.
ກ່ຽວກັບເນື້ອໃນດຳເນີນການເຈລະຈາຄັ້ງນີ້, ສອງຝ່າຍເຫັນດີເປັນເອກະສັນຈະສຸມໃສ່ປຶກສາຫາລືຢ່າງລະອຽດ ແລະເລິກເຊິ່ງກວ່າອີກ ເພື່ອແນໃສ່ເຫັນດີເປັນເອກະພາບຕໍ່ບັນດາການກະກຽມໃຫ້ການຢ້ຽມຢາມ ລັດເຊຍ ຂອງການນໍາຂັ້ນສູງຫວຽດນາມ ໃນທ້າຍປີນີ້.	Hai bên nhất trí tập trung thảo luận sâu, chuyên sâu về nội dung hội đàm, nhằm thống nhất cao về công tác chuẩn bị cho chuyến thăm cấp cao của một nhà lãnh đạo Việt Nam tới Nga vào cuối năm nay.
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
