ກປ.ອອນໄລ - ໃນຂອບເຂດກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແລະບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງ, ຕອນບ່າຍວັນທີ 12 ພະຈິກ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເປັນປະທານກອງປະຊຸມສຸດຍອດອາຊຽນ - ສ.ເກົາຫຼີ ຄັ້ງທີ 21, ກອງປະຊຸມສຸດຍອດອາຊຽນ - ອິນເດຍ ຄັ້ງທີ 17 ຜ່ານລະບົບທາງໄກ.	Hội nghị thượng đỉnh ASEAN 3 và Hàn Quốc, Ấn Độ, Ấn Độ, huyện Nguyễn Xuân, Ấn Độ 17
ທີ່ກອງປະຊຸມສຸດຍອດອາຊຽນ - ສ.ເກົາຫຼີ ຄັ້ງທີ 21, ສອງຝ່າຍໄດ້ສະໜັບສະໜູນສືບຕໍ່ຮ່ວມມືຢ່າງແໜ້ນແຟ້ນ ເພື່ອຍູ້ແຮງການຮ່ວມມືທາງດ້ານເສດຖະກິດດີຈີຕອນ, ການປ່ຽນແປງໃໝ່ປະດິດສ້າງ, ພັດທະນາແຫຼ່ງຊັບພະຍາກອນມະນຸດທີ່ມີຄຸນນະພາບສູງ, ພັດທະນາບັນດາຈຸນລະວິສາຫະກິດ, ວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ, ໜູນຊ່ວຍການເລີ່ມທຸລະກິດ...	Hội nghị thượng đỉnh ASEAN 21, hai bên đã được hỗ trợ hợp tác với hợp tác chất lượng cao, sự phát triển của tài nguyên kinh doanh, trợ cấp
ເພື່ອແນໃສ່ສ້າງກໍາລັງໜູນດ້ານເສດຖະກິດໃຫ້ໝັ້ນຄົງ, ຜ່ານຜ່າໂລກລະບາດ.	Nhằm mục đích xây dựng một sự giảm kinh tế, thông qua dịch bệnh.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານກອງປະຊຸມສຸດຍອດອາຊຽນ - ສ.ເກົາຫຼີ ຄັ້ງທີ 21.	Thủ tướng Việt Nam Nguyễn Phú Tân Phúc là chủ tịch của Hội nghị thượng đỉnh Hàn Quốc lần thứ 21.
ພາບ: qdnd.vn	Ảnh: QĐND.VN.
ສອງຝ່າຍໄດ້ເຫັນດີເປັນເອກະພາບຍູ້ແຮງການຮ່ວມມືພັດທະນາຢ່າງເທົ່າທຽບກັນ, ສະໜັບສະໜູນບັນດາຄວາມມານະພະຍາຍາມຮັດແຄບຄວາມແຕກໂຕນດ້ານການພັດທະນາ, ລົບລ້າງຄວາມອຶດຫິວ, ຫຼຸດຜ່ອນຄວາມທຸກຍາກ, ການຮ່ວມມືພັດທະນາອະນຸພາກພື້ນ...	Hai bên đã đồng ý là thống nhất, hỗ trợ sự phát triển của sự phát triển, bãi bỏ nghèo đói, hợp tác ...
ບັນດາການນໍາຂອງສອງຝ່າຍໄດ້ແລກປ່ຽນກ່ຽວກັບສະພາບການຢູ່ພາກພື້ນ ແລະສາກົນທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ, ຄື: ສະພາບການຢູ່ແຫຼມເກົາຫຼີ, ທະເລຕາເວັນອອກ...	Các nhà lãnh đạo song phương chia sẻ về bối cảnh khu vực và quốc tế, cụ thể là: tình hình trên Biển Đông ...
ບັນດາການນໍາໄດ້ເນັ້ນໜັກເຖິງຄວາມສໍາຄັນຂອງການຮັບປະກັນສັນຕິພາບ, ຄວາມໝັ້ນຄົງ, ສະຖຽນລະພາບຢູ່ພາກພື້ນ, ສິດເສລີໃນການເດີນເຮືອ ແລະການບິນຢູ່ພາກພື້ນ, ໃນນັ້ນມີທະເລຕາເວັນອອກ, ເນັ້ນໜັກເຖິງຄວາມສໍາຄັນຂອງການແກ້ໄຂການຂັດແຍ້ງກັນໂດຍສັນຕິວິທີ ບົນພື້ນຖານກົດໝາຍສາກົນ ແລະສົນທິສັນຍາຂອງສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລປີ 1982 (UNCLOS 1982).	Việc nhập khẩu nhấn mạnh tầm quan trọng của hòa bình, ổn định, khu vực, trong khu vực, trong khu vực, trong khu vực, trong khu vực, trong khu vực, trong khu vực, trong khu vực, trong khu vực của khu vực, 1982 ( UNCLOS).
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານກອງປະຊຸມສຸດຍອດອາຊຽນ - ອິນເດຍ ຄັ້ງທີ 17.	Thủ tướng Nguyễn Xuân Phúc là chủ tịch Hội nghị thượng đỉnh Asean - Ấn Độ lần thứ 17.
ພາບ: qdnd.vn	Ảnh: QĐND.VN.
ທີ່ກອງປະຊຸມສຸດຍອດອາຊຽນ - ອິນເດຍ ຄັ້ງທີ 17, ສອງຝ່າຍໄດ້ຢັ້ງຢືນວ່າ ສາຍພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດອາຊຽນ-ອິນເດຍ ມີຄຸນຄ່າພິເສດສໍາລັບສັນຕິພາບ, ສະຖຽນລະພາບ, ການພັດທະນາ ແລະວັດທະນາຖາວອນຢູ່ພາກພື້ນມະຫາສະໝຸດອິນເດຍ-ປາຊີຟິກ ຢ່າງກວ້າງໃຫຍ່, ເຕັມໄປດ້ວຍຄວາມສາມາດບົ່ມຊ້ອນ.	Hội nghị thượng đỉnh Asean 17 - Ấn Độ đã xác nhận chiến lược ASEAN-Ấn Độ-Ấn Độ
ອິນເດຍ ຢັ້ງຢືນວ່າ ອາຊຽນ ຍາມໃດກໍ່ແມ່ນພາກສ່ວນສໍາຄັນໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງຕົນ, ບັນດາຂອບເຂດໂດຍອາຊຽນ ສ້າງຕັ້ງ ແລະຊັກຈູງແມ່ນບັນດາພື້ນຖານທີ່ໝັ້ນແກ່ນໃຫ້ແກ່ການສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈຢູ່ພາກພື້ນ, ກຽມພ້ອມຮ່ວມມືກັບອາຊຽນ ຊຸກຍູ້ການຜັນຂະຫຍາຍບັນດາບຸລິມະສິດທີ່ໄດ້ຍົກອອກໃນ AOIP.	Ấn Độ xác nhận rằng ASEAN rất quan trọng trong chính sách liên kết nước ngoài, sự hợp tác của ASEAN, thúc đẩy ưu tiên hàng đầu.
ອິນເດຍ ກຽມພ້ອມກັບບັນດາປະເທດອາຊຽນ ຮ່ວມມື, ສູ້ຊົນເພື່ອເຂດທະເລຕາເວັນອອກ ແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບ, ມີຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພ, ມີຄວາມເສລີໃນການເດີນເຮືອ ແລະການບິນ.	Ấn Độ sẵn sàng với các nước ASEAN hợp tác, đấu tranh cho Biển Đông Hòa bình, ổn định, an ninh, đường mòn miễn phí và chuyến bay.
ອິນເດຍ ໄດ້ຢັ້ງຢືນສະໜັບສະໜູນຫຼັກໝັ້ນຂອງອາຊຽນກ່ຽວກັບທະເລຕາເວັນອອກ, ເປັນຕົ້ນແມ່ນບັນດາຫຼັກການບໍ່ນໍາໃຊ້ກຳລັງອາວຸດ ແລະນາບຂູ່ນໍາໃຊ້ກຳລັງອາວຸດໃນການແກ້ໄຂບັນດາການຂັດແຍ້ງກັນ, ບໍ່ຫັນເປັນການທະຫານ, ເຄົາລົບກົດໝາຍສາກົນ, UNCLOS 1982.	Ấn Độ xác nhận sự hỗ trợ sáng tạo của ASEAN trên Biển Đông, Đế chế, Trung Quốc, Tương tác cam kết quốc tế
ອິນເດຍ ຮຽກຮ້ອງໃຫ້ທຸກຝ່າຍຈົ່ງປະຕິບັດຖະແຫຼງການວ່າດ້ວຍການປະພຶດຂອງບັນດາຝ່າຍຢູ່ທະເລຕາເວັນອອກ (DOC) ຢ່າງຄົບຖ້ວນ, ສ້າງກົດແຫ່ງການປະພຶດຢູ່ທະເລຕາເວັນອອກ COC ໃຫ້ສອດຄ່ອງກັບກົດໝາຍສາກົນ, UNCLOS 1982 ໂດຍໄວ.	Ấn Độ kêu gọi tất cả các bên để thực hành, Biển Đông, luật định bỏ luật quốc tế, UNCLOS 1982.
ໂດຍ: ທະນາພອນ.	Đăng bởi: vườn ươm.
