ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 27 ຕຸລາ 2016 ຢູ່ສໍານັກງານສູນກາງພັກປະຊາຊົນປະຕິວັດ ລາວ...	KPR Online - Chiều ngày 27/10/2016 tại Văn phòng Trung ương Đảng Nhân dân Cách mạng Lào ...
ທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ສປປ ລາວ ໄດ້ໃຫ້ການຕ້ອນຮັບຄະນະຜູ້ແທນພັກກອມມູນິດ ຫວຽດນາມ ໂດຍທ່ານນາງ ເຈືອງທິມາຍ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ, ຫົວໜ້າຄະນະຂົນຂວາຍປະຊາຊົນສູນກາງນໍາໜ້າມາຢ້ຽມຢາມ ແລະເຂົ້າຮ່ວມກອງປະຊຸມສໍາມະນາທິດສະດີຄັ້ງທີ 4 ລະຫວ່າງສອງພັກດ້ວຍຫົວຂໍ້ “ເຊື່ອມໂຍງເຂົ້າກັບສາກົນ-ບົດຮຽນ ລາວ, ບົດຮຽນ ຫວຽດນາມ.	Ông Bounyang Vorachit, Tổng Bí thư, Chủ tịch nước CHDCND Lào tiếp Đoàn đại biểu Đảng Cộng sản Việt Nam do bà Trương Thị Mai, Ủy viên Ban Chấp hành Trung ương Đảng, Bí thư Trung ương Đoàn làm Trưởng đoàn. Đảng Cộng sản Việt Nam.
ທ່ານນາງ ເຈືອງທິມາຍ ຢືນຢັນວ່: ກອງປະຊຸມສໍາມະນາທິດສະດີຄັ້ງທີ 4 ລະຫວ່າງສອງພັກຈະປະກອບສ່ວນເຮັດແຈ້ງບັນດາບັນຫາທິດສະດີ ແລະພຶດຕິກໍາຕົວຈິງກ່ຽວກັບການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຂອງສອງປະເທດໃນພາລະກິດປ່ຽນໃໝ່.	Bà Trương Thị Mai khẳng định, Tọa đàm lý luận lần thứ 4 giữa hai Đảng sẽ góp phần làm rõ những vấn đề lý luận và thực tiễn về hội nhập quốc tế của hai nước trong sứ mệnh đổi mới.
ພັກກອມມູນິດ ຫວຽດນາມ ຍາມໃດກໍ່ສົມທົບຢ່າງແໜ້ນແຟ້ນກັບພັກປະຊາຊົນປະຕິວັດ ລາວ, ເພີ່ມທະວີການແລກປ່ຽນຂໍ້ມູນຂ່າວສານທິດສະດີ, ແບ່ງປັນບົດຮຽນໃນວຽກງານກໍ່ສ້າງພັກ, ກໍ່ສ້າງລະບົບການເມືອງ, ການເຊື່ອມໂຍງເຂົ້າກັບສາກົນ, ຊ່ວຍເຫຼືອເຊິ່ງກັນ ແລະກັນເພື່ອພ້ອມກັນປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຂອງແຕ່ລະພັກຢ່າງມີໄຊ.	Đảng Cộng sản Việt Nam luôn phối hợp chặt chẽ với Đảng Nhân dân cách mạng Lào, tăng cường trao đổi thông tin lý luận, chia sẻ bài học kinh nghiệm trong công tác xây dựng đảng, xây dựng hệ thống chính trị, hội nhập quốc tế, giúp nhau thực hiện thắng lợi nghị quyết của các kỳ Đại hội Đảng.
ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດ ສປປ ລາວ ຕ້ອນຮັບຄະນະຜູ້ແທນຂັ້ນສູງພັກກອມມູນິດ ສສ ຫວຽດນາມ.	Tổng Bí thư, Chủ tịch nước CHDCND Lào tiếp Đoàn đại biểu cấp cao Đảng Cộng sản Việt Nam
ພາບ: Vov.vn	Ảnh: Vov.vn
ທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ສປປ ລາວ ຢືນຢັນວ່າ: ວຽກງານທິດສະດີມີບົດບາດສໍາຄັນທີ່ສຸດສໍາລັບສອງພັກ ແລະການຈັດຕັ້ງກອງປະຊຸມສໍາມະນາທິດສະດີລະຫວ່າງສອງພັກແມ່ນມີປະໂຫຍດ, ແທດຈິງ, ແມ່ນໂອກາດເພື່ອໃຫ້ສອງຝ່າຍແລກປ່ຽນບົດຮຽນ, ເພີ່ມເຕີມ ແລະເຮັດໃຫ້ສາງທິດສະດີຂອງສອງພັກກ່ຽວກັບການເຊື່ອມໂຍງເຂົ້າກັບສາກົນໃນວິວັດແຫ່ງການຍູ້ແຮງພາລະກິດປ່ຽນໃໝ່ຢູ່ ຫວຽດນາມ ແລະລາວ ອຸດົມສົມບຸນຕື່ມອີກ;	Ông Bounyang Vorachit, Tổng Thư ký, Chủ tịch nước CHDCND Lào khẳng định: Công tác lý luận có vai trò rất quan trọng đối với hai Đảng và việc tổ chức hội thảo lý luận giữa hai Đảng là có lợi, thực tế là cơ hội để hai bên trao đổi rút kinh nghiệm, bổ sung và làm sâu sắc thêm
ປາດຖະໜາວ່າສອງຝ່າຍສືບຕໍ່ເພີ່ມທະວີການແບ່ງປັນຂໍ້ມູນຂ່າວສານ, ແລກປ່ຽນບັນດາຫົວເລື່ອງສະເພາະ, ຫົວຂໍ້ຄົ້ນຄວ້າເຊິ່ງທັງສອງຝ່າຍຕ່າງມີຄວາມສົນໃຈເພື່ອເຮັດແຈ້ງບັນດາບັນຫາຮີບດ່ວນທີ່ໄດ້ ແລະພວມວາງອອກໃນພາລະກິດປ່ຽນໃໝ່, ກໍ່ສ້າງ ແລະປົກປັກຮັກສາປະເທດຊາດຂອງແຕ່ລະປະເທດ.	Đồng chí mong muốn hai bên tiếp tục tăng cường chia sẻ thông tin, trao đổi các chủ đề, đề tài nghiên cứu cụ thể mà hai bên cùng quan tâm nhằm làm rõ những vấn đề cấp bách đã và đang đặt ra trong sứ mệnh đổi mới, xây dựng và bảo vệ Tổ quốc của mỗi quốc gia.
ທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ສປປ ລາວ ແລະທ່ານນາງ ເຈືອງທິມາຍ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ ສສ ຫວຽດນາມ.	Ông Bounyang Vorachit, Tổng Bí thư, Chủ tịch nước CHDCND Lào và bà Trương Thị Mai, Ủy viên Bộ Chính trị, Bí thư Trung ương nước CHXHCN Việt Nam.
ພາບ: Vov.vn	Ảnh: Vov.vn
ກໍ່ໃນວັນດຽວກັນ, ຢູ່ນະຄອນຫຼວງ ວຽງຈັນ ໄດ້ດໍາເນີນກອງປະຊຸມສຳມະນາທິດສະດີຄັ້ງທີ 4 ລະຫວ່າງພັກກອມມູນິດ ຫວຽດນາມ ແລະພັກປະຊາຊົນປະຕິວັດ ລາວ ດ້ວຍຫົວຂໍ້ “ເຊື່ອມໂຍງເຂົ້າກັບສາກົນ-ບົດຮຽນ ລາວ, ບົດຮຽນ ຫວຽດນາມ.	Cùng ngày, tại Viêng Chăn đã diễn ra Tọa đàm lý luận lần thứ 4 giữa Đảng Cộng sản Việt Nam và Đảng Nhân dân Cách mạng Lào với chủ đề “Hội nhập quốc tế - Bài học Lào, Việt Nam”.
