ກປ.ອອນໄລ - ວັນທີ 24 ພະຈິກ, ເນື່ອງໃນໂອກາດໄປເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດການສະເຫຼີມສະຫຼອງການພົວພັນ ອາຊຽນ-ສ.ເກົາຫຼີ ຄົບຮອບ 30 ປີ, ກອງປະຊຸມສຸດຍອດແມ່ນໍ້າຂອງ-ສ.ເກົາຫຼີ ຄັ້ງທີ 1 ແລະຢ້ຽມຢາມ ສ.ເກົາຫຼີ ຢ່າງເປັນທາງການ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມດ້ວຍທ່ານ Moon Jae-in ປະທານາທິບໍດີ ສ.ເກົາຫຼີ ແລະບັນດາການນໍາອາຊຽນ ເຂົ້າຮ່ວມພິທີວາງສີລາລຶກໂຄງການກໍ່ສ້າງນະຄອນສະຫຼາດ Eco-Delta Busan ຢູ່ເມືອງ Gangseo, ນະຄອນ Busan.	ASEAN - Hành trình đường phố Hàn Quốc ASEAN thành phố Gangseo.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມດ້ວຍທ່ານ Moon Jae-in ປະທານາທິບໍດີ ສ.ເກົາຫຼີ ແລະບັນດາຜູ້ແທນປະຕິບັດພິທີວາງສີລາລຶກໂຄງການກໍ່ສ້າງນະຄອນສະຫຼາດ Eco-Delta.	Thủ tướng Nguyễn Xua - Tại Hàn Quốc và Hàn Quốc, và đại diện của Hàn Quốc, Hàn Quốc, Nguyễn Xuân
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານ Moon Jae-in ຢັ້ງຢືນວ່າປະຈຸບັນການພັດທະນານະຄອນສະຫຼາດມີຄວາມໝາຍສໍາຄັນສໍາລັບການພັດທະນາ ແລະວັດທະນາຖາວອນລວມຂອງບັນດາປະເທດພາຍໃນພາກພື້ນ, ຕີລາຄາສູງອາຊຽນຜ່ານມາໄດ້ຊຸກຍູ້ຂໍ້ລິເລີ່ມເຄືອຂ່າຍບັນດານະຄອນສະຫຼາດອາຊຽນ (ASCN) ແລະເປີດອອກຫຼາຍກາລະໂອກາດຮ່ວມມືໃນຂົງເຂດນີ້.	Phát biểu tại buổi lễ, ông Moon Jae-in, sự phát triển của các thành phố ASEAN (ASCN) trong sự phát triển của khu vực (ASC)
ສ.ເກົາຫຼີ ພ້ອມແລ້ວທີ່ຈະແບ່ງປັນບົດຮຽນ, ເຕັກໂນໂລຢີ ແລະການຮ່ວມມືພ້ອມກັບບັນດາປະເທດອາຊຽນກໍ່ສ້າງເຄືອຂ່າຍນະຄອນສະຫຼາດໃນອະນາຄົດ, ຍູ້ແຮງການຮ່ວມມືເຊື່ອມຕໍ່, ເປັນຕົ້ນແມ່ນການເຊື່ອມຕໍ່ດີຈີຕອນ, ຖືນີ້ແມ່ນໜຶ່ງໃນບັນດາບຸລິມະສິດສູງໃນການ ຮ່ວມມືລະຫວ່າງອາຊຽນ ແລະ ສ.ເກົາຫຼີ ໃນໄລຍະຈະມາເຖິງ.	Hàn Quốc đã sẵn sàng để chia sẻ một bài học, công nghệ và mạng lưới tích hợp của Việt Nam trong sự xuất hiện.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມດ້ວຍທ່ານ Moon Jae-in ປະທານາທິບໍດີສ.ເກົາຫຼີ, ທ່ານ ປຣະຢຸດ ຈັນໂອຊາ ນາຍົກລັດຖະມົນຕີໄທ, ທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີລາວ ແລະທ່ານ Lim Jock Hoi ເລຂາທິການໃຫຍ່ອາຊຽນ ຢ້ຽມຊົມງານວາງສະແດງເມື່ອເຂົ້າຮ່ວມພິທີວາງສີລາລຶກໂຄງການກໍ່ສ້າງນະຄອນສະຫຼາດ Eco-Delta.	Thủ tướng Nguyễn Xua - Trong Tổng thống Mặt trăng Jae-in Hàn Quốc, ông dịp, ông Ano Delta.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ວັນດຽວກັນ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Park Soo Kwan, ຫົວໜ້າສະຖານກົງສູນໃຫຍ່ກິດຕິມະສັກຫວຽດນາມ ຢູ່ເຂດ Busan – Kyeongnam.	Cùng ngày, Thủ tướng Việt Nam Nguyễn Phú, Trung tâm Việt Nam tại Busan - Kyeongnam.
ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າການພົວພັນລະຫວ່າງຫວຽດນາມ-ສ.ເກົາຫຼີ ພັດທະນາຢ່າງດີງາມ ແລະຢ່າງວ່ອງໄວໃນທຸກຂົງເຂດ: ການພົວພັນດ້ານການເມືອງມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ແລກປ່ຽນການຄ້າມີຄວາມຄຶກຄື້ນ, ການພົບປະແລກປ່ຽນປະຊາຊົນມີຄວາມສະໜິດຕິດພັນ...	Việt Nam, Cộng hòa Hàn Quốc, Hàn Quốc phát triển về tất cả các khía cạnh: thương mại với việc trao đổi người ...
ຄຽງຂ້າງນັ້ນ, ນະໂຍບາຍທິດໃຕ້ຂອງປະທານາທິບໍດີ ສ.ເກົາຫຼີ, ຄວາມສາມາດບົ່ມຊ້ອນພັດທະນາຂອງຫວຽດນາມ ແມ່ນບັນດາເງື່ອນໄຂສະດວກເພື່ອໃຫ້ວິສາຫະກິດສ.ເກົາຫຼີ ຍູ້ແຮງການເຄື່ອນໄຫວຢູ່ຫວຽດນາມ.	Bên cạnh nhau, Hàn Quốc, Hàn Quốc, chính sách điện phát triển của Việt Nam là khả năng thuận tiện để giải trí Việt Nam ..
ພ້ອມທັງສະເໜີໃຫ້ທ່ານ Park Soo Kwan ສືບຕໍ່ເສີມຂະຫຍາຍບົດບາດຕັ້ງໜ້າ, ເປັນຂົວຕໍ່ລະຫວ່າງສອງປະເທດ, ຊຸກຍູ້ການພົວພັນດ້ານເສດຖະກິດ-ການຄ້າ-ການລົງທຶນ, ພ້ອມທັງໜູນຊ່ວຍປະຊາຄົມຊາວຫວຽດນາມ ຢູ່ເຂດ Busan-Kyeongnam ເວົ້າສະເພາະ ກໍ່ຄືຢູ່ສ.ເກົາຫຼີ ເວົ້າລວມ.	Cũng cung cấp cho bạn Park Soo Kwan tiếp tục mở rộng vai trò, cây cầu, với Cộng hòa Busan-Kyeongnam, nó cũng được cho biết.
ສ່ວນທ່ານ Park Soo Kwan ໃຫ້ຄຳໝັ້ນສັນຍາວ່າຈະສືບຕໍ່ມານະພະຍາຍາມເພື່ອສໍາເລັດບົດບາດເປັນຫົວໜ້າສະຖານກົງສູນໃຫຍ່ກິດຕິມະສັກຂອງຫວຽດນາມ ໃຫ້ເປັນຢ່າງດີ ແລະປະກອບສ່ວນຢ່າງແທດຈິງເຂົ້າໃນການພັດທະນາການພົວພັນສອງປະເທດ.	Park Soo Kwan hứa sẽ tiếp tục hoàn thành thủ lĩnh của các trung tâm toàn cầu Việt Nam trong sự phát triển của hai quốc gia.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
