ກປ.ອອນໄລ - ທ່ານພົນໂທ ຫງວຽນຈິວິ້ງ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ໄດ້ນໍາໜ້າຄະນະຜູ້ແທນກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມເຈົ້າໜ້າທີ່ປ້ອງກັນຊາດຂັ້ນສູງອາຊຽນ (ADSOM) ແລະກອງປະຊຸມເຈົ້າໜ້າທີ່ປ້ອງກັນຊາດຂັ້ນສູງອາຊຽນ ເປີດກວ້າງ (ADSOM+) ດໍາເນີນຢູ່ ສິງກະໂປ ໃນລະຫວ່າງວັນທີ 11 – 13 ກໍລະກົດ.	Trung tướng Nguyễn Chí Vịnh, Ủy viên Trung ương Đảng Cộng sản Việt Nam, Thứ trưởng Bộ Quốc phòng
ນີ້ແມ່ນສອງກອງປະຊຸມສຳຄັນເພື່ອແນໃສ່ຊຸກຍູ້ການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນອາຊຽນ ແລະລະຫວ່າງອາຊຽນກັບບັນດາຄູ່ຮ່ວມມື, ກໍ່ຄື ກະກຽມໃຫ້ກອງປະຊຸມລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດອາຊຽນ (ADMM) ແລະກອງປະຊຸມລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດອາຊຽນ ເປີດກວ້າງ (ADMM+) ທີ່ຈະຈັດຕັ້ງໃນເດືອນ ຕຸລາ 2018.	Đây là hai cuộc họp quan trọng nhằm thúc đẩy hợp tác quốc phòng trong ASEAN và giữa ASEAN với các đối tác, cũng như chuẩn bị cho Hội nghị Bộ trưởng Quốc phòng ASEAN (ADMM) và Hội nghị Bộ trưởng Quốc phòng ASEAN (ADMM +) sẽ được tổ chức vào tháng 10/2018. .
ທ່ານພົນໂທ ຫງວຽນຈິວິ້ງ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Trung tướng Nguyễn Chí Vịnh phát biểu chỉ đạo Đại hội.
ພາບ: ບ໊າວຈູງ.	Ảnh: Bao Chong
ທີ່ກອງປະຊຸມ ADSOM, ບັນດາຫົວໜ້າຄະນະຜູ້ແທນໄດ້ຮັບຟັງ ແລະປຶກສາຫາລືກ່ຽວກັບບັນດາບົດລາຍງານໝາກຜົນແຫ່ງການຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງບັນດາປະເທດອາຊຽນ;	Tại cuộc họp ADSOM, Trưởng đoàn đã nghe và thảo luận về các báo cáo kết quả hợp tác quốc phòng giữa các nước ASEAN;
ໝາກຜົນບັນດາກອງປະຊຸມຂອງອົງການຄົ້ນຄວ້າຂອງກອງທັບບັນດາປະເທດອາຊຽນ;	Trình các cuộc họp của Tổ chức Nghiên cứu Lực lượng Vũ trang ASEAN;
ລາຍການກະກຽມໃຫ້ກອງປະຊຸມ ADMM, ADMM+.	Các hạng mục chuẩn bị cho cuộc họp ADMM, ADMM +.
ທ່ານພົນໂທ ຫງວຽນຈິວິ້ງ ໃຫ້ຮູ້ວ່າ, ຄຽງຂ້າງ ອິນໂດເນເຊຍ, ໄທ ແລະກຳປູເຈຍ, ຫວຽດນາມ ໄດ້ຮັບການຄັດເລືອກຈາກສະຫະປະຊາຊາດກາຍເປັນສະຖານທີ່ຝຶກແອບຮັກສາສັນຕິພາບໃນພາກພື້ນ.	Trung tướng Nguyễn Chí Vịnh cho biết, cùng với Indonesia, Thái Lan và Campuchia, Việt Nam đã được Liên hợp quốc chọn làm nơi huấn luyện khu vực về hoạt động gìn giữ hòa bình.
ສະນັ້ນ, ຫວຽດນາມ ພ້ອມແລ້ວທີ່ຈະເຂົ້າຮ່ວມເປັນເຈົ້າການກວ່າອີກ ເພື່ອຍົກສູງກໍາລັງຄວາມສາມາດຮັກສາສັນຕິພາບຂອງອາຊຽນ.	Do đó, Việt Nam sẵn sàng đóng vai trò tích cực hơn trong việc nâng cao năng lực gìn giữ hòa bình của ASEAN.
ຫວຽດນາມ ປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືຕົວຈິງ ລວມມີການຝຶກຊ້ອມຮ່ວມ, ການແລກປ່ຽນບົດຮຽນກ່ຽວກັບເສນາຮັກ, ການຊອກຫາກູ້ໄພກູ້ຊີບ.	Việt Nam mong muốn thúc đẩy hợp tác thiết thực, trong đó có các cuộc tập trận chung, trao đổi bài học về tình thương, tìm kiếm cứu nạn.
ບັນດາຫົວໜ້າຄະນະຜູ້ແທນເຂົ້າຮ່ວມ ADSOM ຖ່າຍຮູບລວມ.	Trưởng đoàn tham dự buổi chụp hình ADSOM.
ພາບ: ບ໊າວຈູງ.	Ảnh: Bao Chong
ໃນຂອບເຂດເຂົ້າຮ່ວມ ADSOM ແລະ ADSOM+, ທ່ານພົນໂທ ຫງວຽນຈິວິ້ງ ໄດ້ມີການພົບປະ ແລະແລກປ່ຽນສອງຝ່າຍກັບບັນດາຫົວໜ້າຄະນະຜູ້ແທນຂອງ ສິງກະໂປ, ນິວຊີແລນ, ອົດສະຕາລີ, ຈີນ, ຍີ່ປຸ່ນ ແລະອາເມລິກາ...	Trong khuôn khổ tham gia ADSOM và ADSOM +, Trung tướng Nguyễn Chí Vịnh đã gặp gỡ, trao đổi với Trưởng đoàn các nước Singapore, New Zealand, Australia, Trung Quốc, Nhật Bản, Hoa Kỳ ...
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
