ກປ.ອອນໄລ - ວັນທີ 18 ພະຈິກ, ທີ່ສໍານັກງານກະຊວງປ້ອງກັນປະເທດ, ທ່ານພົນໂທ ຟານວັນຢາງ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ໄດ້ໃຫ້ການຕ້ອນຮັບຄະນະຜູ້ແທນມະຫາວິທະຍາໄລປ້ອງກັນຊາດ, ກອງທັບປົດປ່ອຍປະຊາຊົນ ຈີນ ນໍາໂດຍພົນຕີ Wu Jieming ຫົວໜ້າການເມືອງມະຫາວິທະຍາໄລປ້ອງກັນຊາດຈີນ.	ພະ 18 18 18 18 18 18 ທີ່ ທີ່ 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
ທ່ານພົນໂທ ຟານວັນຢາງ ມອບຂອງຂວັນເປັນທີ່ລະນຶກໃຫ້ທ່ານພົນຕີ Wu Jieming.	Trung tướng Phan Văn Giang tặng quà lưu niệm cho Trung tướng Ngô Khiết Trì.
ພາບ: ເຟືອງລິງ.	Ảnh: Phương Linh
ທີ່ການຕ້ອນຮັບ, ທ່ານພົນໂທ ຟານວັນຢາງ ຕີລາຄາສູງຕໍ່ການຮ່ວມມືລະຫວ່າງວິທະຍາຄານປ້ອງກັນຊາດ-ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະມະຫາວິທະຍາໄລປ້ອງກັນຊາດ, ກອງທັບປົດປ່ອຍປະຊາຊົນຈີນ ໃນໄລຍະຜ່ານມາ;	Tại buổi tiếp, Trung tướng Phan Văn Giang biểu dương quan hệ hợp tác giữa Trường Đại học Quốc phòng, Bộ Quốc phòng Việt Nam và Quân đội Giải phóng nhân dân Việt Nam (PLA) trong thời gian qua;
ຢັ້ງຢືນວ່າການຮ່ວມມືບໍາລຸງສ້າງລະຫວ່າງສອງໂຮງຮຽນໃນໄລຍະຜ່ານມາແມ່ນດີງາມທີ່ສຸດ.	Khẳng định mối quan hệ hợp tác giữa hai trường trong thời gian qua rất tốt đẹp.
ທ່ານພົນໂທ ຟານວັນຢາງ ເຊື່ອໝັ້ນວ່າໃນໄລຍະຈະມາເຖິງ, ສອງໂຮງຮຽນຈະສືບຕໍ່ເພີ່ມທະວີການແລກປ່ຽນນັກຮຽນການທະຫານຕາມບັນດາເນື້ອໃນ, ລາຍການເຊິ່ງສອງຝ່າຍສາມາດຮ່ວມມືໄດ້.	Trung tướng Phan Văn Giang tin tưởng trong thời gian tới, hai trường sẽ tiếp tục tăng cường trao đổi sinh viên quân đội về các chủ đề mà hai bên có thể hợp tác.
ທ່ານພົນໂທ ຟານວັນຢາງ ຕ້ອນຮັບທ່ານພົນຕີ Wu Jieming.	Trung tướng Phan Văn Giang tiếp Trung tướng Ngô Khiết Trì.
ພາບ: ເຟືອງລິງ.	Ảnh: Phương Linh
ບັນຍາກາດທີ່ການຕ້ອນຮັບ.	Một bầu không khí chào đón.
ພາບ: ເຟືອງລິງ.	Ảnh: Phương Linh
ເຫັນດີເຫັນພ້ອມກັບຄໍາຄິດເຫັນຂອງທ່ານພົນໂທ ຟານວັນຢາງ, ທ່ານພົນຕີ Wu Jieming ຕີລາຄາສູງຕໍ່ຈິດໃຈການຮໍ່າຮຽນ, ສະຕິປະຕິບັດລະບຽບວິໄນຂອງບັນດານັກຮຽນການທະຫານຫວຽດນາມ ທີ່ກໍາລັງຮໍ່າຮຽນຢູ່ມະຫາວິທະຍາໄລປ້ອງກັນຊາດ, ກອງທັບປົດປ່ອຍປະຊາຊົນຈີນ;	Đồng tình với Trung tướng Phan Văn Giang, Thượng tướng Wu Jieming biểu dương tinh thần giáo dục, rèn luyện kỷ luật của học viên quân sự Việt Nam đang theo học tại Trường Đại học Quốc phòng, Quân giải phóng nhân dân;
ເຊື່ອໝັ້ນວ່າໃນໄລຍະຈະມາເຖິງຈະມີບັນດາການຢ້ຽມຢາມ, ພົບປະແລກປ່ຽນລະຫວ່າງມະຫາວິທະຍາໄລປ້ອງກັນຊາດ, ກອງທັບປົດປ່ອຍປະຊາຊົນຈີນ ແລະວິທະຍາຄານປ້ອງກັນຊາດ-ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຫຼາຍກວ່ານີ້ອີກ, ປະກອບສ່ວນຊຸກຍູ້ການພົວພັນສອງປະເທດເວົ້າລວມ ແລະສອງໂຮງຮຽນເວົ້າສະເພາະ.	Tin tưởng rằng trong thời gian tới sẽ có nhiều chuyến thăm và giao lưu giữa Trường Đại học Quốc phòng, Quân Giải phóng Nhân dân Trung Quốc và Học viện Quốc phòng - Bộ Quốc phòng Việt Nam, góp phần thúc đẩy quan hệ song phương nói chung và hai trường. đặc biệt.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
