ກປ.ອອນໄລ - ໃນການແຜ່ລະບາດຂອງພະຍາດໂຄວິດ-19 ຄັ້ງທີ 4, ເມືອງບິ່ງເຕິນ ໄດ້ກາຍເປັນເຂດທີ່ມີຈໍານວນຜູ້ຕິດເຊື້ອຫຼາຍທີ່ສຸດຢູ່ນະຄອນໂຮ່ຈິມີນ;	Quận Bình Tân trở thành địa bàn bị nhiễm nhiều nhất tại TP.HCM trong đợt bùng phát thứ 4 của Q9-19;
ຫຼາຍເຂດຊຸມຊົນຖືກປິດລ້ອມ.	Nhiều cộng đồng bị cắt đứt.
“ຮ້າຍຂາຍເຄື່ອງໂດຍບໍ່ເສຍຄ່າ ຂອງກອງບັນຊາການທະຫານເມືອງບິ່ງເຕິນ ໜູນຊ່ວຍພໍ່ແມ່ປະຊາຊົນຢູ່ເຂດແຜ່ລະບາດຂອງພະຍາດໂຄວິດ-19.	“Ban Chỉ huy Quân sự quận Bình Tân Phun bán hàng miễn phí giúp đỡ phụ huynh và người dân vùng có dịch.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ເຂົ້າຮ່ວມວຽກງານກະກຽມເຂດຈຳກັດບໍລິເວນຢູ່ຫໍພັກນັກສຶກສາມະຫາວິທະຍາໄລພາສາຕ່າງປະເທດ-ຄອມພິວເຕີ ນະຄອນໂຮ່ຈີມິນ.	Tham gia chuẩn bị khu vực cấm tại KTX Trường ĐH Ngoại ngữ Tin học TP.HCM.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ທະຫານ, ທະຫານລາດ ພົ່ນຢາຂ້າເຊື້ອໃນເຂດປິດລ້ອມ.	Binh lính phun thuốc diệt lính trong khu vực bị bao vây.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ທະຫານລາດຕາແສງບິ່ງຮືງຮວ່າ ສົມທົບກັບຄະນະຊາວໜຸ່ມ ແຈກຢາຍສະບຽງອາຫານໃຫ້ແກ່ປະຊາຊົນໃນເຂດແຜ່ລະບາດຂອງພະຍາດໂຄວິດ-19.	Các chiến sĩ xã Bình Hưng Hòa cùng đoàn thanh niên phân phát lương thực cho người dân vùng xảy ra trận động đất 19.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ພ້ອມກັບບັນດາກໍາລັງທີ່ກ່ຽວຂ້ອງໃນແນວຮົບປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ກໍາລັງປະກອບອາວຸດເມືອງບິ່ງເຕິນ ໄດ້ສະແດງໃຫ້ເຫັນບົດບາດເປັນປາຍແຫຼມໃນການປະຈັນບານ, ນໍາໜ້າຢູ່ທີ່ “ຈຸດເຄັ່ງຮ້ອນ , ຮັບປະກັນຄວາມປອດໄພ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍຢູ່ສູນຈໍາກັດບໍລິເວນ, ເຂດປິດລ້ອມ ແລະໜູນຊ່ວຍ, ຊ່ວຍເຫຼືອປະຊາຊົນໃນເຂດແຜ່ລະບາດຂອງພະຍາດໂຄວິດ-19.	Cùng với các lực lượng tham gia chiến đấu phòng, chống dịch bệnh Kovi-19, lực lượng vũ trang quận Bình Tân đã đóng vai trò nòng cốt trong việc huy động nước, đưa nước đến các “điểm nóng, đảm bảo an ninh, trật tự tại các khu vực khoanh vùng, bao vây cứu trợ. công tác cứu trợ, cứu trợ vùng thiên tai.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
