ກປ.ອອນໄລ - “ທະເລຕາເວັນອອກ ແລະພາກພື້ນມະຫາສະມຸດອິນເດຍ-ປາຊີຟິກ, ເຮັດແນວໃດເພື່ອຮັບປະກັນຄວາມໝັ້ນຄົງລວມ?	KPR Online - “Biển Đông và Ấn Độ Dương - Thái Bình Dương, Làm thế nào để đảm bảo tính toàn vẹn?
ນີ້ແມ່ນຫົວຂໍ້ຂອງກອງປະຊຸມສໍາມະນາໂດຍກອງທຶນ Gabriel Péri ຈັດຕັ້ງໃນວັນທີ 25 ກຸມພາ, ຢູ່ສະຖາບັນພາສາສາດ ແລະວັດທະນະທຳຝ່າຍຕາເວັນອອກຢູ່ປາຣີ, ປະເທດຝະລັ່ງ.	Đây là chủ đề của cuộc hội thảo do Quỹ Gabriel Péri tổ chức ngày 25/2, tại Viện Ngôn ngữ và Văn hóa Phương Đông ở Paris, Pháp.
ທ່ານ Alain Obadia ປະທານກອງທຶນ Gabriel Péri ໃຫ້ຮູ້ວ່າ ພວກຂ້າພະເຈົ້າໄດ້ຕິດຕາມສະພາບການທະເລຕາເວັນອອກຢ່າງໃກ້ຊິດ, ຍ້ອນວ່ານີ້ແມ່ນພາກພື້ນທີ່ມີຄວາມສະດຸ້ງໄວທີ່ສຸດຕໍ່ໂລກເວົ້າລວມ.	Ông Alain Obadia, Chủ tịch Quỹ Gabriel Péri cho biết: “Chúng tôi đang theo dõi sát sao tình hình Biển Đông, vì đây là một trong những khu vực có nhiều biến động nhất trên thế giới.
ການແລກປ່ຽນການຄ້າທາງທະເລຂອງໂລກເກືອບ 50% ແມ່ນໄປຜ່ານພາກພື້ນນີ້.	Gần 50% thương mại hàng hải của thế giới đi qua khu vực này.
ດ້ວຍທ່າອ່ຽງຄົ້ນຄວ້າຂອງຕົນ, ພວກຂ້າພະເຈົ້າຕັດສິນໃຈຊອກຮູ້ກ່ຽວກັບບັນຫານີ້ຢ່າງເລິກເຊິ່ງກວ່າອີກໃນບັນດາແງ່ມູມ, ຄື: ນິຕິກຳ, ເສດຖະກິດ, ສິ່ງແວດລ້ອມ ແລະປະຫວັດສາດ.	Với xu hướng nghiên cứu của mình, chúng tôi quyết định tìm hiểu sâu hơn vấn đề này trên các khía cạnh: pháp lý, kinh tế, môi trường và lịch sử.
ພວກຂ້າພະເຈົ້າຄິດວ່າບັນດາຂໍ້ມູນຂ່າວສານ ເຊິ່ງພວກຂ້າພະເຈົ້າຍົກອອກມາອາດຈະປະກອບສ່ວນເຂົ້າໃນການພັດທະນາບັນດາບັນຫາທີ່ພວມວາງອອກຢ່າງສັນຕິວິທີ.	Chúng tôi nghĩ rằng thông tin chúng tôi cung cấp có thể đóng góp vào sự phát triển của các vấn đề đang được nêu ra một cách hòa bình.
ກອງປະຊຸມສໍາມະນາກ່ຽວກັບສະພາບການທະເລຕາເວັນອອກຢູ່ປາຣີ, ປະເທດຝະລັ່ງ.	Tọa đàm về tình hình Biển Đông tại Paris, Pháp.
ພາບ: ຮີ່ງດຽບ.	Ảnh: Hinh Diep.
ທີ່ກອງປະຊຸມສໍາມະນາ, ບັນດານັກຄົ້ນຄວ້າຢັ້ງຢືນວ່າການຂັດແຍ່ງກັນຢູ່ທະເລຕາເວັນອອກລ້ວນແຕ່ຕ້ອງໄດ້ຮັບການແກ້ໄຂດ້ວຍການອີງໃສ່ກົດໝາຍສາກົນ.	Tại hội thảo, các nhà nghiên cứu khẳng định mọi xung đột trên Biển Đông phải được giải quyết phù hợp với luật pháp quốc tế.
ທະເລຕາເວັນອອກແມ່ນເຂດທະເລສາກົນ, ຕ້ອງຮັບປະກັນສິດເສລີໃນການເດີນທະເລ ແລະການບິນຢູ່ເຂດນີ້.	Biển Đông là vùng biển quốc tế, quyền tự do hàng hải và hàng không phải được bảo đảm trong vùng này.
ຄຽງຂ້າງນັ້ນ, ທະເລຕາເວັນອອກກໍ່ແມ່ນເຂດມີລະບົບຊີວະນາໆພັນ, ບັນດາປະເທດມີອະທິປະໄຕຢູ່ທະເລຕາເວັນອອກ ແລະທຸກໆປະເທດທີ່ມີການເຄື່ອນໄຫວໃນພາກພື້ນມະຫາສະມຸດອິນເດຍ-ປາຊີຟິກ ຕ້ອງມີບັນດາມາດຕະການເພື່ອແນໃສ່ປົກປັກຮັກສາສິ່ງແວດລ້ອມ ແລະຂຸດຄົ້ນບັນດາແຫຼ່ງສິນທະເລແບບຍືນຍົງຢູ່ເຂດທະເລນີ້.	Ngoài ra, Biển Đông là điểm nóng về đa dạng sinh học, các quốc gia có chủ quyền ở Biển Đông và tất cả các nước hoạt động trong khu vực Ấn Độ Dương - Thái Bình Dương phải thực hiện các biện pháp bảo vệ môi trường và khai thác tài nguyên biển bền vững ở khu vực này.
ບັນດານັກຄົ້ນຄວ້າກໍ່ເນັ້ນໜັ້ກເຖິງຄວາມສຳຄັນຂອງການຮ່ວມມືລະຫວ່າງບັນດາປະເທດອາຊຽນ ແລະຈີນ ໃນການຮັບປະກັນຄວາມໝັ້ນຄົງລວມໃນພາກພື້ນທະເລຕາເວັນອອກ ແລະມະຫາສະມຸດອິນເດຍ-ປາຊີຟິກ, ພ້ອມທັງຢັ້ງຢືນເຖິງເລື່ອງບັນດາປະເທດໃນໂລກ, ໃນນັ້ນມີຝະລັ່ງ, ມີໜ້າຢູ່ທະເລຕາເວັນອອກຈະປະກອບສ່ວນຮັບປະກັນຄວາມໝັ້ນຄົງລວມ, ກໍ່ຄືຮັບປະກັນສິດເສລີໃນການເດີນທະເລ ແລະການບິນຕາມກົດໝາຍສາກົນ.	Các nhà nghiên cứu cũng nhấn mạnh tầm quan trọng của hợp tác giữa ASEAN và Trung Quốc trong việc đảm bảo an ninh chung ở Biển Đông và khu vực Ấn Độ - Thái Bình Dương, cũng như các quốc gia trên thế giới, bao gồm Pháp và Khối thịnh vượng chung.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
