ກປ.ອອນໄລ - ຍອດຈຳນວນທຶນຈົດທະບຽນລົງທຶນຢູ່ຕ່າງປະເທດແມ່ນ 12,2 ຕື້ ໂດລາສະຫະລັດ.	KR Online - Tổng vốn đăng ký đầu tư ra nước ngoài là 12,2 tỷ USD.
ໃນນັ້ນ, ຂະແໜງໂທລະຄົມມະນາຄົມ ແລະນໍ້າມັນອາຍແກັສ ນຳມາເຊິ່ງຫຼາຍຈຸດທີ່ພົ້ນເດັ່ນ.	Trong đó, nổi bật là lĩnh vực viễn thông và dầu khí.
ບົດລາຍງານຂອງລັດຖະບານກ່ຽວກັບການປະຕິບັດມະຕິຂອງສະພາແຫ່ງຊາດໃນຂົງເຂດການເງິນໄດ້ອັບເດດປະສິດທິຜົນການເຄື່ອນໄຫວຂອງບັນດາໂຄງການລົງທຶນຢູ່ຕ່າງປະເທດ.	Báo cáo của Chính phủ về tình hình thực hiện các nghị quyết của Quốc hội về tài chính đã cập nhật được hiệu quả của các dự án đầu tư nước ngoài.
ຕາມບົດລາຍງານຂອງຄະນະກຳມະການຄຸ້ມຄອງທຶນຂອງລັດຢູ່ວິສາຫະກິດກ່ອນໜ້ານັ້ນ Viettel ແລະບໍລິສັດສະມາຊິກແມ່ນ Viettel Global ໄດ້ລົງທຶນເຂົ້າ 10 ໂຄງການໂທລະຄົມມະນາຄົມຢູ່ກຳປູເຈຍ, ລາວ, ໂມຊຳບິກ, ຕີມໍຕາເວັນອອກ...	Trước đó, Viettel và công ty thành viên Viettel Global đã đầu tư vào 10 dự án viễn thông tại Campuchia, Lào, Mozambique, Đông Timor ...
ແລະ 3 ໂຄງການຄົ້ນຄວ້າພັດທະນາຢູ່ຝຣັ່ງ, ອາເມລິກາ, ຣັດເຊຍ.	Và 3 dự án nghiên cứu và phát triển tại Pháp, Mỹ, Nga.
ບັນດາໂຄງການໂທລະຄົມມະນາຄົມຂອງ Viettel ຢູ່ບັນດາປະເທດອາຟະລິກາ ໄດ້ເຄື່ອນໄຫວ ແລະເລີ່ມສົ່ງເງິນກັບຄືນປະເທດ.	Các chương trình viễn thông của Viettel tại các quốc gia châu Phi đã được kích hoạt và bắt đầu nhận kiều hối.
ສ່ວນບັນດາໂຄງການຢູ່ ໄຮຕີ, ໂມຊຳບິກ ແລະກາເມຣຸນ ພວມຢູ່ໃນຂັ້ນຕອນສົ່ງທຶນຄືນ	Các dự án ở Haiti, Mozambique và Cameroon đang trong quá trình hoàn trả
ລູກຄ້າມາລົງທະບຽນການບໍລິການ Halotel - ບໍລິສັດຂອງ Viettel ຢູ່ ຕັງຊານີ.	Khách hàng đến đăng ký Halotel - công ty của Viettel tại Tangsani.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ປະຈຸບັນ, ຍອດຈຳນວນທຶນຈົດທະບຽນລົງທຶນຢູ່ຕ່າງປະເທດແມ່ນ 12,2 ຕື້ໂດລາສະຫະລັດ, ໃນນັ້ນມີ 3 ກຸ່ມບໍລິສັດລົງທຶນໃຫຍ່ທີ່ສຸດລວມມີ: ກຸ່ມບໍລິສັດນໍ້າມັນອາຍແກັສແຫ່ງຊາດຫວຽດນາມ (PVN), ກຸ່ມອຸດສາຫະກຳ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel), ກຸ່ມບໍລິສັດອຸດສາຫະກຳ ຢາງພາລາຫວຽດນາມ (VRG).	Hiện tổng vốn đầu tư nước ngoài đăng ký là 12,2 tỷ USD, trong đó 3 tập đoàn đầu tư lớn nhất là: Tập đoàn Dầu khí Quốc gia Việt Nam (PVN), Công nghiệp Viễn thông Quân đội (Viettel), Cao su Việt Nam (VRG).
ເງິນລົງທຶນສະສົມໄລ່ຮອດວັນທີ 31 ທັນວາ 2019, ຍອດຈຳນວນເງິນລົງທຶນອອກຕ່າງປະເທດຂອງບັນດາວິສາຫະກິດແມ່ນ 6,1 ຕື້ໂດລາສະຫະລັດ;	Lũy kế đầu tư Tính đến ngày 31/12/2019, tổng vốn đầu tư ra nước ngoài của các doanh nghiệp là 6,1 tỷ USD;
ຈຳນວນທີ່ຍັງເຫຼືອຕ້ອງສືບຕໍ່ລົງທຶນຢູ່ຕ່າງປະເທດແມ່ນກວ່າ 6 ຕື້ໂດລາສະຫະລັດ.	Số còn lại tiếp tục đầu tư ra nước ngoài là hơn 6 tỷ đô la Mỹ.
ກ່ຽວກັບໝາກຜົນ, ສໍາລັບບັນດາໂຄງການລົງທຶນຢູ່ຕ່າງປະເທດທີ່ໄດ້ມີບົດລາຍງານແລ້ວ, ຈຳນວນເງິນສົ່ງເມືອປະເທດແມ່ນ 434 ລ້ານໂດລາສະຫະລັດ, ໃນນັ້ນ Viettel ແມ່ນ 114 ລ້ານໂດລາສະຫະລັດ.	Về kết quả, đối với các dự án đầu tư ra nước ngoài được báo cáo, lượng kiều hối chuyển về là 434 triệu USD, trong đó Viettel là 114 triệu USD.
ຈໍານວນເງິນໄດ້ຮັບຈາກກຳໄລ, ເງິນປັນຜົນທີ່ໄດ້ແບ່ງ ແລະກໍາໄລໃນການໃຫ້ກູ້ຢືມແມ່ນ 234 ລ້ານໂດລາສະຫະລັດ.	Số tiền lãi, cổ tức và lợi nhuận từ việc cho vay là 234 triệu đô la Mỹ.
