ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 19 ກັນຍາ, ກອງປະຊຸມຜູ້ບັນຊາການຕຳຫຼວດບັນດາປະເທດອາຊຽນ ຄັ້ງທີ 39 (ASEANAPOL 39) ໄດ້ປິດລົງຢູ່ຮ່າໂນ້ຍ.	Hội nghị Tư lệnh Cảnh sát các nước ASEAN lần thứ 39 (ASEANAPOL 39) bế mạc chiều 19/9 tại Hà Nội.
ກ່າວຄຳເຫັນທີ່ພິທີປິດ, ທ່ານພົນຕີ ເຈິ່ນວັນເວະ ຢັ້ງຢືນວ່າດ້ວຍບົດບາດແມ່ນປະທານກອງປະຊຸມ ASEANAPOL 39, ກໍາລັງຕໍາຫຼວດຫວຽດນາມ ຈະມານະພະຍາຍາມເຮັດຈົນສຸດຄວາມສາມາດຂອງຕົນເພື່ອເພີ່ມທະວີການຮ່ວມມືໃນການສະກັດກ້ັນ ແລະຕ້ານອາດຊະຍາກຳລະຫວ່າງບັນດາປະເທດສະມາຊິກ ASEANAPOL ກໍ່ຄືກັບບັນດາຄູ່ຮ່ວມມືເຈລະຈາ, ນັກສັງເກດການຂອງ ASEANAPOL ໃຫ້ມີປະສິດທິຜົນກວ່າອີກ.	Phát biểu tại lễ bế mạc, Thượng tướng Trần Văn Chúng khẳng định, với vai trò chủ trì Hội nghị Cấp cao ASEANAPOL lần thứ 39, lực lượng Công an Việt Nam sẽ nỗ lực hết sức để tăng cường hợp tác phòng, chống tội phạm giữa các nước thành viên ASEANAPOL cũng như các đối tác ASEAN.
ເພື່ອບັນລຸໄດ້ບັນດາຜົນງານເຫຼົ່ານັ້ນ, ກຳລັງຕຳຫຼວດຫວຽດນາມ ຫວັງວ່າຈະໄດ້ຮັບການໜູນຊ່ວຍ, ການສະໜັບສະໜູນຂອງບັນດາຄູ່ຮ່ວມງານຈາກກຳລັງຕຳຫຼວດບັນດາປະເທດສະມາຊິກ ແລະບັນດາຄູ່ຮ່ວມມືໃນພາກພື້ນກໍ່ຄືໃນໂລກ.	Để đạt được những thành tích đó, lực lượng Công an Việt Nam rất mong nhận được sự hỗ trợ, phối hợp đồng hành của lực lượng Công an các nước thành viên và các đối tác trong khu vực cũng như trên thế giới.
ບັນດາຫົວໜ້າຄະນະເຂົ້າຮ່ວມ ASEANAPOL 39 ລົງນາມໃນຖະແຫຼງການຮ່ວມຂອງກອງປະຊຸມ.	Lãnh đạo Ủy ban hỗn hợp ASEANAPOL 39 ký tuyên bố chung của cuộc họp.
ພາບ: ຮວ່າງຫວູ.	Ảnh: Hoàng Vũ
ASEANAPOL ໄດ້ຮັບການສ້າງຕັ້ງແຕ່ປີ 1979 ແລະກໍາລັງຕໍາຫຼວດຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມ ASEANAPOL ແຕ່ປີ 1996.	ASEANAPOL được thành lập năm 1979 và lực lượng Công an Việt Nam gia nhập ASEANAPOL năm 1996.
ຈຸດປະສົງຂອງ ASEANAPOL ແມ່ນຮ່ວມມືຕໍ່ສູ້ຕ້ານອາດຊະຍາກຳປະເພດຕ່າງໆທີ່ປະກົດຂຶ້ນໃນພາກພື້ນ, ຄື: ຊື້, ຂາຍຢາເສບຕິດທີ່ຜິດກົດໝາຍ;	Mục đích của ASEANAPOL là hợp tác đấu tranh chống lại các loại tội phạm xảy ra trong khu vực, như: mua bán trái phép chất ma túy;
ການກໍ່ການຮ້າຍ, ການຄ້າອາວຸດເຖື່ອນ;	Khủng bố, buôn bán vũ khí;
ການຄ້າມະນຸດ;	Buôn người;
ອາດຊະຍາກຳການຄ້າ, ອາດຊະຍາກຳນຳໃຊ້ເຕັກໂນໂລຢີສູງ....	Tội phạm thương mại, tội phạm công nghệ cao….
ASEANAPOL ມີຍອດຈໍານວນສະມາຊິກແມ່ນ 10 ປະເທດອາຊຽນ, ມີ 10 ຄູ່ຮ່ວມມືເຈລະຈາ (ອົດສະຕາລີ, ຈີນ, ຍີ່ປຸ່ນ, ສ.	ASEANAPOL có tổng số thành viên là 10 nước ASEAN, với 10 đối tác đàm phán (Úc, Trung Quốc, Nhật Bản, Israel).
ເກົາຫຼີ, ນິວຊີແລນ, ລັດເຊຍ, ຕວກກີ, ຄະນະເລຂາອາຊຽນ, ອົງການຕຳຫຼວດອາຍາສາກົນ - Interpol, ອົງການຕໍາຫຼວດເອີລົບ - Europol) ແລະ 6 ອົງການສັງເກດການ (Fiji, Timor-Leste, ອົງການສະກັດກັ້ນ ແລະຕ້ານອາຊະຍາກຳແຫ່ງຊາດອັງກິດ, ສະຫະສະມາຄົມຜູ້ບັນຊາການຕຳຫຼວດສາກົນ-IACP, ຄະນະກໍາມະການກາແດງສາກົນ-ICRC, ກົມສືບສວນ-ສອບສວນສະຫະລັດອາເມລິກາ-FBI).	Hàn Quốc, New Zealand, Nga, Thổ Nhĩ Kỳ, Ban Thư ký ASEAN, Tổ chức Cảnh sát Hình sự Quốc tế (Interpol, Cơ quan Cảnh sát Châu Âu - Europol) và sáu cơ quan quan sát viên (Fiji, Timor-Leste, Cơ quan Phòng chống và Kiểm soát Tội phạm Quốc gia Anh, BJP
ໂດຍ: ສົມເພັດ.	Bởi: Somphet.
