ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 22 ກັນຍາ, ພິທີສະຫຼຸບ ແລະມອບລາງວັນງານປະກວດໂທລະພາບທົ່ວກອງທັບ ຄັ້ງທີ XII ໄດ້ດໍາເນີນຢູ່ນະຄອນເກິ່ນເທີ.	Tối 22-9, tại Cần Thơ đã diễn ra lễ tổng kết và trao giải Hội thi truyền hình Quân đội lần thứ XII.
ເຂົ້າຮ່ວມ ແລະຊີ້ນໍາພິທີດັ່ງກ່າວມີທ່ານພົນໂທ ຫງວຽນຈ້ອງເຫງ້ຍ, ຮອງຫົວໜ້າກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ, ຫົວໜ້າຄະນະຊີ້ນໍາ, ປະທານຈັດງານປະກວດໂທລະພາບທົ່ວກອງທັບ ຄັ້ງທີ XII.	Dự lễ có Trung tướng Nguyễn Trọng Nguyên, Phó Tổng cục trưởng Tổng cục Chính trị QĐND Việt Nam, Trưởng ban Chỉ đạo, Trưởng ban Hội thi truyền hình Quân đội lần thứ XII.
ທ່ານພົນໂທ ຫງວຽນຈ້ອງເຫງ້ຍ ແລະທ່ານ ຮວ່າງຫວິງບ໊າວ ຮອງລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ມອບຫຼຽນຄໍາໃຫ້ບັນດາບົດປະພັນປະເພດສາລະຄະດີ.	Trung tướng Nguyễn Trọng Nguyên và Thứ trưởng Bộ Thông tin và Truyền thông Hoàng Vĩnh Bảo trao Huy chương vàng cho phim tài liệu.
ພາບ: ຕ໋ວນເຊີນ.	Ảnh: Tuấn Sơn
ເຂົ້າຮ່ວມງານປະກວດໂທລະພາບທົ່ວກອງທັບ ຄັ້ງທີ XII ມີ 130 ກົມກອງໃນທົ່ວກອງທັບດ້ວຍ 350 ບົດປະພັນຂຶ້ນກັບບັນດາປະເພດ: ສາລະຄະດີ, ຮູບເງົາເອກະສານ, ສາລະຄະດີຫົວເລື່ອງສະເພາະວິທະຍາສາດ-ການສຶກສາດ້ານປ້ອງກັນຊາດ 20 ເລື່ອງ, 104 ລາຍການ “ທົ່ວປວງຊົນປ້ອງກັນຊາດ ແລະ “ເພື່ອອໍານາດອະທິປະໄຕຄວາມໝັ້ນຄົງຊາຍແດນແຫ່ງຊາດ.	Tham gia Hội thi truyền hình Quân đội lần thứ XX có 130 ĐVTN trong toàn quân với 350 bài ở các thể loại: Phim tài liệu, Phim tài liệu, 20 phim tài liệu Khoa học đặc biệt Khoa học-Quốc phòng, 104 chương trình “Quốc phòng toàn dân và Vì chủ quyền biên giới”.
ຕາມການຕີລາຄາຂອງຄະນະຈັດຕັ້ງແລ້ວ, ບັນດາບົດປະພັນເຂົ້າຮ່ວມງານປະກວດໂທລະພາບທົ່ວກອງທັບ ຄັ້ງທີ XII ໄດ້ສ່ອງແສງບັນດາການເຄື່ອນໄຫວດ້ານການທະຫານ-ການປ້ອງກັນຊາດ, ສະພາບຕົວຈິງໃນການດໍາລົງຊີວິດຂອງນັກຮົບ, ມູນເຊື້ອຂອງບັນດາກົມກອງ, ທ້ອງຖິ່ນ ແລະບັນດາບັນຫາສັງຄົມທີ່ພົ້ນເດັ່ນຢ່າງມີຊີວິດຊີວາ ແລະຮອບດ້ານ.	Theo Ban tổ chức, các bài viết tham gia Cuộc thi truyền hình Quân đội lần thứ XX phản ánh hoạt động quân sự - quốc phòng, điều kiện sống thực tế của bộ đội, di sản của các sư đoàn, địa phương và những vấn đề xã hội nổi cộm, toàn diện.
ທ່ານພົນຈັດຕະວາ ຫງວຽນກິມໂຕນ, ຜູ້ອໍານວຍການສະຖານີວິທະຍຸກະຈາຍສຽງ-ໂທລະພາບກອງທັບ, ຫົວໜ້າຄະນະຈັດຕັ້ງງານປະກວດກ່າວຄໍາເຫັນສະຫຼຸບ.	Trung tướng Nguyễn Kim Tồn, Giám đốc Đài PT-TH Quân đội, Trưởng Ban tổ chức Hội thi phát biểu kết luận.
ພາບ: ຕ໋ວນເຊີນ.	Ảnh: Tuấn Sơn
ຄະນະຊີ້ນໍາງານປະກວດໂທລະພາບທົ່ວກອງທັບ ຄັ້ງທີ XII ໄດ້ມອບຫຼຽນຄຳ 30 ຫຼຽນ, ຫຼຽນເງິນ 46 ຫຼຽນໃຫ້ແກ່ບັນດາບົດປະພັນ ປະເພດສາລະຄະະດີໂທລະພາບ;	Ban Chỉ đạo Hội thi truyền hình Quân đội lần thứ XX đã trao 30 huy chương vàng, 46 huy chương bạc cho các phim tài liệu truyền hình;
ມອບຫຼຽນຄຳ 10 ຫຼຽນ, ຫຼຽນເງິນ 16 ຫຼຽນໃຫ້ແກ່ປະເພດຮູບເງົາເອກະສານ;	Đạt 10 huy chương vàng, 16 huy chương bạc thể loại phim tài liệu;
ມອບຫຼຽນຄໍາ 19 ຫຼຽນ, ຫຽນເງິນ 31 ຫຼຽນໃຫ້ແກ່ລາຍການ “ທົ່ວປວງຊົນປ້ອງກັນຊາດ ແລະ “ເພື່ອອໍານາດອະທິປະໄຕຄວາມໝັ້ນຄົງຊາຍແດນແຫ່ງຊາດ ;	Trao 19 huy chương vàng, 31 huy chương bạc cho chương trình “Toàn dân bảo vệ Tổ quốc vì chủ quyền, an ninh biên giới quốc gia;
