ກປ.ອອນໄລ - ໃນຂອບເຂດການຢ້ຽມຢາມ ສ.	KR Online - Trong khuôn khổ chuyến thăm Hàn Quốc.
ເບລາຣຸດ ຢ່າງເປັນທາງການ, ວັນທີ 12 ທັນວາ (ຕາມເວລາທ້ອງຖິ່ນ), ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ມີການພົບປະກັບທ່ານ Alexander Lukashenko ປະທານາທິບໍດີ ສ.ເບລາຣຸດ.	Belarus, ngày 12/12 (Tân Hoa xã) - Chủ tịch Quốc hội Nguyễn Thị Kim Ngen đã hội kiến với Tổng thống Alexander Lukashenko của Belarus vào ngày 12/12 (giờ địa phương).
ທີ່ການຕ້ອນຮັບ, ທ່ານ Alexander Lukashenko ສະແດງຄວາມປິຕິຊົມຊື່ນທີ່ໄດ້ຕ້ອນຮັບທ່ານນາງ ຫງວຽນທິກິມເງິນ ມາຢ້ຽມຢາມ ເບລາຣຸດ ຢ່າງເປັນທາງການ;	Tại tiệc chiêu đãi, ông Alexander Lukashenko hoan nghênh bà Nguyễn Thị Kim Ngân thăm chính thức Belarus;
ທ່ານ ເນັ້ນໜັກວ່າ ການຢ້ຽມຢາມຈະສ້າງກໍາລັງໜູນໃຫ້ແກ່ການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອອັນຍາວນານລະຫວ່າງຫວຽດນາມ ແລະເບລາຣຸດ.	Ông nhấn mạnh chuyến thăm sẽ củng cố quan hệ hữu nghị lâu đời giữa Việt Nam và Belarus.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະທ່ານ Alexander Lukashenko.	Nguyen Thi Kim Ngen and Alexander Lukashenko.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ຂອບໃຈການສະໜັບສະໜູນອັນໃຫຍ່ຫຼວງ ແລະລໍ້າຄ່າຈາກປະຊາຊົນເບລາຣຸດ ທີ່ສະຫງວນໃຫ້ ຫວຽດນາມ ໃນພາລະກິດແຫ່ງການປົດປ່ອຍຊາດ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບໃນເມື່ອກ່ອນ ແລະໃນພາລະກິດສ້າງສາ ແລະພັດທະນາປະເທດໃນປະຈຸບັນ.	Bà Nguyễn Thị Kim Ngên cảm ơn nhân dân Belarussia đã dành sự ủng hộ rộng rãi đối với Việt Nam trong sứ mệnh giải phóng dân tộc, thống nhất đất nước trước đây và xây dựng, phát triển đất nước hiện nay.
ທ່ານນາງ ປະທານສະພາແຫ່ງຊາດ ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ຕີລາຄາສູງການສົມທົບກັນຢ່າງແໜ້ນແຟ້ນຂອງທັງສອງຝ່າຍຢູ່ບັນດາອົງການ ແລະເວທີປາໄສສາກົນ, ພິເສດແມ່ນຢູ່ສະຫະປະຊາດ, ເວທີປາໄສຫຼາຍຝ່າຍ, ຄື: ສະຫະພັນລັດຖະສະພາສາກົນ (IPU), ກອງປະຊຸມປະທານສະພາແຫ່ງຊາດບັນດາປະເທດອາຊີ-ເອີລົບ (MSEAP);	Chủ tịch Quốc hội nhấn mạnh Việt Nam đánh giá cao sự hợp tác chặt chẽ giữa hai nước tại các tổ chức, diễn đàn quốc tế, nhất là tại Liên hợp quốc, các diễn đàn đa phương, như Liên minh Nghị viện quốc tế (IPU) và Nghị viện châu Âu (MSAP).
ພ້ອມທັງຂອບໃຈ ເບລາຣຸດ ທີ່ໄດ້ສະໜັບສະໜູນຫວຽດນາມ ສະໝັກເລືອກຕັ້ງເປັນສະມາຊິກບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021, ຄະນະກໍາມະການກົດໝາຍວ່າດ້ວຍການຄ້າສາກົນສະຫະປະຊາຊາດ (UNCITRAL) ອາຍຸການ 2019-2025.	Ông cũng cảm ơn Belarus đã bầu Việt Nam làm Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020-2021 và Ủy ban Luật Thương mại quốc tế của Liên hợp quốc (UNCITRAL) nhiệm kỳ 2019-2025.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປາດຖະໜາວ່າ ສອງຝ່າຍສືບຕໍ່ເສີມຂະຫຍາຍມູນເຊື້ອອັນດີງາມນີ້ທີ່ບັນດາກົນໄກຫຼາຍຝ່າຍດັ່ງກ່າວກໍ່ຄືຢູ່ຂະບວນການບໍ່ຮ່ວມກຸ່ມ.	Bà Nguyễn Thị Kim Ngưng mong rằng hai bên sẽ tiếp tục xây dựng trên cơ sở những di sản cao quý này của các cơ chế đa phương và Phong trào Không liên kết.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ສະເໜີສອງຝ່າຍສຸມໃສ່ບຸລິມະສິດຊຸກຍູ້ການຮ່ວມມືດ້ານເສດຖະກິດ-ການຄ້າກວ່າອີກ, ໂດຍສະເພາະແມ່ນບັນດາຂົງເຂດຫວຽດນາມ ມີທ່າແຮງ ແລະເບລາຣຸດ ມີຄວາມຕ້ອງການ;	Bà Nguyễn Thị Kim Ngen Sae nhấn mạnh tầm quan trọng của việc thúc đẩy hợp tác kinh tế - thương mại, nhất là trong các lĩnh vực Việt Nam có tiềm năng và Belarus có nhu cầu;
ສຸມໃສ່, ແລກປ່ຽນຊຸກຍູ້ດ້ານການຄ້າຜະລິດຕະພັນກະເສດປະເພດຕ່າງໆທີ່ມີທ່າແຮງ ແລະໜູນຊ່ວຍເຊິ່ງກັນ ແລະກັນ;	Tập trung, trao đổi, khuyến khích thương mại các loại nông sản có tiềm năng và hỗ trợ lẫn nhau;
ຂຸດຄົ້ນຄວາມສາມາດບົ່ມຊ້ອນ, ທ່າໄດ້ປຽບຂອງສັນຍາການຄ້າເສລີຫວຽດນາມ-ສະຫະພັນເສດຖະກິດອາຊີ-ເອີລົບ.	Khai thác tiềm năng, lợi thế của Hiệp định thương mại tự do Việt Nam - Liên minh kinh tế Á - Âu.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
