ກປ.ອອນໄລ - ວັນທີ 31 ມີນາ, ທີ່ນະຄອນ St.	KPR Online - Ngày 31 tháng 3, tại St.
Petersburg ຂອງສະຫະພັນລັດເຊຍ ໄດ້ດໍາເນີນກອງປະຊຸມຜ່ານລະບົບທາງໄກເພື່ອເພີ່ມທະວີການພົວພັນຮ່ວມມືລະຫວ່າງພະແນກພົວພັນຕ່າງປະເທດນະຄອນຮ່າໂນ້ຍ ແລະຄະນະກໍາມະການພົວພັນຕ່າງປະເທດນະຄອນ St.	Petersburg của Liên bang Nga đã tổ chức hội nghị qua điện thoại nhằm tăng cường hợp tác giữa Sở Ngoại vụ Hà Nội và Ủy ban Đối ngoại St.
Petersburg.	Petersburg.
ທີ່ກອງປະຊຸມ, ທ່ານ Grigoriev Evgheny ປະທານຄະນະກໍາມະການພົວພັນຕ່າງປະເທດນະຄອນ St.	Tại buổi làm việc, ông Grigoriev Evgheny, Chủ tịch Ủy ban Đối ngoại TP.
Petersburg ໄດ້ຫວນຄືນບັນດາການເຄື່ອນໄຫວທີ່ຕັ້ງໜ້າຂອງອໍານາດການປົກຄອງນະຄອນ St.	Petersburg nhớ lại các hoạt động của thành phố St.
Petersburg ໃນໄລຍະມໍ່ໆມານີ້ເພື່ອແນໃສ່ຊຸກຍູ້ການພົວພັນກັບຫວຽດນາມ ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 70 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງຫວຽດນາມ-ສະຫະພັນລັດເຊຍ ກໍ່ຄືສະເຫຼີມສະຫຼອງ 20 ປີແຫ່ງວັນລົງນາມສົນທິສັນຍາຮ່ວມມື ແລະຄູ່ຮ່ວມມືຍຸດທະສາດລະຫວ່າງລັດເຊຍ ແລະຫວຽດນາມ.	Petersburg vừa qua nhằm thúc đẩy quan hệ với Việt Nam nhân kỷ niệm 70 năm thiết lập quan hệ ngoại giao giữa Việt Nam và Liên bang Nga, cũng như kỷ niệm 20 năm ký Hiệp ước Hợp tác và Đối tác Chiến lược Nga-Việt.
ຮ່າໂນ້ຍ ປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືກັບ St.	Hà Nội mong muốn thúc đẩy hợp tác với St.Petersburg
Petersburg.	Petersburg.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ສ່ວນທ່ານນາງ ໂງມິງຮວ່າງ ຫົວໜ້າພະແນກພົວພັນຕ່າງປະເທດຮ່າໂນ້ຍ ໄດ້ແຈ້ງສະພາບການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ການພົວພັນຮ່ວມມືລະຫວ່າງຮ່າໂນ້ຍ ແລະ St.	Bà Ngô Minh Hoàng, Trưởng Sở Ngoại vụ Hà Nội thông tin tóm tắt về tình hình phát triển kinh tế - xã hội và quan hệ hợp tác giữa Hà Nội và TP.
Petersburg, ພ້ອມທັງຢັ້ງຢືນວ່າ ຮ່າໂນ້ຍ ປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືຫຼາຍດ້ານກັບ St.	Petersburg tái khẳng định mong muốn của Hà Nội trong việc thúc đẩy hợp tác nhiều mặt với St.Petersburg
Petersburg.	Petersburg.
ທ່ານນາງ ໂງມິງຮວ່າງ ກໍ່ສະເໜີເພີ່ມທະວີການພົບປະແລກປ່ຽນຄະນະ, ແລກປ່ຽນບົດຮຽນກ່ຽວກັບການຄຸ້ມຄອງ, ການວາງແຜນຜັງ ແລະການພັດທະນາຕົວເມືອງ, ອະນຸລັກຮັກສາມໍລະດົກວັດທະນະທໍາ, ສະຖາປັດຕະຍະກຳ;	Bà Ngô Minh Hoàng cũng tăng cường gặp gỡ, giao lưu, trao đổi bài học về quản lý, quy hoạch và phát triển đô thị, bảo tồn di sản văn hóa, kiến trúc.
ການຮ່ວມມືກໍ່ສ້າງພື້ນຖານໂຄງລ່າງ, ການແພດການຢາ, ບຳ ບັດ ແລະສະໜອງນໍ້າສະອາດ;	Hợp tác về cơ sở hạ tầng, y tế, thuốc men và cấp nước;
ພັດທະນາເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ, ກໍ່ສ້າງຕົວເມືອງອັດສະລິຍະ, ອອກແບບລະບົບຄວາມໝັ້ນຄົງທາງເຄືອຂ່າຍອິນເຕີແນັດ.	Phát triển công nghệ thông tin, xây dựng thành phố thông minh, thiết kế hệ thống an ninh mạng Internet.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
