ກປ.ອອນໄລ - ໃນທ້າຍເດືອນກັນຍາ 2018, ຢູ່ນິວຢອກ, ປະເທດອາເມລິກາ ໄດ້ດໍາເນີນກອງປະຊຸມສະມັດຊາໃຫຍ່ສະຫະປະຊາຊາດ ຄັ້ງທີ 73.	Cuối tháng 9/2018, tại New York, Hoa Kỳ đăng cai tổ chức Đại hội đồng Liên hợp quốc lần thứ 73.
ຕາງໜ້າຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມແມ່ນທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ.	Đoàn Việt Nam có sự tham dự của Thủ tướng Chính phủ Nguyễn Xuân Phúc.
ຖ້ຽວບິນ 22 ຊົ່ວໂມງ	Chuyến bay 22 giờ
ຕອນເຊົ້າວັນທີ 26 ກັນຍາ, ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ມີການຕ້ອນຮັບທ່ານ Lee Nak-yeon ນາຍົກລັດຖະມົນຕີ ສ.ເກົາຫຼີ, ຫຼັງຈາກນັ້ນກໍ່ອອກໄປຍັງສະໜາມບິນສາກົນໂນ້ຍບ່າຍ.	Sáng 26/9, Nguyễn Xuân Phúc đã tiếp Thủ tướng Hàn Quốc Lee K-yeon, sau đó ra sân bay quốc tế Nội Bài.
ເວລາ 10 ໂມງ ຂອງວັນທີ 26 ກັນຍາ, ເຮືອບິນຂອງບໍລິສັດການບິນແຫ່ງຊາດຫວຽດນາມ ໄດ້ບິນຂຶ້ນມຸ່ງໜ້າໄປຕາມທິດ ປາຣີ.	10h ngày 26/9, một chiếc máy bay của Hãng hàng không Quốc gia Việt Nam đã cất cánh hướng về Paris.
ພາຍຫຼັງເຮືອບິນບິນມາໄດ້ 12 ຊົ່ວໂມງ, ເວລາ 17 ໂມງ ຕາມເວລາ ປາຣີ, ເຮືອບິນທີ່ຂົນສົ່ງທ່ານ ຫງວຽນຊວນຟຸກ ພ້ອມກັບຄະນະຜູ້ແທນຫວຽດນາມ ໄດ້ລົງຈອດຢູ່ສະໜາມບິນສາກົນ Charles de Gaulle ຢູ່ຊານເມືອງ ປາຣີ.	Sau 12 tiếng bay, lúc 5 giờ chiều theo giờ Paris, máy bay chở ông Nguyễn Xuân Phúc và đoàn Việt Nam đã hạ cánh xuống sân bay quốc tế Charles de Gaulle ở ngoại ô Paris.
ທັງຄະນະໄດ້ເຂົ້າໄປນັ່ງລໍຖ້າຢູ່ຫ້ອງພິເສດຢູ່ສະໜາມບິນ Charles de Gaulle ເປັນເວລາ 2 ຊົ່ວໂມງ ຫຼັງຈາກນັ້ນກໍ່ສືບຕໍ່ບິນໄປຮອດນິວຢອກ.	Phi hành đoàn đã đợi trong một căn phòng đặc biệt ở sân bay Charles de Gaulle trong hai giờ trước khi bay đến New York.
ບິນໄປຕື່ມອີກ 8 ຊົ່ວໂມງ, ເຮືອບິນກໍ່ໄດ້ລົງຈອດຢູ່ສະໜາມບິນສາກົນ John F.Kennedy ໃນເວລາ 21 ໂມງ 30 ນາທີຂອງວັນທີ 26 ກັນຍາ ຕາມເວລານິວຢອກ.	Chuyến bay hạ cánh tại Sân bay Quốc tế John F. Kennedy lúc 9:30 tối, ngày 26 tháng 9, theo giờ New York.
ເມື່ອເປັນຄືແນວນັ້ນ, ນັບທັງ 2 ຊົ່ວໂມງທີ່ລໍຖ້າຢູ່ປາຣີ, ທ່ານ ຫງວຽນຊວນຟຸກ ພ້ອມກັບຄະນະຜູ້ແທນຫວຽດນາມ ໄດ້ຜ່ານການເດີນທາງທີ່ແກ່ຍາວເປັນເວລາ 22 ຊົ່ວ ໂມງ.	Kết quả là trong hai giờ chờ đợi tại Paris, Nguyễn Xuân Phúc và đoàn Việt Nam đã trải qua hành trình kéo dài 22 giờ.
ການໂອ້ລົມສົນທະນາກັບບັນດາວິສາຫະກິດອາເມລິກາ	Nói chuyện với các doanh nghiệp Mỹ
ແຕ່ຮຸ່ງເຊົ້າວັນທີ 27 ກັນຍາ, ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ເລີ່ມຕົ້ນເຮັດວຽກອາດສາມາດຖືໄດ້ວ່າແມ່ນພິເສດໃນຕາຕະລາງເຮັດວຽກຫຍຸ້ງທີ່ສຸດຂອງຜູ້ນຳໜ້າລັດຖະບານ.	Tuy nhiên, sáng 27/9, Nguyễn Xuân Phúc đã bắt đầu công việc, đây có thể coi là sự kiện đặc biệt trong lịch trình bận rộn của các quan chức nhà nước.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຮັບຟັງຄໍາເຫັນຂອງຜູ້ຕາງໜ້າບັນດາວິສາຫະກິດອາເມລິກາ.	Thủ tướng Nguyễn Xuân Phúc lắng nghe đại diện các doanh nghiệp Hoa Kỳ.
ພາບ: ວັນອຽນ.	Ảnh: Vân Yên
ເລີ່ມຕົ້ນແຕ່ເວລາ 8 ໂມງເຊົ້າ, ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ເຂົ້າຮ່ວມການໂອ້ລົມສົນທະນາຢູ່ຫ້ອງ Manhattan ຂອງໂຮງແຮມ Millennium Hilton ດ້ວຍຫົວຂໍ້ກ່ຽວກັບການດຶງດູດການລົງທຶນຂອງອາເມລິກາຢູ່ຫວຽດນາມ ໂດຍສະພາດໍາເນີນທຸລະກິດເພື່ອຄວາມເຂົ້າໃຈສາກົນ (BCIU) ແລະກຸ່ມບໍລິສັດ FPT ຂອງຫວຽດນາມ ສົມທົບກັນຈັດຕັ້ງ.	Bắt đầu từ 8 giờ sáng, Nguyễn Xuân Phúc đã tham dự cuộc thảo luận tại Phòng Manhattan của Millennium Hilton về thu hút đầu tư của Mỹ vào Việt Nam của Hội đồng Kinh doanh Hiểu biết Quốc tế (BCIU) và Tập đoàn FPT Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ຢືນຢັນວ່າ, ຫວຽດນາມ ຍາມໃດກໍ່ຖືເປັນສໍາຄັນເລື່ອງຊຸກຍູ້ການຮ່ວມມືຫຼາຍດ້ານກັບອາເມລິກາ, ໃນນັ້ນບຸລິມະສິດການຮ່ວມມືເສດຖະກິດ, ການຮ່ວມມືໃນບັນດາຂະແໜງເຕັກນິກສູງ;	Nguyễn Xuân Phúc khẳng định Việt Nam luôn coi trọng thúc đẩy quan hệ hợp tác nhiều mặt với Hoa Kỳ, trong đó có hợp tác kinh tế, hợp tác công nghệ cao;
ຕີລາຄາສູງບົດບາດສໍາຄັນ ແລະການປະກອບສ່ວນຢ່າງແທດຈິງຂອງບັນດາວິສາຫະກິດອາເມລິກາໃນວິວັດທະນາການປ່ຽນແປງໃໝ່, ເຊື່ອມໂຍງ ແລະພັດທະນາເສດຖະກິດຂອງຫວຽດນາມ.	Đánh giá cao vai trò quan trọng và đóng góp thực sự của các doanh nghiệp Hoa Kỳ trong chuyển đổi, hội nhập và phát triển kinh tế của Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ເສດຖະກິດຫວຽດນາມ ສືບຕໍ່ຈະເລີນເຕີບໂຕ, ສະພາບແວດລ້ອມແຫ່ງການດໍາເນີນທຸລະກິດໄດ້ຮັບການປັບປຸງ.	Nguyễn Xuân Phúc nhấn mạnh kinh tế Việt Nam sẽ tiếp tục tăng trưởng, môi trường kinh doanh được cải thiện.
ມາຮອດປັດຈຸບັນ, ຫວຽດນາມ ໄດ້ດຶງດູດກວ່າ 26.000 ໂຄງການດ້ວຍຍອດເງິນລົງທຶນປະມານ 350 ຕື້ໂດລາສະຫະລັດ.	Đến nay, Việt Nam đã thu hút hơn 26.000 dự án với tổng vốn đầu tư khoảng 350 tỷ USD.
ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີບັນດາວິສາຫະກິດອາເມລິກາ ເພີ່ມທະວີການລົງທຶນເຂົ້າບັນດາຂົງເຂດທີ່ມີທ່າແຮງ ຄື: ເຕັກໂນໂລຢີສູງ, ພະລັງງານ, ພື້ນຖານໂຄງລ່າງ, ຕົວເມືອງສະຫຼາດ, ການສຶກສາ, ບໍາລຸງສ້າງ...	Thủ tướng đề nghị các doanh nghiệp Hoa Kỳ tăng cường đầu tư vào các lĩnh vực tiềm năng như công nghệ cao, năng lượng, cơ sở hạ tầng, thành phố thông minh, giáo dục, đào tạo ...
ແລະຢືນຢັນຄໍາໝັ້ນສັນຍາຂອງຫວຽດນາມ ໃນການສ້າງສະພາບແວດລ້ອມແຫ່ງການດໍາເນີນທຸລະກິດໃຫ້ດີທີ່ສຸດແກ່ບັນດາວິສາຫະກິດຕ່າງປະເທດ, ໃນນັ້ນມີວິສາຫະກິດອາເມລິກາ, ດຳເນີນທຸລະກິດ, ລົງທຶນເປັນປົກກະຕິ ແລະຍາວນານຢູ່ຫວຽດນາມ.	Và tái khẳng định cam kết của Việt Nam trong việc tạo môi trường kinh doanh tốt nhất cho các doanh nghiệp nước ngoài, trong đó có các doanh nghiệp Hoa Kỳ, kinh doanh, đầu tư thường xuyên và lâu dài tại Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຖ່າຍຮູບກັບຜູ້ຕາງໜ້າວິສາຫະກິດອາເມລິກາ.	Thủ tướng Nguyễn Xuân Phúc chụp ảnh kỷ niệm với đại diện doanh nghiệp Hoa Kỳ.
ພາບ: ວັນອຽນ.	Ảnh: Vân Yên
