ກປ.ອອນໄລ - ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ໄປຢ້ຽມຢາມ, ມອບຂອງຂວັນ ແລະອວຍພອນບຸນປີໃໝ່ປະຈໍາຊາດ ຢູ່ແຂວງ ຕ່ຽນຢາງ...	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng thăm tỉnh Tiền Giang, tặng quà, chúc Tết nhân dân ...
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ໄດ້ຍ້ອງຍໍຊົມເຊີຍບັນດາຜົນງານພົ້ນເດັ່ນເຊິ່ງອົງຄະນະພັກ, ອຳນາດການປົກຄອງ ແລະປະຊາຊົນແຂວງ ຕ່ຽນຢາງ ບັນລຸໄດ້ໃນປີຜ່ານມາ, ພ້ອມທັງຖືວ່າ, ນີ້ແມ່ນບັນດາປະຖົມປັດໄຈສະດວກເພື່ອໃຫ້ທັງລະບົບການເມືອງສາມັກຄີ, ຮ່ວມແຮງຮ່ວມໃຈຍາດໄດ້ໄຊຊະນະໃໝ່ຫຼາຍກວ່າໃນບັນດາຂົງເຂດໃນປີ 2018 ກໍ່ຄືໃນຊຸມປີຕໍ່ໄປຕາມມະຕິໄດ້ວາງອອກ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng biểu dương những kết quả đạt được của Đảng bộ, chính quyền và nhân dân tỉnh Tiền Giang trong năm qua.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ຢ້ຽມຢາມ ແລະມອບຂອງຂວັນໃຫ້ແກ່ຄອບຄົວນະໂຍບາຍ ຢູ່ຕາແສງ ເຟື໋ອກແທ້ງ, ນະຄອນ ມີ໊ທໍ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng thăm, tặng quà các gia đình chính trị tại xã Phước Thạnh, TP Mỹ Tho.
ພາບ: ເຈິ່ນລຽມ	Ảnh: Tran Liam
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ສະເໜີການນຳທ້ອງຖິ່ນໄປຄຽງຄູ່ກັບການບໍລິຫານພັດທະນາເສດຖະກິດ-ສັງຄົມ ແລະການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບຢ່າງໜັກແໜ້ນ, ກໍ່ຄວນເອົາໃຈໃສ່, ຊ່ວຍເຫຼືອບັນດາຄອບຄົວນະໂຍບາຍທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ຄອບ ຄົວທຸກຍາກ, ເດັກນ້ອຍທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກເປັນພິເສດ, ຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນໃນບໍລິເວນ...	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng xác định, lãnh đạo địa phương cùng với việc điều hành phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh cần quan tâm giúp đỡ các gia đình khó khăn, hộ nghèo, trẻ em và người nghèo.
ດ້ວຍບັນດາວຽກງານຢ່າງແທດຈິງ ແລະມາດຕະການຕັ້ງໜ້າ, ສ້າງເງື່ອນໄຂເພື່ອໃຫ້ບັນດາຄອບຄົວທຸກຍາກ, ເປົ້າໝາຍທຸກຍາກບືນຕົວຂຶ້ນ, ເຮັດໃຫ້ຊີວິດການເປັນຢູ່ເປັນປົກກະຕິ.	Bằng những việc làm thiết thực và những biện pháp khắc phục, tạo điều kiện cho những gia đình nghèo, hộ nghèo vươn lên, bình thường hóa cuộc sống.
ເນື່ອງໃນໂອກາດລະດູບານໃໝ່ປີຈໍ ວຽນມາ, ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ອວຍພອນອົງຄະນະພັກ, ອຳນາດການປົກຄອງ ແລະປະຊາຊົນ ແຂວງ ຕ່ຽນຢາງ ປີໃໝ່ໄຊຊະນະໃໝ່.	Nhân dịp Lễ hội mùa xuân Việt Nam, Chủ tịch Quốc hội Nguyễn Thị Kim Ngừng chúc mừng Đảng bộ, chính quyền và nhân dân tỉnh Tiền Giang nhân dịp năm mới.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ມອບຂອງຂວັນປີໃໝ່ໃຫ້ແກ່ຄອບຄົວທຸກຍາກ ແລະເດັກນ້ອຍທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກເປັນພິເສດ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng tặng quà Tết cho các gia đình nghèo, trẻ em có hoàn cảnh đặc biệt khó khăn.
ພາບ: ເຈິ່ນລຽມ	Ảnh: Tran Liam
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ກໍ່ໄດ້ເຂົ້າຮ່ວມລາຍການມອບຂອງຂວັນ “ບຸນເຕັດເພື່ອຄົນທຸກຍາກ, ເດັກນ້ອຍປະສົບກັບຄວາມຫຍຸ້ງຍາກ ແລະຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊິນ ລະດູບານໃໝ່ປີຈໍ 2018 ຢູ່ແຂວງ ຕ່ຽນຢາງ ໂດຍສະພາກາແດງຫວຽດນາມ, ກະຊວງແຮງງານ, ທະຫານເສຍອົງຄະ ແລະສັງຄົມ ແລະກອງທຶນອຸປະກາລະເດັກນ້ອຍສົມທົບກັບທ້ອງຖິ່ນຈັດຕັ້ງ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng dự “Ngày hội Chữ thập đỏ tỉnh Tiền Giang năm 2018 do Hội Chữ thập đỏ Việt Nam, Bộ Lao động, Thương binh và Xã hội, Quỹ Trẻ em và Quỹ Cứu trợ thiên tai quốc gia tổ chức.
ແປໂດຍ: ກວຽດເຕິມ.	Dịch bởi: Việt Tâm.
