ກປ.ອອນໄລ - ວັນທີ 14 ພະຈິກ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວັນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ ເນີລານ ນິກມາຕູລິນ ປະທານສະພາຕ່ຳ ກາຊັກສະຖານ ເນື່ອງໃນໂອກາດທ່ານເດີນທາງມາຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການ ຕາມຄໍາເຊີນຂອງທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	<br> <br> Bộ trưởng Bộ Chủ tịch Việt Nam, Chủ tịch Nguyễn Thậm vào dịp Tổng thống Nguyễn Thin Naga
ທ່ານ ເນີລານ ນິກມາຕູລິນ ຊົມເຊີຍຫວຽດນາມ ບັນລຸໄດ້ບັນດາຜົນງານອັນໃຫຍ່ຫຼວງໃນການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ຢັ້ງຢືນວ່າ ຫວຽດນາມ ແມ່ນຄູ່ຮ່ວມມືສໍາຄັນຂອງກາຊັກສະຖານ ຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້.	Bạn có rất nhiều công việc của người Việt Nam và kinh tế xã hội.
ທ່ານ ເນີລານ ນິກມາຕູລິນ ຖືວ່າ, ສອງຝ່າຍຍັງມີຄວາມສາມາດບົ່ມຊ້ອນຮ່ວມມືຫຼາຍຢ່າງ, ໂດຍສະເພາະແມ່ນຂົງເຂດກະສິກໍາ, ອຸດສາຫະກໍາເບົາ, ການຄົມມະນາຄົມ, logistics ແລະການທ່ອງທ່ຽວ;	Ông Mr. Spring Multi-Party Tiến hành, cả hai, đặc biệt là hợp tác xã, công nghiệp nhẹ, công nghiệp nhẹ, chiếu sáng, hậu cần và du lịch;
ສະແດງຄວາມເຄົາລົບເຊື້ອເຊີນບັນດາຄູ່ຮ່ວມມືຫວຽດນາມໄປເຂົ້າຮ່ວມການທໍາມາຫາກິນ, ຮ່ວມມືຢູ່ ກາຊັກສະຖານ.	Xin chúc mừng các đối tác Việt Nam tham gia cuộc biểu tình, hợp tác tại Kazakhstan.
ທ່ານ ຫງວຽນຊວັນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບປະທານສະພາຕໍ່າ ກາຊັກສະຖານ.	Tổng thống Trương Trương Nguyễn Tấn Dũng nhận Chủ tịch Trương Trương Thronials
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ຫງວຽນຊວັນຟຸກ ຖືວ່າໃນໄລຍະຜ່ານມາ, ການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອລະຫວ່າງຫວຽດນາມ ແລະກາຊັກສະຖານ ສືບຕໍ່ພັດທະນາຢ່າງດີງາມ.	Thủ tướng Nguyễn Xen cho biết trong quá khứ, Kazology tiếp tục trong tình bạn của Việt Nam tiếp tục.
ທ່ານ ຫງວຽນຊວັນຟຸກ ໃຫ້ຮູ້ວ່າ ຫວຽດນາມ ປາດຖະໜາຢາກໃຫ້ ກາຊັກສະຖານ ຕັ້ງໜ້າສະໜັບສະໜູນການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ ແລະພັດທະນາ, ສະໜັບສະໜູນການແກ້ໄຂບັນດາການຂັດແຍ່ງກັນໂດຍສັນຕິວິທີ, ການເຈລະຈາທາງການທູດ, ເຄົາລົບກົດໝາຍສາກົນ.	Thủ tướng Nguyễn Lanon cho biết Việt Nam muốn hỗ trợ nơi này, sự yên bình và phát triển của tranh chấp quốc tế, luật pháp quốc tế.
ທ່ານ ຫງວຽນຊວັນຟຸກ ສະເໜີໃຫ້ສອງຝ່າຍຄວນສືບຕໍ່ຊຸກຍູ້ການແລກປ່ຽນຄະນະວິສາຫະກິດ, ຈັດຕັ້ງງານຕະຫຼາດນັດ, ງານວາງສະແດງ, ຈັດຕັ້ງເວທີ ປາໄສວິສາຫະກິດຢູ່ທັງສອງປະເທດ;	Nguyễn Thite Lieng gặp hai bên nên khuyến khích trao đổi doanh nghiệp, triển lãm, tổ chức, tổ chức, tổ chức
ຊຸກຍູ້ການຮ່ວມມືລົງທຶນ;	Khuyến khích hợp tác đầu tư;
ເພີ່ມທະວີການຮ່ວມມືໃນບັນດາຂົງເຂດທີ່ມີທ່າແຮງບົ່ມຊ້ອນອື່ນຄື: ກະສິກໍາ, ການສຶກສາ ແລະກໍ່ສ້າງ, ວິທະຍາສາດ-ເຕັກນິກ, ວັດທະນະທໍາ-ກິລາ, ການທ່ອງທ່ຽວ...	Tăng cường hợp tác trong các lĩnh vực tiềm năng khác: Giáo dục, Giáo dục và Xây dựng, Văn hóa, Văn hóa, Tour ...
ບັນຍາກາດທີ່ການຕ້ອນຮັບ.	Bầu không khí chào đón.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ເນີລານ ນິກມາຕູລິນ ຢັ້ງຢືນວ່າ ສະພາແຫ່ງຊາດ ກາຊັກສະຖານ ຈະໃຫ້ບຸລິມະສິດໜູນຊ່ວຍດ້ານນິຕິກໍາເພື່ອສ້າງການເຊື່ອມຕໍ່ດ້ານການຄ້າລະຫວ່າງສອງຝ່າຍ, ໂດຍສະເພາະແມ່ນການເຊື່ອມຕໍ່ເສັ້ນທາງລົດໄຟຈາກຫວຽດນາມ ໄປຜ່ານ ຈີນ ແລ້ວໄປຮອດກາຊັກສະຖານ ແລະເອີລົບ;	Ông Spring Cross Hội đồng xác nhận Quốc hội, đặc biệt là tại Trung Quốc, và Linh, đặc biệt là ở Trung Quốc
ສ້າງເງື່ອນໄຂເພື່ອໃຫ້ບັນດາວິສາຫະກິດສອງຝ່າຍຕັ້ງໜ້າເຂົ້າຮ່ວມ FTA ຫວຽດນາມ - ສະຫະພັນເສດຖະກິດອາຊີ-ເອີລົບ.	Tạo điều kiện cho các doanh nghiệp song phương tích cực tham gia vào Liên minh Kinh tế Việt Nam-Châu Á-Châu Âu.
ສະແດງຄວາມປະທັບໃຈຕໍ່ເລື່ອງຫວຽດນາມ ໄດ້ເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021, ເປັນປະທານອາຊຽນໃນປີ 2020, ທ່ານປະທານສະພາຕໍ່າ ກາຊັກສະຖານ ຢັ້ງຢືນວ່າສອງຝ່າຍຈະສົມທົບກັນຢ່າງແໜ້ນແຟ້ນຢູ່ບັນດາເວທີປາໄສສາກົນ, ຊຸກຍູ້ການພົວພັນສອງປະເທດ.	Hội đồng Việt Nam là một điều khoản của An ninh Liên Hợp Quốc, năm 2020, Chủ tịch Ban Kazakhi, quảng bá hai nước.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
