ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 13 ມິຖຸນາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງ Marise Payne ລັດຖະມົນຕີການຕ່າງປະເທດ ອົດສະຕາລີ ທີ່ພວມມີການຢ້ຽມຢາມຫວຽດນາມ.	Miễn phí - sau số 19 Số Payne Thủ tướng Nguyễn Thin Dung
ທ່ານ ຫງວຽນຊວນຟຸກ ຕີລາຄາສູງບົດບາດ ແລະບັນດາການປະກອບສ່ວນສໍາຄັນຂອງທ່ານນາງ Marise Payne ໃນການຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ຫວຽດນາມ - ອົດສະຕາລີ ພັດທະນາຢ່າງດີງາມໃນຊຸມປີຜ່ານມາ.	Nguyễn Xuân Phúc có giá trị cao và đóng góp quan trọng của quan hệ đối tác chiến lược Việt Nam-Úc trong những năm gần đây.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີສອງຝ່າຍກວດກາ, ສະຫຼຸບການປະຕິບັດໂຄງການດໍາເນີນງານ ຫວຽດນາມ - ອົດສະຕາລີ ໄລຍະ 2016-2019 ໂດຍໄວ ແລະດໍາເນີນການກໍ່ສ້າງໂຄງການດໍາເນີນງານຜັນຂະຫຍາຍການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ໄລຍະຕໍ່ໄປດ້ວຍບັນດາເປົ້າໝາຍ, ວິທີການລະອຽດເພື່ອແນໃສ່ເຮັດໃຫ້ການຮ່ວມມືໃນທຸກຂົງເຂດເລິກເຊິ່ງກວ່າອີກ.	Thủ tướng Nguyễn Xuân Phúc cung cấp hai lần kiểm tra, Úc chạy, chi tiết, và các dự án chi tiết hơn.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານນາງ Marise Payne ລັດຖະມົນຕີການຕ່າງປະເທດ ອົດສະຕາລີ.	Thủ tướng Việt Nam Nguyễn Phú nhận Bộ trưởng Bộ Ngoại giao Úc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ຫງວຽນຊວນຟຸກ ຕີລາຄາສູງການຮ່ວມມື, ສົມທົບກັນຢ່າງມີປະສິດທິຜົນລະຫວ່າງສອງປະເທດທີ່ບັນດາເວທີປາໄສພາກພື້ນ ແລະສາກົນ, ໂດຍສະເພາະແມ່ນສະຫະປະຊາຊາດ, ຄູ່ຮ່ວມມື ອາຊຽນ - ອົດສະຕາລີ ແລະບັນດາກົນໄກອາຊຽນ ເປີດກວ້າງ, APEC...	Nguyễn Xuân Nguyên Phú rất hợp tác, Diễn đàn Hoa Kỳ, ASEAN và ASEAN, đặc biệt là mở, APEC ...
ພ້ອມທັງປາດຖະໜາວ່າ ອົດສະຕາລີ ສືບຕໍ່ສະໜັບສະໜູນ ແລະສົມທົບກັນຢ່າງແໜ້ນແຟ້ນໃນໄລຍະຈະມາເຖິງ.	Cũng mong ước rằng Úc tiếp tục hỗ trợ và kết hợp trong giai đoạn tới.
ພິເສດໃນວິວັດການ ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນກໍາມະການບໍ່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021 ແລະປະທານອາຊຽນ ໃນປີ 2020.	Đặc biệt về sự tiến hóa của Việt Nam là Ủy ban của Liên Hợp Quốc 2020-2021, Hội đồng Bảo an ASEAN vào năm 2020.
ກ່ຽວກັບບັນຫາທະເລຕາເວັນອອກ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ຫວຽດນາມ ຕີລາຄາສູງຫຼັກໝັ້ນຂອງອົດສະຕາລີ ແລະປາດຖະໜາວ່າ ອົດສະຕາລີ ສືບຕໍ່ມີທັດສະນະຢ່າງແຂງແຮງ, ສະໜັບສະໜູນຫຼັກໝັ້ນຂອງອາຊຽນ ແລະຫວຽດນາມ ໃນບັນຫາທະເລຕາເວັນອອກ ດ້ວຍຈິດໃຈສັນຕິພາບ, ມິດຕະພາບ, ຄວາມເສລີໃນການເດີນທະເລ, ການບິນ, ເຄົາລົບກົດໝາຍສາກົນ.	Về vấn đề Biển Đông, Thủ tướng Nguyễn Xuân Nguyên Xays nói, Việt Nam mạnh mẽ, với tình bạn, Biển Quốc tế, tôn trọng luật pháp quốc tế.
ທ່ານນາງ Marise Payne ຢັ້ງຢືນວ່າຈະສືບຕໍ່ມານະພະຍາຍາມຊຸກຍູ້ການພົວພັນລະຫວ່າງສອງປະເທດ.	Cô Marine Payne xác nhận sẽ tiếp tục cố gắng thúc đẩy mối quan hệ giữa hai nước.
ພ້ອມທັງອວຍພອນ ຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍໍາການ ສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021, ທ່ານນາງ Marise Payne ຢັ້ງຢືນວ່າ ອົດສະຕາລີ ພ້ອມແລ້ວທີ່ຈະໜູນຊ່ວຍ ຫວຽດນາມ ໃນການປະຕິບັດບັນດາບຸລິມະສິດພັດທະນາຂອງຕົນ ຄື: ພື້ນຖານໂຄງລ່າງ, ຄວາມສາມາດດ້ານເຕັກນິກດີຈີຕອນ, ຄວາມໝັ້ນຄົງທາງເຄືອຂ່າຍອິນເຕີແນັດ;	Cũng như may mắn Việt Nam chưa được bầu với un 2020-2021, Ms. Marine Passage, bà Marine Digital, bà
