ກປ.ອອນໄລ - ວັນທີ 25 ຕຸລາ, ທີ່ຮ່າໂນ້ຍໄດ້ດໍາເນີນພິທີຍ້ອງຍໍຊົມເຊີຍຫຼານຄໍາຮູ້ຂອງລຸງໂຮ່ ໃນຂອບເຂດທົ່ວປະເທດຄັ້ງທີ IX.	Ngày 25/10, Hà Nội đăng cai tổ chức Lễ tuyên dương Cháu ngoan Bác Hồ lần thứ IX.
ນີ້ແມ່ນການເຄື່ອນໄຫວສໍາຄັນທີ່ສຸດໃນຂອບເຂດກອງປະຊຸມໃຫຍ່ຫຼານຄໍາຮູ້ຂອງລຸງໂຮ່ ໃນຂອບເຂດທົ່ວປະເທດ ຄັ້ງທີ IX, ດ້ວຍຫົວຂໍ້ “ຂໍຖະຫວາຍດອກໄມ້ທີ່ຫອມຫວນຕໍ່ລຸງໂຮ່ ເພື່ອຍ້ອງຍໍຊົມເຊີຍຜົນງານຂອງບັນດາຫຼານຄໍາຮູ້ຂອງລຸງໂຮ່ ທີ່ດີເດັ່ນ ໄລຍະ 2015-2020 ໃນການປະຕິບັດຂະບວນການ “ເຍົາວະຊົນ-ອະນຸຊົນຫວຽດນາມ ແຂ່ງຂັນກັນປະຕິບັດຕາມຄໍາສັ່ງສອນ 5 ຂໍ້ຂອງລຸງໂຮ່.	Đây là sự kiện quan trọng nhất trong khuôn khổ Đại hội Cháu ngoan Bác Hồ toàn quốc lần thứ IX với chủ đề “Dâng hoa dâng Bác biểu dương thành tích xuất sắc của Cháu ngoan Bác Hồ giai đoạn 2015-2020 trong thực hiện“ Năm Tuổi-Trẻ-Việt Nam ”
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ພິທີ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngên phát biểu tại buổi lễ.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ສະແດງຄວາມປາດຖະໜາວ່າ ເຍົາວະຊົນ-ອະນຸຊົນໃນທົ່ວປະເທດ ມີຄວາມເອກອ້າງທະນົງໃຈ ແລະສືບຕໍ່ບາດກ້າວເດີນຂອງລຸ້ນພໍ່ລຸ້ນອ້າຍ, ເສີມຂະຫຍາຍມູນເຊື້ອອັນດີງາມຂອງຊາດ, ຕັ້ງໜ້າປະຕິບັດຕາມຄໍາສັ່ງສອນ 5 ຂໍ້ຂອງລຸງໂຮ່ ໃຫ້ເປັນຢ່າງດີ;	Phát biểu tại buổi lễ, bà Nguyễn Thị Kim Ngưng bày tỏ mong muốn tuổi trẻ cả nước tự hào, tiếp bước các bậc cha anh, anh chị đi trước, củng cố di sản cao quý của dân tộc, phấn đấu làm theo lời Bác. năm giới.
ຫ້າວຫັນເຂົ້າຮ່ວມບັນດາຂະບວນການຂອງການຈັດຕັ້ງເຍົາວະຊົນ ແລະບັນດາການເຄື່ອນໄຫວສັງຄົມທີ່ສອດຄ່ອງກັບເກນອາຍຸ;	Tích cực tham gia vào quá trình tổ chức của thanh niên và các hoạt động xã hội phù hợp với lứa tuổi;
ຮູ້ແບ່ງປັນ, ຊ່ວຍເຫຼືອໝູ່ເພື່ອນທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ໂດຍສະເພາະແມ່ນພວກເພື່ອນຢູ່ເຂດພູດອຍ, ທະເລໝູ່ເກາະ, ເຂດຊົນເຜົ່າສ່ວນໜ້ອຍ ແລະບັນດາບ່ອນທີ່ໄດ້ຮັບຜົນສະທ້ອນອັນໜັກໜ່ວງຈາກໄພພິບັດທາງທໍາມະຊາດ...	Chia sẻ, giúp đỡ bạn bè có hoàn cảnh khó khăn, nhất là những vùng núi, vùng biển, đảo, vùng bộ tộc, vùng bị thiên tai ...
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່.	Bà Nguyễn Thị Kim Ngên và các đại biểu tham dự Đại hội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ສະເໜີໃຫ້ຄະນະພັກ, ອໍານາດການປົກຄອງທຸກຂັ້ນ, ບັນດາຄະນະ, ກະຊວງ, ຂະແໜງການ, ອົງການຈັດຕັ້ງມະຫາຊົນ ແລະທົ່ວສັງຄົມຈົ່ງເອົາໃຈໃສ່ກວ່າອີກເຖິງວຽກງານປົກປ້ອງ, ເບິ່ງແຍງດູແລ, ສຶກສາອົບຮົມໄວໜຸ່ມ, ເຍົາວະຊົນ-ອະນຸຊົນ, ໂດຍສະເພາະແມ່ນສໍາລັບເຍົາວະຊົນທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ຢູ່ເຂດຫ່າງໄກສອກຫຼີກ, ເຂດທຸລະກັນດານ, ເຂດປະສົບກັບຄວາມຫຍຸ້ງຍາກພິເສດ, ເຂດໄດ້ຮັບຜົນສະທ້ອນຈາກໄພພິບັດທາງທໍາມະຊາດຢ່າງເປັນປະຈໍາ...	(VOVworld) - Quốc hội kêu gọi các cấp, các ngành, các bộ, ban, ngành, đoàn thể và đông đảo công chúng quan tâm hơn nữa đến công tác bảo vệ, chăm sóc và giáo dục thanh thiếu niên, nhất là vùng sâu, vùng xa. khu vực.
ທີ່ກອງປະຊຸມໃຫຍ່, ຄະນະຈັດຕັ້ງໄດ້ຍ້ອງຍໍຊົມເຊີຍ, ມອບໃບຢັ້ງຢືນໃຫ້ພວກຫຼານເຍົາວະຊົນ-ອະນຸຊົນທີ່ມີຜົນງານດີເດັ່ນຈໍານວນ 63 ຄົນ (ໃນຈໍານວນ 344 ຄົນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່), ຕາງໜ້າໃຫ້ 63 ແຂວງ, ນະຄອນໃນທົ່ວປະເທດ.	Tại Tổng hội, Ban tổ chức đã tuyên dương và tặng giấy chứng nhận cho 63 thanh niên tiêu biểu (trong tổng số 344 bạn tham dự Đại hội), đại diện cho 63 tỉnh, thành phố trên cả nước.
ເນື່ອງໃນໂອກາດນີ້, ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ໄດ້ເຂົ້າຮ່ວມການບໍລິຈາກເງິນເພື່ອຊ່ວຍເຫຼືອພໍ່ແມ່ປະຊາຊົນຢູ່ເຂດພາກກາງທີ່ໄດ້ຮັບຜົນສະທ້ອນຈາກໄພນໍ້າຖ້ວມທີ່ຜ່ານມາ.	Nhân dịp này, các đại biểu tham dự Tổng hội đã quyên góp ủng hộ các bậc phụ huynh học sinh miền Trung bị ảnh hưởng bởi đợt lũ lụt vừa qua.
