ກປ.ອອນໄລ - ກິດຈະກໍາມີ 2 ຊັ້ນດ້ວຍ 8 ຫ້ອງຄື: ຫ້ອງຄອມພິວເຕີ, ຫ້ອງອະທິການບໍດີ...	KP Online - Sự kiện có quy mô 2 tầng với 8 phòng: Phòng máy tính, Văn phòng Chủ tịch ...
ຄຽງຂ້າງກິດຈະກໍາກໍ່ສ້າງໂຮງຮຽນແລ້ວ, Viettel ກໍ່ອຸປະຖໍາຄອມພິວເຕີຕັ້ງໂຕະ 40 ຊຸດ, ໂນດບຸກ 2 ໜ່ວຍ, ຕັ່ງ, ໂຕະ...	Ngoài hoạt động xây dựng trường học, Viettel còn trao tặng 40 bộ máy vi tính để bàn, 2 máy tính xách tay, ghế, bàn ...
ກິດຈະກໍາໂດຍກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ Viettel ອຸປະຖໍາມີມູນຄ່າກວ່າ 6 ຕື້ດົ່ງ...	Hoạt động do Tập đoàn Viễn thông Quân đội Viettel tài trợ trị giá hơn 6 tỷ đồng ...
ວັນທີ 2 ເມສາ, ທີ່ໂຮງຮຽນມັດທະຍົມຕອນຕົ້ນ ຢໍ໋ມາຍ (ແຂວງ ກວາງຈິ), ຂະແໜງສຶກສາແຂວງ ກວາງຈິ ໄດ້ສົມທົບກັບກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ Viettel ຈັດຕັ້ງພິທີເປີດນຳໃຊ້ອາຄານປະສົມ.	Ngày 2/4, tại trường THCS Yomai (tỉnh Quảng Tây), Sở Giáo dục tỉnh Quảng Tây và Tập đoàn Viễn thông Quân đội Viettel đã tổ chức lễ khởi công.
ທ່ານພົນຈັດຕະວາ ເລດັງຢູ໋ງ, ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ Viettel;	Trung tướng Lê Đăng Dũng, Phó Tổng Giám đốc Tập đoàn Viễn thông Quân đội Viettel;
ທ່ານ ມາຍທຶກ, ຮອງປະທານຄະນະກໍາມະການປະຊາຊົນ ແຂວງ ກວາງຈິ ເຂົ້າຮ່ວມພິທີ.	Đồng chí Mai Túc, Phó Chủ tịch UBND tỉnh Quảng Chí đã đến dự.
ກິດຈະກໍາມີ 2 ຊັ້ນດ້ວຍ 8 ຫ້ອງຄື: ຫ້ອງຄອມພິວເຕີ, ຫ້ອງອະທິການບໍດີ...	Sự kiện có 2 tầng với 8 phòng: Phòng máy tính, phòng Tổng thống ...
ຄຽງຂ້າງກິດຈະກໍາກໍ່ສ້າງໂຮງຮຽນແລ້ວ, Viettel ກໍ່ອຸປະຖໍາຄອມພິວເຕີຕັ້ງໂຕະ 40 ຊຸດ, ໂນດບຸກ 2 ໜ່ວຍ, ຕັ່ງ, ໂຕະ...	Ngoài hoạt động xây dựng trường học, Viettel còn trao tặng 40 bộ máy vi tính để bàn, 2 máy tính xách tay, ghế, bàn ...
ກິດຈະກໍາໂດຍກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ Viettel ອຸປະຖໍາມີມູນຄ່າກວ່າ 6 ຕື້ດົ່ງ.	Hoạt động do Tập đoàn Viễn thông Quân đội Viettel tài trợ trị giá hơn 6 tỷ đồng.
ບັນດາຜູ້ແທນຕັດແຖບຜ້າເປີດນຳໃຊ້ອາຄານປະສົມໂຮງຮຽນມັດທະຍົມຕອນຕົ້ນ ຢໍ໋ມາຍ.	Các đại biểu cắt băng khai trương khuôn viên trường THCS Yếm Mai.
ພາບ: ເຈື່ອງລືວ	Ảnh: Trường Lưu
ກ່າວຄໍາເຫັນທີ່ພິທີເປີດນຳໃຊ້, ທ່ານພົນຈັດຕະວາ ເລດັງຢູ໋ງ ເນັ້ນໜັກວ່າ, ກິດຈະກໍາໄດ້ປະຕິບັດບົນພື້ນຖານທິດສະດີປັດຊະຍາ “ດໍາເນີນທຸລະກິດຕິດພັນກັບຄວາມຮັບຜິດຊອບທາງສັງຄົມຂອງກຸ່ມບໍລິສັດ.	Phát biểu tại lễ khai mạc, Trung tướng Lê Đăng Dũng nhấn mạnh, các hoạt động được thực hiện trên cơ sở triết lý “kinh doanh gắn với trách nhiệm xã hội của doanh nghiệp”.
ໃນຊຸມປີຜ່ານມາ, Viettel ຍາມໃດກໍ່ຮ່ວມເດີນທາງພ້ອມກັບແຂວງກວາງຈິ ໃນບັນດາໂຄງການສະຫວັດດີການສັງຄົມ, ສາທາລະນະສຸກ, ການສຶກສາ.	Trong thời gian qua, Viettel luôn đồng hành cùng Quảng Chí trong các chương trình phúc lợi xã hội, y tế, giáo dục.
ກິດຈະກໍາແມ່ນຂອງຂວັນແຫ່ງສາຍຈິດມິດໃຈ ເຊິ່ງ Viettel ມອບໃຫ້ທ້ອງຖິ່ນ ແລະບໍ່ພຽງແຕ່ຮັບໃຊ້ແກ່ການຮໍ່າຮຽນເທົ່ານັ້ນ ຫາກຍັງຊ່ວຍປະຊາຊົນຫຼົບຫຼີກພາຍຸອີກດ້ວຍ...	Sự kiện là món quà nghĩa tình mà Viettel dành tặng cho địa phương, không chỉ phục vụ các em học sinh mà còn giúp người dân tránh bão ...
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
