ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ Li Zhanshu ປະທານສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຈະນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ຢ້ຽມຢາມ ສປ ຈີນ ຢ່າງເປັນທາງການໃນລະຫວ່າງວັນທີ 8 -12 ກໍລະກົດ 2019.	Lời mời của công tố viên Li Zhanshu mời Quốc hội Quốc hội đến thăm Quốc hội Quốc hội của Quốc hội
ການພົວພັນສອງຝ່າຍພັດທະນາເປັນປົກກະຕິ, ປອດໃສ	Quan hệ song phương thường được phát triển, cư dân
ຫວຽດນາມ-ຈີນ ສ້າງຕັ້ງການພົວພັນທາງການທູດໃນວັນທີ 18 ມັງກອນ 1950.	Việt Nam - Trung Quốc thiết lập quan hệ ngoại giao vào tháng 1 năm 1855.
ສອງຝ່າຍຮັກສາບັນດາການຢ້ຽມຢາມ ແລະການພົບປະຂັ້ນສູງເປັນປະຈຳ.	Hai bên tiếp tục thăm khách và thường xuyên.
ພິເສດປີ 2015 ແລະ 2017, ເລຂາທິການໃຫຍ່ສອງພັກໄດ້ມີການຢ້ຽມຢາມປະຫວັດສາດໃນປີດຽວກັນ.	Đặc biệt 2015 và 2017, hai thư ký của Bộ trưởng Hai năm đã đến thăm cùng một năm.
ເລື່ອງຮັກສາການແລກປ່ຽນ, ການພົບປະລະຫວ່າງການນໍາຂັ້ນສູງສອງປະເທດມີຄວາມໝາຍສໍາຄັນທີ່ສຸດ ແນໃສ່ເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ, ຊີ້ນໍາແກ້ໄຂບັນດາບັນຫາທີ່ຍັງຄົງຄ້າງ, ເກີດຂຶ້ນ, ຊຸກຍູ້ການພົວພັນສອງປະເທດໃຫ້ພັດທະນາເປັນປົກກະຕິ, ຍືນຍົງ.	Hai câu chuyện lãnh đạo lớn có khả năng lãnh đạo quan trọng nhất nhằm mục đích ngày càng thuận tiện, thuận tiện, hỗ trợ hai quốc gia để phát triển thường xuyên.
ໃນປີ 2018, ສອງປະເທດໄດ້ແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນໄປມາຢ້ຽມຢາມເຊິ່ງກັນ ແລະກັນ ແນໃສ່ຊຸກຍູ້ການຮ່ວມມືຢ່າງແທດຈິງລະຫວ່າງສອງຝ່າຍ.	Năm 2018, hai nước đã trao đổi tất cả các đoàn để ghé thăm giống nhau và khuyến khích một thỏa thuận hợp tác thực sự giữa hai bên.
ເດືອນເມສາ 2019 ຜ່ານມາ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຂົ້າຮ່ວມເວທີປາໄສຂັ້ນສູງການຮ່ວມມືສາກົນ “ໜຶ່ງແລວທາງ ແລະໜຶ່ງເສັ້ນທາງ ຢູ່ ຈີນ.	Tháng 4 năm 2019 Quá khứ, Thủ tướng Nguyễn Phú Tấn Phúc đã tham dự Nền tảng an ninh quốc tế "One Corridor và một con đường tại Trung Quốc.
ທີ່ການພົບປະຕ່າງໆ, ການນໍາຂັ້ນສູງສອງປະເທດລ້ວນແຕ່ຢືນຢັນວ່າ, ຈະມານະພະຍາຍາມນໍາການພົວພັນສອງປະເທດໃຫ້ພັດທະນາເຂົ້າສູ່ລວງເລິກ;	Tại các cuộc họp, hai nhập khẩu cao được xác nhận, sẽ đang cố gắng mang lại mối quan hệ hai quốc gia để phát triển sâu sắc;
ສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນໃນພາລະກິດປ່ຽນແປງໃໝ່, ປະຕິຮູບເປີດປະຕູ ແລະສ້າງສາລັດທິສັງຄົມນິຍົມຢູ່ແຕ່ລະປະເທດ.	Hỗ trợ lẫn nhau trong nhiệm vụ mới, cải cách cửa và xây dựng chủ nghĩa xã hội ở mỗi quốc gia.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Nguyễn Nguyễn Nguyên Nguyễn Nguyễn Nguyên Nguyễn Nguyễn Thập Nguyễn Nguyên Trong Quốc hội Nguyễn Thánh Đại hội nhỏ
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ການຮ່ວມມືດ້ານເສດຖະກິດ-ການຄ້າ ແມ່ນຈຸດພົ້ນເດັ່ນ	Hợp tác kinh tế - Thương mại đang nổi lên
