ກປ.ອອນໄລ - ກຸງເກົ່າເຫວ້ - ດິນແດນແຫ່ງກາບກອນ, ວິຫານບູຊາ, ສຸສານ, ແຫ່ງທີ່ລວບລວມບັນດາເລື່ອງລາວປະຫວັດສາດ.	KP Online - Cố đô Huế - Vùng đất của những bài thơ, đền đài, nghĩa trang, Tuyển tập những câu chuyện lịch sử
ມາຮອດປະຈຸບັນ, ເຖິງວ່າໄດ້ຜ່ານການຜັນແປບໍ່ຈັກວ່າເທົ່າໃດຂອງປະຫວັດສາດ, ແຕ່ເຫວ້ ຍັງຄົງຮັກສາໄດ້ສະຖາປັດຕະຍະກຳຂອງກຸງເກົ່າ ຢູ່, ດ້ວຍກິດຈະກໍາສິລະປະທີ່ດີເລີດ, ອຸດົມສົມບູນ ແລະເຂັ້ມຂຸ້ນໄປດ້ວຍສີສັນທີ່ເປັນມູນເຊື້ອຂອງຊາດ.	Đến nay, Huế vẫn giữ được nhiều kiến trúc cổ, mặc dù có bề dày lịch sử và nhiều hoạt động văn hóa phong phú.
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ພາບ: ຫວູມິງດຶກ-ຮ່າໂນ້ຍ.	Ảnh: Vũ Minh Đức - Hà Nội
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
