ກປ.ອອນໄລ - ວັນທີ 4 ພຶດສະພາ, ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ Ilham Aliyev ປະທານາທິບໍດີແຫ່ງ ສ.	KR Online - Ngày 4/5, theo lời mời của Ilham Aliyev, Tổng thống Cộng hòa Israel.
ອາແຊັກບາຍຢານ, ປະທານຂະບວນການບໍ່ຮ່ວມກຸ່ມ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດທາງໄກຂອງຂະບວນການບໍ່ຮ່ວມກຸ່ມດ້ວຍຫົວຂໍ້ “ສາມັກຄີຮັບມືກັບເຊື້ອພະຍາດໂຄວິດ-19.	Azerbaijan, Chủ tịch Phong trào Không liên kết (NLP)
ເຂົ້າຮ່ວມ ແລະແລກປ່ຽນທີ່ກອງປະຊຸມທາງໄກມີປະມຸກລັດຂອງ 40 ປະເທດສະມາຊິກຂະບວນການບໍ່ຮ່ວມກຸ່ມ, ຜູ້ຕາງໜ້າໃຫ້ບັນດາພາກພື້ນໃນໂລກ.	Được tham dự và trao đổi tại hội nghị từ xa với các nguyên thủ quốc gia của 40 quốc gia thành viên của Phong trào Không liên kết, đại diện cho các khu vực trên thế giới.
ປະທານສະມັດຊາໃຫຍ່ສະຫະປະຊາຊາດ, ເລຂາທິການໃຫຍ່ສະຫະປະຊາຊາດ, ຜູ້ອຳນວຍການໃຫຍ່ອົງການອະນາໄມໂລກ (WHO) ກໍ່ໄດ້ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Chủ tịch Đại hội đồng Liên hợp quốc, Tổng thư ký Liên hợp quốc, Tổng giám đốc Tổ chức Y tế thế giới (WHO) cũng đã tham dự và phát biểu chỉ đạo cuộc họp.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດທາງໄກຂອງຂະບວນການບໍ່ຮ່ວມກຸ່ມ.	Thủ tướng Nguyễn Xuân Phúc dự Hội nghị Cấp cao Phong trào Không liên kết
ພາບ: baochinhphu.vn.	Ảnh: baochinhphu.vn.
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ຫງວຽນຊວນຟຸກ ຮຽກຮ້ອງໃຫ້ບັນດາປະເທດບໍ່ຮ່ວມກຸ່ມເພີ່ມທະວີການຮ່ວມມື, ແບ່ງປັນບົດຮຽນໃນທຸກລະດັບ ແລະຂົງເຂດ;	Phát biểu tại cuộc họp, ông Nguyễn Xuân Phúc kêu gọi các nước không liên kết tăng cường hợp tác và chia sẻ bài học ở tất cả các cấp và khu vực.
ມີຍຸດທະສາດທີ່ມີປະສິດທິຜົນ ເພື່ອປະຕິບັດທັງສອງເປົ້າໝາຍແມ່ນຄວບຄຸມໂລກລະບາດ ແລະພັດທະນາເສດຖະກິດ, ຮັບປະກັນຊີວິດສັງຄົມ;	Có chiến lược hiệu quả để thực hiện hai mục tiêu kiểm soát dịch bệnh và phát triển kinh tế, bảo đảm an sinh xã hội;
ສະໜັບສະໜູນການເພີ່ມທະວີລັດທິຫຼາຍຝ່າຍ, ສາມັກຄີສາກົນ ແລະຢຶດໝັ້ນ, ປະຕິບັດບັນດາຄຳໝັ້ນສັນຍາຫຼາຍຝ່າຍຫຼັກແຫຼ່ງສຳຄັນ.	Ủng hộ tăng cường chủ nghĩa đa phương, đoàn kết và tuân thủ quốc tế và thực hiện các hiệp định đa phương quan trọng.
ຕາມທ່ານ ຫງວຽນຊວນຟຸກ ແລ້ວ, ຂະບວນການບໍ່ຮ່ວມກຸ່ມຄວນສືບຕໍ່ສວມບົດບາດນຳໜ້າໃນການຊຸກຍູ້ການເຄົາລົບກົດໝາຍ ແລະຫັນການພົວພັນສາກົນເປັນປະຊາທິປະໄຕ ແລະຊຸກຍູ້ການຍົກເລີກບັນດາມາດຕະການລົງໂທດ, ຄຳສັ່ງຂວ້ຳບາດຕາມລຳພັງຝ່າຍດຽວ, ຕອບສະໜອງຄຳຮຽກຮ້ອງຢຸດຍິງທົ່ວໂລກຂອງທ່ານເລຂາທິການໃຫຍ່ສະຫະປະຊາຊາດ ເພື່ອຮັກສາສະພາບແວດລ້ອມສາກົນສັນຕິພາບ, ສະຖຽນລະພາບ.	Theo ông Nguyễn Xuân Phúc, Phong trào Không liên kết cần tiếp tục đóng vai trò hàng đầu trong việc thúc đẩy tôn trọng pháp quyền và dân chủ hóa quan hệ quốc tế, dỡ bỏ các lệnh trừng phạt, đơn phương kêu gọi ngừng bắn và phản ứng lại lời kêu gọi. cho một lệnh ngừng bắn trên toàn cầu.
ທ່ານ ຫງວຽນຊວນຟຸກ ກໍ່ແບ່ງປັນບັນດາໝາກຜົນຕັ້ງໜ້າຂອງຫວຽດນາມ ໃນວຽກງານປ້ອງກັນ, ຕ້ານໂລກລະບາດທີ່ໄດ້ມາຈາກການຮ່ວມແຮງຮ່ວມໃຈ ແລະເຂົ້າຮ່ວມຂອງທົ່ວລະບົບການເມືອງ ແລະສັງຄົມຕາມທິດນຳ “ຕ້ານໂລກລະບາດຄືຕ້ານສັດຕູ ;	Ông Nguyễn Xuân Phúc cũng chia sẻ những đóng góp của Việt Nam trong công tác phòng, chống dịch bệnh là nhờ sự chung sức, chung lòng của cả hệ thống chính trị - xã hội theo hướng “đánh dịch là đánh giặc;
