ກປ.ອອນໄລ - ເຂົ້າຕົ້ົ້ມແຕັດ (ເປັນຮູບກົມຍາວ), ເຊິ່ງແມ່ນເຂົ້າຕົ້ມທີ່ເປັນເອກະລັກສະເພາະໃນໂອກາດບຸນເຕັດຂອງຊາວພາກໃຕ້...	KPR Online - Cơm tấm (hình tròn dài) vốn là loại cơm độc đáo của người dân miền nam ...
ກ່ອນຈະຕ້ອນຮັບປີໃໝ່ປີຈໍ 2018, ໃນຂອບເຂດງານບຸນດອກໄມ້ ລະດູບານໃໝ່, ຄະນະກໍາມະການປະຊາຊົນເມືອງ 12 ໄດ້ຈັດຕັ້ງງານແຂ່ງຂັນຫໍ່ເຂົ້າຕົ້ົ້ມແຕັດ (ເປັນຮູບກົມຍາວ), ເຊິ່ງແມ່ນເຂົ້າຕົ້ມທີ່ເປັນເອກະລັກສະເພາະໃນໂອກາດບຸນເຕັດຂອງຊາວພາກໃຕ້.	Trước thềm chào đón năm mới 2018, trong khuôn khổ Hội hoa xuân, UBND quận 12 đã tổ chức hội thi gói cơm (vòng dài), thổi cơm lam độc đáo chỉ có trong ngày Tết của người dân miền Nam.
ພ້ອມກັບບັນດາຕາແສງ, ຄະນະ, ຂະແໜງການຢູ່ເມືອງ, ບັນດາກົມກອງກໍາລັງ ປະກອບອາວຸດໃນບໍລິເວນກໍ່ເຂົ້າຮ່ວມງານແຂ່ງຂັນ, ທັງພົບປະແລກປ່ຽນຮໍ່າຮຽນເອົາບົດຮຽນ, ທັງຍົກສູງທັກສະ ເພື່ອປະກອບສ່ວນເຮັດໃຫ້ຊີວິດດ້ານຈິດໃຈ ແລະວັດຖຸຂອງທະຫານໃນຊຸມວັນຕ້ອນຮັບປີໃໝ່ຢ່າງອຸດົມສົມບູນຍິ່ງຂຶ້ນ.	Cùng với các xã, quân đoàn, bảo vệ dân phố, các đơn vị lực lượng vũ trang trên địa bàn cũng tham gia hội thi vừa là nơi gặp gỡ, trao đổi rút kinh nghiệm, vừa nâng cao tay nghề góp phần làm phong phú đời sống vật chất tinh thần của cán bộ chiến sĩ ngày Tết. Đêm.
ບັນດາພະນັກງານ, ນັກຮົບເຂົ້າຮ່ວມງານແຂ່ງຂັນລ້ວນແຕ່ມີຝີມືດີ, ຍາດໄດ້ລາງວັນສູງໃນງານແຂ່ງຂັນ...	Các cán bộ, chiến sĩ tham gia hội thi đều rất giỏi nghề và đạt giải cao trong hội thi ...
ມູນໜຶ່ງໃນງານແຂ່ງຂັນຫໍ່ເຂົ້າຕົ້ມແຕັດ.	Trả giá cho bánh bao gạo.
ພາບ: ຊວນເກື່ອງ	Ảnh: Xuân Cường
ທີມແຂ່ງຂັນກອງບັນຊາການທະຫານເມືອງ 12 ຫໍ່ເຂົ້າຕົ້ມແຕັດ.	Đội thi Ban chỉ huy quân sự Quận 12 thi gói cơm lam.
ພາບ: ຊວນເກື່ອງ	Ảnh: Xuân Cường
ຕັ້ງທັບຢູ່ບໍລິເວນເມືອງ, ພະນັກງານ, ນັກຮົບກອງພັນໃຫຍ່ 276, ກອງພົນປ້ອງກັນອາກາດ 367, ໄດ້ເຂົ້າຮ່ວມງານແຂ່ງຂັນ 3 ເທື່ອແລ້ວ.	Đóng trên địa bàn thành phố, cán bộ, chiến sĩ Tiểu đoàn 276, Lữ đoàn Phòng không 367, đã 3 lần tham gia hội thi.
ພາບ: ຊວນເກື່ອງ	Ảnh: Xuân Cường
ພາຍຫຼັງງານແຂ່ງຂັນຈະມອບເຂົ້າຕົ້ມແຕັດທັງໝົດໃຫ້ບັນດາຄອບຄົວທຸກຍາກ, ປະສົບຄວາມຫຍຸ້ງຍາກໃນບໍລິເວນ.	Sau cuộc thi, phần cơm luộc sẽ được trao cho tất cả các gia đình nghèo trên địa bàn.
ພາບ: ຊວນເກື່ອງ	Ảnh: Xuân Cường
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
