ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 9 ມີນາ, ທີ່ຮ່າໂນ້ຍ, ກອງປະຊຸມເທື່ອທີ 2, ຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII ໄດ້ຈັດວາລະອັດກອງປະຊຸມ;	Sáng 9/3, tại Hà Nội, Hội nghị lần thứ 2 Ban Chấp hành Trung ương Đảng khóa XIII họp phiên bế mạc.
ປະຕິບັດສໍາເລັດທຸກເນື້ອໃນ, ລາຍການທີ່ວາງອອກ.	Hoàn thành tất cả nội dung, đề ra các hạng mục.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ເປັນປະທານກອງປະຊຸມ ແລະມີບົດກ່າວປາໄສອັດກອງປະຊຸມທີ່ສຳຄັນ.	Tổng Bí thư Nguyễn Phú Trọng chủ trì buổi làm việc và có bài phát biểu chỉ đạo.
ກ່ອນໜ້ານັ້ນ, ທ່ານ ເວືອງດິ່ງເຫວ້, ກໍາມະການກົມການເມືອງ, ເລຂາພັກນະຄອນຮ່າໂນ້ຍ ໄດ້ຕາງໜ້າກົມການເມືອງ ຂຶ້ນອ່ານບົດລາຍງານຮັບເອົາ ແລະອະພິປາຍຂອງກົມການເມືອງກ່ຽວກັບຄໍາເຫັນຂອງສູນກາງທີ່ປະກອບໃສ່ລາຍການເຮັດວຽກຂອງຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII.	Trước đó, ông Vương Đình Huệ, Ủy viên Ban Chính trị, Bí thư Thành ủy Hà Nội đã đọc tờ trình của Bộ Chính trị về Ban Chấp hành Trung ương Đảng khóa XIII.
ທ່ານ ຟ້າມມິງຈິ໊ງ ກໍາມະການກົມການເມືອງ, ຫົວໜ້າຄະນະຈັດຕັ້ງສູນກາງ ໄດ້ຕາງໜ້າກົມການເມືອງ ຂຶ້ນອ່ານບົດລາຍງານຮັບເອົາ, ອະພິປາຍຂອງກົມການເມືອງ ກ່ຽວກັບຄໍາເຫັນຂອງສູນກາງ ກ່ຽວກັບການປັບປຸງບຸກຄະລາກອນທີ່ດໍາລົງຕໍາແໜ່ງການນໍາອົງການຂອງລັດ ຊຸດທີ XIV, ອາຍຸການ 2016-2021;	Đồng chí Phạm Minh Cảnh, Ủy viên Ban Chính trị, Trưởng Ban Tổ chức Trung ương thay mặt Cục Chính trị đọc báo cáo của Cục Chính trị về ý kiến của Trung ương về việc hoàn thiện nhân sự lãnh đạo của cơ quan lập pháp thứ 14, 2016-2021;
ຊຸດທີ XV, ອາຍຸການ 2021-2026.	Dòng XV, độ tuổi 2021-2026.
ບັນຍາກາດອັດກອງປະຊຸມເທື່ອທີ 2, ຄະນະບໍລິຫານງານສູນກາງພັກສະໄໝທີ XIII.	Khí thế bế mạc Hội nghị lần thứ hai Ban Chấp hành Trung ương Đảng khóa XIII.
ພາບ: nhandan.com.vn	Ảnh: nhandan.com.vn
ຄະນະບໍລິຫານງານສູນກາງພັກ ໄດ້ປ່ອນບັດລົງຄະແນນສຽງກ່ຽວກັບການສະເໜີບຸກຄະລາກອນດໍາລົງຕໍາແໜ່ງປະທານປະເທດ, ນາຍົກລັດຖະມົນຕີ ແລະປະທານສະພາແຫ່ງຊາດ ຊຸດທີ XIV, ອາຍຸການ 2016-2021;	Ban Chấp hành Trung ương Đảng Cộng sản Trung Quốc (CPC) đã bỏ phiếu về việc tuyển chọn các ứng cử viên bầu giữ chức vụ Chủ tịch nước, Thủ tướng Chính phủ và Chủ tịch Quốc hội khóa 14, nhiệm kỳ 2016-2021;
ຊຸດທີ XV, ອາຍຸການ 2021-2026.	Dòng XV, độ tuổi 2021-2026.
ຄະນະບໍລິຫານງານສູນກາງພັກ ໄດ້ປ່ອນບັດສະເໜີບຸກຄະລາກອນດໍາລົງຕໍາແໜ່ງການນໍາອົງການຂອງລັດ ຊຸດທີ XIV, ອາຍຸການ 2016-2021;	Ủy ban Trung ương Đảng Cộng sản Trung Quốc (CPC) đã bỏ phiếu bầu Đại hội Đại biểu Nhân dân Toàn quốc (NPC) lần thứ 14 nhiệm kỳ 2016-2021;
ຊຸດທີ XV, ອາຍຸການ 2021-2026.	Dòng XV, độ tuổi 2021-2026.
ຫຼັງຈາກນັ້ນ, ທ່ານ ຫງວຽນຊວນຟຸກ, ກໍາມະການກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີ ໄດ້ເປັນປະທານກອງປະຊຸມ.	Sau đó, đồng chí Nguyễn Xuân Phúc, Ủy viên Bộ Chính trị, Thủ tướng Chính phủ chủ trì cuộc họp.
ຄະນະບໍລິຫານງານສູນກາງພັກ ໄດ້ລົງຄະແນນສຽງຮັບຮອງເອົາມະຕິກອງປະຊຸມເທື່ອທີ 2 ຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII.	Ban Chấp hành Trung ương Đảng Cộng sản Trung Quốc (CPC) đã thông qua các nghị quyết của Hội nghị lần thứ hai Ban Chấp hành Trung ương khóa 13.
ໂດຍ: ກວຽດເຕິມ.	Bởi: Việt Full.
