ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 14 ສິງຫາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Abe Shuichi ເຈົ້າແຂວງ Nagano (ຍີ່ປຸ່ນ).	Chiều 14/8, Thủ tướng Nguyễn Xuân Phúc tiếp Thống đốc tỉnh Nagano Abe Shuichi tại Phủ Thủ tướng.
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດທີ່ເລິກເຊິ່ງກວ້າງຂວາງລະຫວ່າງຫວຽດນາມ-ຍີ່ປຸ່ນ ພັດທະນາຢ່າງແຮງໃນຫຼາຍຂົງເຂດ, ບໍ່ພຽງແຕ່ຢູ່ຂັ້ນສູນກາງເທົ່ານັ້ນຫາກຍັງຢູ່ໃນທ້ອງຖິ່ນອີກດ້ວຍ.	Tại buổi tiếp, ông Nguyễn Xuân Phúc nêu rõ quan hệ Đối tác chiến lược sâu rộng và toàn diện Việt Nam - Nhật Bản đang phát triển mạnh mẽ trên nhiều lĩnh vực, không chỉ ở cấp Trung ương mà còn ở cấp địa phương.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມປິຕິຊົມຊື່ນເພາະວ່າກະຊວງແຮງງານ-ທະຫານເສຍອົງຄະ ແລະສັງຄົມຫວຽດນາມ ແລະແຂວງ Nagano ໄດ້ລົງນາມໃນຂໍ້ຕົກລົງການຮ່ວມມືກ່ຽວກັບນັກເຝິກງານ.	Nguyễn Xuân Phúc vui mừng khi Bộ LĐ-TB & XH Việt Nam và tỉnh Nagano đã ký kết hợp tác về thực tập.
ທ່ານ Abe Shuichi ໃຫ້ຮູ້ວ່າແຂວງ Nagano ໄດ້ລົງນາມໃນຂໍ້ຕົກລົງການຮ່ວມມືວ່າດ້ວຍແຮງງານ, ຮັບເອົານັກເຝິກງານຫວຽດນາມ ກັບກະຊວງແຮງງານ-ທະຫານເສຍອົງຄະ ແລະສັງຄົມຫວຽດນາມ ແມ່ນບາດກ້າວໃໝ່ໃນການຮ່ວມມືສອງຝ່າຍ.	Theo ông Abe Shuichi, việc tỉnh Nagano ký kết thỏa thuận hợp tác lao động và tuyển dụng thực tập sinh Việt Nam với Bộ LĐ-TB & XH Việt Nam là một bước tiến mới trong quan hệ hợp tác song phương.
ແຂວງ Nagano ປາດຖະໜາຢາກຮັບເອົານັກເຝິກງານຫວຽດນາມ ໃຫ້ຫຼາຍກວ່າອີກ;	Tỉnh Nagano tìm cách tuyển thêm thực tập sinh Việt Nam;
ໃຫ້ຄໍາໝັ້ນສັນຍາສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ນັກເຝິກງານຫວຽດນາມ.	Hứa sẽ tạo mọi điều kiện thuận lợi cho thực tập sinh Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ Abe Shuichi ເຈົ້າແຂວງ Nagano (ຍີ່ປຸ່ນ).	Thủ tướng Nguyễn Xuân Phúc tiếp Thống đốc tỉnh Nagano Abe Shuichi (Nhật Bản).
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມເຫັນດີເປັນເອກະພາບຕໍ່ກັບບັນດາຄໍາຄິດເຫັນຂອງທ່ານ Abe Shuichi.	Nguyễn Xuân Phúc nhất trí với ý kiến của Abe Shuichi.
ທ່ານ ຫງວຽນຊວນຟຸກ ຖືວ່າໃນສະພາບການພົວພັນລະຫວ່າງສອງປະເທດທີ່ມີການພັດທະນາຢ່າງດີງາມນັ້ນ, ບັນດາຂະແໜງການ, ທ້ອງຖິ່ນສອງປະເທດກໍາລັງເພີ່ມທະວີການຮ່ວມມື, ເປີດສາຍການບິນຫຼາຍສາຍລະຫວ່າງສອງປະເທດ, ຜ່ານນັ້ນຊຸກຍູ້ການຮ່ວມມືພົບປະແລກປ່ຽນໃນຫຼາຍດ້ານ.	Nguyễn Xuân Phúc cho rằng trong bối cảnh quan hệ hai nước đang phát triển tốt đẹp, chính quyền địa phương hai nước đang đẩy mạnh hợp tác, mở thêm các hãng hàng không giữa hai nước, từ đó thúc đẩy giao lưu nhiều mặt.
ກ່ຽວກັບການຮ່ວມມືດ້ານກະສິກໍາ, ທ່ານ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າແຂວງ Nagano ມີທ່າແຮງດ້ານກະສິກໍາເຕັກໂນໂລຢີສູງ, ສະນັ້ນ, ຫວຽດນາມ ປາດຖະໜາຢາກຮ່ວມມືຢ່າງແຮງກັບແຂວງ Nagano ໃນຂົງເຂດນີ້.	Về hợp tác nông nghiệp, ông Nguyễn Xuân Phúc chỉ rõ tỉnh Nagano có nhiều tiềm năng về nông nghiệp công nghệ cao, vì vậy Việt Nam mong muốn hợp tác với tỉnh Nagano trong lĩnh vực này.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີໃຫ້ແຂວງ Nagano ຊຸກຍູ້ບັນດາວິສາຫະກິດຂອງແຂວງ ເຂົ້າມາລົງທຶນຢູ່ຫວຽດນາມ ຢ່າງແຮງກວ່າເກົ່າ, ປະກອບສ່ວນສໍາຄັນເພີ່ມທະວີການລົງທຶນຂອງຍີ່ປຸ່ນເຂົ້າຫວຽດນາມຢ່າງແຮງ.	Nguyễn Xuân Phúc đề nghị tỉnh Nagano khuyến khích nhiều doanh nghiệp của tỉnh đầu tư vào Việt Nam, góp phần gia tăng đầu tư của Nhật Bản vào Việt Nam.
ໂດຍ: ກວຽດເຕິມ.	Bởi: Việt Full.
