ກົມການລົງທຶນຕ່າງປະເທດ, ກະຊວງແຜນການ ແລະການລົງທຶນຫວຽດນາມ, ໃຫ້ຮູ້ສະພາບການລວມໃນປີ 2018 ວ່າ:	Cục Đầu tư nước ngoài, Bộ Kế hoạch và Đầu tư Việt Nam cho biết tình hình chung năm 2018:
ຍອດທຶນຈົດທະບຽນທີ່ອະນຸຍາດໃໝ່ນີ້ແມ່ນເພີ່ມຂຶ້ນຕື່ມ ແລະໄດ້ປະກອບສ່ວນເຂົ້າໃນການຊື້ຫຸ້ນສ່ວນຂອງນັກລົງທຶນຕ່າງປະເທດ (FDI) ເຂົ້າຫວຽດນາມ ບັນລຸເກືອບ 35,5 ຕື້ USD.	Số vốn đăng ký mới tăng lên góp phần mua vốn đầu tư trực tiếp nước ngoài (FDI) vào Việt Nam đạt gần 35,5 tỷ USD.
ໄລ່ມາຮອດວັນທີ 20 ທັນວາ 2018, ທົ່ວປະເທດມີໂຄງການທີ່ໄດ້ຮັບໃບຢັ້ງຢືນຈົດທະບຽນລົງທຶນໃໝ່ເກືອບ 3.050 ໂຄງການດ້ວຍຍອດທຶນຈົດທະບຽນທັງໝົດເກືອບ 18 ຕື້ USD.	Tính đến ngày 20/12/2018, cả nước có gần 3.050 dự án đăng ký đầu tư với tổng vốn đăng ký gần 18 tỷ USD.
ພາບປະກອບຄັດຈາກ: vov.vn.	Hình minh họa: vov.vn.
ຕາມຂົງເຂດການລົງທຶນແລ້ວ, ນັກລົງທຶນຕ່າງປະເທດ ໄດ້ລົງທຶນເຂົ້າໃນ 18 ຂົງເຂດ, ໃນນັ້ນຂົງເຂດອຸດສາຫະກຳປຸງແຕ່ງ, ການປະດິດສ້າງແມ່ນຂົງເຂດທີ່ດຶງດູດຄວາມສົນໃຈຂອງນັກລົງທຶນຕ່າງປະເທດໄດ້ຫຼາຍທີ່ສຸດ.	Theo lĩnh vực đầu tư, nhà đầu tư nước ngoài đã đầu tư vào 18 lĩnh vực, trong đó công nghiệp chế biến và đổi mới sáng tạo là lĩnh vực hấp dẫn nhất đối với nhà đầu tư nước ngoài.
ຖັດມາແມ່ນຂົງເຂດການເຄື່ອນໄຫວທຸລະກິດອະສັງຫາລິມະຊັບ;	Tiếp theo là các lĩnh vực hoạt động kinh doanh bất động sản;
ທີສາມແມ່ນຂົງເຂດຂາຍສົ່ງ, ຂາຍຍ່ອຍ.	Thứ ba là lĩnh vực bán buôn và bán lẻ.
ຕາມຄູ່ຮ່ວມມືລົງທຶນແລ້ວ, ມີ 112 ປະເທດ ແລະເຂດແຄວ້ນທີ່ມີໂຄງການລົງທຶນຢູ່ຫວຽດນາມ.	Theo đối tác đầu tư, có 112 quốc gia và vùng lãnh thổ có dự án đầu tư tại Việt Nam.
ຍີ່ປຸ່ນຢືນອັນດັບທີໜຶ່ງ;	Nhật Bản đứng đầu;
ສ.	ส.
ເກົາຫຼີ ຢືນອັນດັບທີສອງ;	Hàn Quốc đứng thứ hai;
ສິງກະໂປ ຢືນອັນດັບທີສາມ.	Singapore đứng thứ ba.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
