ວັນ ທີ 24 ພຶດ ສະພາ, ບໍລິສັດ ໃຫຍ່ທ່າ ກຳ ປັ່ນ Incheon ຂອງ ສ.	Vào ngày 24 tháng 5, Công ty Cảng Incheon của Israel.
ເກົາຫລີ ປະກາດ ວ່າ: ໄດ້ ເລີ່ ມເປີດເສັ້ນທາງ ຂົນ ສົ່ງຄອນ ເທັນ ເນີ (ຕູ້ ສິນຄ້າ) ຄັ້ງ ໃໝ່ ໂດຍອອກ ຈາກທ່າ ກຳ ປັ່ນ Incheon ເພື່ອໄປ ຍັງ ບັນດາທ່າ ກຳ ປັ່ນ ຂອງ ໄທ ແລະຫວຽດນາມ.	Hàn Quốc đã công bố mở một tuyến đường container mới từ Incheon đến các cảng của Thái Lan và Việt Nam.
ເສັ້ນທາງ ຂົນ ສົ່ງ ໃໝ່ ນີ້ມີຊື່ວ່າ NKT (New Korea Thailand) ໂດຍເລີ່ມອອກ ຈາກທ່າ ກຳ ປັ່ນ Incheon ຜ່ານ ທ່າ ກຳ ປັ່ນ Gwangyang ແລະບູຊາ ນ (ສ.	Tuyến đường trung chuyển mới có tên là NKT (New Korea Thailand), khởi hành từ Cảng Incheon qua các Cảng Gwangyang và Busan.
ເກົາຫລີ, ເຂດ ຮົງ ກົງ (ຈີນ), ຊາ ເຄົາ ( ເມືອງ ເຊີນ ເຈີ ນຂອງຈີນ) ໄປ ເຖິງທ່າ ກຳ ປັ່ນແຫລມ ສະ ບັງ, ບາງ ກອກ ( ໄທ) ແລະ ເຕີນ ກາງກາດ ລາຍຢູ່ ນະຄອນ ໂຮ່ ຈີມິ ນຂອງ ຫວຽດນາມ.	Hàn Quốc, Hồng Kông (Trung Quốc), Sán Đầu (Thâm Quyến, Trung Quốc) đến Cảng Laem Sabang, Bangkok (Thái Lan) và Sân bay Thành phố Hồ Chí Minh.
ພາບປະກອບ: Yonhap News.	Hình minh họa: Yonhap News.
ຫລັງ ຈາກ ຈະກັບ ຄືນທ່າ ກຳ ປັ່ນ Incheon ຕາມ ລຳດັບ.	Sau khi quay trở lại Cảng Incheon theo trình tự.
ເສັ້ນທາງ ຂົນ ສົ່ງ ໃໝ່ ນີ້ຈະ ປະກອບມີກຳ ປັ່ນ 3 ລຳ ເພື່ອບັນທຸກ ຕູ້ຄອນ ເທັນ ເນີ, ລວມມີ: ນ້ຳໜັກ 1.500 ເຖິງ 1.600 TEU ຂອງ 3 ບໍລິສັດ ຂົນ ສົ່ງທາງ ທະ ເລຂອງ ສ.	Tuyến mới sẽ bao gồm ba tàu chở container, bao gồm: 1.500 đến 1.600 TEU vỏ quả từ ba công ty vận tải biển của Hàn Quốc.
ເກົາຫລີ, ຄື: ການຂົນ ສົ່ງ ທາງ ທະ ເລ Chun Kyung ແລະການຂົນ ສົ່ງ ທາງ ທະ ເລ Namsung, ໂດຍອາທິດ ລະ ຖ້ຽວ.	Hàn Quốc, cụ thể là: vận chuyển đường biển Chun Kyung và vận tải biển Namsung, khởi hành hàng tuần.
ບໍລິສັດ ໃຫຍ່ທ່າ ກຳ ປັ່ນ Incheon ຫວັງ ວ່າ ເສັ້ນທາງ ຂົນ ສົ່ງ ນີ້ຈະ ປະກອບສ່ວນເຂົ້າໃນການຊຸກຍູ້ການ ຂົນ ສົ່ງສິນຄ້າສົ່ງ ອອກ-ນຳ ເຂົ້າ ແລະການຕອບ ສະໜອງ ບໍລິການຂົນ ສົ່ງສິນຄ້າໃຫ້ມີຄວາມໝ້ັນຄົງລະຫວ່າງສ.	Công ty Cảng Incheon hy vọng rằng tuyến đường này sẽ góp phần thúc đẩy các chuyến hàng xuất nhập khẩu và cung cấp dịch vụ vận chuyển hàng hóa ổn định giữa hai nước.
ເກົາຫລີ ແລະເຂດອາຊີຕາເວັນອອກສ່ຽງໃຕ້.	Hàn Quốc và Đông Nam Á.
ເນື້ອໃນ: ຂປລ.	Nội dung:
