ກປ.ອອນໄລ - ປະຊາຊົນບັນດາເຜົ່າ: ໄຕ່, ຢາວ, ມົງ, ໄທ, ເມື່ອງ...	KR Online - Đồng bào các dân tộc: Tai, Yao, Hmong, Thái, Muang ...
ກວ່າ 100 ຄົນທີ່ມາຈາກ 10 ແຂວງ, ນະຄອນໃນທົ່ວປະເທດ ແລະບັນດານັກສິປະປິນຂອງໂຮງລະຄອນແຈ່ວຫວຽດນາມ, ໂຮງລະຄອນຕຸກກະຕາ ຫວຽດນາມ, ມະຫາວິທະຍາໄລວັດທະນະທໍາ ຮ່າໂນ້ຍ ໄດ້ເຂົ້າຮ່ວມລາຍການ “ສີສັນເຂດພູສູງ ເຊິ່ງດໍາເນີນຢູ່ບ້ານວັດທະນະທໍາ-ທ່ອງທ່ຽວບັນດາເຜົ່າ ຫວຽດນາມ (ດົ່ງໂມ, ເຊີນໄຕ, ຮ່າໂນ້ຍ) ແຕ່່ວັນທີ 1 ຫາວັນທີ 31 ມັງກອນ 2018.	Hơn 100 người đến từ 10 tỉnh, thành phố trong cả nước và các nghệ sĩ đến từ Nhà hát Việt Jeou, Nhà hát Múa rối Việt Nam, Trường Đại học Văn hóa Hà Nội đã tham gia chương trình Sắc màu Tây Nguyên được tổ chức tại Làng Văn hóa - Du lịch các dân tộc Việt Nam (Đồng Mỗ, Sơn Tài, Hà Nội) từ ngày 01/01/2018.
ລາຍການເພື່ອແນໃສ່ແນະນໍາບັນດາພິທີການ, ງານບຸນ, ຮີດຄອງປະເພນີເພື່ອຊ່ວຍນັກທ່ອງທ່ຽວມີຄວາມເຂົ້າໃຈຕື່ມອີກກ່ຽວກັບວັດທະນະທໍາ, ບັນດາການເຄື່ອນໄຫວທີ່ເປັນມູນເຊື້ອເພື່ອຂໍ່ານັບຮັບຕ້ອນບຸນເຕັດຂອງບັນດາເຜົ່າ;	Chương trình nhằm giới thiệu các nghi lễ, lễ hội, truyền thống giúp du khách hiểu hơn về văn hóa và các hoạt động truyền thống chào mừng lễ hội của các dân tộc;
ປະກອບສ່ວນອະນຸລັກຮັກສາ, ເສີມຂະຫຍາຍການໂຄສະນາເຜີຍແຜ່ບັນດາຄຸນຄ່າວັດທະນະທໍາທີ່ເປັນມູນເຊື້ອຂອງຊາດ;	Góp phần bảo tồn và tăng cường phổ biến các giá trị văn hóa dân tộc;
ເພີ່ມທະວີການພົບປະແລກປ່ຽນ, ຄວາມສາມັກຄີ, ສະໜິດຕິດພັນ, ໜູນຊ່ວຍຮ່ວມກັນພັດທະນາໃນໂອກາດຕົ້ນປີໃໝ່ 2018.	Tăng cường gặp gỡ, giao lưu, đoàn kết, gắn bó, cùng hỗ trợ phát triển trong dịp đầu năm mới 2018.
ລາຍການຕ້ອນຮັບບຸນເຕັດປີລະກາ 2017 ຂອງປະຊາຊົນບັນດາເຜົ່າຢູ່ບ້ານວັດທະນະທໍາ-ທ່ອງທ່ຽວບັນດາເຜົ່າຫວຽດນາມ.	Đón Tết của đồng bào đa dân tộc tại Làng Văn hóa - Du lịch các dân tộc Việt Nam.
ພາບ: ແຄ໋ງຮ່ວຽນ	Ảnh: Khang Huuyen
ລາຍການປະກອບມີບັນດາການເຄື່ອນໄຫວຄື: “ລະດູບານໃໝ່ຢູ່ໃນບ້ານນ້ອງ , “ວັນບານໃໝ່ກ້ອງກັງວານຄໍາຮ້ອງແທນ.	Chương trình bao gồm các hoạt động như: “Lễ hội mùa xuân ở Bản Nông”, Ngày hội sôi động.
ພິເສດແມ່ນເມື່ອເຂົ້າຮ່ວມລາຍການ, ນັກທ່ອງທ່ຽວຈະໄດ້ “ດື່ມນ້ຳຊາທີ່ເປັນມູນເຊື້ອໃນຍາມລະດູບານໃໝ່.	Đặc biệt khi tham gia chương trình, du khách sẽ được “uống trà truyền thống trong dịp xuân về.
ນອກຈາກນັ້ນຍັງມີບັນດາການເຄື່ອນໄຫວປະດັບປະດາຂໍ່ານັບຮັບຕ້ອນບຸນເຕັດຢູ່ບັນດາໝູ່ບ້ານຊົນເຜົ່າຕາມປະເພນີບຸນເຕັດຂອງຊົນເຜົ່າຕົນ...	Ngoài ra, còn có các hoạt động đón Tết tại các bản làng của các dân tộc theo phong tục đón Tết của bộ tộc mình…
ລາຍການ “ສີສັນເຂດພູສູງ ຈະແນະນຳວັດທະນະທໍາ, ອາຫານການກິນຂອງປະຊາຊົນບັນດາເຜົ່າຢູ່ນະຄອນ ຮ່າໂນ້ຍ, ສ້າງຄວາມຈັບອົກຈັບໃຈໃຫ້ແກ່ນັກທ່ອງທ່ຽວ.	Chương trình Sắc màu vùng cao sẽ giới thiệu văn hóa, ẩm thực của đồng bào các dân tộc Hà Nội, tạo cảm giác thích thú cho du khách.
ແປໂດຍ: ຈາງຫງວຽນ.	Dịch bởi: Zhang Nguyen.
