ກປ.ອອນໄລ - ວັນທີ 21 ຕຸລາ, ຢູ່ເຂດນໍ້າຖ້ວມເມືອງເກີ໊ມຊວຽນ (ຮ່າຕິ້ງ), ນ້ຳຖ້ວມຢູ່ບາງຕາແສງ, ເທດສະບານເມືອງເລີ່ມຫຼຸດລົງ.	Ngày 21/10, tại vùng lũ huyện Kìm Xuyên (Hà Tĩnh), lũ ở một số xã, huyện bắt đầu giảm.
ກອງບັນຊາການທະຫານແຂວງຮ່າຕິ້ງ ສືບຕໍ່ລະດົມພະນັກງານ, ນັກຮົບຫຼາຍພັນຄົນຂຶ້ນກັບບັນດາກົມກອງ: ກອງພັນໃຫຍ່ 841, ກອງບັນຊາການທະຫານເມືອງເກີມຊວຽນ, ທະຫານລາດປ້ອງກັນຕົວຫາກໍ່ສະໜອງສະບຽງອາຫາທັງຊ່ວຍປະຊາຊົນເຮັດອະນາໄມ, ເກັບມ້ຽນ, ແກ້ໄຂຜົນຮ້າຍຢ້ອນ ຫຼັງ.	Bộ Chỉ huy Quân sự tỉnh Hà Tĩnh tiếp tục huy động hàng nghìn lượt cán bộ, chiến sĩ thuộc Sư đoàn bộ binh 841, Ban Chỉ huy Quân sự huyện Kẽm Xuyên, lực lượng dân quân tự vệ và lực lượng bảo vệ Tổ quốc tiếp tế lương thực, hỗ trợ dọn dẹp, dự trữ, khắc phục hậu quả thiên tai.
ທຸກວຽກງານລ້ວນແຕ່ໄດ້ປະຕິບັດຢ່າງຮີບດ່ວນ, ຮອບຄອບຖີ່ຖ້ວນ, ປອດໄພ.	Mọi công việc được tiến hành khẩn trương, cẩn thận và an toàn.
ຝົນຕົກໜັກພາໃຫ້ເກີດນ້ຳຖ້ວມໄດ້ສາມວັນແລ້ວ, ຫຼາຍພັນຄອບຄົວບໍ່ພຽງແຕ່ອິດເມື່ອຍ, ອ່ອນເພຍເທົ່ານັ້ນແຕ່ເບິ່ງຄືວ່າຊັບສິນ, ເຄື່ອງຂອງໃຊ້ຖືກເສຍຫາຍ, ເປ່ເພໝົດ.	Trời mưa đã ba ngày khiến hàng nghìn gia đình không chỉ mệt mỏi, kiệt sức mà tài sản, đồ đạc bị hư hỏng.
ເຮືອນຊານບ້ານຊ່ອງຖືກຊຳລຸດຊຸດໂຊມ, ບັນດາກິດຈະການສາທາລະນະ, ສຳນັກງານຂອງລັດຖືກທຳລາຍ, ເປ່ເພ.	Những ngôi nhà ở ngoại ô ngôi làng bị phá bỏ, các công trình công cộng bị phá hủy, và các văn phòng chính phủ cũng bị phá bỏ.
ຢູ່ຕາແສງເກີ໊ມວິ້ງ, ເມືອງເກີ໊ມຊວຽນ, ຢູ່ ເສັ້ນທາງຫຼັກນ້ຳຫຼຸດລົງແຕ່ 1,5m ຍັງເຫຼືອພຽງແຕ່ 0,5m.	Tại xã Krem Vinh, huyện Krem Xuân, trên trục đường chính, nước đã giảm từ 1,5m xuống chỉ còn 0,5m.
ປະຊາຊົນຢູ່ບັນດາເຂດຍົກຍ້າຍໄດ້ກັບເມືອເພື່ອກວດກາເບິ່ງເຮືອນຊານ ແລະຊັບສິນ.	Người dân ở các khu vực sơ tán trở lại kiểm tra nhà cửa và tài sản của họ.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ການໄປມາຢູ່ຕາມເສັ້ນທາງຖືກນ້ຳຖ້ວມບັນດາພະນັກງານ, ນັກຮົບໄດ້ຄວບຄຸມ, ເວນຍາມເພື່ອຮັບປະກັນຄວາມປອດໄພ.	Tuy nhiên, đoạn đường di chuyển bị ngập do cán bộ, chiến sĩ, bảo vệ tuần tra để đảm bảo an toàn.
ທ່ານ ຫງວຽນວັນດ້າຍ, ຢູ່ບ້ານ 4, ຕາແສງເກີ໊ມວິງ ຈາກເຂດຍົກຍ້າຍກັບເມືອຮອດບ້ານໄດ້ເຫັນຄວາຍຂອງຄອບຄົວຕົນເອງສອງໂຕນອນຕາຍຢູ່ແຄມທາງ.	Ông Nguyễn Văn Đại, ở thôn 4, xã Kẽm Vinh từ khu vực sơ tán trở về nhà thì thấy hai con trâu của gia đình nằm chết bên vệ đường.
ດ້ວຍຄວາມເສຍດາຍ, ທ່ານກ່າວດ້ວຍຄວາມຕື້ນຕັນໃຈວ່າ: “ຝົນຕົກໜັກພາໃຫ້ນ້ຳຖ້ວມໄວໂພດ, ຍາມທະຫານມາຊ່ວຍ, ຂ້າພະເຈົ້າ ແລະເມຍທັນເອົາແຕ່ໂສ້ງເສື້ອສອງຊຸດ.	Anh bùi ngùi, xúc động kể: “Mưa lũ lên nhanh, bộ đội đến cứu giúp, vợ chồng tôi chỉ lấy có hai cái áo.
ພະນັກງານ, ນັກຮົບກອງພັນໃຫຍ່ 841 ຊ່ວຍຄູ ແລະນັກຮຽນໂຮງຮຽນມັດທະຍົມຕອນຕົ້ນຮ່າຮຸຍເຕີບແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກນ້ຳຖ້ວມ.	Cán bộ, chiến sĩ Tiểu đoàn 841 giúp thầy và trò Trường THCS Hà Huyến ứng phó với hậu quả sau lũ.
ພາບ: ຮ ວ່າງ ຮ ວາ ເລ.	Ảnh: Hoang Ha Leh
ຕາແສງເກີ໊ມເຢ້ວ ມີທັງໝົດ 12 ບ້ານ, ນ້ຳຖ້ວມ 11 ບ້ານດ້ວຍຈຳນວນກວ່າ 2.100 ຄອບຄົວ.	Toàn xã Kẽm Yêu có 12 bản thì 11 bản bị ngập với hơn 2.100 gia đình.
ຢູ່ເຂດບ້ານ 4, ມີຫຼາຍຄະນະໄປຊ່ວຍແຕ່ຍັງບໍ່ສາມາດເຂົ້າເຖິງບັນດາຄອບຄົວໄດ້ເທື່ອຍ້ອນວ່າຢູ່ເຂດນີ້ນ້ຳໄຫຼນອງ.	Tại thôn 4, nhiều đoàn đã đến giúp đỡ nhưng vẫn chưa thể đến được với các gia đình do khu vực này đang bị ngập lụt.
ຕໍ່ໜ້າສະພາບການດັ່ງກ່າວ, ກອງບັນຊາການທະຫານເມືອງເກີ໊ມຊວຽນ ໄດ້ຈັດສົ່ງເຮືອ 3 ລຳພ້ອມກັບພະນັກງານ, ນັກຮົບ 20 ຄົນ ໄປຂົນສົ່ງສະບຽງອາຫານເພື່ອເອົາໄປຊ່ວຍປະຊາຊົນ.	Trước tình hình đó, Ban Chỉ huy Quân sự huyện Kìm Xuân đã cử 3 chiếc thuyền với 20 cán bộ, chiến sĩ vận chuyển lương thực giúp dân.
ນາງ ເລທິທູຮັ່ງ ມີລູກອ່ອນຫາກໍ່ເກີດໄດ້ 7 ເດືອນ, ມີຄວາມຕ້ອງການນົມ ແລະ ເຄື່ອງໃຊ້ຫຼາຍທີ່ສຸດໃຫ້ຫຼານແຕ່ຝົນຕົກ, ນ້ຳຖ້ວມຖືກເປ່ເພໝົດ.	Lethithu, một bé gái 7 tháng tuổi, rất cần sữa và đồ dùng cho các cháu của mình, nhưng trời mưa và lũ lụt.
ໂຊກດີທີ່ມີທະຫານສະໜອງສະບຽງອາຫານໃຫ້, ຊ່ວຍຄອບຄົວຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ.	May mắn thay, các chiến sĩ đã tiếp tế lương thực, giúp gia đình vượt qua khó khăn.
ຢູ່ໂຮງຮຽນມັດທະຍົມຕອນຕົ້ນຮ່າຮຸຍເຕີບ (ເມືອງເກີ໊ມຊວຽນ) ຫ້ອງຮຽນທີ່ຖືກນ້ຳຖ້ວມໄດ້ຫຼຸດລົງແລ້ວແຕ່ຢູ່ເດີ່ນໂຮງຮຽນຍັງມີນ້ຳຖ້ວມເລິກຢູ່.	Tại Trường THCS Ha Hui Toeh (huyện Kìm Xuân), các phòng học bị ngập đã được giảm bớt, nhưng sân trường vẫn ngập nặng.
ຄູສອນ ເຈິ່ນເທ໊ເຈືອງ, ຜູ້ອຳນວຍການໂຮງຮຽນ ໃຫ້ຮູ້ວ່າ: ຕັ່ງໂຕະ, ຄອມພິວເຕີ, ປື້ມ, ເຄື່ອງໃຊ້ສິດສອນຂອງຄູສອນ ແລະນັກຮຽນຖືກເປ່ເພໝົດ.	Thầy giáo Trần Thế Trường, Hiệu trưởng nhà trường cho biết, bàn học, máy tính, sách vở, tài liệu giảng dạy của giáo viên và học sinh đã bị phá hủy.
ໂຊກດີທີ່ມີທະຫານຂອງກອງພັນໃຫຍ່ 841 ມາຊ່ວຍເຫຼືອຢ່າງສຸດຈິດສຸດໃຈ ແລະມີຄວາມຮັບຜິດຊອບໂຮງຮຽນຈຶ່ງແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງໄດ້ຢ່າງທັນການ, ບໍ່ຫວາດຫວັ່ນຕໍ່ຄວາມຫຍຸ້ງຍາກ.	Rất may, các chiến sĩ Tiểu đoàn 841 đã ra tay cứu giúp bằng cả tấm lòng và trách nhiệm.
ຍ້ອນສິ່ງດັ່ງກ່າວນັ້ນນັກຮຽນຈຶ່ງຈະໄດ້ໄປຮຽນໃນໜຶ່ງ ຫຼື ສອງວັນຈະມາເຖິງ.	Do do, cac hoc sinh se co the tham gia cac hoat dong trong ngay hom qua.
ພວກຂ້າພະເຈົ້າຮູ້ບຸນຄຸນຂອງບັນດານັກຮົບ!	Chúng tôi rất biết ơn các chiến binh!
ຕາມການນຳຫ້ອງການສຶກສາເມືອງເກີ໊ມຊວຽນ ແລ້ວ, ທົ່ວເມືອງມີໂຮງຮຽນ 10 ແຫ່ງຖືກນ້ຳຖ້ວມໝົດ.	Theo Phòng Giáo dục huyện Kìm Xuân, 10 trường học trên địa bàn huyện đã bị ngập.
ຍ້ອນເຫດນັ້ນ, ເພື່ອຊ່ວຍບັນດາຄູສອນ ແລະນັກຮຽນໃຫ້ເປັນປົກກະຕິໂດຍໄວ, ການນຳກອງພັນໃຫຍ່ໄດ້ຈັດແບ່ງເປັນຫຼາຍໜ່ວຍເພື່ອຊ່ວຍເຫຼືອບັນດາໂຮງຮຽນ, ຮັບປະກັນຄວາມວ່ອງໄວ, ເຮັດຢູ່ໃສແມ່ນມີຄວາມເປັນລະບຽບຮຽບຮ້ອຍຢູ່ຫັ້ນ.	Do đó, để giúp giáo viên và học sinh sớm trở lại bình thường, tiểu đoàn đã được tổ chức thành nhiều đơn vị giúp trường học, đảm bảo tốc độ, làm những việc có lệnh.
ຕາມທ່ານພັນເອກພິເສດ ຫງວຽນເຕີ໊ດເຍິນ, ຫົວໜ້າການເມືອງກອງບັນຊາການທະຫານເມືອງຮ່າຕິ້ງ, ເມື່ອເກີດນ້ຳຖ້ວມ, ກອງບັນຊາການທະຫານແຂວງໄດ້ຊີ້ນຳ ກອງພັນໃຫຍ່ 841 ລະດົມບັນດາພະນັກງານ, ນັກຮົບທີ່ລອຍນ້ຳເກັ່ງເຂົ້າຮ່ວມກູ້ຊ່ວຍປະຊາຊົນຢູ່ບັນດາຕາແສງເກີ໊ມບິ່ງ, ເກີ໊ມເຢ້ວ, ເກີ໊ມແທັ່ງ, ເກີ໊ມກວາງ, ເກີ໊ມ ແທັກ...	Theo Đại tá đặc công Nguyễn Tất Nhẫn, Chủ nhiệm Chính trị Ban Chỉ huy Quân sự huyện Hà Tĩnh, khi mưa lũ đổ bộ, Tiểu đoàn Công binh 841 đã huy động cán bộ, chiến sĩ có khả năng bơi lội cứu người trên địa bàn tỉnh K ỉnh Bình, K ແທ m K ເກ m, K ້ ວ m ...
ບ່ອນທີ່ຖືກນ້ຳຖ້ວມ.	Nơi ngập lụt.
ມື້ນີ້, ເມື່ອນ້ຳໄດ້ຫຼຸດລົງ, ທາງກອງບັນຊາການໄດ້ຊີ້ນຳພະນັກງານ, ນັກຮົບຜັນຂະຫຍາຍກຳລັງໄປຊ່ວຍປະຊາຊົນແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງ ໃນນັ້ນສຸມໃສ່ຊ່ວຍບັນດາໂຮງຮຽນເຮັດອະນາໄມທຳຄວາມສະອາດ, ຊວ້ານຂີ້ຕົມ, ເພື່ອໃຫ້ນັກຮຽນໄດ້ກັບຄືນມາຮຽນໂດຍໄວ.	Trong ngày hôm nay, khi nước rút, cán bộ, chiến sĩ chỉ huy đã xuống giúp dân khắc phục hậu quả, tập trung giúp các trường học dọn dẹp, làm sạch bùn đất, để học sinh đi học trở lại trong thời gian sớm nhất.
ຕໍ່ຈາກນັ້ນ, ຈະໃຫ້ບູລິມະສິດຊ່ວຍເຫຼືອບັນດາຄອບຄົວນະໂຍບາຍ ແລະຄອບຄົວທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ບັນດາທ້ອງຖິ່ນຖືກເສຍຫາຍຢ່າງໜັກໜ່ວງ...	Sau đó sẽ ưu tiên giúp đỡ các gia đình chính sách, gia đình gặp khó khăn, các địa phương bị thiệt hại nặng nề ...
ໄປນຳບັນດາພະນັກງານຂອງກອງພັນໃຫຍ່ 841 ຈົນຮອດເດິກຢູ່ເຂດຖືກນ້ຳຖ້ວມ.	Đi cùng các nhân viên Tiểu đoàn 841 cho đến khuya trong vùng ngập lụt.
ແຕ່ວ່າ, ບັນດາພະນັກງານ, ນັກຮົບຍັງເຮັດວຽກຢ່າງບໍ່ຮູ້ອິດຮູ້ເມື່ອຍ, ມານະອົດທົນ, ມີຄວາມຮັບຜິດຊອບປະຕິບັດໜ້າທີ່ຊ່ວຍເຫຼືອປະຊາຊົນເພື່ອບໍ່ໃຫ້ພໍ່ແມ່ປະຊາຊົນອຶດຫິວ, ເຈັບເປັນ.	Tuy nhiên, các cán bộ, chiến sĩ vẫn làm việc không mệt mỏi, kiên nhẫn, trách nhiệm giúp đỡ nhân dân không để cha mẹ các em bị đói, ốm đau.
ບັນດາຄວາມມານະພະຍາຍາມຂອງພະນັກງານ, ນັກ ຮົບທີ່ຢູ່ເຂດຍ່ານລຸ່ມຂອງໜອງເກັບນ້ຳເກ໊ໂກ ພໍ່ແມ່ປະຊາຊົນມີຄວາມສະເທືອນໃຈ ແລະຈົດຈຳໄວ້.	Những nỗ lực của cán bộ, chiến sĩ vùng hạ du lòng hồ, các bậc phụ huynh, người dân đều cảm phục và ghi nhớ.
ໃນໄລຍະຫຍຸ້ງຍາກ, ລຳບາກ ແລະອັນຕະລາຍຮູບພາບທະຫານລຸງໂຮ່ ໃນດວງໃຈຂອງປະຊາຊົນ ຍິ່ງໄດ້ແຜ່ແສງແຈ້ງສະຫວ່າງກວ່າ.	Trong gian khó, hình ảnh Bác Hồ trong lòng nhân dân càng sáng ngời.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
