ກປ.ອອນໄລ - ວັນທີ 3 ມີນາ, ອໍານາດການປົກຄອງນະຄອນ St.	KPR Trực tuyến - Ngày 3 tháng 3, St.
Petersburg ໄດ້ຈັດຕັ້ງເວທີປາໄສການທ່ອງທ່ຽວສາກົນ St.	Petersburg đăng cai Diễn đàn Du lịch Quốc tế St.Petersburg
Petersburg - ຫວຽດນາມ ຄັ້ງທີ 2 ຜ່ານລະບົບທາງໄກ ເພື່ອແນໃສ່ຊຸກຍູ້ການເຄື່ອນໄຫວທ່ອງທ່ຽວລະຫວ່າງນະຄອນຫຼວງທາງທິດເໜືອຂອງລັດເຊຍ ກັບຫວຽດນາມ.	Petersburg - Việt Nam lần thứ hai thông qua hệ thống đường dài nhằm quảng bá du lịch giữa thủ đô Nga và Việt Nam.
ກ່າວຄໍາເຫັນທີ່ເວທີປາໄສ, ທ່ານ ຫງວຽນເລຟຸກ ຮອງຫົວໜ້າກົມໃຫຍ່ທ່ອງທ່ຽວຫວຽດນາມ, ສະແດງວ່າ ເວທີປາໄສດັ່ງກ່າວຈະຊຸກຍູ້ຄວາມເຊື່ອໝັ້ນ ແລະຟື້ນຟູການເຄື່ອນໄຫວທ່ອງທ່ຽວລະຫວ່າງສອງປະເທດ.	Phát biểu tại diễn đàn, Phó Tổng cục trưởng Tổng cục Du lịch Nguyễn Lê Phúc cho rằng, diễn đàn sẽ thúc đẩy sự tin cậy và hồi sinh du lịch giữa hai nước.
ທ່ານ ຫງວຽນເລຟຸກ ຮອງຫົວໜ້າກົມໃຫຍ່ທ່ອງທ່ຽວຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ເວທີປາໄສ.	Nguyễn Lê Phúc, Phó Tổng cục trưởng Tổng cục Du lịch phát biểu tại diễn đàn.
ພາບ: baotintuc.vn.	Ảnh: baotintuc.vn.
ທ່ານ Demyan Smilevets ຫົວໜ້າຫ້ອງການຮ່ວມມືສາກົນ Rostourism ໃຫ້ຮູ້ວ່າ ຫວຽດນາມ ແມ່ນສະຖານທີ່ທ່ອງທ່ຽວທີ່ນິຍົມຂອງແຂກທ່ອງທ່ຽວລັດເຊຍ.	Demyan Smilevets, người đứng đầu Văn phòng Du lịch Rostourism Quốc tế, cho biết Việt Nam là một điểm đến phổ biến của khách du lịch Nga.
ຕາມຂໍ້ມູນຈາກກົມໃຫຍ່ສະຖິຕິສະຫະພັນລັດເຊຍແລ້ວ, ປີ 2019 ມີແຂກທ່ອງທ່ຽວລັດເຊຍ ມາທ່ຽວຫວຽດນາມ ປະມານ 572.000 ເທື່ອຄົນ, ເພີ່ມຂຶ້ນ 8% ເມື່ອທຽບໃສ່ປີ 2018.	Theo Tổng cục Thống kê Liên bang Nga, năm 2019, có khoảng 572.000 lượt khách Nga đến thăm Việt Nam, tăng 8% so với năm 2018.
ລັດເຊຍ ຍັງຖື ຫວຽດນາມ ແມ່ນຕະຫຼາດທ່ອງທ່ຽວທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢ່າງ.	Nga vẫn coi Việt Nam là một thị trường du lịch tiềm năng.
ແຕ່ວັນທີ 1 ມັງກອນ 2021, ຫວຽດນາມ ຖືກຈັດເຂົ້າໃນບັນຊີລາຍຊື່ພົນລະເມືອງທີ່ໄດ້ຮັບວິຊາເອເລັກໂຕນິກເພື່ອເຂົ້າເມືອງລັດເຊຍ ແລະແຂກທ່ອງທ່ຽວຫວຽດນາມ ສາມາດຢູ່ລັດເຊຍ ເປັນເວລາ 16 ວັນ.	Tuy nhiên, đến ngày 1/1/2021, Việt Nam mới được đưa vào danh sách công dân được cấp thị thực điện tử nhập cảnh vào Nga, du khách Việt Nam có thể lưu trú tại Nga trong 16 ngày.
ແຕ່ວ່າ, ຍ້ອນພະຍາດໂຄວິດ-19 ສະນັ້ນ ຍັງບໍ່ທັນປະຕິບັດການອອກວິຊາເອເລັກໂຕນິກໄດ້ເທື່ອ.	Tuy nhiên, do bệnh Kovid-19 nên vẫn chưa thể cấp e-visa.
ທີ່ເວທີປາໄສ, ບັນດາຜູ້ແທນໄດ້ຕັ້ງໜ້າແນະນໍາກ່ຽວກັບວິສາຫະກິດກໍ່ຄືບັນດາບໍລິການຂອງຕົນ, ແນໃສ່ລັດໜ້າໃນການເຄື່ອນໄຫວທ່ອງທ່ຽວ ຂະນະທີ່ບັນດາຖ້ຽວບິນການຄ້າລະຫວ່າງສອງປະເທດສືບຕໍ່ເປີດຄືນໃໝ່.	Tại diễn đàn, các đại biểu đã giới thiệu các doanh nghiệp và dịch vụ của họ hướng đến ngành du lịch khi các chuyến bay thương mại giữa hai nước tiếp tục được mở lại.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
