ກປ.ອອນໄລ - ຈາກສະໜາມບິນຢາເລິມ, ເຮລີກອບເຕີ EC-155B1 ທະຍານຂຶ້ນທ້ອງຟ້າ.	KR Online - Từ sân bay Yale, máy bay trực thăng EC-155B1 bay vút lên bầu trời.
ທັດສະນີຍະພາບທາງທິດເໜືອນະຄອນຫຼວງຮ່າໂນ້ຍ ຄ່ອຍໆປະກົດຕົວ.	Một khung cảnh Hà Nội đang dần hiện ra.
ເຂດດິນແດນຕື້ລຽນ (ໄຕໂຮ່) ເຫຼື້ອມແວວວາວດ້ວຍສີເຫຼືອງຂອງໝາກກ້ຽງນ້ອຍ.	Lãnh thổ nghìn tỷ (Tai Ho) rực rỡ với màu vàng của một mỏ nhỏ mịn.
ບຸນປີໃໝ່ປະຈໍາຊາດປີສະຫຼູ 2021 ໃກ້ຈະວຽນມາແລ້ວ.	Tết nguyên đán 2021 đang đến gần.
ອັນໄດ້ພາໃຫ້ໜ່ວຍບິນຫວນຄືນອະນຸສອນກ່ຽວກັບບັນດາຖ້ຽວບິນຂອງປີເກົ່າ...	Điều này khiến phi hành đoàn hồi tưởng về các chuyến bay năm ngoái ...
ປີ 2020 ແມ່ນປີທີ່ມີຫຼາຍຖ້ຽວບິນບໍ່ອາດຫຼົງລືມໄດ້ສຳລັບບໍລິສັດເຮລີກອບເຕີພາກເໜືອ, ແມ່ທັບນ້ອຍ 18.	Năm 2020 là một năm có nhiều chuyến bay khó quên đối với Đại đội Trực thăng miền Bắc, Trung đoàn 18 Bộ binh.
ພ້ອມກັບການຜະລິດ, ດໍາເນີນທຸລະກິດ, ບໍລິສັດຍັງດຳເນີນຖ້ຽວບິນປະຕິບັດໜ້າທີ່ການທະຫານ, ການປ້ອງກັນຊາດ.	Ngoài hoạt động sản xuất kinh doanh, công ty còn hoạt động quân sự và quốc phòng.
ໃນປີຜ່ານມາບໍລິສັດໄດ້ປະຕິບັດຫຼາຍຖ້ຽວບິນໃນເງື່ອນໄຂຫຍຸ້ງຍາກ, ສັບສົນ ຄື: ບິນ MIA ເທິງພູຜາປ່າດົງ, ບິນປະຖົມພະຍາບານການແພດເທິງທະເລ...	Trong năm qua, hãng đã khai thác nhiều chuyến bay trong điều kiện khó khăn, phức tạp: bay MIA trên núi, bay sơ cứu trên biển ...
ໃນຊຸມວັນຂອງເດືອນຕຸລາ ປີ 2020, ບໍລິສັດໄດ້ຮັບໜ້າທີ່ດ່ວນ, ສັບສົນ ແລະບໍ່ເຄີຍມີມາກ່ອນ.	Những ngày tháng 10 năm 2020, công ty đón nhận một thử thách nhanh chóng, phức tạp và chưa từng có.
ທ່ານພັນເອກ, ນັກບິນຊັ້ນ 1 ຟ້າມວັນຢຸ້ງ, ຜູ້ອໍານວຍການບໍລິສັດເຮລີກອບເຕີພາກເໜືອ ຫວນຄືນວ່າ: ຕອນເຊົ້າວັນທີ 8 ຕຸລາ 2020, ບໍລິສັດໄດ້ຮັບຄໍາສັ່ງຈາກແມ່ທັບນ້ອຍ 18 ນັ້ນແມ່ນດຳເນີນວຽກງານກະກຽມໃນທັນທີ, ກຽມພ້ອມບິນເຂົ້າເຂດທະເລ ເກື້ອຫວຽດ (ກວ໋າງຈີ້) ເພື່ອກ້ອບກູ້ລູກເຮືອໃນກໍາປັ່ນ Vietship 01 ທີ່ພວມປະສົບເຄາະຮ້າຍ.	Đại tá Phạm Văn Dũng, Phi công hạng 1, Giám đốc Công ty Trực thăng Miền nhớ lại: Sáng 8/10/2020, Công ty nhận lệnh của Trung đoàn Bộ binh 18 là phải lập tức chuẩn bị bay ra biển Việt Nam (Quảng Tây) để cứu nạn. một thuyền viên trên tàu Việt Nam.
ເວລາ 13 ໂມງ 30 ນາທີຂອງວັນທີ 9 ຕຸລາ 2020, ໜ່ວຍບິນ ໄດ້ບິນເຂົ້າເກື້ອຫວຽດ.	13h30 ngày 9/10/2020, máy bay bay vào Việt Nam.
ຖ້ຽວບິນນີ້ແມ່ນການທົດສອບລຳບາກທີ່ສຸດສໍາລັບໜ່ວຍບິນ.	Chuyến bay này là bài kiểm tra khó khăn nhất đối với phi hành đoàn.
ທ່ານພັນຕີ ເລຫາຍດັງ ໃຫ້ຮູ້ວ່າ: ຍາມນັ້ນຟ້າມືດແລ້ວ ສະນັ້ນໄລຍະເບິ່ງຖືກຈໍາກັດ;	Trung tá Lê Hải Đăng cho biết: Lúc đó trời tối nên thời lượng xem hạn chế;
ລົມພັດແຮງ, ປະມານ 25m/ວິນາທີ.	Gió mạnh, khoảng 25m / s.
ເມື່ອປ່ອຍອາຫານ ແລະເຄື່ອງຊູຊີບລົງກໍາປັ່ນດ້ວຍເຊືອກ, ພວກຂ້າພະເຈົ້າ ຕ້ອງບິນໃນລະດັບສູງປະມານ 10 ແມັດ...	Khi dỡ thực phẩm và thiết bị cứu sinh lên dây thừng, chúng tôi phải bay ở độ cao khoảng 10 mét ...
ສິ່ງດັ່ງກ່າວແມ່ນອັນຕະລາຍທີ່ສຸດ, ຍ້ອນເຮລີກອບເຕີຮັກສາລະດັບສູງໄດ້ຍາກ ຫຼືເຊືອກອາດຈະຕິດໃສ່ທໍ່ຄວັນ ແລະບັນດາອຸປະກອນອື່ນໆເທິງກໍາປັ່ນ.	Điều này cực kỳ nguy hiểm, vì máy bay trực thăng rất khó duy trì ở độ cao lớn hoặc dây có thể bị mắc vào ống xả và các thiết bị khác trên máy bay.
ເຮລີກອບເຕີຂອງແມ່ທັບນ້ອຍ 18 ປະຕິບັດການບິນກູ້ໄພກູ້ຊີບລູກເຮືອໃນກໍາປັ່ນ Vietship 01 ທີ່ປະສົບເຄາະຮ້າຍຢູ່ຝັ່ງທະເລ ກວ໋າງຈີ້, ເດືອນ ຕຸລາ ປີ 2020.	Trực thăng Trung đoàn 18 thực hiện chuyến bay cứu hộ thủy thủ đoàn tàu Vietship 01 bị đắm ngoài khơi Quảng Tây, tháng 10/2020.
ພາບ: ຫວຽດລິງ.	Ảnh: Việt Ling
ເຖິງວ່າໄລຍະບິນບໍ່ຮອດ 1 ກິໂລແມັດ ແຕ່ຕ້ອງເສຍເວລາເຖິງ 10 ນາທີເຮືອຍິນລໍານີ້ ຈຶ່ງກັບຄືນຝັ່ງ.	Dù quãng đường bay chưa đầy 1 km nhưng thuyền phải mất đến 10 phút mới quay được vào bờ.
ເມື່ອເຮືອບິນລົງຈອດຢູ່ສະໜາມບິນດົ່ງເຮີ໊ຍ ກໍ່ແມ່ນຍາມຟ້າມືດແລ້ວ.	Khi máy bay hạ cánh xuống Sân bay Đồng Hới, trời đã nhá nhem tối.
