ກປ.	KP
ອອນໄລ - ຕອນບ່າຍວັນທີ 29 ພະຈິກ 2016, ທີ່ສຳນັກງານປະທານປະເທດຫວຽດນາມ, ທ່ານ ເຈີ່ນດ້າຍກວາງ ປະທານປະເທດ ຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ ເດີຣາໂກມີ ດີມີເຕີຣົບ (Dragomir Dimitrov), ປະທານອົງການສືບຂ່າວແຫ່ງລັດ ບຸນກາຣີ (SIA), ເນື່ອງໃນໂອກາດມາຢ້ຽມຢາມ ແລະ ເຮັດວຽກຢູ່ ຫວຽດນາມ.	Chiều 29/11/2016, tại Văn phòng Chủ tịch nước, Chủ tịch nước Trần Đại Quang đã tiếp Ngài Dragomir Dimitrov, Chủ tịch Cơ quan Tình báo Nhà nước Bulgaria (SIA), nhân chuyến thăm và làm việc tại Việt Nam.
ທີ່ການຕ້ອນຮັບ, ທ່ານ ເຈີ່ນດ້າຍກວາງ ປະທານປະເທດ ໄດ້ສະແດງຄວາມພາກພູມໃຈຕໍ່ການພັດທະນາສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອລະຫວ່າງຫວຽດນາມ ແລະສ.ບຸນກາຣີ ໃນບັນດາຂົງເຂດການເມືອງ, ປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ, ວັດທະນະທຳ, ການສຶກສາ.	Tại buổi tiếp, Chủ tịch nước Trương Tấn Sang bày tỏ tự hào về sự phát triển của quan hệ hữu nghị truyền thống Việt Nam - Cộng hòa Bulgaria trên các lĩnh vực chính trị, quốc phòng, an ninh, kinh tế, thương mại, đầu tư, văn hóa, giáo dục.
ທ່ານປະທານປະເທດ ຕີລາຄາສູງຕໍ່ໝາກຜົນແຫ່ງການເຈລະຈາ ລະຫວ່າງທ່ານ ເດີຣາໂກມີ ດີມີເຕີຣົບ ກັບທ່ານ ໂຕເລີມ ລັດຖະມົນຕີກະຊວງຕຳຫຼວດ ຫວຽດນາມ.	(VOVworld) - Chủ tịch nước Trương Tấn Sang đã biểu dương kết quả hội đàm giữa Thủ tướng Dereko Midter và Bộ trưởng Bộ Công an Tô Lâm.
ສະແດງຄວາມພາກພູມໃຈເມື່ອເຫັນວ່າ ສອງຝ່າຍໄດ້ແລກປ່ຽນ ແລະເຫັນດີເປັນເອກະພາບຕໍ່ບັນດາມາດ ຕະການລະອຽດ, ແທດຈິງ, ແນໃສ່ຊຸກຍູ້ສາຍພົວພັນຮ່ວມມື ລະຫວ່າງສອງປະເທດໃນຂົງເຂດປ້ອງກັນຄວາມສະຫງົບ, ສືບຂ່າວໃຫ້ເຂົ້າສູ່ລວງເລິກ, ມີປະສິດທິຜົນຢ່າງແທດຈິງກວ່າອີກ.	Bày tỏ tự hào khi thấy hai bên trao đổi và nhất trí về các biện pháp cụ thể, thiết thực nhằm thúc đẩy quan hệ hợp tác giữa hai nước trong lĩnh vực an ninh, đi vào chiều sâu, hiệu quả hơn.
ທ່ານປະທານປະເທດ ເນັ້ນໜັກວ່າ: ການຮ່ວມມືດ້ານປ້ອງກັນຄວາມສະຫງົບ, ສືບຂ່າວແມ່ນໜຶ່ງໃນບັນດາເສົາຄ້ຳທີ່ມີຄວາມສຳຄັນໃນສາຍພົວພັນ ຫວຽດນາມ-ບຸນກາຣີ, ເປັນພື້ນຖານເພື່ອປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ ລະຫວ່າງສອງລັດ, ລັດຖະບານ, ເພື່ອຜົນປະໂຫຍດ ຂອງປະຊາຊົນສອງປະເທດ.	Ông nhấn mạnh, hợp tác an ninh và tình báo là một trong những trụ cột quan trọng của quan hệ Việt Nam-Bulgaria, là cơ sở để tăng cường tin cậy chính trị giữa hai nước và chính phủ vì lợi ích của nhân dân hai nước.
ທ່ານ ເຈີ່ນດ້າຍກວາງ ປະທານປະເທດ ຫວຽດນາມ ຕ້ອນຮັບທ່ານ ເດີຣາໂກມີ ດີມີເຕີຣົບ (Dragomir Dimitrov), ປະທານອົງການສືບຂ່າວແຫ່ງລັດ ບຸນກາຣີ.	Chủ tịch nước Trần Đại Quang tiếp ông Dragomir Dimitrov, Chủ tịch Cơ quan Tình báo Nhà nước Bulgaria.
ທ່ານປະທານປະເທດກໍ່ສະເໜີວ່າ: ຫວຽດນາມ ແລະບຸນກາຣີ ຄວນເພີ່ມທະວີການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ, ປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ການຕ້ານອາດຊະຍາກຳ ແລະບັນດາຂົງເຂດທີ່ມີທ່າແຮງອື່ນໆ;	Chủ tịch nước cũng cho rằng Việt Nam và Bulgaria cần tăng cường hợp tác kinh tế, thương mại, đầu tư, quốc phòng, an ninh, đấu tranh phòng chống tội phạm và các lĩnh vực tiềm năng khác.
ທ່ານປາດຖະໜາວ່າສອງຝ່າຍເພີ່ມທະວີການຮ່ວມມື, ແບ່ງປັນຂໍ້ມູນ, ສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນໃນບັນດາເວທີປາໄສສາກົນ, ໂດຍສະເພາະແມ່ນໃນຂອບເຂດສະຫະປະຊາຊາດ.	Ông mong muốn hai bên tăng cường hợp tác, chia sẻ thông tin và hiểu biết lẫn nhau tại các diễn đàn quốc tế, nhất là trong khuôn khổ Liên hợp quốc.
ທ່ານ ເດີຣາໂກມີ ດີມີເຕີຣົບ ແຈ້ງໃຫ້ທ່ານ ເຈີ່ນດ້າຍກວາງ ປະທານປະເທດ ຮັບຊາບໝາກຜົນແຫ່ງການເຈລະຈາກັບທ່ານ ໂຕເລີມ ລັດຖະມົນຕີກະຊວງຕຳຫຼວດ ແລະຢືນຢັນວ່າ: ໝາກຜົນອັນດີງາມ ຂອງການເຈລະຈານັ້ນແມ່ນສະແດງໃຫ້ເຫັນການຮ່ວມມືທີ່ໜ້າໄວ້ເນື້ອເຊື່ອໃຈ ລະຫວ່າງສອງປະເທດ, ພ້ອມທັງຖືວ່າສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອລະຫວ່າງ ບຸນກາຣີ ແລະຫວຽດນາມ ແມ່ນພື້ນຖານເພື່ອໃຫ້ສອງປະເທດພ້ອມກັນແກ້ໄຂບັນດາສິ່ງທ້າທາຍທີ່ພວມເກີດຂຶ້ນ.	(VOVworld) - Chủ tịch nước Trương Tấn Sang đã thông báo tóm tắt với Chủ tịch nước Trần Đại Quang về kết quả hội đàm với Bộ trưởng Bộ Công an.
ແປໂດຍ: ຮູຍດົງ.	Dịch bởi: Huy Đông.
