ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 18 ກໍລະກົດ, ທີ່ສຳນັກງານປະທານປະເທດຫວຽດນາມໄດ້ຈັດຕັ້ງພິທີຕ້ອນຮັບທ່ານນາຍົກລັດຖະມົນຕີ ສ.	Sáng 18/7, Văn phòng Tổng thống Việt Nam chủ trì chiêu đãi Thủ tướng Hàn Quốc.
ສະໂລວາເກຍ Robert Fico ມາຢ້ຽມຢາມຫວຽດນາມຕາມຄຳເຊີນຂອງທ່ານນາຍົກລັດຖະມົນຕີ ສສ.	Slovakia Robert Fico thăm Việt Nam theo lời mời của Thủ tướng Cộng hòa Slovakia
ຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຢ່າງສົມກຽດ.	Việt Nam Nguyễn Xuân Phúc vinh dự
ພາຍຫລັງພິທີຕ້ອນຮັບ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ດຳເນີນການເຈລະຈາກັບທ່ານນາຍົກລັດຖະມົນຕີ ສ.ສະໂລວາເກຍ Robert Fico.	Sau lễ đón, Thủ tướng Nguyễn Xuân Phúc đã hội đàm với Thủ tướng Slovakia Robert Fico.
ນາຍົກລັດຖະມົນຕີສອງທ່ານໄດ້ແລກປ່ຽນກ່ຽວກັບບັນດາມາດຕະການລະອຽດເພື່ອຊຸກຍູ້ການຮ່ວມມືສອງຝ່າຍ ແລະບັນດາບັນຫາພາກພື້ນ ແລະສາກົນທີ່ທັງສອງຝ່າຍມີຄວາມສົນໃຈນຳ.	Hai Thủ tướng đã trao đổi về các biện pháp chi tiết nhằm thúc đẩy hợp tác song phương và các vấn đề khu vực và quốc tế cùng quan tâm.
ນາຍົກລັດຖະມົນຕີທັງສອງ ທ່ານ ໄດ້ສະແດງຄວາມເພິ່ງພໍໃຈຕໍ່ບັນດາບາດກ້າວພັດທະນາ ຢ່າງຕັ້ງໜ້າໃນສາຍພົວພັນຫວຽດນາມ - ສະໂລວາເກຍ ໃນໄລຍະຜ່ານມາ, ການນຳສອງທ່ານຕີລາຄາການຮ່ວມມືດ້ານເສດຖະກິດ-ການຄ້າລະຫວ່າງ ຫວຽດນາມ - ສະໂລວາເກຍໄດ້ຮັບການພັດທະນາຢ່າງໝັ້ນຄົງ, ວົງເງິນການຄ້າສອງສົ້ນບັນລຸສະເລ່ຍ 300 ລ້ານໂດລາສະຫະລັດຕໍ່ປີໃນຊຸມປີມໍ່ໆມານີ້, ການລົງທຶນໂດຍກົງຂອງສະໂລວາເກຍ ເຂົ້າສູ່ ຫວຽດນາມ ຍັງໜ້ອຍຢູ່ດ້ວຍ 5 ໂຄງການລົງທຶນຍັງມີຜົນສັກສິດ.	Thủ tướng bày tỏ hài lòng về những bước phát triển tích cực của mối quan hệ tích cực Việt Nam - Slovakia trong thời gian qua diễn giải hợp tác kinh tế - thương mại giữa hai nước - Slovakia phát triển ổn định, kim ngạch thương mại tăng bình quân 300 triệu USD / năm trong thời gian qua. nhiều năm, Slovakia đầu tư trực tiếp vào Việt Nam ít nhất 5 dự án có hiệu quả.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ແລະທ່ານ Robert Fico ນາຍົກລັດຖະມົນຕີ ສ.	Thủ tướng Nguyễn Xuân Phúc và Thủ tướng Robert Fico
ສະໂລວາເກຍ ເປັນສັກຂິພິຍານພິທີລົງນາມໃນເອກະສານການຮ່ວມມື.	Slovakia chứng kiến lễ ký kết văn kiện hợp tác.
ພາບ: TTXVN	Ảnh: TTXVN
ໃນຂະນະນັ້ນ, ຫວຽດນາມພຽງແຕ່ມີໜຶ່ງໂຄງການລົງທຶນຂອງ FPT ຢູ່ ສະໂລວາເກຍ ເທົ່ານັ້ນ, ເພື່ອນຳການຮ່ວມມືດ້ານເສດຖະກິດຂຶ້ນສູ່ລະດັບສູງໃໝ່, ນາຍົກລັດຖະມົນຕີສອງ ທ່ານໄດ້ຕົກລົງຍົກສູງປະສິດທິຜົນກົນໄກຄະນະກຳມະການປະສົມກ່ຽວກັບການຮ່ວມມືເສດຖະກິດ, ເພີ່ມທະວີວຽກງານສົ່ງເສີມການຄ້າ, ການລົງທຶນ ແລະ ສ້າງເງື່ອນໄຂໃຫ້ວິສາຫະກິດເຊື່ອມຕໍ່ຄູ່ຮ່ວມມື, ຊອກຫາຕະຫລາດຂອງກັນ, ໂດຍສະເພາະແມ່ນໃນບັນດາຂົງເຂດທີ່ ສະໂລວາເກຍ ມີທ່າແຮງ ແລະຫວຽດນາມມີຄວາມຕ້ອງການຄື: ກໍ່ສ້າງພື້ນຖານໂຄງລ່າງ, ປຸງແຕ່ງສະບຽງອາຫານ, ຢຸກຢາ, ວາງແຜນຜັງເມືອງ ແລະຄົມມະນາຄົມສາທາລະນະ, ປົກປັກຮັກສາສິ່ງແວດລ້ອມ, ຄຸ້ມຄອງແຫຼ່ງນ້ຳ...ນາຍົກລັດຖະມົນຕີສອງ ທ່ານ ກໍ່ໄດ້ເຫັນດີເປັນເອກະສັນຍູ້ແຮງການຮ່ວມມືດ້ານການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ວັດທະນະທຳ, ການສຶກສາ-ກໍ່ສ້າງ, ວິທະຍາສາດ-ເຕັກນິກ.	Trong khi đó, Việt Nam chỉ có một dự án đầu tư của FPT tại Slovakia duy nhất để đồng kinh tế lên một tầm cao mới, Thủ tướng hai bên nhất trí nâng cơ chế hiệu lực của Ủy ban hỗn hợp về kinh tế hợp tác, tăng cường xúc tiến thương mại, đầu tư và tạo điều kiện thuận lợi cho các doanh nghiệp liên kết. cùng nhau tìm kiếm thị trường của đối phương, nhất là trong những lĩnh vực có tiềm năng Slovakia và Việt Nam để xây dựng cơ sở hạ tầng, thực phẩm nấu chín, thuốc men, quy hoạch và viễn thông, bảo vệ môi trường, quản lý nguồn nước ... Thủ tướng hai nước cũng nhất trí đẩy mạnh hợp tác trong lĩnh vực quốc phòng. , quốc phòng, an ninh, văn hóa, giáo dục - Xây dựng, khoa học và công nghệ.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວນຊວນຟຸກ ແລະ ທ່ານນາຍົກລັດຖະມົນຕີ ສະໂລວາເກຍ Robert Fico ໄດ້ສະແດງຄວາມເພິ່ງພໍໃຈຕໍ່ການສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ, ມີປະສິດທິຜົນລະຫວ່າງສອງຊາດໃນເວທີສາກົນ.	Thủ tướng Nguyễn Xuân Phúc và Thủ tướng Slovakia Robert Fico bày tỏ hài lòng về quan hệ hợp tác bền chặt, hiệu quả giữa hai dân tộc trên trường quốc tế.
ທ່ານ Robert Fico ຢືນຢັນວ່າ ສະໂລວາເກຍ ສະໜັບສະໜູນການເພີ່ມທະວີສາຍພົວພັນລະຫວ່າງຫວຽດນາມ ແລະອີຢູ, ລົງນາມ ແລະໃຫ້ສັດຕະຍາບັນສັນຍາການຄ້າເສລີຫວຽດນາມ - ອີຢູ (EVFTA) ແລະຊຸກຍູ້ອີຢູ ຮັບຮອງພື້ນຖານເສດຖະກິດຕະຫລາດຢ່າງຄົບຖ້ວນໃຫ້ຫວຽດນາມໂດຍໄວພ້ອມກັບຈຸດເວລາລົງນາມໃນ (EVFTA) ຢ່າງເປັນທາງການ.	Ông Robert Fico khẳng định Slovakia ủng hộ việc tăng cường quan hệ giữa Việt Nam và EU, sớm ký kết và phê chuẩn Hiệp định Thương mại tự do Việt Nam - Liên minh châu Âu (EVFTA) và kêu gọi EU sớm phê chuẩn nền kinh tế thị trường đầy đủ cho Việt Nam. thời gian (EVFTA).
