ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 26 ກຸມພາ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ໄດ້ມາເຖິງຮ່າໂນ້ຍ, ສິ້ນສຸດການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສປປ ລາວ ຢ່າງເປັນທາງການ ແລະຢ້ຽມຢາມທາງລັດຖະກິດລາຊະອານາຈັກກໍາປູເຈຍ (ໃນລະຫວ່າງວັນທີ 24-26 ກຸມພາ 2019) ຕາມຄໍາເຊີນຂອງທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ ແລະຄໍາເຊີນຂອງພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ພະມະຫາກະສັດແຫ່ງລາຊະອານາຈັກກໍາປູເຈຍ.	DPA - Nguyễn Phú Trọng, Chủ tịch của Công ty Nguyễn Phú Thượng, Chủ tịch Lào
ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບາງຮູບພາບພົ້ນເດັ່ນໃນການຢ້ຽມຢາມສອງປະເທດຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Nhà báo người Việt Nam đề cập đến chuyến thăm của Việt Nam-bí mật Trung Quốc đến Nguyễn Phi Trọng: Chủ tịch tổng thống
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ໄປເຖິງນະຄອນຫຼວງ ວຽງຈັນ, ເລີ່ມຕົ້ນການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສປປ ລາວ ຢ່າງເປັນທາງການ.	Nguyễn Phú Trọng Tổng thư ký, Chủ tịch Tổng thống đến Viêng Chăn, bắt đầu đến thăm PDR Lào.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ ກວດແຖວກຽດຕິຍົດກອງທັບປະຊາຊົນລາວ.	Tổng thư ký Nguyễn Phú Trọng, Tổng thống, Chủ tịch, Việt Nam, Chủ tịch, Chủ tịch, Chủ tịch Quân đội Nhân dân Lào.
ພາບ: ຫງວຽນເຕີ໋ນຕວນ.	Ảnh: Nguyễn Tennan Bon.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ພົບປະກັບທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີແຫ່ງສປປ ລາວ.	Nguyễn Phú Trọng Tổng thư ký, Chủ tịch Chủ tịch Trương Tấn Sang, Ông Thongsing của Thủ tướng Chính phủ PDR.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ ໄດ້ເປັນສັກຂີພິຍານພິທີລົງນາມໃນເອກະສານຮ່ວມມື 9 ສະບັບ ລະຫວ່າງບາງກະຊວງ, ຂະແໜງການຂອງສອງປະເທດ.	Nguyễn Phú Trọng Tổng thư ký, Chủ tịch, Chủ tịch, Chủ tịch, Chủ tịch buổi lễ)
ພາບ: ຫງວຽນເຕີ໋ນຕວນ.	Ảnh: Nguyễn Tennan Bon.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະທ່ານນາງ ປານີ ຢາທໍ່ຕູ້ ປະທານສະພາແຫ່ງຊາດລາວ.	Nguyễn Phú Trọng Tổng thư ký, Chủ tịch, Chủ tịch, Việt Nam và Chủ tịch Quốc hội Lào.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ຊາວນະຄອນຫຼວງວຽງຈັນ ແລະຊາວຫວຽດນາມອາໄສຢູ່ລາວຕ້ອນຮັບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຢູ່ສະໜາມບິນສາກົນວັດໄຕເປັນຈໍານວນຫຼວງຫຼາຍ.	Viêng Chăn và Việt Nam chào đón Lào để chào đón Tổng thư ký Nguyễn Phú Trọng, Tổng thống Trương Tấn Sang.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ພະມະຫາກະສັດແຫ່ງລາຊະອານາຈັກກໍາປູເຈຍ ເປັນປະທານພິທີຕ້ອນຮັບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Chủ tịch Norodom Sihamoni, Tổng thống Nguyễn King King của Tổng thư ký Nguyễn Trọng, Tổng thư ký, Việt Nam.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
