ກປ.ອອນໄລ - ວັນທີ 3 ກຸມພາ 2020, ພັກກອມມູນິດຫວຽດນາມ ຄົບຮອບ 90 ປີ.	Ngày 03/02/2020, kỷ niệm 90 năm ngày thành lập Đảng Cộng sản Việt Nam.
ຮ່ວມເດີນທາງພ້ອມກັບຊາດ, ໃນໄລຍະເວລານັ້ນ, ພັກກອມມູນິດຫວຽດນາມ ຍາມໃດກໍ່ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງວ່າຕົນແມ່ນຜູ້ຈັດຕັ້ງ ແລະຊີ້ນໍາທຸກໄຊຊະນະຂອງການປະຕິວັດຫວຽດນາມ, ນັ້ນແມ່ນຄວາມເປັນຈິງທີ່ບໍ່ມີໃຜສາມາດປະຕິເສດໄດ້.	Đồng hành cùng dân tộc, trong suốt thời gian qua, Đảng Cộng sản Việt Nam luôn tỏ rõ mình là người tổ chức và lãnh đạo mọi thắng lợi của cách mạng Việt Nam, một thực tế không ai có thể phủ nhận.
ຊາດຫວຽດນາມ, ປະຊາຊົນນັບແຕ່ເມື່ອມີພັກປະຕິວັດຫວຽດນາມ ໄດ້ຜ່ານຜ່າທຸກສິ່ງທ້າທາຍ, ຄວາມຫຍຸ້ງຍາກລຳບາກມຸ່ງໄປເຖິງອະນາຄົດ.	Dân tộc Việt Nam, từ khi có Đảng Nhân dân Cách mạng Việt Nam, đã vượt qua mọi thử thách, khó khăn để hướng tới tương lai.
ໃນຕະຫຼອດໄລຍະ 90 ປີຜ່ານມາ, ນັບແຕ່ເມື່ອປະກົດຕົວໃນເວທີປາໄສການເມືອງ, ອີງຕາມພຶດຕິກໍາຕົວຈິງຂອງການປະຕິວັດ, ພັກກອມມູນິດຫວຽດນາມ ຍາມໃດກໍ່ວາງອອກໂຄງການການເມືອງທີ່ຖືກຕ້ອງ, ສິ່ງເຫຼົ່ານັ້ນໄດ້ຢັ້ງຢືນວ່າ: ພັກເຮົາຍາມໃດກໍ່ກໍາແໜ້ນ, ໝູນໃຊ້ ແລະພັດທະນາລັດທິມາກ-ເລນິນ ແລະແນວຄິດໂຮ່ຈີມິນ.	90 năm qua, kể từ khi xuất hiện trên chính trường, trên cơ sở thực tiễn hoạt động của cách mạng, Đảng Cộng sản Việt Nam luôn đề ra đường lối chính trị đúng đắn, điều đó chứng tỏ Đảng ta luôn theo đuổi, vận dụng và phát triển chủ nghĩa Mác- Chủ nghĩa Lê-nin và tư tưởng Hồ Chí Minh.
ພາຍໃຕ້ແສງສະຫວ່າງຂອງລັດທິມາກ-ເລນິນ, ແນວຄິດໂຮ່ຈີມິນ, ພັກກອມມູນິດໄດ້ເສີມຂະຫຍາຍກໍາລັງແຮງຂອງຊາດ ແລະຍຸກສະໄໝໃນການຕໍ່ສູ້ຕ້ານພວກລ່າເມືອງຂຶ້ນຝະລັ່ງ ຮຸກຮານ ແລະພວກສັກດີນາລູກແຫຼ້ງຕີນມື.	Dưới ánh sáng của chủ nghĩa Mác - Lê-nin, tư tưởng Hồ Chí Minh, Đảng Cộng sản đã củng cố các lực lượng dân tộc và hiện đại trong cuộc chiến đấu chống giặc Pháp xâm lược và quý tộc.
ປະທານໂຮ່ຈີມິນ ໄດ້ອ່ານສູນທອນພົດຢູ່ກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ II ຂອງພັກຢູ່ເຂດທີ່ໝັ້ນຕວຽນກວາງ.	Chủ tịch Hồ Chí Minh đọc diễn văn tại Đại hội Đảng bộ tỉnh Tuyên Quang lần thứ II.
ພາບ: ສາລະຄະດີ.	Ảnh: Tư liệu.
ໄລຍະ 15 ປີຜ່ານໄປ (1930-1945) ນັບແຕ່ວັນສ້າງຕັ້ງ, ຜ່ານການຕໍ່ສູ້ທີ່ລໍາບາກກາກກໍາ, ຕອນທີປິດລັບ, ຕອນທີ່ເປີດເຜີຍ, ເຖິງວ່າພົບປະກັບບັນດາຄວາມເສຍຫາຍການເສຍສະຫຼະອັນໃຫຍ່ຫຼວງກໍ່ຕາມ, ແຕ່ພັກຍັງຮັກສາເຈດຈໍານົງຕໍ່ສູ້ໄວ້ຢ່າງໝັ້ນຄົງ, ຄວາມເດັດດຽວຂອງການປະຕິວັດ, ຈົ່ງຮັກພັກດີຕໍ່ຄາດໝາຍອຸດົມຄະຕິຂອງຕົນ.	Mười lăm năm trôi qua kể từ ngày thành lập (1930-1945), trải qua đấu tranh gian khổ, bí mật, công khai, dù bị tàn phá và hy sinh to lớn, Đảng bộ vẫn kiên định, kiên định cách mạng, trung thành với lý tưởng. .
ກໍາແໜ້ນກາລະໂອກາດ, ພັກເຮົາໄດ້ຍົກອອກບັນດາຂໍ້ຕົກລົງທີ່ມີລັກສະນະປະຫວັດສາດຢ່າງທັນການ.	Nắm bắt thời cơ, đảng ta đã kịp thời dỡ bỏ những hiệp định lịch sử.
ເດືອນ ພຶດສະພາ 1941, ກອງປະຊຸມສູູນກາງ ຄັ້ງທີ VIII ຂອງພັກຢູ່ ຄວ້ຍເນີ້ມ, ປາກປໍ໊, ແຂວງກາວບັ່ງ, ຫວຽດນາມ ໄດ້ຕົກລົງຫັນປ່ຽນການຊີ້ນໍາຍຸດທະສາດຂອງພັກ-ຢັ້ງຢືນການປົດປ່ອຍຊາດແມ່ນໜ້າທີ່ແຖວໜ້າຂອງການປະຕິວັດຫວຽດນາມ.	Tháng 5 năm 1941, tại Hội nghị lần thứ tám Ban Chấp hành Trung ương Đảng tại Quán Nệm, Pắk Pô, tỉnh Cao Bằng, Việt Nam nhất trí chuyển hướng chiến lược của Đảng - khẳng định giải phóng dân tộc là nhiệm vụ hàng đầu của cách mạng Việt Nam.
ກອງປະຊຸມໄດ້ຕົກລົງສ້າງຕັ້ງ “ພັນທະມິດເອກະລາດຫວຽດນາມ (ເອີ້ນຫຍ້ໍແມ່ນຫວຽດມິງ) ເພື່ອແນໃສ່ເຕົ້າໂຮມ ແລະຄວາມສາມັກຄີບັນດາຊົນຊັ້ນ, ບັນດາຊົນຊາດ, ສາສະໜາຢ່າງກວ້າງຂວາງ.	Hội nghị nhất trí thành lập “Việt Nam Độc lập Đồng minh hội (viết tắt là Việt Minh) nhằm mục đích tập hợp, đoàn kết các tầng lớp, dân tộc, tôn giáo.
