ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 19 ກຸມພາ, ທີ່ສໍານັກງານສູນກາງພັກ, ທ່ານ ຫງວຽນຝູຈ້ອງ, ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Zhao Kezhi ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດຈີນ ທີ່ພວມມີການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ຫວຽດນາມ.	DPA - tháng 19, tại thư ký trung ương, thư ký, thư ký, thư ký, thư ký, thư ký, thư ký, Việt Nam
ທີ່ການຕ້ອນຮັບ, ທ່ານ Zhao Kezhi ໃຫ້ຮູ້ວ່າ ໃນໄລຍະຈະມາເຖິງ, ກະຊວງຕໍາຫຼວດສອງປະເທດ ຈະສືບຕໍ່ສົມທົບກັນປະຕິບັດຄວາມຮັບຮູ້ລວມຂອງການນໍາຂັ້ນສູງສອງພັກ, ສອງລັດ ເປັນຢ່າງດີ, ຊຸກຍູ້ການຮ່ວມມືໃນຂົງເຂດຕ້ານ ແລະສະກັດກັ້ນອາດຊະຍາກໍາ, ປະກອບສ່ວນນໍາການພົວພັນລະຫວ່າງຈີນ-ຫວຽດນາມ ໃຫ້ພັດທະນານັບມື້ນັບເລິກເຊິ່ງກວ້າງຂວາງ, ນໍາມາເຊິ່ງຜົນປະໂຫຍດຢ່າງແທດຈິງໃຫ້ແກ່ປະຊາຊົນສອງປະເທດ, ປະກອບສ່ວນຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບຂອງພາກພື້ນ ແລະໂລກ.	Lễ tân, ông Zhao Kezhi để biết rằng trong thời gian tới của hai người, trong cộng đồng, góp phần hợp tác của hai nước, với sự phát triển của khu vực, và bệnh đang diễn ra
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຕ້ອນຮັບທ່ານ Zhao Kezhi ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດຈີນ.	Tổng thư ký Việt Nam Tổng thư ký Nguyễn Phú Trọng nhận Bộ trưởng Zhao Kezo Kezhi của Cảnh sát Trung Quốc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ຫງວຽນຝູຈ້ອງ ສະເໜີໃນໄລຍະຈະມາເຖິງ, ກະຊວງຕໍາຫຼວດສອງປະເທດ ຄວນສືບຕໍ່ປະຕິບັດຄວາມຮັບຮູ້ລວມຂອງການນໍາຂັ້ນສູງສອງພັກ, ສອງລັດໃນຂົງເຂດຮ່ວມມືດ້ານປ້ອງກັນຄວາມສະຫງົບ ແລະປະຕິບັດກົດໝາຍເປັນຢ່າງດີ, ເສີມຂະຫຍາຍບົດບາດພິເສດຂອງຕົນໃນສະພາບເປັນປົກກະຕິຄືນໃໝ່ທັງປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ທັງຟື້ນຟູເສດຖະກິດ;	Nguyễn Phú Trọng cung cấp thời gian tới, Bộ Cảnh sát nên tiếp tục hoàn thành tổng hợp nói chung, với sự lãnh đạo kinh tế;
ເພີ່ມທະວີການພົບປະແລກປ່ຽນລະຫວ່າງສອງຝ່າຍ.	Tăng trao đổi song phương.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເນັ້ນໜັກວ່າ ພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ ຍາມໃດກໍ່ຖືເປັນສຳຄັນການປັບປຸງ ແລະພັດທະນາສາຍພົວພັນຖານບ້ານໃກ້ເຮືອນຄຽງມິດຕະພາບກັບພັກ, ລັດ ແລະປະຊາຊົນຈີນ.	Thung lũng Việt Nam nhấn mạnh vào bữa tiệc, Nhà nước và người dân Việt Nam rất quan trọng để cải thiện, Đảng, Nhà nước và người Trung Quốc.
ຫວຽດນາມ ພ້ອມແລ້ວທີ່ຈະພ້ອມກັບຝ່າຍຈີນ ຮັກສາການແລກປ່ຽນຂັ້ນສູງ, ຄວບຄຸມຄວາມບໍ່ລົງລອຍກັນ, ຜັນຂະຫຍາຍການຮ່ວມມືໃນຂົງເຂດຕ່າງໆຢ່າງມີປະສິດທິຜົນ, ຊຸກຍູ້ການພົວພັນຫວຽດນາມ-ຈີນ ໃຫ້ພັດທະນາຢ່າງປອດໃສ, ເປັນປົກກະຕິ.	Việt Nam đã sẵn sàng để đọc với Trung Quốc, Trung Quốc, Trung Quốc phát triển bạo lực trong các lĩnh vực.
* ກໍ່ໃນວັນດຽວກັນ, ທ່ານ ຫງວຽນຊວນຟຸກ, ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Zhao Kezhi, ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດຈີນ.	* Thực sự trong cùng một ngày, Thủ tướng Nguyễn Xay, Thủ tướng Chính phủ của Zhao Kezhi, Bộ phận cảnh sát Trung Quốc.
ຕາງໜ້າລັດຖະບານ, ທ່ານ ຫງວຽນຊວນຟຸກ ຊົມເຊີຍທ່ານ Zhao Kezhi ມາຢ້ຽມຢາມຫວຽດນາມ ແລະເປັນປະທານຮ່ວມກອງປະຊຸມຮ່ວມມືປ້ອງກັນ, ຕ້ານອາດຊະຍາກໍາ ຄັ້ງທີ 7 ລະຫວ່າງກະຊວງຕໍາຫຼວດສອງປະເທດ.	Thay mặt Chính phủ, ông Zhao Keho Kezhi hội nghị, tội phạm thứ 7 giữa hai bộ cảnh sát.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີໃນໄລຍະຈະມາເຖິງ, ສອງຝ່າຍສືບຕໍ່ປະຕິບັດຂໍ້ຕົກລົງທີ່ໄດ້ລົງນາມເປັນຢ່າງດີ, ເພີ່ມທະວີການຮ່ວມມືຕໍ່ສູ້ຕ້ານອາດຊະຍາກໍາປະເພດຕ່າງໆ ແລະການເຂົ້າ-ອອກເມືອງຢ່າງຜິດກົດໝາຍ...	Thủ tướng Nguyễn Xuân được bảo vệ trong thời gian tới, hai bên tiếp tục thực hiện các loại tội phạm và gạo, và tiếp cận với thành phố bất hợp pháp ...
ທ່ານ ຫງວຽນຊວນຟຸກ, ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ Zhao Kezhi ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດຈີນ.	Nguyễn Xuân Nguyễn Xuân, Thủ tướng Nguyễn Phú, Thủ tướng Nguyễn Xuân
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ຫງວຽນຊວນຟຸກ ກ່າວວ່າ ພະຍາດໂຄວິດ-19 ໄດ້ສົ່ງຜົນກະທົບຢ່າງຮ້າຍແຮງເຖິງຫຼາຍປະເທດ.	Thủ tướng Nguyễn Xuanha cho biết bị ảnh hưởng nghiêm trọng bởi nhiều quốc gia.
ໃນສະພາບການນັ້ນ, ນາຍົກລັດຖະມົນຕີສອງປະເທດ ໄດ້ມີການສົນທະນາທາງໂທລະສັບ (ເດືອນເມສາ 2020) ເພື່ອແລກປ່ຽນ, ຮ່ວມມືກ່ຽວກັບການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ແລະໜູນຊ່ວຍເຊິ່ງກັນ ແລະກັນກ່ຽວກັບວັດຖຸອຸປະກອນການແພດ.	Trong bối cảnh đó, hai thủ tướng có một cuộc trò chuyện qua điện thoại (20 tháng 4 năm 20) để trao đổi, chống y tế và giúp đỡ.
ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ປາດຖະໜາຢາກ ແລະພ້ອມແລ້ວທີ່ຈະພ້ອມກັບຈີນ ເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ, ພິເສດແມ່ນຊຸກຍູ້ບັນດາການຢ້ຽມຢາມຂັ້ນສູງ ເພື່ອແລກປ່ຽນ, ເປີດກວ້າງ ແລະຍົກສູງປະສິດທິຜົນການຮ່ວມມືໃນທຸກຂົງເຂດ;	Thủ đô Việt Nam, Việt Nam muốn Trung Quốc liên lạc với Trung Quốc, đặc sản liên tiếp, mở cửa trong tất cả các lĩnh vực;
ສົມທົບກັນເປັນຢ່າງດີໃນບັນດາບັນຫາສາກົນ, ພາກພື້ນ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ;	Kết hợp tốt trong các vấn đề quốc tế, khu vực khu vực quan tâm;
