ກປ.ອອນໄລ - Viettel ຈະທົດລອງໃຊ້ເຄືອຂ່າຍ 5G ໃນໄຕມາດ 3 ປີ 2019.	Viettel sẽ ra mắt mạng 5G vào quý 3 năm 2019.
ນີ້ແມ່ນຄຳແບ່ງປັນຂອງທ່ານພັນເອກ ຕ່າວດຶກຖັງ, ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ໃນການແລກປ່ຽນກັບສື່ມວນຊົນທີ່ຫາກໍ່ດໍາເນີນໄປຢູ່ຮ່າໂນ້ຍ.	Đây là chia sẻ của Đại tá Tào Đức Thắng, Phó Tổng Giám đốc Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel) trong buổi giao lưu truyền thông mới đây tại Hà Nội.
ຕາມທ່ານພັນເອກ ຕ່າວດຶກຖັງ ແລ້ວ, Viettel ຈະທົດລອງການບໍລິການເຄືອຂ່າຍ 5G ໃນໄຕມາດ 3 ປີ 2019 ຢູ່ຮ່າໂນ້ຍ ແລະນະຄອນໂຮ່ຈີມິນ.	Theo Đại tá Đức Thắng, Viettel sẽ triển khai thử nghiệm dịch vụ mạng 5G vào quý III / 2019 tại Hà Nội và TP.
ເລື່ອງທົດລອງນີ້ຈະຊ່ວຍໃຫ້ Viettel ຕີລາຄາກ່ຽວກັບເຂດສົ່ງສັນຍານ, ເຂດນຳໃຊ້ແອບພຣີເຄຊັນ...	Bài kiểm tra này sẽ giúp Viettel đánh giá vùng truyền tín hiệu, vùng ứng dụng ứng dụng ...
ໃນເຄືອຂ່າຍ 5G ຫຼັງຈາກນັ້ນຍົກອອກຍຸດທະສາດຜັນຂະຫຍາຍໃຫ້ເໝາະສົມ.	Trong các mạng 5G, hãy đưa ra chiến lược triển khai cho phù hợp.
ທ່ານພັນເອກ ຕ່າວດຶກຖັງ ກໍ່ໃຫ້ຮູ້ວ່າ, ຢູ່ໃນໂລກມີບາງປະເທດ, ຄື: ຍີ່ປຸ່ນ, ສ.ເກົາຫຼີ, ຈີນ ຄາດຄະເນວ່າປີ 2019 ຫຼື 2020 ຈະຜັນຂະຫຍາຍເຄືອຂ່າຍ 5G.	Theo Đại tá Đức Thắng, trên thế giới đã có một số quốc gia như Nhật Bản, Hàn Quốc, Trung Quốc dự kiến triển khai mạng 5G vào năm 2019 hoặc 2020.
ຜົນປະໂຫຍດຂອງ 5G ລວມມີທັງໂປຼແກຼມສະໜອງໃຫ້ແກ່ລະບົບເຕັກໂນໂລຢີໃນການປະຕິວັດອຸດສາຫະກໍາ 4.0, ເພື່ອຮັບໃຊ້ໃຫ້ແກ່ການເຊື່ອມຕໍ່, ຫັນເປັນອັດຕະໂນມັດ, ລະບົບສາຍສົ່ງຄວາມໄວສູງ, ແກ້ໄຂຂໍ້ຈໍາກັດຂອງບັນດາເຕັກໂນໂລຢີລຸ້ນເກົ່າໄດ້ຫຼາຍຢ່າງ.	Lợi ích của 5G bao gồm hai ứng dụng vào hệ thống công nghệ trong Cách mạng công nghiệp 4.0, phục vụ kết nối, tự động hóa, đường truyền tốc độ cao, khắc phục nhiều hạn chế của các công nghệ cũ.
Viettel ຈະຜັນຂະຫຍາຍການທົດລອງນຳໃຊ້ເຄືອຂ່າຍ 5G ຢູ່ນະຄອນຮ່າໂນ້ຍ ແລະນະຄອນໂຮ່ຈີມິນໂດຍໄວ.	Viettel sẽ sớm triển khai thử nghiệm mạng 5G tại Hà Nội và TP.
ພາບ: ວັນຟອງ.	Ảnh: Bubble Day
ກ່ອນໜ້ານັ້ນ, ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ກໍ່ໄດ້ລົງນາມໃນຂໍ້ຕົກລົງອອກໃບອະນຸຍາດຜັນຂະຫຍາຍການທົດລອງນຳໃຊ້ເຄືອຂ່າຍ ແລະບໍລິການໂທລະຄົມມະນາຄົມ 5G ໃຫ້ກຸ່ມບໍລິສັດ Viettel ພາຍຫຼັງພິຈາລະນາຂໍ້ສະເໜີຂອງບໍລິສັດໂທລະຄົມມະນາຄົມນີ້.	Trước đó, Bộ Thông tin và Truyền thông Việt Nam đã ký thỏa thuận cấp phép mở rộng thử nghiệm mạng và dịch vụ viễn thông 5G cho Tập đoàn Viettel sau khi xem xét đề xuất của công ty viễn thông.
Viettel ໄດ້ກາຍເປັນບໍລິສັດໂທລະຄົມມະນາຄົມແຫ່ງທໍາອິດທີ່ມີໃບອະນຸຍາດທົດລອງນຳໃຊ້ເຄືອຂ່າຍ 5G.	Viettel đã trở thành công ty viễn thông đầu tiên có giấy phép thử nghiệm mạng 5G.
ໃບອະນຸຍາດທົດລອງ 5G ຂອງ Viettel ຈະມີຜົນສັກສິດໃນເວລາ 1 ປີ, ນັບແຕ່ວັນທີ 22 ມັງກອນ 2019 ຮອດວັນທີ 21 ມັງກອນ 2020.	Giấy phép thử nghiệm 5G của Viettel sẽ có hiệu lực trong vòng một năm, từ ngày 22/1/2019 đến ngày 21/1/2020.
ດ້ວຍໃບອະນຸຍາດນີ້, Viettel ໄດ້ທຳການທົດລອງເພື່ອຕີລາຄາລັກສະນະພິເສດດ້ານເຕັກນິກ ແລະຄວາມສາມາດຜັນຂະຫຍາຍພື້ນຖານໂຄງລ່າງໂທລະຄົມມະນາຄົມນໍາໃຊ້ເຕັກໂນໂລຢີເຄື່ອນຍ້າຍລຸ້ນທີ 5 - IMT 2020.	Với giấy phép này, Viettel đã tiến hành thử nghiệm đánh giá tính năng kỹ thuật và khả năng của hạ tầng viễn thông triển khai công nghệ di động thế hệ thứ 5 - IMT 2020.
ຂອບເຂດການທົດລອງເຄືອຂ່າຍ 5G ຂອງ Viettel ແມ່ນຢູ່ນະຄອນຮ່າໂນ້ຍ ແລະນະຄອນໂຮ່ຈີມິນ.	Mạng 5G thí điểm của Viettel tại Hà Nội và TP.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
