ກປ.ອອນໄລ - ວັນທີ 24 ພະຈິກ, ສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ໄດ້ຈັດຕັ້ງກອງປະຊຸມທາງໄກກ່ຽວກັບສະພາບການຢູ່ ອີຣັກ.	Hội đồng Bảo an Liên hợp quốc kêu gọi chấm dứt ngay lập tức các hành động thù địch ở Iraq
ຢູ່ທີ່ນີ້, ຫວຽດນາມ ຮຽກຮ້ອງໃຫ້ປະຊາຄົມສາກົນສືບຕໍ່ປະຕິບັດບັນດາຄໍາໝັ້ນສັນຍາໜູນຊ່ວຍ ອີຣັກ.	Tại đây, Việt Nam kêu gọi cộng đồng quốc tế tiếp tục thực hiện các điều khoản của Hiệp định viện trợ Iraq.
ທີ່ກອງປະຊຸມ, ບັນດາປະເທດສະມາຊິກສະພາຄວາມໝັ້ນຄົງກ່າວຄໍາເຫັນສະໜັບສະໜູນລັດຖະບານອີຣັກ ຜັນຂະຫຍາຍບັນດາມາດຕະການປະຕິຮູບທີ່ຈໍາເປັນເພື່ອຕອບສະໜອງຄວາມມຸ່ງມາດປາດຖະໜາອັນຊອບທໍາຂອງປະຊາຊົນ ແລະຊົມເຊີຍການຈັດຕັ້ງການເລືອກຕັ້ງໂດຍໄວໃນເດືອນ ມິຖຸນາ 2021.	Tại cuộc họp, các thành viên của Hội đồng Bảo an đã yêu cầu ngoài việc Cơ quan Năng lượng Nguyên tử Quốc tế đang tiến hành kiểm tra tại Iraq, cơ quan này giám sát việc tuân thủ của Iraq với "các bước theo yêu cầu của Hội đồng IAEA".
ບັນດາປະເທດກໍ່ສະແດງຄວາມວິຕົກກັງວົນຕໍ່ຜົນກະທົບຢ່າງເລິກເຊິ່ງຈາກພະຍາດໂຄວິດ-19 ແລະບັນດາຄວາມຫຍຸ້ງຍາກອື່ນທີ່ພວມວາງອອກສໍາລັບ ອີຣັກ;	Các nước quan ngại sâu sắc về tác động tàn phá của Kovi-19 và các thách thức khác mà Iraq phải đối mặt;
ຮຽກຮ້ອງ ອີຣັກ ຄວນສືບຕໍ່ມານະພະຍາຍາມຕ້ານກໍ່ການຮ້າຍ.	Thúc giục Iraq tiếp tục các nỗ lực chống khủng bố
ບັນດາປະເທດສະພາຄວາມໝັ້ນຄົງລ້ວນແຕ່ຖືວ່າປະຊາຄົມສາກົນຄວນໜູນຊ່ວຍອີຣັກ.	Hội đồng Bảo an yêu cầu ngoài các cuộc thanh tra liên tục của Cơ quan Năng lượng Nguyên tử Quốc tế tại Iran, Cơ quan này còn giám sát việc tuân thủ của Iran với "các bước theo yêu cầu của Hội đồng IAEA".
ສະໜັບສະໜູນບັນດາຄວາມມານະພະຍາຍາມຂອງຄະນະປະຕິບັດງານ ສປຊ ໜູນຊ່ວຍ ອີຣັກ (UNAMI) ແລະບັນດາອົງການຈັດຕັ້ງຂອງ ສປຊ ໃນການໜູນຊ່ວຍອີຣັກ;	Hỗ trợ các nỗ lực của Phái bộ Hỗ trợ của Liên hợp quốc tại Iraq (UNAMI) và Phái bộ Hỗ trợ của Liên hợp quốc tại Iraq (UNAMI);
ພ້ອມທັງເຄົາລົບເອກະລາດ, ອະທິປະໄຕ, ຜືນແຜ່ນດິນອັນຄົບຖ້ວນຂອງປະເທດນີ້.	Và tôn trọng độc lập, chủ quyền và toàn vẹn lãnh thổ của đất nước này.
ບັນຍາກາດທີ່ກອງປະຊຸມຂອງສະພາຄວາມໝັ້ນຄົງ ສປຊ.	Khí thế tại cuộc họp của Hội đồng Bảo an Liên hợp quốc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ດັ້ງດິ່ງກຸ໊ຍ ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ສປຊ ຕີລາຄາກ່ຽວກັບຄວາມມານະພະຍາຍາມຂອງລັດຖະບານອີຣັກ ແລະບັນດາຄວາມກ້າວໜ້າທີ່ບັນລຸໄດ້ຢູ່ ອີຣັກ ໃນໄລຍະຜ່ານມາ.	Phát biểu tại buổi tiếp, Đại sứ Đặng Đình Quý, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc, biểu dương những nỗ lực và thành tích của Chính phủ Iraq trong thời gian qua.
