ກປ.ອອນໄລ - ທ່ານພົນໂທ ຫງວຽນຈິວີ້ງ ຢືນຢັນວ່າ, ດ້ວຍການໜູນຊ່ວຍ, ຊ່ວຍເຫຼືອຂອງບັນດາຄູ່ຮ່ວມມື ອາເມລິກາ, ອັງກິດ, ອົດສະຕາລີ...	Trung tướng Nguyễn Chí Vịnh khẳng định, với sự giúp đỡ, giúp đỡ của các đối tác Hoa Kỳ, Anh, Úc ...
ໂຮງໝໍສະໜາມຂັ້ນ 2 ເລກທີ 1 ຂອງ ຫວຽດນາມ ໄດ້ກະກຽມດ້ານບຸກຄະລາກອນ, ວິຊາການ, ພະລາທິການ-ເຕັກນິກ, ພາສາອັງກິດຢ່າງລະອຽດ ແລະໄດ້ຝຶກແອບກ່ອນຜັນຂະຫຍາຍຕາມຂັ້ນຕອນ...	Nhà thi đấu số 2 Việt Nam đã chuẩn bị kỹ lưỡng về nhân sự, kỹ thuật viên, cán bộ, kỹ thuật viên, ngoại ngữ tiếng Anh và tập huấn trước khi triển khai theo quy trình ...
ຕອນບ່າຍວັນທີ 29 ມັງກອນ, ຢູ່ສໍານັກງານກະຊວງປ້ອງກັນປະເທດ, ທ່ານພົນໂທ ຫງວຽນຈິວີ້ງ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ຕ້ອນຮັບຄະນະກວດກາກ່ອນຜັນຂະຫຍາຍຂອງສະຫະປະຊາຊາດ ພວມມີການເຮັດວຽກຢູ່ ຫວຽດນາມ.	Chiều 29/1, tại Bộ Quốc phòng, Trung tướng Nguyễn Chí Vịnh, Ủy viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
ທ່ານພົນໂທ ຫງວຽນຈິວີ້ງ ແລກປ່ຽນກັບທ່ານນາງພັນໂທ Cecilie Konradsen.	Trung tướng Nguyễn Chí Vịnh trao đổi với Trung tá Cecilie Konradsen.
ພາບ: ທູຮຸ່ງ-ຈູງແທ່ງ	Ảnh: Thu Hùng - Chong Thanh
ຄະນະກວດກາກ່ອນຜັນຂະຫຍາຍຂອງສະຫະປະຊາຊາດ ມາ ຫວຽດນາມ ໃນຄັ້ງນີ້ມີສະມາຊິກ 6 ຄົນ, ລວມມີເຈົ້າໜ້າທີ່, ພະນັກງານສັງກັດກົມຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ, ກົມໜູນຊ່ວຍພູມີປະເທດຕົວຈິງສະຫະປະຊາຊາດ ແລະຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ປະຈໍາ ຊູດັງໃຕ້, ໂດຍທ່ານນາງພັນໂທ Cecilie Konradsen ເປັນຫົວໜ້າຄະນະ.	Phái đoàn LHQ tại Việt Nam có sáu thành viên, gồm các cán bộ, nhân viên của Cục Hoạt động gìn giữ hòa bình của LHQ, Văn phòng Điều phối các vấn đề nhân đạo của LHQ và Phái bộ Gìn giữ hòa bình của LHQ tại Nam Sudan.
ທ່ານພົນໂທ ຫງວຽນຈິວີ້ງ ຢືນຢັນວ່າ, ດ້ວຍການໜູນຊ່ວຍ, ຊ່ວຍເຫຼືອຂອງບັນດາຄູ່ຮ່ວມມື ອາເມລິກາ, ອັງກິດ, ອົດສະຕາລີ...	Trung tướng Nguyễn Chí Vịnh khẳng định, với sự giúp đỡ, giúp đỡ của các đối tác Hoa Kỳ, Anh, Úc ...
ໂຮງໝໍສະໜາມຂັ້ນ 2 ເລກທີ 1 ຂອງຫວຽດນາມ ໄດ້ກະກຽມດ້ານບຸກຄະລາກອນ, ວິຊາການ, ພະລາທິການ-ເຕັກນິກ, ພາສາອັງກິດຢ່າງລະອຽດ ແລະໄດ້ຝຶກແອບກ່ອນຜັນຂະຫຍາຍຕາມຂັ້ນຕອນ.	Nhà thi đấu số 2 Việt Nam đã chuẩn bị kỹ lưỡng về nhân sự, kỹ thuật viên, cán bộ, kỹ thuật viên, ngoại ngữ tiếng Anh và tập huấn trước khi triển khai.
ມາຮອດປະຈຸບັນ, ແມ່ນໄດ້ກະກຽມສໍາເລັດທຸກວຽກງານ ແລະພ້ອມແລ້ວທີ່ຈະຜັນຂະຫຍາຍຢູ່ບໍລິເວນຕາມຄວາມຮຽກຮ້ອງຕ້ອງການຂອງສະຫະປະຊາຊາດ.	Cho đến nay, mọi công việc đã hoàn thành và sẵn sàng triển khai tại khu vực theo yêu cầu của Liên hợp quốc.
ເຖິງຢ່າງກໍ່ຕາມ, ເນື່ອງຈາກວ່າ ນີ້ແມ່ນຄັ້ງທໍາອິດທີ່ ຫວຽດນາມ ກະກຽມການຜັນຂະຫຍາຍໂຮງໝໍສະໜາມຂັ້ນ 2 ແຫ່ງໜຶ່ງຢູ່ຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ສະນັ້ນຍັງຂາດບົດຮຽນ, ດ້ວຍເຫດນັ້ນທ່ານພົນໂທ ຫງວຽນຈິວີ້ງ ຈຶ່ງສະເໜີຄະນະເປັນເຈົ້າການສົມທົບ, ໜູນຊ່ວຍ ແລະແບ່ງປັນບົດຮຽນໃຫ້ຝ່າຍຫວຽດນາມ ເພື່ອສາມາດຜັນຂະຫຍາຍໂຮງໝໍສະໜາມຂັ້ນ 2 ເລກທີ 1 ຖືກຕ້ອງຕາມແຜນການ.	Tuy nhiên, đây là lần đầu tiên Việt Nam chuẩn bị cho việc triển khai nhiệm vụ gìn giữ hòa bình Liên hợp quốc lần thứ hai nên vẫn còn thiếu bài học kinh nghiệm.
ທ່ານນາງພັນໂທ Cecilie Konradsen ຕີລາຄາສູງຄວາມມານະພະຍາຍາມກະກຽມຂອງຫວຽດນາມ ແລະຢືນຢັນວ່າຈະສົມທົບກັບຝ່າຍ ຫວຽດນາມ ຢ່າງມີປະສິດທິຜົນ ເພື່ອສາມາດຜັນຂະຫຍາຍໂຮງໝໍສະໜາມຂັ້ນ 2 ເລກທີ 1 ໃນໄລຍະຈະມາເຖິງ.	Trung tá Cecilie Konradsen biểu dương nỗ lực chuẩn bị của Việt Nam và khẳng định sẽ phối hợp chặt chẽ với phía Việt Nam để xây dựng tòa nhà cấp 2 trong thời gian tới.
