ກປ.ອອນໄລ - ນັ້ນແມ່ນເນື້ອໃນຕົ້ນຕໍການເຮັດວຽກກັບບັນດາກຸ່ມບໍລິສັດເສດຖະກິດເອກະຊົນຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ.	Chủ đề chính trong cuộc làm việc của Thủ tướng Nguyễn Xuân Phúc với các tập đoàn kinh tế tư nhân.
ຕອນເຊົ້າວັນທີ 12 ມີນາ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານການເຮັດວຽກກັບບັນດາກຸ່ມບໍລິສັດເສດຖະກິດເອກະຊົນ ເພື່ອແນໃສ່ລະດົມປະກອບຫົວຄິດປະດິດສ້າງ, ເປັນເຈົ້າການ ແລະການປະກອບສ່ວນໃຫ້ເສດຖະກິດເອກະຊົນ ເພື່ອພັດທະນາປະເທດໃນສະພາບການເຊື້ອພະຍາດ Covid-19 ແຜ່ລະບາດໃນທົ່ວໂລກ.	Sáng 12/3, tại Trụ sở Chính phủ, Thủ tướng Nguyễn Xuân Phúc chủ trì cuộc làm việc với các tập đoàn kinh tế tư nhân nhằm huy động ý tưởng đổi mới, quyền làm chủ, đóng góp của kinh tế tư nhân để phát triển đất nước trong bối cảnh đại dịch Covid-19 toàn cầu.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານການເຮັດວຽກກັບບັນດາກຸ່ມບໍລິສັດເສດຖະກິດເອກະຊົນ.	Thủ tướng Nguyễn Xuân Phúc chủ trì buổi làm việc với nhóm các tập đoàn kinh tế tư nhân.
ພາບ: baochinhphu.vn.	Ảnh: baochinhphu.vn.
ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ, ທ່ານ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າ WHO ໄດ້ປະກາດ Covid-19 ແມ່ນໂລກລະບາດ.	Bình luận về công trình này, ông Nguyễn Xuân Phúc cho biết WHO đã tuyên bố Covid-19 là một bệnh dịch.
ຫວຽດນາມ ມີ 800.000 ວິສາຫະກິດ ແລະນັບລ້ານຄອບຄົວດໍາເນີນທຸລະກິດເອກະຊົນ, ສະນັ້ນປັດຈຸບັນ, ບັນດາວິສາຫະກິດ, ກຸ່ມບໍລິສັດຄວນອົງອາດກ້າແກ່ນພ້ອມກັບພະນັກງານ, ກຳມະກອນ, ຜູ້ອອກແຮງງານໃນການປ້ອງກັນ ແລະຕ້ານເຊື້ອພະຍາດ.	Việt Nam có 800.000 doanh nghiệp và hàng triệu gia đình đang điều hành doanh nghiệp tư nhân, vì vậy ngay từ bây giờ, các doanh nghiệp và các nhóm hãy nỗ lực để bảo vệ con cái của họ khỏi bệnh tật.
ຕາມທ່ານ ຫງວຽນຊວນຟຸກ, ໃນການເຮັດວຽກມື້ນີ້ ລັດຖະບານຮັບຟັງບັນດາຄໍາເຫັນ, ລັດຖະນະໂຍບາຍໃດໃຫ້ເສດຖະກິດເອກະຊົນ, ກໍາລັງໜູນສໍາຄັນໃຫ້ແກ່ພື້ນຖານເສດຖະກິດ.	Theo ông Nguyễn Xuân Phúc, trong cuộc họp hôm nay, Chính phủ lắng nghe ý kiến và chính sách của khu vực tư nhân, điều quan trọng đối với nền tảng kinh tế.
ຈາກນັ້ນ, ລັດຖະບານສ້າງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນທີ່ດີກວ່າເພື່ອພັດທະນາ, ລວມມີການສ້າງຕະຫຼາດໃໝ່, ຮັກສາຄວາມໝັ້ນຄົງດ້ານເສດຖະກິດມະຫາພາກ, ເພື່ອໃຫ້ນະໂຍບາຍຂອງລັດຖະບານໃກ້ຊິດຕິດແທດກັບພຶດຕິກຳຕົວຈິງກວ່າອີກ.	Sau đó, chính phủ sẽ tạo ra một môi trường đầu tư tốt hơn để phát triển, bao gồm cả việc tạo ra các thị trường mới, duy trì ổn định kinh tế vĩ mô, để các chính sách của chính phủ gắn chặt hơn với hành vi thực tế.
ທ່ານ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າໄດ້ຮັບຂໍ້ມູນຂ່າວສານຈໍານວນໜຶ່ງທີ່ຖືວ່າບາງປະເທດ, ຄື: ຈີນ, ສ.ເກົາຫຼີ, ຍີ່ປຸ່ນ...	Ông Nguyễn Xuân Phúc cho biết đã nhận được thông tin từ một số nước như: Trung Quốc, Hàn Quốc, Nhật Bản ...
ຈະຟື້ນຟູການຜະລິດຢ່າງໄວ, ສະນັ້ນ, ຫວຽດນາມ ຕ້ອງກໍາແໜ້ນກາລະໂອກາດນີ້, ກະກຽມມະໂນພາບ ບືນ ຕົວ ຂຶ້ນ, ຫັນຄວາມສ່ຽງເປັນກາລະໂອກາດເພື່ອຜ່ານຜ່າໂລກລະບາດ.	Việt Nam sẽ nắm bắt cơ hội này để chuẩn bị phục hồi thần tốc, để có thể nắm bắt thời cơ, biến nguy cơ thành cơ hội để vượt qua cơn dịch.
ໂດຍ: ຈາງຫງວຽນ.	Bởi: Zhang Nguyen.
