ກປ.ອອນໄລ - ວັນທີ 18 ເມສາ, ຢູ່ຮ່າໂນ້ຍ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມພິທີເປີດນໍາໃຊ້ລະບົບໃຫ້ຄໍາປຶກສາກວດ, ປິ່ນປົວພະຍາດທາງໄກ ແລະແອັບພຼີເຄຊັນ Bluezone ເພື່ອປົກປ້ອງຊຸມຊົນ, ປ້ອງກັນ, ຕ້ານພະຍາດ Covid-19.	Pro Trực tuyến - 18 tháng 4, Nguyễn Xuân Phúc, Bảo vệ, Chống xử lý, Chống xử lý
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ພິທີ.	Thủ tướng Nguyễn Xuân Nguyên XUK nói với buổi lễ.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ລະບົບໃຫ້ຄໍາປຶກສາກວດ ແລະປິ່ນປົວພະຍາດທາງໄກ ໂດຍກຸ່ມບໍລິສັດອຸດສາຫະກໍາໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ພັດທະນາ, ຜະລິດຕາມຂໍ້ກໍານົດກ່ຽວກັບການກວດ ແລະປິ່ນປົວພະຍາດທາງໄກຂອງກະຊວງສາທາລະນະສຸກ ຢ່າງຄົບຖ້ວນ, ລວມມີ: ໃຫ້ຄໍາປຶກສາດ້ານການແພດ;	Khoa xét nghiệm và hệ thống điều trị của huyện bởi Công ty Công nghiệp Viễn thông Tổng hợp, bao gồm tư vấn y tế;
ບົ່ງມະຕິ, ກວດ ແລະປິ່ນປົວພະຍາດ;	Chẩn đoán, kiểm tra và điều trị;
ບໍາລຸງສ້າງ, ຖ່າຍຖອດເຕັກນິກກວດ, ປິ່ນປົວພະຍາດທາງໄກ...	Bảo trì, kỹ thuật sau kiểm tra, xử lý đường dài ...
ຮູບພາບກ່ຽວກັບການກວດ ແລະປິ່ນປົວພະຍາດທາງໄກ.	Hình ảnh trên các thử nghiệm và điều trị chết.
ພາບ: laodong.vn.	Ảnh: Laodong.vn.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ “ດ້ວຍເລື່ອງນໍາໃຊ້ການບໍລິການສາທາລະນະທາງໄກ ແລະການກວດ ແລະປິ່ນປົວພະຍາດທາງໄກ ໄດ້ນໍາມາເຊິ່ງປະສິດທິຜົນທົບສອງສາມເທົ່າ.	Nó nói là một buổi lễ, Nguyễn Xuân Phúc xác nhận khoảng cách xa và cách nhiệt và xử lý và xử lý các hiệu ứng khoảng cách.
ນັ້ນແມ່ນການຕອບສະໜອງຄວາມຮຽກຮ້ອງຕ້ອງການໃນການສະກັດກັ້ນພະຍາດ, ຮັບປະກັນຄວາມເປີດເຜີຍ ແລະກະຈ່າງແຈ້ງໃນການແກ້ໄຂລະບຽບການບໍລິຫານ, ຫຼຸດຜ່ອນການນຳໃຊ້ເຈ້ຍ;	Đó là một phản ứng với yêu cầu cung cấp bệnh, đảm bảo phơi nhiễm và làm rõ trong các quy định hành chính, giảm giấy;
ນໍາມາເຊິ່ງຜົນປະໂຫຍດໃຫ້ແກ່ປະຊາຊົນ.	Mang đến lợi ích của người dân.
ສະນັ້ນ, ຄວນເພີ່ມທະວີແນະນໍາໃຫ້ປະຊາຊົນນໍາໃຊ້ການບໍລິການສາທາລະນະທາງໄກ ແລະລະບົບກວດ ແລະປິ່ນປົວພະຍາດທາງໄກ.	Do đó, mọi người nên khuyến nghị mọi người sử dụng các dịch vụ công cộng khoảng cách và hệ thống kiểm tra và hệ thống điều trị.
ໂດຍ: ທູຈາງ.	Bởi: mẫu.
