ກປ.ອອນໄລ - ໄດ້ຍິນຮ້ອຍເທື່ອບໍ່ທໍ່ເຫັນເທື່ອໜຶ່ງ!	KP Online - Đã nghe cả trăm lần, chưa thấy một lần!
ພວກຂ້າພະເຈົ້າ ໄດ້ຍິນຫຼາຍແລ້ວກ່ຽວກັບເລື່ອງ “ຂ້າມແດດ, ແພ້ຝົນ ຂອງບັນດາທີມກອງທັບປະຊາຊົນຫວຽດນາມ ກຽມພ້ອມໃຫ້ງານແຂ່ງຂັນກິລາການທະຫານສາກົນ (Army Games) 2021, ແຕ່ ເມື່ອເຫັນປະຈັກຕາບັນດາທີມຝຶກແອບຈິຶ່ງເຂົ້າໃຈໄດ້ວ່າເຂົາເຈົ້າໄດ້ອົດທົນ, ຜ່ານຜ່າຄວາມສາມາດຂອງຕົວເອງຄືແນວໃດ.	Chúng ta đã nghe nhiều đến chuyện “vượt nắng, chịu mưa của các đội tuyển Quân đội nhân dân Việt Nam chuẩn bị cho Đại hội Thể thao Quân đội 2021, nhưng khi xem các đội tập luyện, chúng ta mới thấy họ đã chịu đựng, vượt qua khả năng của mình như thế nào.
ສູນຝຶກແອບສັງລວມລົດຕັງ-ຍານເກາະ (ແຂວງວິງຝູກ), ເວລາ 14 ໂມງ, ວັນທີ 21 ມິຖຸນາ, ອາກາດອົບເອົ້າ.	Trung tâm Huấn luyện Tăng (Tỉnh Cánh Phước), 2 giờ trưa, ngày 21 tháng 6, không khí ấm áp.
ອຸນຫະພູມຢູ່ກາງແຈ້ງກວ່າ 40 ອົງສາເຊ, ສ່ວນອຸນຫະພູມຢູ່ໃນລົດຝຶກ ແອບຂຶ້ນເຖິງເກືອບ 70 ອົງສາເຊ.	Nhiệt độ bên ngoài hơn 40 độ C, trong khi nhiệt độ bên trong tàu lên đến gần 70 độ C.
ຢືນບັນທຶກຂໍ້ມູນ, ຖ່າຍວິດີໂອໃຕ້ຮົ່ມໄມ້, ພວກຂ້າພະເຈົ້າຍັງຮູ້ສຶກຮ້ອນເອົ້າຫຼາຍ, ແຕ່ໝູ່ປືນ 5 ຄົນພັດນັ່ງຢູ່ໃນລົດ, ຊ່ວງກັບເວລາ, ແຂ່ງກັບເພື່ອນຮ່ວມກົມກອງຢູ່ໝູ່ປືນອື່ນ ແລະຍິ່ງກວ່ານັ້ນແມ່ນຕ້ອງແຂ່ງກັບຕົນເອງ ເພື່ອຍິງປືນກົນກາງ, ປືນຄົກ 120mm, B41, AK-74 ໃຫ້ຊັດເຈນ.	Đứng dưới bóng cây, chúng tôi vẫn cảm thấy rất nóng, nhưng năm tay súng ngồi trên xe, hết lần này đến lần khác, chạy đua với những tay súng đồng đội của mình trong doanh trại khác, và thậm chí còn hơn thế nữa bằng chính súng máy của họ, cối 120mm. , B41, AK-74.
ບັນດາສະມາຊິກໃນທີມສັງເກດເປົ້າໝາຍພາຍຫຼັງຍິງປືນ.	Các thành viên trong đội quan sát mục tiêu sau khi bắn.
ພາບ: ຈ້ອງ ຫາຍ.	Ảnh: Staring.
ແຂ່ງຂັນໃນທົ່ວກອງທັບແມ່ນຍາກແລ້ວ, ແຕ່ນີ້ແມ່ນການແຂ່ງຂັນຍິງປືນໃຫຍ່ເກັ່ງ “ໝູ່ປືນຄົກ ຢູ່ Army Games 2021 ມັນຈະຍາກກວ່າຫຼາຍ.	Thi đấu toàn quân là khó, nhưng đây là một cuộc thi bắn pháo lớn.
ໂດຍກໍານົດແຈ້ງໜ້າທີ່, ເປົ້າໝາຍກ່ອນທີ່ອອກເດີນທາງ, ອ້າຍນ້ອງໃນທີມປືນໃຫຍ່ຜູ້ໃດກໍ່ຝຶກແອບດ້ວຍຄວາມເອົາໃຈໃສ່ສູງສຸດ, ດຳເນີນການຝຶກແອບແຕ່ຕົ້ນເດືອນມີນາ 2021, ມາຮອດປະຈຸບັນບັນດາໝູ່ປືນໄດ້ກ້າວສູ່ໄລຍະຝືກແອບຍົກລະດັບ.	Với việc xác định vị trí, mục tiêu trước khi xuất phát, các thành viên bộ đội pháo binh đã huấn luyện hết sức chuyên cần, tiến hành huấn luyện từ đầu tháng 3/2021, đến nay các tay súng đã bước vào giai đoạn huấn luyện nâng cao.
ລູກປືນຄົກທຳອິດຍິງຖືກເປົ້າໝາຍບໍ່ພຽງແຕ່ເຮັດໃຫ້ໝູ່ປືນທຸກຄົນບັນເທົາຄວາມດັນເທົ່ານັ້ນ ຫາກຍັງຊ່ວຍບັນດາສະມາຊິກມີຄວາມເຊື່ອໝັ້ນຕົນເອງ, ກະຕຸ້ນ, ຕື່ນເຕັ້ນໃຈກວ່າ.	Những quả đạn cối đầu tiên bắn ra không chỉ giúp các tay súng bớt căng thẳng mà còn giúp các thành viên tự tin, có động lực và phấn khởi hơn.
ຍ້ອນເວລາສຳເລັດບົດເສັງໄລ່ຕາມວິນາທີເພາະສະນັ້ນການຂີ່ລົດຂ້າມຮົ້ວກີດຂວາງ ຫຼືການຍິງປືນຖືກເປົ້າໝາຍ ຈະຊ່ວຍໃຫ້ໝູ່ປືນຮູ້ສຶກວ່າລົດກຳລັງແລ່ນໄວເຖິງຈຸດໝາຍ.	Vì thời gian trôi qua tính bằng giây, nên việc vượt xe qua hàng rào hoặc bắn vào mục tiêu sẽ mang lại cho tay súng cảm giác về tốc độ.
