ກປ.ອອນໄລ - ເດືອນຕຸລາ 1931, ທ່ານ Paul Reynaud ລັດຖະມົນຕີກະຊວງຫົວເມືອງຂຶ້ນຝລັ່ງ ໄປຢ້ຽມຢາມອິນດູຈີນ.	KR Online - Tháng 10-1931, Bộ trưởng Ngoại giao Pháp Paul Reynaud đến thăm Đông Dương.
ໃນຄະນະໄປຢ້ຽມຢາມນັ້ນມີນັກຂ່າວຍິງ Andrée Viollis ຄົນຝລັ່ງ ເຊິ່ງເປັນຜູ້ທີ່ໄດ້ຂຽນລາຍລະອຽດກ່ຽວກັບການໄປຢ້ຽມຢາມໃສ່ປຶ້ມໄວ້.	Trong chuyến thăm, một nhà báo người Pháp, Andrée Viollis, đã viết về chuyến thăm trong một cuốn sách.
ກ່ອນໜ້ານັ້ນ, ລັດຖະບານຝລັ່ງ ໄດ້ເປີດງານວາງສະແດງຂະໜາດໃຫຍ່ທີ່ມີຊື່ວ່າ “ງານວາງສະແດງຫົວເມືອງຂຶ້ນສາກົນ ຢູ່ນະຄອນຫຼວງປາຣີ ເຊິ່ງໄດ້ແນະນໍາກ່ຽວກັບວັດທະນະທໍາຂອງບັນດາຫົວເມືອງຂຶ້ນ.	Trước đó, chính phủ Pháp đã mở một cuộc triển lãm quy mô lớn mang tên “Triển lãm đô thị quốc tế tại Paris, nơi giới thiệu văn hóa của các đô thị”.
ງານວາງສະແດງໄດ້ຊີ້ໃຫ້ເຫັນຫຼາຍຊົນຊາດດ້ວຍເອກະລັກສະເພາະທາງດ້ານວັດທະນະທໍາ, ດໍາລົງຊີວິດພາຍໃຕ້ລະບອບສາທາລະນະລັດຝລັ່ງ.	Triển lãm trưng bày nhiều dân tộc có bản sắc văn hóa đặc sắc, sinh sống dưới thời Cộng hòa Pháp.
ງານວາງສະແດງໄດ້ແກ່ຍາວເປັນເວລາ 6 ເດືອນ, ດຶງດູດແຂກມາຢ້ຽມຊົມເຖິງ 8 ລ້ານຄົນ.	Triển lãm kéo dài trong sáu tháng, thu hút tới 8 triệu lượt khách tham quan.
ແຕ່ວ່າຢູ່ເບື້ອງຫຼັງນັ້ນພັດແມ່ນແນວຄິດລ່າເມືອງຂຶ້ນໄດ້ຊຶມເລິກເຂົ້າໃນຫົວຂອງວົງການການນໍາຝລັ່ງ ໃນຖານະນາມທີ່ວ່າ “ນໍາມາໃຫ້ອະລິຍະທໍາສີວິໄລ.	Nhưng đằng sau hậu trường, tư tưởng về chủ nghĩa thực dân đã thấm sâu vào đầu giới lãnh đạo Pháp như “đưa đến nền văn minh”.
ງານວາງສະແດງແມ່ນສານທີ່ສະແດງໃຫ້ເຫັນວ່າບັນດາຫົວເມືອງຂຶ້ນທີ່ຫຼ້າຫຼັງກໍາລັງຄ່ອຍໆກ້າວໜ້າກວ່າຍ້ອນມີ “ປະເທດແມ່ປົກປ້ອງ , ແມ່ນສະພາບຕົວຈິງທີ່ກົງກັນຂ້າມກັບສິ່ງທີ່ທ່ານນາງ Viollis ໄດ້ເຫັນປະຈັກຕາ.	Triển lãm là minh chứng cho thấy những thành phố lạc hậu đang từng bước tiến lên cùng với “đất mẹ”, một thực tế hoàn toàn trái ngược với những gì bà Viollis nhìn thấy.
ທ່ານນາງ Andrée Viollis ນັກຂ່າວຄົນຝລັ່ງ.	Andrée Viollis, nhà báo Pháp.
ພາບ: reporters-et-cie.guerredespagne.fr.	Ảnh: Reporter-et-cie.guerredespagne.fr.
ເມື່ອມາຮອດ ຫວຽດນາມ, ທ່ານນາງ Viollis ເຫັນປະຈັກຕາປະເທດໜຶ່ງທີ່ກໍາລັງອົດທົນພາຍໃຕ້ແອກປົກຄອງຂອງພວກລ່າເມືອງຂຶ້ນ.	Đặt chân đến Việt Nam, Viollis đã tận mắt chứng kiến một đất nước đang chịu đựng dưới ách thống trị của thực dân.
ຊາວຝລັ່ງ ແລະຊາວຫວຽດນາມ ຈຳນວນໜ້ອຍໜຶ່ງແມ່ນມີການດໍາລົງຊີວິດສົມບູນພູນສຸກ, ໃນຂະນະນັ້ນປະຊາຊົນສ່ວນຫຼາຍແມ່ນມີຊີວິດທຸກຍາກລໍາບາກ, ບໍ່ໄດ້ສໍາຜັດກັບການບໍລິການຕ່າງໆ, ຄື: ສາທາລະນະສຸກ, ການສຶກສາ.	Một số ít người Pháp và Việt Nam có cuộc sống sung túc, trong khi hầu hết mọi người sống trong cảnh nghèo đói và không được chăm sóc sức khỏe hay giáo dục.
ຄຽງຂ້າງການຂຸດຄົ້ນຊັບພະຍາກອນ, ຊາວຝລັ່ງ ໄດ້ຂາຍຢາຝິ່ນ, ເຫຼົ້າ, ທັງຢາກດັບມອດກໍາລັງຕໍ່ສູ້, ທັງເກັບເງິນກໍາໄລກ້ອນໃຫຍ່ຜ່ານການວາງອັດຕາພາສີໃສ່ທາດເສບຕິດນີ້.	Ngoài việc khai thác tài nguyên, người Pháp còn bán thuốc phiện và rượu, vừa để chống lại quân nổi dậy, vừa thu lợi nhuận khổng lồ bằng cách áp đặt thuế quan đối với loại thuốc này.
ປີ 1920, ສະເພາະພາສີເກືອ, ຢາຝິ່ນ ແລະເຫຼົ້າໄດ້ປະກອບສ່ວນ 44% ເຂົ້າງົບປະມານຂອງອໍານາດການປົກຄອງຫົວເມືອງຂຶ້ນ.	Năm 1920, thuế muối, thuốc phiện và rượu đã đóng góp 44% vào ngân sách của chính quyền huyện.
ປີ 1929, ການຊຸດໂຊມຄັ້ງໃຫຍ່ເລີ່ມມາຈາກອາເມລິກາ, ຫຼັງຈາກນັ້ນໄດ້ແຜ່ອອກໄປທົ່ວໂລກ.	Năm 1929, cuộc Đại suy thoái bắt đầu ở Mỹ, sau đó lan rộng ra khắp thế giới.
ບໍ່ສາມາດຫຼີກລ້ຽງຜົນສະທ້ອນໄດ້, ນັບແຕ່ປີ 1930, ປາຣີ ຕັດສິນໃຈເພີ່ມການກອບໂກຍຫົວເມືອງຂຶ້ນ.	Không thể tránh khỏi, kể từ năm 1930, Paris đã quyết định tăng cường diện tích đô thị của mình.
