ກປ.ອອນໄລ - ນາຍທະຫານໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 2 ລວມມີ 13 ຄົນຫາກໍ່ກັບຄືນເຮັດວຽກຢູ່ຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບສະຫະປະຊາຊາດຢູ່ສາທາລະນະຊູດັງໃຕ້ ພາຍຫຼັງ 3 ເດືອນຖືກຄ້າງໄວ້ຍ້ອນການແຜ່ລະບາດຂອງພະຍາດໂຄວິດ-19.	KAM Online - 13 13 13 13 13 13 - - - - - - - - - - 13 - - - - 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
ຕ່າງກັບບັນດາຄັ້ງກ່ອນ, ຄັ້ງນີ້ໜ້າທີ່ຂອງເຂົາເຈົ້າພິເສດກວ່າດ້ວຍສຳພາລະລວມມີວັດຖຸອຸປະກອນການແພດໜູນຊ່ວຍການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ໃຫ້ແກ່ກໍາລັງຂອງປະເທດເຮົາ ແລະປະຊາຊົນປະເທດປະຈໍາຖິ່ນກໍາລັງຢູ່ “ຈຸດຮ້ອນ ຂອງພະຍາດໂຄວິດ-19.	Khác với những lần trước, lần này nhiệm vụ của họ đặc biệt hơn với gánh nặng là cung cấp các trang thiết bị y tế giúp phòng, chống dịch bệnh -19 cho quân và dân cả nước đang ở “điểm nóng của dịch bệnh- 19.
ຈໍານວນວັດຖຸອຸປະກອນການແພດທີ່ເຂົາເຈົ້ານຳໄປບໍລິເວນແມ່ນບັນດາເຄື່ອງຂອງທີ່ຈໍາເປັນທີ່ສຸດ, ຄື: ຜ້າອັດປາກ-ອັດດັງ, ຊຸດກັນພະຍາດ, ນໍ້າຢາຂ້າເຊື້ອ, ຢຸກຢາ...	Lượng đồ y tế mà họ mang đến khu vực này là những vật dụng cần thiết nhất, như: khẩu trang, khẩu trang, thuốc sát trùng, thuốc chữa bệnh ...
ສ່ວນຍັງເຫຼືອແມ່ນວັດຖຸອຸປະກອນການແພດລວມນ້ຳໜັກ 1,8 ໂຕ່ນຖືກຫີບຫໍ່ໃສ່ແກັດເພື່ອສົ່ງດ່ວນເຖິງບໍລິເວນສະໜອງເພີ່ມເຕີ່ມໃຫ້ໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 2 ຢູ່ Bentiu, ຊູດັງໃຕ້.	Phần còn lại của vật tư y tế, bao gồm 1,8 tấn vỏ, được đóng gói trong thùng giấy để chuyển khẩn cấp cho Trung đoàn bộ binh số 2 tại nhà ga số 2 ở Bentiu, Nam Sudan.
ວັດຖຸອຸປະກອນການແພດທີ່ໜູນຊ່ວຍການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ໄດ້ຮັບການຫີບຫໍ່ເພື່ອຂົນສົ່ງໄປຍັງຊູດັງໃຕ້ແນໃສ່ເສີມກໍາລັງໃຫ້ໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 2.	Vật tư y tế Kovid-19 được đóng gói để chuyển đến Nam Sudan để tiếp viện tại Trại 2
ພາບ: ມີແຫ້ງ.	Ảnh: Khô.
ຈາກ Bentiu, ທ່ານພັນໂທ ຫວໍວັນຫ໊ຽນ ຜູ້ອໍານວຍການໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 2 ໃຫ້ຮູ້ວ່າພາຍຫຼັງພະຍາດໂຄວິດ-19 ແຜ່ລະບາດ, ໂຮງໝໍໄດ້ມີການກະກຽມກ່ຽວກັບບັນດາວັດຖຸອຸປະກອນຮັບໃຊ້ການປ້ອງກັນ, ຕ້ານພະຍາດກໍ່ຄືບັນດາການເຄື່ອນໄຫວດ້ານການແພດ.	Từ Bentiu, Trung tá Võ Văn Hiền, Giám đốc Bệnh viện K Trung ương 2 cho biết, sau khi dịch bệnh Kovi-19 bùng phát, bệnh viện đã trang bị đầy đủ các thiết bị phòng, chống dịch bệnh cũng như các hoạt động y tế.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ພະຍາດໂຄວິດ-19 ໄດ້ແກ່ຍາວກວ່າ 6 ເດືອນ, ເຖິງວ່າການນໍາໃຊ້ປະຢັດດີທີ່ສຸດແລ້ວແຕ່ບັນດາອຸປະກອນການແພດຂອງໂຮງໝໍຮັບໃຊ້ການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດກໍາລັງຂາດເຂີນຢູ່.	Tuy nhiên, Kovid-19 đã tồn tại hơn sáu tháng, và mặc dù có những phương pháp tốt nhất, thiết bị y tế của bệnh viện để phòng ngừa và kiểm soát Kovid vẫn còn thiếu.
ຖ້າພະຍາດຍັງສືບຕໍ່ຜັນແປຢ່າງສັບສົນ, ຈໍານວນຄົນເຈັບ ແລະຈໍານວນຄົນຕິດພະຍາດສືບຕໍ່ເພີ່ມຂຶ້ນຈະສ້າງຄວາມຫຍຸ້ງຍາກໃຫ້ແກ່ໂຮງໝໍ.	Nếu bệnh tiếp tục diễn biến, số bệnh nhân, số người mắc tiếp tục tăng cao sẽ gây khó khăn cho các bệnh viện.
ອໍານາດການປົກຄອງຊູດັງໃຕ້ ແລະຄະນະປະຕິບັດງານໄດ້ປິດສາຍການບິນສາກົນ ແລະຢຸດຕິບັນດາຖ້ຽວບິນຂອງສະຫະປະຊາຊາດຢູ່ບໍລິເວນສະນັ້ນເລື່ອງຂົນສົ່ງ, ສະໜອງບັນດາວັດຖຸອຸປະກອນຈາກຫວຽດນາມ ຄືນໃໝ່ບໍ່ສາມາດປະຕິບັດໃດ້.	Các nhà chức trách Nam Sudan và lực lượng đặc nhiệm đã ngừng các chuyến bay quốc tế và đình chỉ các chuyến bay của Liên Hợp Quốc trong khu vực, do đó việc vận chuyển và dự trữ tiếp tế từ Việt Nam không thể tiếp tục.
ເພາະສະນັ້ນການສະໜອງສິນຄ້າຄັ້ງນີ້ໂດຍພະນັກງານ, ພາລະກອນໂຮງໝໍເອົາໄປນໍາ ແລະສົ່ງດ່ວນມານີ້ແມ່ນມີຄວາມໝາຍສໍາຄັນທີ່ສຸດ, ຊ່ວຍໃຫ້ໂຮງໝໍເຮັດວຽກງານປິ່ນປົວ, ສະກັດກັ້ນການແຜ່ລະບາດເປັນຢ່າງດີ, ຮັບປະກັນຄວາມປອດໄພໃຫ້ແກ່ພະນັກງານ, ພາລະກອນກໍ່ຄືຄົນເຈັບກໍາລັງປິ່ນປົວຢູ່ໂຮງໝໍ.	Vì vậy, việc nhân viên trực bệnh viện đưa hàng và giao hàng gấp là rất quan trọng, giúp bệnh viện làm tốt công tác y tế, ngăn chặn dịch bệnh lây lan, đảm bảo an toàn cho cán bộ, nhân viên cũng như người bệnh. điều trị tại bệnh viện.
ທ່ານພັນໂທ ຫວໍວັນຫ໊ຽນ ໃຫ້ຮູ້ຕື່ມອີກວ່າ ເມື່ອພະຍາດໂຄວິດ 19 ແຜ່ລະບາດ, ໂຮງໝໍໄດ້ນໍາໃຊ້, ສະໜອງວັດຖຸອຸປະກອນໜູນຊ່ວຍການປ້ອງກັນ, ຕ້ານພະຍາດໃຫ້ແກ່ພະນັກງານ, ພາລະກອນ, ມອບໃຫ້ກົມກອງເພື່ອນມິດ ແລະໂຮງໝໍທ້ອງຖິ່ນໂດຍໄວເພື່ອປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ.	Trung tá Võ Văn Hiển cho biết thêm, khi đợt dịch 19 bùng phát, bệnh viện đã sử dụng, trang bị phương tiện bảo hộ phòng, chống dịch bệnh cho cán bộ, nhân viên trực và bàn giao lại cho Khoa Bạn bè và các bệnh viện địa phương như càng sớm càng tốt để ngăn ngừa và kiểm soát bệnh.
ໃນໄລຍະຈະມາເຖິງ, ດ້ວຍສິນຄ້າທີ່ສະໜອງເພີ່ມເຕີ່ມຄັ້ງນີ້, ໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 2 ພ້ອມແລ້ວທີ່ຈະແບ່ງປັນ ແລະໜູນຊ່ວຍກົມກອງເພື່ອນມິດ ແລະໂຮງໝໍທ້້ອງຖິ່ນດ້ວຍຄວາມສາມາດເປັນໄປໄດ້ຖ້າມີຄວາມຕ້ອງການ.	Sắp tới, với sản phẩm bổ sung này, Trại sinh cấp 2 Trung tâm sẵn sàng chia sẻ và hỗ trợ tối đa cho các Ban ngành hữu và chính quyền địa phương nếu cần.
ຕາມທ່ານພັນເອກ ຫງວຽນຫວຽດຮືງ ຫົວໜ້າຫ້ອງວຽກງານບໍລິເວນ, ກົມຮັກສາສັນຕິພາບຫວຽດນາມ, 13 ສະຫາຍດັ່ງກ່າວພ້ອມກັບ ຈໍານວນວັດຖຸອຸປະກອນການແພດໄດ້ນຳໄປເຖິງນະຄອນຫຼວງ Juba (ສາທາລະນະຊູດັງໃຕ້) ຢ່າງປອດໄພ.	Theo Đại tá Nguyễn Việt Hùng, Trưởng phòng Khu vực thuộc Cục Tác chiến Gìn giữ hòa bình Việt Nam, 13 đồng chí cùng với lượng lớn vật tư y tế đã về đến thủ đô Juba (Nam Sudan) an toàn.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ໃນສະຖານະການພະຍາດໂຄວິດ-19, ເລື່ອງໃຫ້ຄົນພ້ອມກັບສິນຄ້າເຫຼົ່ານີ້ໄປຮອດສາທາລະນະຊູດັງໃຕ້ ບໍ່ແມ່ນສິ່ງງ່າຍດາຍຍ້ອນຍັງບໍ່ທັນເປີດສາຍການບິນສາກົນຄືນໃໝ່.	Tuy nhiên, trong trường hợp của Kovi-19, việc đưa những người mang số hàng hóa này tới Nam Sudan không phải là việc dễ dàng do các hãng hàng không quốc tế vẫn chưa mở cửa trở lại.
ການຂົນສົ່ງສິນຄ້າຕ້ອງໄດ້ກະກຽມຢ່າງລອບຄອບຖີ່ຖ້ວນກ່ຽວກັບລະບຽບການຜ່ານຊາຍແດນ, ຄວາມໝັ້ນຄົງ, ບັນດາລະບຽບການກັບປະເທດປະຈໍາຖິ່ນ ແລະສະຫະປະຊາຊາດ...	Việc vận chuyển hàng hóa phải được chuẩn bị kỹ lưỡng về cửa khẩu, an ninh, các quy định với nước sở tại và Liên hợp quốc ...
