ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 22 ມີນາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີຫວຽດນາມ, ທ່ານ ຟ້າມບິ່ງມີງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ໄດ້້ເປັນປະທານວາລະກອງປະຊຸມຄັ້ງທີສອງຄະນະກໍາມະການແຫ່ງຊາດ ກ່ຽວກັບການກະກຽມ ແລະປະຕິບັດບົດບາດເປັນປະທານ ອາຊຽນ ປີ 2020.	Sở Mỹ, ngày 22 tháng 3, tại Thủ tướng Chính phủ của Thủ tướng, Chủ tịch Thủ tướng và ASEAN Bình.
ກ່າວຄໍາເຫັນໄຂກອງປະຊຸມ, ທ່ານ ຟ້າມບິ່ງມີງ ປະທານຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ສະເໜີຄະນະກໍາມະການແຫ່ງຊາດ ກວດກາບັນດາວຽກງານທີ່ໄດ້ຜັນຂະຫຍາຍນັບແຕ່ວາລະກອງປະຊຸມຄັ້ງທີໜຶ່ງ (ເດືອນ ທັນວາ 2018), ພ້ອມທັງປຶກສາຫາລືການກໍານົດທິດ, ເນື້ອໃນ, ວຽກງານຄວນຜັນຂະຫຍາຍໃນໄລຍະຈະມາເຖິງ, ພິເສດແມ່ນບັນດາບັນຫາທີ່ກ່ຽວຂ້ອງເຖິງການດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020, ໃນນັ້ນມີບາດກ້າວເບື້ອງຕົ້ນແມ່ນແລກປ່ຽນການຄາດຄະເນຕ່າງໆກ່ຽວກັບຫົວຂໍ້, ຈຸດສຸມ, ບຸລິມະສິດ...	Nói về các cuộc họp, Đại hội ASEAN quốc gia
ຂອງປີປະທານອາຊຽນ 2020.	Của chủ tịch ASEAN 2020.
ທ່ານ ຟ້າມບິ່ງມີງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ, ປະທານຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ກ່າວຄໍາເຫັນຊີ້ນໍາ.	Bộ trưởng Bộ trưởng Ngoại giao, Chủ tịch Ủy ban Quốc gia ASEAN, 2020.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ບັນດາສະມາຊິກຄະນະກໍາມະການແຫ່ງຊາດ, ຜູ້ຕາງໜ້າບັນດາກະຊວງ, ຂະແໜງການໄດ້ແລກປ່ຽນ ແລະເຫັນດີເປັນເອກະສັນຕໍ່ບັນດາເນື້ອໃນກໍຄືວິທີການສ້າງຫົວຂໍ້ ແລະບັນດາຈຸດສຸມບຸລິມະສິດຂອງ ຫວຽດນາມ ໃນປີປະທານອາຊຽນ 2020;	Các thành viên Ủy ban Quốc gia, Nghị định ngành, ngành, trao đổi và đồng ý với Việt Nam trong Cổng chủ tịch 2020;
ມາດຕະຖານສ້າງບັນດາຂໍ້ລິເລີ່ມຂອງ ຫວຽດນາມ;	Tiêu chuẩn thiết lập sáng kiến của Việt Nam;
ມາດຕະຖານ ແລະຂັ້ນຕອນອອກແບບສັນຍາລັກໃຫ້ປີປະທານອາຊຽນ.	Tiêu chuẩn và các bước biểu tượng đến năm của ASEAN.
ສະຫຼຸບກອງປະຊຸມ, ທ່ານ ຟ້າມບິ່ງມີງ ຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງບັນດາສະມາຊິກ, ບັນດາອະນຸກໍາມະການ ແລະກະຊວງ, ຂະແໜງການຕ່າງໆໃນໄລຍະຜ່ານມາທີ່ໄດ້ຮັບປະກັນປະຕິບັດບັນດາໜ້າທີ່ຕາມຂັ້ນຕອນໂດຍພື້ນຖານ;	Tóm tắt cuộc họp, Phạm Bình: Tư cách thành viên, cơ quan và bộ trong quá khứ, cơ sở, cơ sở, cơ sở và bộ trong quá khứ
ຜ່ານທິດຜັນຂະຫຍາຍວຽກງານແຕ່ປະຈຸບັນເຖິງວາລະກອງປະຊຸມຄັ້ງທີສາມຂອງຄະນະກໍາມະການ (ຄາດຄະເນຈະຈັດຂຶ້ນໃນເດືອນ ມີຖຸນາ 2019).	Qua công việc, nhưng bây giờ phiên thứ ba của Ủy ban (ước tính sẽ được tổ chức vào tháng 6 năm 2019).
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ກໍສະເໜີບັນດາກະຊວງ, ຂະແໜງການລົງທຶນໃຫ້ເໝາະສົມກ່ຽວກັບກໍາລັງຄົນ ແລະຊັບພະຍາກອນມະນຸດໃຫ້ການດໍາລົງຕໍາແໜ່ງ ແລະເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວຂອງປີເປັນປະທານອາຊຽນ 2020 ຢ່າງມີປະສິດທິຜົນ.	Phó Thủ tướng cũng trình bày các bộ, đầu tư đầu tư và nguồn nhân lực cho năm Chủ tịch ASEAN.
