ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 20 ພະຈິກ, ທີ່ຮ່າໂນ້ຍ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ຈັດກອງປະຊຸມກ່ຽວກັບວຽກງານປົກປັກຮັກສາອະທິປະໄຕທະເລ, ໝູ່ເກາະ.	Sáng 20-11, tại Hà Nội, Bộ Quốc phòng Việt Nam họp bàn về công tác bảo vệ chủ quyền biển, đảo.
ທ່ານພົນໂທ ຟານວັນຢາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເປັນປະທານກອງປະຊຸມ.	Trung tướng Phan Văn Giang, Tổng Tham mưu trưởng, Thứ trưởng Bộ Quốc phòng Việt Nam chủ trì buổi gặp mặt.
ໃນຊຸມປີຜ່ານມາ, ໂດຍປະຕິບັດຕາມຄໍາຊີ້ນໍາຂອງກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ, ກົມໃຫຍ່ເສນາທິການ ໄດ້ຊີ້ນໍາ, ນໍາພາບັນດາອົງການ, ກົມກອງໃນທົ່ວກອງທັບ, ໂດຍສະເພາະແມ່ນກໍາລັງ: ທະຫານເຮືອ, ຕໍາຫຼວດທະເລ, ທະຫານອາກາດ-ປ້ອງກັນອາກາດ, ທະຫານຊາຍແດນ...	Trong thời gian qua, dưới sự chỉ đạo của Bộ Chính trị, Thủ tướng Chính phủ, Quân ủy Trung ương, Bộ Quốc phòng, Bộ Tổng Tham mưu đã lãnh đạo, chỉ đạo các cơ quan, ban ngành trong toàn quân, nhất là các lực lượng: Hải quân, Cảnh sát biển, lực lượng phòng không, không quân, biên phòng ...
ຕິດຕາມກໍາແໜ້ນສະພາບການ, ເປັນເສນາທິການສະເໜີໃຫ້ນາຍົກລັດຖະມົນຕີ, ຜູ້ປະຈໍາການຄະນະເລຂາທິການ ບັນດາວິທີການຕໍ່ສູ້ທີ່ເໝາະສົມຢ່າງທັນການ, ເພື່ອປົກປັກຮັກສາອະທິປະໄຕທະເລ, ໝູ່ເກາະ ໄວ້ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ.	Theo dõi tình hình, tham mưu cho Thủ tướng Chính phủ, thành viên Ban Bí thư kịp thời các biện pháp tác chiến phù hợp, nhằm bảo vệ chủ quyền vùng biển, củng cố quần đảo.
ທ່ານພົນໂທ ຟານວັນຢາງ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Trung tướng Phan Văn Giang phát biểu tại buổi làm việc.
ພາບ: ໂງຢຸຍດົງ.	Ảnh: Ngô Duy Đông
ພິເສດ, ໃນໄລຍະມໍ່ໆມານີ້, ຕໍ່ໜ້າການຜັນແປທີ່ສັບສົນຢູ່ທະເລຕາເວັນອອກ, ກົມໃຫຍ່ເສນາທິການ ໄດ້ຊີ້ນໍາບັນດາອົງການກົມກອງກວດກາຄືນ, ດັດປັບເພີ່ມເຕີມໃສ່ເອກະສານ, ແຜນການປະສານສົມທົບ, ວິທີຕໍ່ສູ້, ປົກປັກຮັກສາອະທິປະໄຕທະເລ, ໝູ່ເກາະຂອງບັນດາກໍາລັງ...	Đặc biệt, thời gian qua, trước những xáo trộn trên biển Đông, Bộ Tổng Tham mưu đã chỉ đạo các phòng, ban của Cục Tham mưu, tiếp tục điều chỉnh các văn kiện, phương án phối hợp, cách thức đấu tranh, bảo vệ chủ quyền biển đảo, áo giáp của lực lượng ...
ພ້ອມກັນນັ້ນ, ກົມໃຫຍ່ເສນາທິການ ໄດ້ສົມທົບກັບກົມໃຫຍ່ການເມືອງ ແລະຄະນະໂຄສະນາສຶກສາສູນກາງ, ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຍູ້ແຮງວຽກງານໂຄສະນາເຜີຍແຜ່ກ່ຽວກັບທະເລ, ໝູ່ເກາະ, ສະໜອງຂໍ້ມູນທາງການຢ່າງທັນການ, ບໍ່ປະໃຫ້ບັນດາອິດທິກໍາລັງປໍລະປັກສວຍໃຊ້ມ້າງເພທໍາລາຍ, ເສກສັນປັ້ນແຕ່ງກໍ່ຄວາມບໍ່ສະຫງົບດ້ານການເມືອງ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍຄວາມປອດໄພທາງສັງຄົມ.	Đồng thời, Tổng Bí thư phối hợp với Tổng cục Chính trị, Ban Tuyên giáo Trung ương, Bộ Thông tin và Truyền thông đẩy mạnh công tác tuyên truyền về biển, đảo, cung cấp thông tin chính thống. kịp thời.
ການນໍາກະຊວງປ້ອງກັນປະເທດ ແລະບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມ.	Lãnh đạo Bộ Quốc phòng và các đại biểu dự đại hội.
ພາບ: ໂງຢຸຍດົງ.	Ảnh: Ngô Duy Đông
ເພື່ອປະຕິບັດວຽກງານຄຸ້ມຄອງ, ປົກປັກຮັກສາອະທິປະໄຕທະເລ, ໝູ່ເກາະໃຫ້ເປັນຢ່າງດີໃນໄລຍະຈະມາເຖິງ, ກອງປະຊຸມໄດ້ເຫັນດີເປັນເອກະພາບຍົກອອກຫຼາຍມາດຕະການ, ໃນນັ້ນສຸມໃສ່ປະຕິບັດວຽກງານໂຄສະນາເປັນຢ່າງດີ;	Để công tác quản lý, bảo vệ chủ quyền biển, đảo có hiệu quả trong những năm tới, đại hội đã thống nhất một số biện pháp, trong đó tập trung làm tốt công tác tuyên truyền;
ຍົກສູງຄຸນນະພາບວຽກງານການຕີລາຄາ;	Nâng cao chất lượng công tác phiên dịch;
ຄາດຄະເນສະພາບການ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບໂດຍບັງເອີນກ່ຽວກັບຍຸດທະສາດ;	Tiên liệu tình huống, đừng để rơi vào thế vô tình chấp nhận chiến lược;
ຍູ້ແຮງການກໍ່ສ້າງກໍາລັງທະຫານລາດ, ປ້ອງກັນຕົວທາງທະເລ ແລະທ່າຮົບສົງຄາມປະຊາຊົນອັນໜັກແໜ້ນຢູ່ທະເລ, ປະກອບສ່ວນປົກປັກຮັກສາອະທິປະໄຕທະເລ, ໝູ່ເກາະ ໃນທຸກສະຖານະການໄວ້ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ.	Tăng cường xây dựng lực lượng quân sự, phòng thủ biển, thế trận chiến tranh nhân dân trên biển, góp phần bảo vệ an toàn chủ quyền biển, đảo trong mọi tình huống.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
