ຂໍຮຽນພໍ່ແມ່ພີ່ນ້ອງຮ່ວມຊາດ, ເພື່ອນມິດສະຫາຍ ແລະ ນັກຮົບໃນທົ່ວປະເທດ.	Yêu cầu học cha mẹ, bạn bè, bạn bè và các chiến binh trên khắp đất nước.
ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຫງວຽນຝູຈ້ອງ (ພາບ:TTXVN)	Tổng thư ký Tổng thư ký, Tổng thống Nguyễn Phú Trọng (Ảnh: TTXVN)
ລະດູບານໃໝ່ເຕັມໄປດ້ວຍຄວາມເບີກບານມ່ວນຊື່ນ, ຄວາມເຊື່ອໝັ້ນ ແລະ ຄວາມຫວັງ ພວມວຽນມາສູ່ໃນທົ່ວປະເທດຫວຽດນາມ.	Mùa mới tràn đầy niềm vui, sự tự tin và hy vọng sẽ xoay quanh Việt Nam.
ໃນຈຸດເວລາທີ່ສັກກາລະບູຊາ ແລະມີຄວາມໝາຍນີ້ຕາງໜ້າໃຫ້ການນຳພັກ, ລັດ ຂ້າພະເຈົ້າ ຂໍສົ່ງຄຳອວຍພອນອັນດີງາມທີ່ສຸດ ແລະຄວາມຮັກແພງເຖິງພໍ່ແມ່ພີ່ນ້ອງຮ່ວມຊາດ, ເພື່ອນມິດສະຫາຍນັກຮົບໃນທົ່ວປະເທດ, ແລະພໍ່ແມ່ພີ່ນ້ອງຊາວຫວຽດນາມອາໄສຢູ່ຕ່າງປະເທດ.	Tại thời điểm thờ phượng, và điều này có nghĩa là đại diện cho Đảng, Nhà nước của đất nước và lời chào của cha mẹ Việt Nam sống ở nước ngoài.
ຂ້າພະເຈົ້າຂໍອວຍພອນໃຫ້ປະຊາຊົນ ແລະເພື່ອນມິດສາກົນທັງຢູ່ 5 ທະວີບໃນໂລກ ຈົ່ງກ້າວເຂົ້າສູ່ປີໃໝ່ແຫ່ງສັນຕິພາບ, ມິດຕະພາບ, ຜາສຸກ ແລະວັດທະນາຖາວອນ.	Tôi chúc mọi người và những người bạn quốc tế trên thế giới, năm mới, năm mới, tình bạn, tình bạn, Mayay và Văn hóa.
ໃນປີຈໍ 2018 ຜ່ານມາ, ທົ່ວພັກ, ທົ່ວປວງຊົນ ແລະທົ່ວກອງທັບຫວຽດນາມ ໄດ້ສາມັກຄີເປັນຈິດໜຶ່ງໃຈດຽວ, ມານະພະຍາຍາມຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກບໍ່ແມ່ນຫນ້ອຍ, ບັນລຸຜົນງານສຳຄັນຫຼາຍຢ່າງ, ຮອບດ້ານໃນທຸກຂົງເຂດ.	Trong màn hình 2018 trước, toàn bộ quân đội xã đã là một sự thống nhất về tinh thần, trong tất cả các lĩnh vực, trong tất cả các lĩnh vực.
ທີ່ຕັ້ງບົດບາດ, ກຳລັງແຮງ, ອິດທິພົນຊື່ສຽງຂອງປະເທດຊາດສືບຕໍ່ໄດ້ຮັບການຍົກສູງຂຶ້ນ ແລະໄດ້ຮັບການຕີລາຄາສູງຈາກເພື່ອນມິດສາກົນ.	Vai trò, lực lượng, ảnh hưởng của danh tiếng của quốc gia tiếp tục bị anh ta và đã được lớn lên từ những người bạn quốc tế.
ກ້າວເຂົ້າສູ່ປີໃໝ່ປີກຸນ2019, ແມ່ນປີທີ່ມີຄວາມໝາຍສຳຄັນຫຼາຍຢ່າງໃນການປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ 12 ຂອງພັກຢ່າງມີໄຊ, ແຜນການພັດທະນາເສດຖະກິດສັງຄົມໄລຍະ 5 ປີ ຄືແຕ່ປີ 2016-2020 ແລະມຸ່ງໄປເຖິງກອງປະຊຸມໃຫຍ່ຄັ້ງທີ 13 ຂອງພັກ.	Bước vào năm mới 2019, là một năm rất quan trọng của việc giải quyết cuộc họp của Đảng của Đảng, 2016-2020 và hướng tới phiên thứ 13 của Đảng.
ດ້ວຍຄວາມເຊື່ອໝັ້ນໃໝ່, ກຳລັງແຮງໃໝ່, ກຳລັງຫນູນໃໝ່, ທົ່ວພັກ, ທົ່ວປວງຊົນ ແລະທົ່ວກອງທັບ ສືບຕໍ່ສາມັກຄີ, ເປັນເອກະພາບ, ເສີມຂະຫຍາຍບັນດາຜົນງານ, ໝາກຜົນທີ່ບັນລຸໄດ້, ມານະພະຍາຍາມສູ້ຊົນຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ, ປະຕິບັດບັນດາຄາດໝາຍ, ໜ້າທີ່ວາງອອກຢ່າງມີໄຊ, ສ້າງສາປະເທດຫວຽດນາມໃຫ້ນັບມື້ນັບຮັ່ງມີເຂັ້ມແຂງແລະສວຍງາມກວ່າເກົ່າ ຄືດັ່ງຄວາມມຸ່ງມາດປາດຖະຫນາຂອງລຸງໂຮ່.	Với sự tự tin mới, lực lượng mới, mới đạt được, liên tiếp, kết quả của chú Hom.
ຂໍອວຍພອນໃຫ້ຊາວຫວຽດນາມໝົດທຸກຄົນປີໃໝ່ຈົ່ງມີສຸຂະພາບເຂັ້ມແຂງ, ມີຄວາມຜາສຸກ ແລະປະສົບຜົນສຳເລັດ.	Chúc Tết Nguyên đán Việt Nam, có một sự khỏe mạnh và thành công.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Vảy từ: Vovworld.vn.
