ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 6 ກັນຍາ, ຢູ່ຮ່າໂນ້ຍ, ສະຖານທູດ ສປປ.	Miễn phí - tại Hà Nội, Hà Nội, Đại sứ quán Lào PDR.
ເກົາຫຼີ ປະຈໍາຫວຽດນາມ ໄດ້ຈັດຕັ້ງງານລ້ຽງເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 71 ປີແຫ່ງວັນຊາດ ສປປ.	Hàn Quốc đã thành lập một bữa tiệc nhân dịp 71 năm lễ kỷ niệm quốc gia
ເກົາຫຼີ (9-9-1948 / 9-9-2019) ໂດຍມີການເຂົ້າຮ່ວມຂອງຜູ້ຕາງໜ້າກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະຜູ້ຕາງໜ້າອົງການຈັດຕັ້ງມິດຕະພາບຈໍານວນໜຶ່ງ.	Hàn Quốc (9-9-1948 / 9-9-2019) Bộ Ngoại giao và Đại diện Việt Nam.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານ Pak Sang Gil ອຸປະທູດຊົ່ວຄາວສະຖານທູດສປປ.	Phát biểu tại buổi lễ, Pak Sang Gil Tempary Đại sứ quán
ເກົາຫຼີ ປະຈໍາ ຫວຽດນາມ ໄດ້ກວດຄືນບັນດາຜົນງານທີ່ພົ້ນເດັ່ນໃນວິວັດແຫ່ງການພັດທະນາ 71 ປີຜ່ານມາຂອງປະຊາຊົນ ສປປ.	Hàn Quốc, hiệu suất mới nổi của Việt Nam 71 năm phát triển trong 71 năm qua của phát triển công cộng
ເກົາຫຼີ, ພ້ອມທັງຂອບໃຈພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ ທີ່ໄດ້ສະໜັບສະໜູນລັດຖະບານ ແລະປະຊາຊົນ ສປປ.	Hàn Quốc, cũng như cũng yêu cầu Đảng, Nhà nước và người dân Việt Nam ủng hộ chính phủ và người dân.
ເກົາຫຼີ ໃນກິດຈະການສ້າງສາ ແລະພັດທະນາປະເທດຊາດ.	Hàn Quốc trong các hoạt động phát triển và phát triển quốc gia.
ທ່ານ ຫງວຽນກວກເກື່ອງ ຮອງລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ພິທີສະເຫຼີມສະຫຼອງ.	Nguyễn Summe Bộ trưởng Nguyễn Phú nói với lễ kỷ niệm lễ kỷ niệm.
ພາບ: ຈູງຫຽວ.	Ảnh: Tust.
ຕາງໜ້າລັດຖະບານຫວຽດນາມ, ທ່ານ ຫງວຽນກວກເກື່ອງ ຮອງລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ ອວຍພອນບັນດາຜົນງານສໍາຄັນເຊິ່ງປະຊາຊົນ ສປປ.	Thay mặt Chính phủ Việt Nam, Bộ trưởng Ngoại giao Nguyễn Nguyễn Chỉ đạo Bộ trưởng Ngoại giao Việt Nam
ເກົາຫຼີ ບັນລຸໄດ້ໃນຕະຫຼອດ 71 ປີຜ່ານມາ;	Hàn Quốc đã đạt được trong suốt 71 năm;
ເຊື່ອໝັ້ນວ່າພາຍໃຕ້ການນໍາພາຂອງພັກແຮງງານ ສປປ.	Thuyết phục dưới sự lãnh đạo của Đảng Lao động.
ເກົາຫຼີ, ປະຊາຊົນ ສປປ.	Hàn Quốc, Lào PDR
ເກົາຫຼີ ຈະສືບຕໍ່ຍາດໄດ້ຜົນງານຫຼາຍຢ່າງກວ່າອີກໃນກິດຈະການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ປັບປຸງຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນ, ເປີດກວ້າງການພົວພັນທາງການທູດ.	Hàn Quốc sẽ tiếp tục nhiều hơn các công trình trong các hoạt động phát triển kinh tế xã hội, cải thiện các hoạt động sinh hoạt của mọi người, quan hệ ngoại giao mở.
ທ່ານ ຫງວຽນກວກເກື່ອງ ເນັ້ນໜັກວ່າ, ພ້ອມກັບຄວາມມານະພະຍາຍາມລວມຂອງສອງພັກ, ສອງລັດ, ການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືທີ່ເປັນມູນເຊື້ອລະຫວ່າງຫວຽດນາມ ແລະ ສປປ.	Nguyễn Quincess của hai-hai quốc gia, hai cộng đồng, tình bạn và hợp tác
ເກົາຫຼີ ຈະສືບຕໍ່ໄດ້ຮັບການປັບປຸງ ແລະມີບັນດາບາດກ້າວພັດທະນາໃໝ່, ເໝາະສົມກັບຜົນປະໂຫຍດຂອງປະຊາຊົນສອງປະເທດ, ປະກອບສ່ວນເຂົ້າໃນການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ການຮ່ວມມື ແລະພັດທະນາໃນພາກພື້ນກໍ່ຄືຢູ່ໃນໂລກ.	Hàn Quốc sẽ tiếp tục được cập nhật và có sự phát triển mới của hai quốc gia, sự ổn định, hợp tác và phát triển khu vực trên thế giới.
ໂດຍ: ຈາງຫງວຽນ.	Bởi: phẳng của số tê.
