ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 27 ມິຖຸນາ, ກອງປະຊຸມຄັ້ງທີ 6 ສະມັດຊາໃຫຍ່ກອງທຶນສິ່ງແວດລ້ອມທົ່ວໂລກ (GEF) ໄດ້ໄຂຂຶ້ນຢູ່ນະຄອນ ດ່ານັ້ງ.	Sáng 27/6, Đại hội đồng Quỹ Môi trường toàn cầu (GEF) lần thứ 6 đã triệu tập tại Đà Nẵng.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເຂົ້າຮ່ວມ ແລະກ່າວຄຳເຫັນໄຂກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu chỉ đạo buổi gặp mặt.
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ, ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ໜ່ວຍໂລກ, ຊາຍຄາລວມຂອງມວນມະນຸດພວມຖືກຜົນກະທົບຢ່າງຮ້າຍແຮງຍ້ອນມົນລະພິດສິ່ງແວດລ້ອມ ແລະການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ນ້ຳທະເລເພີ່ມຂຶ້ນສູງ.	Phát biểu tại buổi làm việc, Thủ tướng Nguyễn Xuân Phúc nhấn mạnh, hiện tượng trái đất nóng lên và nạn buôn bán người đang bị ảnh hưởng nặng nề do ô nhiễm môi trường và biến đổi khí hậu gia tăng.
ຖ້າວ່າບໍ່ມີບັນດາມາດຕະການລະອຽດ, ບັນດາປະເທດ, ຊົນຊາດ ແລະປະຊາຊົນທຸກຄົນຈະຕ້ອງແບກຫາບບັນດາຜົນຮ້າຍຢ້ອນຫຼັງຢ່າງຮ້າຍແຮງ.	Nếu không có các biện pháp chi tiết, tất cả các quốc gia, dân tộc và dân tộc sẽ phải gánh chịu hậu quả.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu chỉ đạo buổi gặp mặt.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ໂດຍແມ່ນປະເທດພວມພັດທະນາ, ຫວຽດນາມ ຕ້ອງປະເຊີນໜ້າກັບບັນດາບັນຫາກ່ຽວກັບການຊຸດໂຊມ, ມົນລະພິດສິ່ງແວດລ້ອມ ແລະການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ນ້ຳທະເລເພີ່ມຂຶ້ນສູງ.	Là một quốc gia đang phát triển, Việt Nam đang phải đối mặt với những thách thức về suy thoái, ô nhiễm môi trường và biến đổi khí hậu, nước biển dâng.
ເຖິງວ່າຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ສິ່ງຈຳກັດກ່ຽວກັບແຫຼ່ງກຳລັງຫຼາຍຢ່າງກໍ່ຕາມ, ແຕ່ລັດຖະບານຫວຽດນາມ ເດັດດ່ຽວຜັນຂະຫຍາຍນຳບັນດາການເຄື່ອນໄຫວປົກປັກຮັກສາສິ່ງແວດລ້ອມ, ຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດເຂົ້າໃນແຜນການພັດທະນາເສດຖະກິດ - ສັງຄົມຂອງປະເທດ, ປຸກລະດົມບັນດາແຫຼ່ງກຳລັງ, ຫົວຄິດປະດິດສ້າງ, ຮ່ວມແຮງຮ່ວມໃຈຂອງທັງປະຊາຄົມວິສາຫະກິດ ແລະປະຊາຊົນ.	Bất chấp những khó khăn, hạn chế về nhiều nguồn lực, Chính phủ Việt Nam vẫn quyết tâm lồng ghép bảo vệ môi trường và biến đổi khí hậu vào kế hoạch phát triển kinh tế - xã hội của đất nước, huy động người dân với tinh thần liên doanh, liên kết.
ເດັດດ່ຽວບໍ່ແລກເອົາສິ່ງແວດລ້ອມ ເພື່ອພັດທະນາເສດຖະກິດ, ສົ່ງຜົນສະທ້ອນເຖິງການພັດທະນາແບບຍືນຍົງ.	Kiên quyết không đánh đổi môi trường để phát triển kinh tế, đem lại kết quả là phát triển bền vững.
ໃນຕົວຈິງ, ຫວຽດນາມ ພວມມານະພະຍາຍາມປະຕິບັດບັນດາເປົ້າໝາຍພັດທະນາແບບຍືນຍົງຂອງສະຫະປະຊາຊາດ (SDGs 2030), ໃຫ້ຄຳໝັ້ນສັນຍາທີ່ COP-21 ກ່ຽວກັບການປ່່ຽນແປງຂອງດິນຟ້າອາກາດ.	Trên thực tế, Việt Nam đang nỗ lực thực hiện các Mục tiêu Phát triển Bền vững của Liên hợp quốc (SDGs 2030), bất chấp COP-21 về biến đổi khí hậu.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະບັນດາຜູ້ແທນສາກົນເຂົ້າຮ່ວມກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc và các đại biểu quốc tế tham dự buổi gặp mặt.
