ກປ.ອອນໄລ - ໃນຕອນຄໍ່າວັນທີ 16 ກັນຍາ, ງານປະກວດນາງງາມຫວຽດນາມ ປີ 2018 ຮອບຊີງຊະນະເລີດໄດ້ດໍາເນີນຢູ່ນະຄອນໂຮ່ຈິມິນ ໄດ້ອັດລົງດ້ວຍຕຳແໜ່ງນາງງາມເປັນຂອງນາງສາວ ເຈິ່ນຕ້ຽວວີ.	Tối 16/9, cuộc thi Hoa hậu Việt Nam 2018 tại TP.HCM đã khép lại với ngôi vị Hoa hậu Trần Tiểu Vi.
ນາງງາມ ເຈິ່ນຕ້ຽວວີ ເກີດປີ 2000 ໄດ້ຂຶ້ນແຊງໜ້ານາງງາມທີ່ເຂົ້າຮ່ວມປະກວດ 42 ຄົນເພື່ອຄອງມົງກຸດຕໍາແໜ່ງນາງງາມຫວຽດນາມ 2018.	Hoa hậu Trần Tễu Vi sinh năm 2000 đã đánh bại 42 thí sinh để đăng quang Hoa hậu Việt Nam 2018.
ນາງງາມ 43 ຄົນຕາງໜ້າໃຫ້ຄວາມງາມຂອງບັນດາເຂດ, ພາກໃນທົ່ວປະເທດທີ່ເຂົ້າຮ່ວມງານປະກວດນາງງາມຫວຽດນາມ ປີ 2018 ຮອບຊີງຊະນະເລີດໄດ້ຮັບການຕີລາຄາວ່າມີຄວາມສວຍງາມເກືອບເທົ່າທຽມກັນ ແລະມີປະສິດທິຜົນໃນການເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວສັງຄົມໃນຂອບເຂດງານປະກວດໃນຕະຫຼອດເວລາ 3 ເດືອນຜ່ານມາ.	43 người đẹp trên cả nước tham dự cuộc thi Hoa hậu Việt Nam 2018 được đánh giá là gần như đồng đều về nhan sắc và hiệu quả khi tham gia các hoạt động xã hội trong khuôn khổ cuộc thi trong ba tháng qua.
ໄດ້ຜ່ານເຂົ້າຮອບ 25-15-10-5 ເທື່ອລະກ້າວ ແລະສະແດງໃຫ້ເຫັນຄວາມປະທັບໃຈໃນການປະກວດພາກການປະພຶດ, ນາງງາມ ເຈິ່ນຕ້ຽວວີ ທີ່ມາຈາກແຂວງ ກວາງນາມສະແດງອອກໄດ້ຢ່າງດີເລີດກາຍເປັນເຈົ້າຂອງມົງກຸດອັນຊົງຄຸນຄ່າ, ຄອງຕໍາແໜ່ງນາງງາມຫວຽດນາມ 2018 ດ້ວຍລາງວັນທີ່ມີມູນຄ່າ 500 ລ້ານດົ່ງ.	Vượt qua vòng 25-15-10-5 và thể hiện ấn tượng trong phần thi ứng xử, Hoa hậu Trần Tễu Vi đến từ tỉnh Quảng Nam đã xuất sắc trở thành chủ nhân của chiếc vương miện danh giá Hoa hậu Việt Nam 2018 với phần thưởng trị giá 500 triệu đồng.
ນາງງາມ ເຈິ່ນຕ້ຽວວີ ຈະແມ່ນຜູ້ຕາງໜ້າຂອງນາງສາວງາມຫວຽດນາມ ເຂົ້າຮ່ວມບັນດາງານ ປະກວດນາງສາວງາມສາກົນໃນໄລຍະຈະມາເຖິງ.	Hoa hậu Trần Tiểu Vi sẽ là đại diện Hoa hậu Việt Nam tham gia cuộc thi Hoa hậu Quốc tế sắp tới.
ນອກຈາກນັ້ນ, ຄະນະຈັດຕັ້ງຍັງມອບ 10 ນາມມະຍົດອື່ນໃຫ້ບັນດາຜູ້ເຂົ້າຮ່ວມງານປະກວດ.	Ngoài ra, Ban tổ chức đã trao 10 danh hiệu khác cho các thí sinh.
ນາງງາມ ເຈິ່ນຕ້ຽວວີ ໄດ້ຄອງຕໍາແໜ່ງນາງງາມຫວຽດນາມ 2018.	Hoa hậu Trần Tễu Vi đoạt danh hiệu Hoa hậu Việt Nam 2018.
ພາບ: news.zing.vn.	Ảnh: news.zing.vn.
ນາງງາມ ບຸ່ຍເຟືອງງາ ໄດ້ຮັບຕຳແໜ່ງຮອງອັນດັບໜຶ່ງ.	Á hậu Bùi Phương Nga là Bùi Phương Nga.
ພາບ: news.zing.vn.	Ảnh: news.zing.vn.
ນາງງາມ ເຈິ່ນຕ້ຽວວີ, ບຸ່ຍເຟືອງງາ ແລະຫງວຽນທິທຸ໋ຍອານ ຕາມລຳດັບໄດ້ຮັບນາມມະຍົດນາງງາມຫວຽດນາມ 2018 ແລະຮອງອັນດັບໜຶ່ງ, ຮອງອັນດັບສອງ.	Hoa hậu Trần Tễu Vi, Bùi Phương Nga và Nguyễn Thị Thúy An lần lượt được xướng tên là Hoa hậu Việt Nam 2018 và Á hậu, Á hậu.
ພາບ: news.zing.vn.	Ảnh: news.zing.vn.
ໂດຍ: ຄໍາແພງ.	Bởi: Khampheang.
