ກປ.ອອນໄລ - ວັນທີ 1 ມີນາ, ທົ່ວກອງທັບ ກ້າວເຂົ້າສູ່ການອົບຮົມ-ຫັດແອບປີ 2021 ໃນເງື່ອນໄຂພະຍາດໂຄວິດ-19 ຍັງຜັນແປຢ່າງສັບສົນ.	KR Online - Ngày 1/3, toàn quân bước vào khóa huấn luyện năm 2021 trong bối cảnh dịch bệnh.
ຕາມການຊີ້ນໍາຂອງກະຊວງປ້ອງກັນປະເທດ, ບັນດາກົມກອງ ຈະບໍ່ຈັດຕັ້ງພິທີເປີດບັ້ນອົບຮົມ-ຫັດແອບ ແຕ່ຕ້ອງໄດ້ຊາບຊຶມ, ຜັນຂະຫຍາຍໜ້າທີ່ຝຶກແອບຢູ່ຂັ້ນກອງພັນລົງມາ ເພື່ອປ້ອງກັນ, ສະກັດກັ້ນພະຍາດໂຄວິດ-19.	Theo hướng dẫn của Bộ Quốc phòng, các sư đoàn sẽ không tổ chức lễ khai mạc chương trình huấn luyện mà phải tiếp thu, triển khai huấn luyện từ cấp tiểu đoàn xuống phòng, chống dịch bệnh-19.
ເຖິງວ່າບໍ່ໄດ້ຈັດຕັ້ງພິທີເປີດບັ້ນອົບຮົມ-ຫັດແອບ ແລະຄາດເດົາວ່າພະຍາດໂຄວິດ-19 ຍັງຈະແກ່ຍາວກໍ່ຕາມ ແຕ່ວ່າວຽກງານຝຶກແອບຍັງຕ້ອງໄດ້ປະຕິບັດຢ່າງເຂັ້ມງວດ, ມີຄຸນນະພາບ.	Mặc dù lễ khai mạc chương trình đào tạo không được tổ chức và dự đoán bệnh Kovid-19 sẽ còn kéo dài nhưng công tác đào tạo phải được thực hiện nghiêm túc, chất lượng.
ປີ 2020, ທົ່ວກອງທັບ ພ້ອມກັບກໍາລັງທະຫານລາດປ້ອງກັນຕົວທົ່ວປະເທດ ໄດ້ປະຕິບັດໜ້າທີ່ຝຶກແອບສໍາເລັດເປັນຢ່າງດີເວົ້າສະເພາະ, ໜ້າທີ່ການທະຫານ, ການປ້ອງກັນຊາດ ເວົ້າລວມ.	Đến năm 2020, toàn quân cùng với lực lượng quốc phòng hoàn thành xuất sắc nhiệm vụ diễn tập, đặc biệt là nhiệm vụ quân sự, quốc phòng nói chung.
ປີ 2021 ແມ່ນປີທໍາອິດທີ່ຈັດຕັ້ງການປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກ ແລະມະຕິກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກກອງທັບ ຄັ້ງທີ XI, ມີຄວາມໝາຍສໍາຄັນຍິ່ງໃນວິວັດການປະຕິບັດເປົ້າໝາຍກໍ່ສ້າງກອງທັບປະຕິວັດ, ມີລະບຽບວິໄນ, ຍອດຢ້ຽມ, ທັນສະໄໝເທື່ອລະກ້າວ, ບາງກໍາລັງແມ່ນກ້າວຂຶ້ນເປັນທັນສະໄໝໂດຍກົງ;	Năm 2021 là năm đầu tiên triển khai thực hiện các nghị quyết Đại hội 13 của Đảng và Đại hội XI của Đảng bộ và LLVT.
ກ່ອນອື່ນໝົດແມ່ນສຸມໃສ່ກໍ່ສ້າງກອງທັບໃຫ້ມີຄວາມຍອດຢ້ຽມ, ກະທັດຮັດ, ເຂັ້ມແຂງ, ສ້າງປະຖົມປັດໄຈອັນໜັກແໜ້ນ, ສູ້ຊົນຮອດປີ 2030 ກໍ່ສ້າງກອງທັບໃຫ້ທັນສະໄໝ.	Trước hết, trọng tâm là xây dựng Quân đội tinh, gọn, mạnh, tạo nền tảng vững chắc, phấn đấu đến năm 2030 xây dựng Quân đội hiện đại.
ຍົກສູງຄຸນນະພາບການຝຶກແອບແມ່ນຍົກສູງລະດັບຄວາມຮູ້, ກໍາລັງກຽມພ້ອມສູ້ຮົບຂອງກອງທັບ.	Nâng cao chất lượng huấn luyện là nâng cao trình độ hiểu biết, khả năng sẵn sàng chiến đấu của bộ đội.
ເພາະສະນັ້ນ, ກ່ອນອື່ນໝົດທົ່ວກອງທັບ ແລະກໍາລັງທະຫານລາດປ້ອງກັນຕົວຕ້ອງຊາບຊຶມຢ່າງເລິກເຊິ່ງມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກ, ມະຕິກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກກອງທັບຄັ້ງທີ XI ແລະມະຕິສະບັບເລກທີ 15 ຂອງຄະນະພັກການທະຫານສູນກາງກ່ຽວກັບການນໍາພາປະຕິບັດໜ້າທີ່ການທະຫານ, ການປ້ອງກັນຊາດ, ກໍ່ສ້າງອົງຄະນະພັກກອງທັບປີ 2021;	Vì vậy, trước hết, toàn quân và lực lượng tự vệ phải quán triệt sâu sắc các nghị quyết Đại hội 13 của Đảng, Đại hội XI của Đảng và nghị quyết 15 của Quân ủy Trung ương về lãnh đạo các chức năng của quân đội, của Đảng. và Đảng bộ Quốc phòng năm 2021;
ບັນດາໜ້າທີ່ຈຸດສຸມທີ່ຄວນສຸມໃສ່ຊີ້ນໍາ, ນໍາພາປະຕິບັດໃນປີ 2021 ເຊິ່ງຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ການນໍາກະຊວງປ້ອງກັນປະເທດ ໄດ້ກໍານົດ;	Các lĩnh vực trọng tâm cần tập trung chỉ đạo, thực hiện trong năm 2021 do Thường vụ Quân ủy Trung ương, Bộ Quốc phòng chủ trì;
ຄໍາສັ່ງຊີ້ນໍາວ່າດ້ວຍວຽກງານການທະຫານ, ການປ້ອງກັນຊາດຂອງຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ພ້ອມກັບການຊີ້ນໍາ, ແນະນໍາຂອງອົງການທີ່ກ່ຽວຂ້ອງກ່ຽວກັບວຽກງານຝຶກແອບ.	Chỉ thị về công tác quân sự, quốc phòng của Tổng Tham mưu trưởng cùng với sự chỉ đạo, hướng dẫn của các cơ quan liên quan về công tác huấn luyện.
ບົນພື້ນຖານນັ້ນ, ຄະນະພັກ, ຜູ້ບັນຊາການຂັ້ນຕ່າງໆໃນທົ່ວກອງທັບຕ້ອງສຸມໃສ່ຊີ້ນໍາ, ນໍາພາຢ່າງຂ້ຽວຂາດ, ແກ້ໄຂທຸກຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ, ໂດຍສະເພາະແມ່ນບັນດາຜົນສະທ້ອນຈາກພະຍາດໂຄວິດ-19;	Trên cơ sở đó, cấp ủy, chỉ huy các cấp trong toàn quân phải tập trung chỉ đạo, lãnh đạo quyết liệt, giải quyết mọi khó khăn, thách thức, nhất là hậu quả của căn bệnh 19;
