ກປ.ອອນໄລ - ເຂດສາມຫຼ່ຽມພັດທະນາ ກຳປູເຈຍ - ລາວ - ຫວຽດນາມ (CLV) ແມ່ນ ເຂດພູພຽງກ້ວາງຂວາງ, ມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢ່າງບໍ່ທັນໄດ້ຮັບການຂຸດຄົ້ນ.	Tam giác phát triển lớn tiếng Việt (CLV) là một tam giác núi rộng, với nhiều tiềm năng hòa tan.
ແມ່ນ ຕົ້ນແຫຼ່ງນ້ຳຂອງແມ່ນ້ຳຫຼາຍສາຍທີ່ມີທີ່ຕັ້ງສຳຄັນທີ່ສຸດກ່ຽວກັບສິ່ງແວດລ້ອມຊີວະພາບ ແລະການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບຂອງສາມປະເທດເວົ້າລວມ ແລະແຕ່ລະປະເທດເວົ້າສະເພາະ.	Là sự khởi đầu của nguồn nước của chuỗi quan trọng nhất về môi trường sinh học và hòa bình, ngăn chặn ba quốc gia.
ຂ້ໍມູນດັ່ງກ່າວໄດ້ຢັ້ງຢືນທີ່ກອງປະຊຸມຄັ້ງທີ 7 ກຳມາທິການການຕ່າງປະເທດສະພາແຫ່ງຊາດ 3 ປະເທດ ກຳປູເຈຍ - ລາວ - ຫວຽດນາມ ດ້ວຍຫົວຂໍ້ “ບົດບາດຂອງສະພາແຫ່ງຊາດໃນການປະຕິບັດບັນດາຂໍ້ຕົກລົງຮ່ວມມືລະຫວ່າງ 3 ປະເທດກຳປູເຈຍ - ລາວ - ຫວຽດນາມ ໃນເຂດສາມຫຼ່ຽມພັດທະນາ ທີ່ດໍາເນີນໃນລະຫວ່າງວັນທີ 17-18 ສິງຫາ ຢູ່ນະຄອນຮ້າລອງ, ແຂວງກວາງນິງ.	Quốc hội nước ngoài lần thứ 7 của Quốc hội và Lào - tuyên bố của Việt Nam về Quốc hội, Quốc hội
ກອງປະຊຸມຄັ້ງທີ 7 ກຳມາທິການການຕ່າງປະເທດສະພາແຫ່ງຊາດ 3 ປະເທດ ກຳປູເຈຍ - ລາວ - ຫວຽດນາມ.	Ủy ban đối ngoại lần thứ 7 của Quốc hội, Lào - Việt Nam.
ພາບ: quochoi.vn.	Ảnh: quochoi.vn.
ກອງປະຊຸມຄັ້ງນີ້ແມ່ນຂີດໝາຍໄລຍະທາງ 20 ປີແຫ່ງການກຳເນີດ ແລະພັດທະນາຂອງເຂດສາມຫຼ່ຽມພັດທະນາ ກຳປູເຈຍ - ລາວ - ຫວຽດນາມ ແລະກໍ່ແມ່ນໂອກາດເພື່ອຫວນຄືນ, ຕີລາຄາຮອບດ້ານປະສິດທິຜົນຂອງການປະຕິບັດບັນດາຂໍ້ຕົກລົງຮ່ວມມືລະຫວ່າງ 3 ປະເທດ ກຳປູເຈຍ - ລາວ - ຫວຽດນາມ.	Cuộc họp này được gạch chân 20 năm Campuchia - Việt Nam, Lào - Phát triển ra quyết định trong ngày của Việt Nam, phát triển Lào-Lào-Việt
ບັນດາໝາກຜົນຕັ້ງໜ້າຈາກການຮ່ວມມືໃນເຂດສາມຫຼ່ຽມພັດທະນາ	Khung từ hợp tác trong tam giác phát triển
ທີ່ກອງປະຊຸມຄັ້ງນີ້, ຕາງໜ້າຄະນະກຳມະການປະສານງານຫວຽດນາມ ເຂດສາມຫຼ່ຽມພັດທະນາ CLV, ທ່ານ ຫວູດ້າຍຖັ໋ງ, ຮອງລັດຖະມົນຕີກະຊວງແຜນການ ແລະການລົງທຶນຫວຽດນາມ ໄດ້ມີບົດລາຍງານສຳຄັນກ່ຽວກັບສະພາບການຮ່ວມມືລະຫວ່າງບັນດາປະເທດໃນພາກພື້ນ.	Tại hội nghị này, đại diện cho Tam giác Tam giác CLV, Phó Kế hoạch và Đầu tư Việt Nam chống lại báo cáo hợp tác
ໃນໄລຍະຜ່ານມາ, ບັນດາກະຊວງ, ຂະແໜງການຂອງ 3 ປະເທດ ແລະ 13 ແຂວງໃນພາກພື້ນໄດ້ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ ເພື່ອຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງຮ່ວມມຶືຂອງການນຳຂັ້ນສູງ 3 ປະເທດ ແລະບັນລຸໄດ້ບັນດາຜົນງານຕັ້ງໜ້າໃນທຸກຂົງເຂດ.	Trong quá khứ, các bộ, ngành của 3 quốc gia và 13 tỉnh khu vực kết hợp với lãnh đạo khu vực và đạt đến khoảng thời gian trong tất cả các lĩnh vực.
ຕາມທ່ານ ຫວູດ້າຍຖັ໋ງ ແລ້ວ, ປະຈຸບັນ, ກະຊວງແຜນການ ແລະການລົງທຶນຫວຽດນາມ ໄດ້ສົມທົບກັບກຸ່ມປະຕິບັດງານຝ່າຍກຳປູເຈຍ ແລະລາວ ກວດກາຄືນໝາກຜົນການປະຕິບັດແຜນແມ່ບົດການພັດທະນາເສດຖະກິດ-ສັງຄົມ ເຂດສາມຫຼ່ຽມພັດທະນາ CLV ໄລຍະ 2011 – 2020 ແລະກ້າວໄປເຖິງການຍື່ນສະເໜີຕໍ່ການນຳຂັ້ນສູງ 3 ປະເທດກ່ຽວກັບການວາງແຜນກຳນົດໃໝ່ໃຫ້ໄລຍະ 2021 - 2030.	Trên LIT (hiện tại, kế hoạch và đầu tư của Việt Nam vào việc phát triển Comp) và nâng cao sự phát triển của CLV CLCE-2020-20202020 và-2020 và nâng cao năm 2011
ທ່ານ ຫວູດ້າຍຖັ໋ງ ກໍ່ລາຍງານກ່ຽວກັບສະພາບການຮ່ວມມືຂອງ 3 ປະເທດໃນຂົງເຂດປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ;	Litva Van đã báo cáo 3 quốc gia trong quốc phòng, ngăn chặn hòa bình;
ຄົມມະນາຄົມ;	Viễn thông;
ກະສິກຳ, ປ່າໄມ້;	Nông nghiệp, rừng;
ການທ່ອງທ່ຽວ;	Du lịch;
ອຸດສາຫະກຳ;	Ngành công nghiệp;
ການສຶກສາ;	Giáo dục;
ການແພດ.	Y khoa.
ບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນບັນດາຝ່າຍໄດ້ສົມທົບກັນຜັນຂະຫຍາຍ, ປະຕິບັດບັນດາຂໍ້ຕົກລົງໄດ້ຮັບການລົງນາມລະຫວ່າງຫວຽດນາມ, ລາວ ແລະກຳປູເຈຍ ຖືກຕາມຄຳໝັ້ນສັນຍາໂດຍພື້ນຖານ.	Các bộ, ngành, địa phương cùng nhau, thỏa thuận đã được ký kết giữa Việt Nam, Lào và Campuchia về cơ bản là cam kết.
ການປະຕິບັດຂໍ້ຕົກລົງຕ່າງໆໄດ້ຮັບການຕີລາຄາປະຈຳໄລຍະ ຫຼື ກ່ອນການດຳເນີນກອງປະຊຸມແຕ່ລະສະໄໝ.	Việc thực hiện thỏa thuận đã được giải thích hoặc trước cuộc họp mỗi năm.
ທ່ານ ຫວູດ້າຍຖັ໋ງ ເນັ້ນໜັກວ່າ, ການຜັນຂະຫຍາຍ, ປະຕິບັດບັນດາຂໍ້ຕົກລົງເຫຼົ່ານັ້ນໄດ້ນຳມາເຊິ່ງໝາກຜົນຕັ້ງໜ້າ, ປະກອບສ່ວນຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ຊຸກຍູ້ການພັດທະນາເສດຖະກິດ, ສັງຄົມ, ປົກປ້ອງຜົນປະໂຫຍດຂອງຊາດ, ອົງການຈັດຕັ້ງ ແລະບຸກຄົນຂອງຫວຽດນາມ, ຜ່ານນັ້ນເຮັດໃຫ້ສາຍພົວພັນຍາວນານຂອງຫວຽດນາມ ກັບລາວ ແລະກຳປູເຈຍ ໃນເຂດສາມຫຼ່ຽມພັດທະນາເວົ້າສະເພາະ ແລະລະຫວ່າງສາມປະເທດເວົ້າລວມເລິກເຊິ່ງກວ່າອີກ.	Khởi hành, thỏa thuận đó, thỏa thuận, xã hội, được bảo vệ, lợi ích, lợi ích và lợi ích của lãi, lãi, lễ hội, lợi ích, ba nước, Lào và Campuchia, bảo vệ
ບັນດາຂໍ້ຕົກລົງກ່ຽວຂ້ອງເຖິງຫຼາຍຂົງເຂດຮ່ວມມື, ຄື: ເສດຖະກິດ, ການລົງທຶນ, ການຄ້າ, ວັດທະນະທໍາ, ການສຶກສາ-ກໍ່ສ້າງ, ຄົມມະນາຄົມຂົນສົ່ງ...	Các thỏa thuận liên quan đến một số khu vực hợp tác, như: Kinh tế, Đầu tư, Giáo dục, Xây dựng, Xây dựng ...
ໄດ້ປະກອບສ່ວນສ້າງກອບນິຕິກຳ ແລະສ້າງເງື່ອນໄຂສະດວກຍູ້ແຮງການພົວພັນຮ່ວມມື, ພັດທະນາເສດຖະກິດ.	Đóng góp cho các điều kiện tuyển sinh và hội nghị hợp tác thuận tiện, phát triển kinh tế.
ພ້ອມທັງ, ສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ການແລກປ່ຽນສິນຄ້າ, ຄົນ ແລະພາຫະນະໄປມາຜ່ານຊາຍແດນ, ແມ່ນປະຖົມປັດໄຈດຶງດູດການລົງທຶນ, ການຄ້າ, ການທ່ອງທ່ຽວ, ປົວແປງຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນຢູ່ 13 ແຂວງໃນເຂດສາມຫຼ່ຽມພັດທະນາ CLV.	Ngoài ra, tạo điều kiện thuận tiện cho việc trao đổi, người dân và phương tiện thu hút đầu tư của người dân trong 13 Tam giác phát triển CLV.
ເພື່ອຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງລະຫວ່າງສາມປະເທດໃຫ້ມີປະສິດທິຜົນ	Để thỏa thuận giữa ba quốc gia một cách hiệu quả
ຈາກບັນດາໝາກຜົນບັນລຸໄດ້ໃນວິວັດການຜັນຂະຫຍາຍຂ້ໍຕົກລົງຕ່າງໆລະຫວ່າງ 3 ປະເທດ, ເພື່ອປະຕິບັດໄດ້ເປົ້າໝາຍທີ່ໄດ້ວາງອອກ, ໃນໄລຍະຈະມາເຖິງ, 3 ປະເທດຄວນປະຕິບັດບັນດາມາດຕະການຕາມ 4 ກຸ່ມເນື້ອໃນກ່ຽວກັບການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ;	Từ trái cây đạt được trong phần thưởng của các khoản khấu trừ giữa ba quốc gia, bốn quốc gia nên được đưa vào nội dung 4 quốc gia;
ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການທ່ອງທ່ຽວ, ການລົງທຶນ;	Kinh tế, thương mại, du lịch, đầu tư;
ຂົງເຂດສັງຄົມ;	Lĩnh vực xã hội;
ການພັດທະນາໂຄງປະກອບໂຄງລ່າງ.	Phát triển cơ sở hạ tầng.
ໃນນັ້ນ, ກ່ຽວກັບການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການທ່ອງທ່ຽວ, ການລົງທຶນ, ບັນດາຝ່າຍຕ້ອງສຳເລັດບົດລາຍງານຕີລາຄາໝາກຜົນການຜັນຂະຫຍາຍແຜນແມ່ບົດການພັດທະນາເສດຖະກິດ-ສັງຄົມ ເຂດສາມຫຼ່ຽມພັດທະນາ CLV ໄລຍະ 2011 – 2020 ແລະສ້າງແຜນກຳນົດໃໝ່ໃຫ້ໄລຍະ 2021 - 2030;	Trong số này, về kinh tế, thương mại, đầu tư, hợp tác, các bên phải được hoàn thành việc phát triển CLV 2011 - 2020).
