ກປ.ອອນໄລ - ໃນວັນທີ 3-4 ມີນາ.	KPR Online - Vào ngày 3-4 tháng Ba.
ຄະນະປະຕິບັດງານຂອງສະພາແຫ່ງຊາດຫວຽດນາມ ໂດຍທ່ານນາງ ຕ່ອງທິຟ໋ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດເປັນຫົວໜ້າຄະນະໄດ້ໄປຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ແຂວງ ຕວຽນກວາງ.	Đoàn công tác của Quốc hội Việt Nam do Phó Chủ tịch Quốc hội Tòng Thị Phóng dẫn đầu đã đến thăm và làm việc tại tỉnh Tuyên Quang.
ຄະນະປະຕິບັດງານໄດ້ຖະຫວາຍທູບທຽນ ແລະປູກຕົ້ນໄມ້ເປັນທີ່ລະນຶກຢູ່ເຂດປູຊະນີຍະສະຖານປະຫວັດສາດພິເສດ ກິມບິ່ງ-ເຊິ່ງແມ່ນສະຖານທີ່ຈັດຕັ້ງກອງປະຊຸມພັກທົ່ວປະເທດຄັ້ງທີ II ປີ 1951;	Đoàn đã dâng hương và trồng cây tại khuôn viên Khu di tích lịch sử đặc biệt Kim Bình - nơi diễn ra Đại hội Đảng toàn quốc lần thứ II năm 1951;
ໄປຢ້ຽມຢາມ ແລະມອບຂອງຂວັນໃຫ້ບັນດາຄອບຄົວນະໂຍບາຍ, ຄອບຄົວທຸກຍາກຂອງ ຕາແສງ ກິມບິ່ງ, ເມືອງ ຈຽມຮວ່າ, ຕາແສງ ນັງຂາ, ເມືອງ ນາຮາງ;	Thăm và tặng quà các gia đình chính trị, gia đình nghèo tại xã Kim Bình, huyện Chiêm Hóa, xã Năng Khả, huyện Na Hang;
ໄປຢ້ຽມຢາມ, ມອບຂອງຂວັນ ແລະປູກຕົ້ນໄມ້ເປັນທີ່ລະນຶກຢູ່ໂຮງຮຽນສາມັນກິນນອນຊົນເຜົ່າຊັ້ນມັດທະຍົມຕອນຕົ້ນເມືອງ ຈຽມຮວ່າ, ໂຮງຮຽນສາມັນກິນນອນຊົນເຜົ່າຊັ້ນມັດທະຍົມຕອນຕົ້ນເມືອງ ນາຮາງ ແລະໂຮງງານໄຟຟ້ານໍ້າຕົກ ຕວຽນກວາງ.	Thăm, tặng quà và trồng cây làm quà lưu niệm tại Trường Phổ thông Dân tộc Nội trú huyện Chiêm Hóa, Trường Phổ thông Dân tộc Nội trú huyện Nahang và Nhà máy Thủy điện Tuyên Quang.
ທ່ານນາງ ຕ່ອງທິຟ໋ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ກັບປະຊາຊົນຕາແສງ ກິມບິ່ງ, ເມືອງ ຈຽມຮວ່າ, ແຂວງຕວຽນກວາງ.	Bà Tòng Thị Phóng, Phó Chủ tịch Quốc hội Việt Nam và bà con nhân dân xã Kim Bình, huyện Chiêm Hóa, tỉnh Tuyên Quang.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຢູ່ບັນດາກົມກອງທີ່ໄດ້ໄປຢ້ຽມຢາມ, ທ່ານນາງ ຕ່ອງທິຟ໋ອງ ໄດ້ຍ້ອງຍໍຊົມເຊີຍ, ຕີລາຄາສູງຄວາມມານະພະຍາຍາມ, ມີຫົວຄິດປະດິດສ້າງຂອງອົງຄະນະພັກ, ອໍານາດການປົກຄອງ ແລະປະຊາຊົນບັນດາເຜົ່າແຂວງ ຕວຽນກວາງ ໃນການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ.	Tại các sở, ngành đến thăm, bà Tòng Thị Phóng biểu dương những nỗ lực, đổi mới của Đảng bộ, chính quyền và nhân dân các dân tộc tỉnh Tuyên Quang trong phát triển kinh tế - xã hội, quốc phòng - an ninh.
ແຂວງ ຕວຽນກວາງ ໄດ້ເອົາໃຈໃສ່, ປະຕິບັດບັນດາວຽກງານກໍ່ສ້າງພັກ, ກໍ່ສ້າງລະບົບການເມືອງໝັ້ນຄົງເຂັ້ມແຂງເປັນຢ່າງດີ.	Tỉnh Tuyên Quang đã quan tâm, thực hiện công tác xây dựng Đảng xây dựng hệ thống chính trị ngày càng vững mạnh.
ພິເສດ, ບັນດາບົດຮຽນໃນການກໍ່ສ້າງຊົນນະບົດໃໝ່ຢູ່ແຂວງ ຕວຽນກວາງ ແມ່ນບົດຮຽນອັນລໍ້າຄ່າເພື່ອໃຫ້ບັນດາທ້ອງຖິ່ນໃນທົ່ວປະເທດຮໍ່າຮຽນເອົາ, ພິເສດແມ່ນບັນດາເຂດພູດອຍ.	Đặc biệt, những bài học kinh nghiệm xây dựng nông thôn mới của tỉnh Tuyên Quang là vô giá đối với người dân các địa phương trên cả nước, nhất là các địa phương miền núi.
ທ່ານນາງ ຕ່ອງທິຟ໋ອງ ສະເໜີອໍານາດການປົກຄອງທ້ອງຖິ່ນຄວນເສີມຂະຫຍາຍທ່າແຮງຂອງທ້ອງຖິ່ນເພື່ອພັດທະນາເສດຖະກິດ, ຍົກສູງລາຍຮັບໃຫ້ປະຊາຊົນ.	Chính quyền địa phương cần nâng cao tiềm lực của địa phương để phát triển kinh tế, nâng cao thu nhập cho người dân.
