ກປ.ອອນໄລ - ວັນທີ 25 ເມສາ, ກະຊວງປ້ອງກັນປະເທດ ຫວຽດນາມ ຈັດຕັ້ງພິທີມອບຮັບໂຄງການດັດແປງ, ຍົກລະດັບສະໜາມບິນ ເກີນເທີ.	KPR Online - Ngày 25/4, Bộ Quốc phòng Việt Nam tổ chức Lễ bàn giao Dự án cải tạo nâng cấp sân bay.
ທ່ານພົນໂທ ເຈິ່ນເດີນ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດເຂົ້າຮ່ວມ ແລະເປັນປະທານກອງປະຊຸມ.	Trung tướng Trần Đen, Ủy viên Trung ương Đảng, Thường vụ Quân ủy Trung ương, Thứ trưởng Bộ Quốc phòng dự và chủ trì buổi làm việc.
ເຫຼົ່າທັບປ້ອງກັນອາກາດ-ທະຫານອາກາດລາຍງານໝາກຜົນໂຄງການດັດແປງ, ຍົກລະດັບສະໜາມບິນ ເກີນເທີ.	Quân chủng Phòng không - Không quân báo cáo kết quả đại tu, nâng cấp sân bay.
ພາບ: ຮົ່ງຮຽວ	Ảnh: Hồng Hiếu
ໂຄງການດັດແປງ, ຍົກລະດັບສະໜາມບິນ ເກີນເທີ ໂດຍກະຊວງປ້ອງກັນປະເທດມອບສິດໃຫ້ແກ່ເຫຼົ່າທັບປ້ອງກັນອາກາດ-ທະຫານອາກາດເປັນຜູ້ລົງທຶນ.	Dự án cải tạo, nâng cấp sân bay Vịnh Guantanamo do Bộ Quốc phòng giao cho Quân chủng Phòng không-Không quân đầu tư.
ໂຄງການມີຍອດຈໍານວນເງິນລົງທຶນ 817 ຕື້ດົ່ງ, ປະກອບມີຫຼາຍກຸ່ມກິດຈະກໍາກໍ່ສ້າງຄື: ຂົງເຂດທາງຍົນແລ່ນ ແລະເດີ່ນຈອດເຮືອບິນ, ຂົງເຂດການບໍລິຫານ ແລະກະກຽມບິນ, ຂົງເຂດເຕັກນິກການບິນ ແລະເຕັກນິກເດີ່ນບິນ, ຄັງສາງ, ຄ້າຍທະຫານ...	Dự án có tổng vốn đầu tư 817 tỷ đồng.
ພາຍຫຼັງໜຶ່ງປີທີ່ຜັນຂະຫຍາຍການລົງມືກໍ່ສ້າງ, ໂຄງການໄດ້ລື່ນກາຍເວລາທີ່ຄາດຄະເນການປະຕິບັດໃຫ້ສໍາເລັດກ່ອນ 6 ເດືອນ, ຮັບປະກັນຄຸນນະພາບ, ເຕັກນິກ, ສິລະປະກໍາ, ປະຕິບັດຖືກຕ້ອງຕາມຂັ້ນຕອນ, ລະບຽບການລົງທຶນຕາມການກໍານົດ.	Sau một năm triển khai, dự án đã vượt thời gian hoàn thành dự kiến là 6 tháng, đảm bảo chất lượng, kỹ thuật, mỹ thuật, tuân thủ các quy trình, quy định về đầu tư theo yêu cầu.
ບັນດາອົງການ, ກົມກອງເຊັນບົດບັນທຶກມອບຮັບໂຄງການດັດແປງ, ຍົກລະດັບສະໜາມບິນ ເກີນເທີ.	Các cơ quan, Cục, Vụ đã ký biên bản ghi nhớ hợp tác về Dự án cải tạo nâng cấp Cảng hàng không.
ພາບ: ຮົ່ງຮຽວ	Ảnh: Hồng Hiếu
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພົນໂທ ເຈິ່ນເດີນ ໄດ້ຕີລາຄາສູງ ແລະຍ້ອງຍໍຄວາມມານະພະຍາຍາມຂອງບັນດາອົງການ, ກົມກອງປະຕິບັດໂຄງການດັ່ງກ່າວ;	Phát biểu tại buổi làm việc, Trung tướng Trần Đen biểu dương sự nỗ lực của các tổ chức, Ban thực hiện Đề án;
ພ້ອມທັງຮຽກຮ້ອງໃນໄລຍະຈະມາເຖິງ, ບັນດາອົງການ, ກົມກອງສືບຕໍ່ປະຕິບັດໃຫ້ສົມບູນບັນດາລະບຽບການດ້ານນິຕິກຳທີ່ກ່ຽວຂ້ອງ;	Ngoài ra, trong giai đoạn tới, các cơ quan ban ngành tiếp tục thực hiện các quy định pháp luật có liên quan;
ປະຕິບັດບັນດາລະບຽບການຮັບປະກັນ, ບົວລະບັດພາຍຫຼັງການມອບຮັບຢ່າງເຂັ້ມງວດ;	Thực hiện các thủ tục bảo lãnh, chặt chẽ sau khi phân công;
ກົມກອງທີ່ໄດ້ຮັບໂຄງການຕ້ອງປະຕິບັດວຽກງານການປົກປັກຮັກສາ, ຄຸ້ມຄອງ, ຂຸດຄົ້ນບັນດາກິດຈະກໍາກໍ່ສ້າງເປັນຢ່າງດີ ແລະມີປະສິດທິຜົນ.	Bộ phận dự án tiếp nhận công trình phải thực hiện tốt công tác bảo vệ, quản lý và khai thác các hoạt động xây dựng.
ທ່ານພົນໂທ ເຈິ່ນເດີນ ປູກຕົ້ນໄມ້ທີ່ລະນຶກຢູ່ຕໍ່ໜ້າສໍານັກງານກິດຈະກໍາດັດແປງ, ຍົກລະດັບສະໜາມບິນ ເກີນເທີ.	Trung tướng Trần Dần trồng cây lưu niệm trước Trụ sở Hoạt động cải tạo, nâng cấp.
ພາບ: ຮົ່ງຮຽວ	Ảnh: Hồng Hiếu
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
