ບໍ່ປະໃຫ້ໂລກລະບາດໂຄວິດ-19 ແຜ່ລະບາດໃນວົງກວ້າງ.	Không để dịch Kovid-19 lây lan trên diện rộng.
ນີ້ແມ່ນຄຳສັ່ງຊີ້ນຳຂອງທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫວູດຶກດາມ, ຫົວໜ້າຄະນະຊີ້ນຳແຫ່ງຊາດກ່ຽວກັບການປ້ອງກັນ, ສະກັດກັ້ນພະຍາດໂຄວິດ-19 ທີ່ກອງປະຊຸມ ເຊິ່ງດຳເນີນໃນຕອນບ່າຍວັນທີ 9 ສິງຫາ ຢູ່ຮ່າໂນ້ຍ.	Điều này đã được Phó Thủ tướng Vũ Đức Đam, Trưởng Ban Chỉ đạo Quốc gia về phòng, chống dịch cúm gia cầm tại cuộc họp ở Hà Nội vào chiều ngày 9/8.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫວູດຶກດາມ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Phó Thủ tướng Chính phủ Vũ Đức Đam phát biểu chỉ đạo buổi làm việc.
ພາບ: baochinhphu.vn.	Ảnh: baochinhphu.vn.
ຜ່ານສະພາບການຕົວຈິງຂອງວຽກງານປ້ອງກັນ, ສະກັດກັ້ນໂລກລະບາດຢູ່ດ່ານັ້ງ, ກວາງນາມ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ປາດຖະໜາວ່າ ບັນດາທ້ອງຖິ່ນສົມທົບກັບກະຊວງສາທາລະນະສຸກ, ສ້າງ “ປື້ຄູ່ມື ແນະນຳບັນດາທ້ອງຖິ່ນອື່ນໃນກໍລະນີກວດພົບຜູ້ຕິດເຊື້ອໃໝ່ຢູ່ບັນດາໂຮງໝໍ, ນະຄອນອື່ນໆ.	Qua thực tế công tác phòng, chống tại Đà Nẵng, Quảng Nam, Phó Thủ tướng mong muốn các địa phương phối hợp với Bộ Y tế xây dựng “Sổ tay hướng dẫn địa phương trong trường hợp có ca nhiễm mới tại bệnh viện và các thành phố khác.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ຫວູດຶກດາມ ໄດ້ຮຽກຮ້ອງໃຫ້ບັນດາກະຊວງ, ຂະແໜງການຕ້ອງສືບຕໍ່ປະຕິບັດມາດຕະການປ້ອງກັນ, ສະກັດກັ້ນໂລກລະບາດ, ບໍ່ປະໃຫ້ແຜ່ລະບາດໃນວົງກວ້າງ.	Phó Thủ tướng Vũ Đức Đam kêu gọi các bộ, ban ngành tiếp tục thực hiện các biện pháp phòng chống, không để dịch lây lan.
“ຍາມໃດພວກເຮົາກໍ່ຕ້ອງລະມັດລະວັງ.	“Chúng tôi luôn phải cẩn thận.
ປະຊາຊົນຕ້ອງຍົກສູງສະຕິປ້ອງກັນພະຍາດ.	Mọi người cần nâng cao ý thức để phòng tránh dịch bệnh.
ຂ້າພະເຈົ້າຮຽກຮ້ອງໃຫ້ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ, ຄະນະໂຄສະນາສຶກສາສູນກາງ ແລະບັນດາອົງການທີ່ກ່ຽວຂ້ອງຕ້ອງເພີ່ມທະວີວຽກງານເຜີຍແຜ່ໂຄສະນາ.	Tôi đề nghị Bộ Thông tin và Truyền thông, Ban Giáo dục Trung ương và các cơ quan hữu quan tăng cường công tác tiếp cận cộng đồng.
ໜຶ່ງໃນບັນດາມາດຕະການເພີ່ມທະວີວຽກງານເຜີຍແຜ່ໂຄສະນາແມ່ນເມື່ອອອກຂ້າງນອກຕ້ອງໃຊ້ຜ້າອັດປາກ-ອັດດັງ, ລ້າງມືດ້ວຍສະບູ, ຈຳກັດການພົບປະສຳຜັດ...	Một trong những biện pháp để tăng hiệu quả quảng cáo là khi ra ngoài phải bịt khẩu trang, rửa tay bằng xà phòng, hạn chế tiếp xúc ...
ກໍຄືພວກເຮົາຕ້ອງລາຍງານອາການສຸຂະພາບທາງເອເລກໂຕນິກ, ຕິດຕັ້ງໂປຼແກຼມ Bluezone ແລະ nCovy, ໂປຼແກຼມ Bluezone ແມ່ນໜຶ່ງໃນບັນດາມາດຕະການສົມທົບກັນໂດຍສັງລວມ, ປະຢັດເວລາ, ຄົ້ນຫາຜູ້ຕິດເຊື້ອໄດ້ຢ່າງໄວວາ ແລະມີປະສິດທິຜົນ.	Tức là chúng ta cần báo cáo các triệu chứng sức khỏe bằng phương pháp điện tử, cài đặt Bluezone và nCovy, Bluezone là một trong những biện pháp tổng hợp toàn diện, tiết kiệm thời gian và hiệu quả để tìm ra người nhiễm bệnh một cách nhanh chóng và hiệu quả.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
