ກປ.ອອນໄລ - ຕອນແລງວັນທີ 24 ມັງກອນ, ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ໄດ້ມີການພົບປະກັບທ່ານປະທານາທິບໍດີອິນເດຍ Ram Nath Kovind.	Thủ tướng Nguyễn Xuân Phúc hội kiến Tổng thống Ấn Độ Ram Nath Kovind chiều tối 24/1.
ສອງຝ່າຍສະແດງຄວາມເພິ່ງພໍໃຈຕໍ່ການພັດທະນາຢ່າງແຮງຂອງສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ແລະການຮ່ວມມືຫຼາຍດ້ານລະຫວ່າງສອງປະເທດ, ພິເສດແມ່ນນັບແຕ່ຍົກລະດັບສາຍພົວພັນຂຶ້ນເປັນຄູ່ຮ່ວມມືຍຸດທະສາດຫວຽດນາມ-ອິນເດຍ ໃນເດືອນ ກັນຍາ 2016.	Hai bên bày tỏ hài lòng về sự phát triển mạnh mẽ của quan hệ hữu nghị truyền thống và hợp tác nhiều mặt giữa hai nước, đặc biệt kể từ khi nâng cấp quan hệ Đối tác chiến lược Việt Nam - Ấn Độ vào tháng 9/2016.
ສອງຝ່າຍກໍ່ຕີລາຄາສູງເລື່ອງຈັດຕັ້ງການເຄື່ອນໄຫວທີ່ມີຄວາມໝາຍ, ແທດຈິງຫຼາຍຢ່າງໃນປີມິດຕະພາບ 2017 ສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ ແລະ 10 ປີແຫ່ງວັນຜັນຂະຫຍາຍຄູ່ຮ່ວມມືຍຸດທະສາດ.	Hai bên đánh giá cao việc tổ chức sự kiện nhiều mặt, thiết thực trong Năm Hữu nghị 2017, kỷ niệm 45 năm thiết lập quan hệ ngoại giao và kỷ niệm 10 năm quan hệ Đối tác Chiến lược.
ສອງຝ່າຍຢືນຢັນວ່າຈະສືບຕໍ່ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ ແລະສະໜັບສະໜູນ ເຊິ່ງກັນແລະກັນໃນບັນດາຂອບເຂດຫຼາຍຝ່າຍ.	Hai bên tái khẳng định sẽ tiếp tục hợp tác chặt chẽ và bổ sung cho nhau trên các lĩnh vực đa phương.
ທ່ານປະທານາທິບໍດີອິນເດຍ Ram Nath Kovind ຂອບອົກຂອບໃຈ ແລະຕີລາຄາສູງບົດບາດປະສານງານຂອງຫວຽດນາມ ໃນການຊຸກຍູ້ສາຍພົວພັນອາຊຽນ-ອິນເດຍ.	Tổng thống Ấn Độ Ram Nath Kovind ca ngợi vai trò phối hợp của Việt Nam trong việc thúc đẩy quan hệ ASEAN-Ấn Độ.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ແລະທ່ານປະທານາທິບໍດີອິນເດຍ Ram Nath Kovind.	Thủ tướng Nguyễn Xuân Phúc và Tổng thống Ấn Độ Ram Nath Kovind.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ທ່ານ ຫງວຽນຊວນຟຸກ ຢືນຢັນນະໂຍບາຍສະເໝີຕົ້ນສະເໝີປາຍຂອງຫວຽດນາມ ຍາມໃດກໍ່ຖືສາຍພົວພັນແບບພິເສດກັບບັນດາເພື່ອນມິດທີ່ເປັນມູນເຊື້ອ, ໃນນັ້ນມີ ອິນເດຍ.	Nguyễn Xuân Phúc khẳng định chính sách lâu dài của Việt Nam là duy trì quan hệ đặc biệt với các nước bạn bè truyền thống, trong đó có Ấn Độ.
ທ່ານປະທານາທິບໍດີອິນເດຍ Ram Nath Kovind ເນັ້ນໜັກເຖິງຄວາມໝາຍສໍາຄັນຂອງສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ອິນເດຍ-ຫວຽດນາມ ທີ່ທ່ານອະດີດນາຍົກລັດຖະມົນຕີ Jawaharlal Nehru ແລະທ່ານປະທານ ໂຮ່ຈິມິນ ສ້າງພື້ນຖານ, ສອງປະເທດຕ້ອງສືບຕໍ່ເພີ່ມພູນຄູນສ້າງ;	Tổng thống Ấn Độ Ram Nath Kovind nhấn mạnh tầm quan trọng của mối quan hệ hữu nghị truyền thống Ấn Độ - Việt Nam do nguyên Thủ tướng Jawaharlal Nehru và Chủ tịch Hồ Chí Minh thiết lập, hai nước cần tiếp tục xây dựng;
ຢັ້ງຢືນວ່າ ຖືຫວຽດນາມ ແມ່ນເສົາຄໍ້າສໍາຄັນໃນນະໂຍບາຍ “ການກະທໍາມຸ່ງໄປເຖິງທິດຕາເວັນອອກ ຂອງອິນເດຍ...	Khẳng định Việt Nam là trụ cột quan trọng trong chính sách “Hành động của Ấn Độ đối với hướng đông ...
ສອງຝ່າຍກໍ່ເຫັນດີເປັນເອກະພາບສືບຕໍ່ຮັກສາບັນດາການຢ້ຽມຢາມຂັ້ນສູງ ແລະທຸກຂັ້ນເປັນປະຈໍາ;	Hai bên nhất trí tiếp tục tổ chức các chuyến thăm cấp cao và các cấp thường xuyên;
ຊຸກຍູ້ເສົາຄໍ້າຮ່ວມມືດ້ານປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບຢ່າງມີປະສິດທິຜົນ ແລະແທດຈິງກວ່າອີກ;	Khuyến khích các trụ cột hợp tác quốc phòng, an ninh ngày càng hiệu quả và thực chất hơn;
ສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ການຮ່ວມມືດ້ານການຄ້າ, ການລົງທຶນກວ່າອີກ ແລະວາງອອກບັນດາມາດຕະການບຸກທະລຸ ເພື່ອບັນລຸເປົ້າໝາຍວົງເງິນໃຫ້ໄດ້ 15 ຕື້ໂດລາສະຫະລັດ ໃນປີ 2020;	Tạo thuận lợi cho hợp tác thương mại và đầu tư, đề ra các biện pháp đột phá để đạt mục tiêu 15 tỷ USD vào năm 2020;
ອິນເດຍ ສືບຕໍ່ບໍາລຸງສ້າງແຫຼ່ງຊັບພະຍາກອນມະນຸດທີ່ມີຄຸນນະພາບສູງ ແລະສະໜອງບັນດາບ້ວງໜູນຊ່ວຍການພັດທະນາ, ສິນເຊື່ອບູລິມະສິດໃນຫຼາຍຂົງເຂດ.	Ấn Độ tiếp tục phát triển nguồn nhân lực chất lượng cao và cung cấp hỗ trợ phát triển và tín dụng ưu tiên trong nhiều lĩnh vực.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
