ກປ.ອອນໄລ - ໃນຕະຫຼອດຄືນວັນທີ 28 ມີນາ, ບັນດາກໍາລັງຄວບຄຸມຢູ່ສອງດ່ານຊາຍແດນລາວບາວ ແລະລາໄລ, ແຂວງກວ໋າງຈິ ເຮັດວຽກ 24 ຊົ່ວໂມງເພື່ອຕ້ອນຮັບພົນລະເມືອງທີ່ກັບມາຈາກລາວ, ໄທ.	Jarch 28th, bao gồm hai biên giới và hồ sơ của Lào, tỉnh Thavin chào đón công dân từ Lào, Thái Lan.
ໃນເວລາ 22 ໂມງ, ຂະບວນຄົນທີ່ກັບມາຈາກລາວ, ໄທ ຍັງຢືນລຽນແຖວຍາວຕາມລໍາດັບຢູ່ຕໍ່ໜ້າດ່ານຊາຍແດນສາກົນລາວບາວ ດ້ວຍຄວາມອົດທົນເພື່ອເຮັດລະບຽບການ.	Vào lúc 22 giờ, Thái Lan vẫn đứng dài trước mặt biên giới quốc tế của mình cho các quy tắc.
ຜູ້ໃດກໍ່ໃສ່ຜ້າອັດປາກປ້ອງກັນເຊື້ອພະຍາດຢ່າງເຂັ້ມງວດ.	Bất cứ ai mặc mặt nạ dịch bệnh nghiêm ngặt.
ກ່ອນທີ່ຈະເຮັດລະບຽບການ ເຂົ້າເມືອງ, ພະນັກງານສາທາລະນະສຸກໄດ້ແທກອຸນຫະພູມຮ່າງກາຍ ແລະແນະນໍາໃຫ້ແຈ້ງອາການສຸຂະພາບໃຫ້ແກ່ປະຊາຊົນ.	Trước các quy định nhập cư, nhân viên y tế đã đo nhiệt độ cơ thể và được khuyến nghị cho người dân y tế.
ກໍາລັງທີ່ກ່ຽວຂ້ອງຢູ່ດ່ານຊາຍແດນສາກົນລາວບາວ, ແຂວງກວ໋າງຈິ ເຮັດລະບຽບການເຂົ້າເມືອງໃຫ້ພົນລະເມືອງທີ່ກັບຄືນປະເທດ.	Lực lượng liên quan tại biên giới Lào Bà, Nghinh làm cho các quy tắc nhập cư của bạn.
ພາບ: vov.vn.	Ảnh: Vov.vn.
ພາຍຫຼັງສໍາເລັດລະບຽບການເຂົ້າເມືອງ, ປະຊາຊົນໄດ້ເຂົ້າໄປນັ່ງລໍຖ້າຢູ່ໃນເຮືອນເພື່ອເອີ້ນຊື່ຂຶ້ນລົດໄປເຂດແຍກປ່ຽວ.	Sau khi hoàn thành các quy định nhập cư, mọi người đã ngồi trong nhà để gọi thẳng vào xe đến khu vực.
ເຖິງຢ່າງໃດກໍ່ຕາມຕ້ອງລໍຖ້າໃນຫຼາຍຊົ່ວໂມງແຕ່ຜູ້ໃດກໍ່ປະຕິບັດຕາມການແນະນໍາຂອງກໍາລັງທີ່ກ່ຽວຂ້ອງ.	Tuy nhiên, hãy đợi trong nhiều giờ, nhưng người theo lời giới thiệu của lực lượng có liên quan.
ໃນຕະຫຼອດຄືນ, ບັນດາກໍາລັງທີ່ກ່ຽວຂ້ອງຢູ່ດ່ານຊາຍແດນສາກົນລາວບາວ ຕ້ອງເຮັດວຽກ, ມານະພະຍາຍາມເຮັດລະບຽບການສົ່ງພົນລະເມືອງໄປຍັງເຂດແຍກປ່ຽວລວມໝູ່ໂດຍໄວ.	Trong toàn bộ lực lượng, các lực lượng liên quan tại biên giới biên giới quốc tế, cố gắng chỉ đạo công dân.
ເຖິງວ່າອິດເມື່ອຍກໍ່ຕາມແຕ່ກໍ່ບໍ່ມີໃຜເຮັດວຽກຂາດຕົກບົກຜ່ອງ ແລະຍາມໃດກໍ່ແນະນໍາ, ຕ້ອນຮັບພົນລະເມືອງທີ່ກັບມາຢ່າງສຸດໃຈ, ລອບຄອບ.	Mặc dù mệt mỏi, không có sự thiếu hụt và công việc bị lỗi, được hoan nghênh, liên quan đến quyền công dân.
ໃນກວ່າ 10 ມື້ຜ່ານມາ, ນັບແຕ່ໄດ້ປະຕິບັດຕາມຄໍາສັ່ງແຍກປ່ຽວໂດຍບັງຄັບສໍາລັບພົນລະເມືອງ ແລະນັກທ່ອງທ່ຽວບັນດາປະເທດອາຊຽນ ທີ່ເຂົ້າເມືອງຫວຽດນາມ, ສະເລ່ຍໃນແຕ່ລະວັນຢູ່ດ່ານຊາຍແດນສາກົນລາວບາວ ແລະລາໄລ, ແຂວງກວ໋າງຈິ ໄດ້ຕ້ອນຮັບຄົນປະມານ 150-200 ຄົນ, ມີບາງວັນແມ່ນຫຼາຍກວ່າ 500 ຄົນ.	Trong 10 ngày qua, kể từ khi theo các đơn đặt hàng cô đơn trong giao thoa quốc tế và khách truy cập, một số ngày là hơn 500 ngày.
