ກປ.ອອນໄລ - ວັນທີ 24 ກັນຍາ, ກອງປະຊຸມໃຫຍ່ກໍາມະບານຫວຽດນາມ ຄັ້ງທີ XII, ອາຍຸການ 2018-2023 ໄດ້ໄຂຂຶ້ນທີ່ນະຄອນຫຼວງຮ່າໂນ້ຍ.	Ngày 24/9, Đại hội Công đoàn Việt Nam lần thứ XII, nhiệm kỳ 2018-2023, đã được tổ chức tại Hà Nội.
ເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ມີຜູ້ແທນ 946 ຄົນ, ຕາງໜ້າໃຫ້ເຈດຈຳນົງ, ຄວາມມຸ່ງມາດປາດຖະໜາ ແລະ ປັນຍາຊົນຂອງສະມາຊິກກຳມະບານທົ່ວປະເທດກວ່າ 10,5 ລ້ານຄົນ...	Đại hội có sự tham dự của 946 đại biểu, đại diện cho tâm tư, nguyện vọng và trí tuệ của hơn 10,5 triệu đoàn viên công đoàn cả nước ...
ທ່ານ ຫງວຽນຊວນຟຸກ, ກຳມະການກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານວາລະປຶກສາຫາລືທີ່ກອງປະຊຸມໃຫຍ່ພາຍໃຕ້ຫົວຂໍ້: “ກຳມະບານຫວຽດນາມຮ່ວມເດີນທາງກັບລັດຖະບານຍົກສູງກຳລັງຄວາມສາມາດແກ່ງແຍ້ງ ແລະພັດທະນາປະເທດຊາດໃຫ້ຍືນຍົງ.	Ông Nguyễn Xuân Phúc, Ủy viên Bộ Chính trị, Thủ tướng Chính phủ chủ trì phiên thảo luận tại Đại hội: “Đảng Việt Nam sẽ cùng chính phủ nâng cao năng lực cạnh tranh và phát triển bền vững.
ບັນຍາກາດທີ່ກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງທີ XII.	Khí thế của Đại hội Đảng lần thứ XII
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ດ້ວຍຈິດໃຈ “ປ່ຽນແປງໃໝ່-ປະຊາທິປະໄຕ-ມີຄວາມສາມັກຄີ-ມີຄວາມຮັບຜິດຊອບ , ທ່ານ ບຸ່ຍວັນເກື່ອງ, ກຳມະການສູນກາງພັກ, ປະທານສະຫະພັນໃຫຍ່ແຮງງານຫວຽດນາມ ສະເໜີບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ສຸມສະຕິປັນຍາ, ດ້ວຍອາລົມຈິດທັງໝົດ, ສຸດຈິດສຸດໃຈ, ເຮັດວຽກດ້ວຍຈິດໃຈທີ່ມີຄວາມຮັບຜິດຊອບສູງສຸດ, ປະຕິບັດບັນດາເນື້ອໃນ, ລາຍການກອງປະຊຸມ ໃຫຍ່ເປັນຢ່າງດີ;	Bùi Văn Cường, Chủ tịch Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Chủ tịch Tổng Liên đoàn Công đoàn Việt Nam
ປະກອບຫຼາຍຄຳຄິດຄຳເຫັນໃສ່ບັນດາເອກະສານຂອງກອງປະຊຸມໃຫຍ່ໃຫ້ເລິກເຊິ່ງ;	Đóng góp vào các văn kiện của Đại hội đồng có chiều sâu;
ເລືອກຕັ້ງຄະນະບໍລິຫານງານສະຫະພັນໃຫຍ່ແຮງງານຫວຽດນາມ ຊຸດທີ XII ໃຫ້ຖືກຕ້ອງ ແລະຄົບຖ້ວນ, ປະກອບສ່ວນເຂົ້າຜົນສໍາເລັດຂອງກອງປະຊຸມໃຫຍ່.	Bầu đúng, đầy đủ Ban Chấp hành Tổng Liên đoàn Lao động Việt Nam khóa XII, góp phần vào thành công của Đại hội.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງທີ XII.	Đại biểu Đại hội đại biểu Việt Nam lần thứ XII
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນມື້ເຮັດວຽກທຳອິດ, ກອງປະຊຸມໄດ້ປຶກສາຫາລືບົດລາຍງານສະບັບປັບປຸງ, ເພີ່ມເຕີມກົດລະບຽບກຳມະບານ ແລະຮ່າງກົດລະບຽບກຳມະບານຫວຽດນາມ (ສະບັບປັບປຸງ ເພີ່ມເຕີມ);	Ngày làm việc đầu tiên, đại hội thảo luận về tờ trình Điều lệ công đoàn sửa đổi, bổ sung và dự thảo Điều lệ công đoàn Việt Nam (bản sửa đổi bổ sung);
