ກປ.ອອນໄລ - ດ້ວຍຜົນງານຍາດມາໄດ້ແມ່ນ 1 ຫຼຽນຄໍາ, 1 ຫຼຽນເງິນ, ສ້າງສະຖິຕິໂອລິມປິກທີ່ງານມະຫາກໍາກິລາ ຣີໂອ 2016, ຕອນບ່າຍຂອງວັນທີ 16 ສິງຫາ, ທີ່ຮ່າໂນ້ຍ.	KPR Online - Với 1 HCV, 1 HCB, lập kỷ lục Olympic tại Thế vận hội Rio 2016, chiều 16/8, tại Hà Nội.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຝຸກ ໄດ້ມີການພົບປະໂອ້ລົມ ແລະອວຍພອນນັກກິລາຍິງປືນກອງທັບ ຮວ່າງຊວນວິງ.	Thủ tướng Nguyễn Xuân Phúc gặp mặt, chúc mừng xạ thủ Hoàng Xuân Vinh.
ໃນການພົບປະນີ້, ທ່ານ ເລແຄ໋ງຫາຍ, ຮອງລັດຖະມົນຕີກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວ, ໄດ້ລາຍງານຕໍ່ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຝຸກ ກ່ຽວກັບຜົນສໍາເລັດຂອງຄະນະນັກກິລາ ຫວຽດນາມ ທີ່ ຣີໂອ 2016.	Tại buổi tiếp, Thứ trưởng Bộ Văn hóa, Thể thao và Du lịch Lê Khang Hải đã báo cáo tóm tắt với Thủ tướng Nguyễn Xuân Phúc về thành tích của đoàn Việt Nam tại Rio 2016.
ທ່ານຮອງລັດຖະມົນຕີ ເລແຄ໋ງຫາຍ ໃຫ້ຮູ້ວ່າ: “ໄລ່ມາຮອດປັດຈຸບັນ, ຄະນະນັກກິລາ ຫວຽດນາມ ຍາດໄດ້ 1 ຫຼຽນຄໍາ, 1 ຫຼຽນເງິນ ແລະສ້າງສະຖິຕິໂອລີມປິກ.	Thứ trưởng Lê Khang Hải cho biết: “Cho đến nay, đội tuyển Việt Nam đã giành được một huy chương vàng, một huy chương bạc và lập kỷ lục Olympic.
ຜົນງານນີ້ໂດຍນັກກິລາຍິງປືນ ຮວ່າງຊວນວິງ ສ້າງຂຶ້ນ.	Tác phẩm này do Hoàng Xuân Vinh sáng tạo.
ນີ້ແມ່ນເທື່ອທໍາອິດທີ່ກິລາ ຫວຽດນາມ ຍາດໄດ້ຫຼຽນຄໍາຢູ່ໂອລີມປິກ, ຜ່ານນັ້ນໄດ້ສ້າງຄວາມເຊື່ອໝັ້ນໃຫ້ແກ່ຂະແໜງກິລາ ຫວຽດນາມ.	Đây là lần đầu tiên thể thao Việt Nam giành được huy chương vàng tại Thế vận hội, điều này đã tạo cho các vận động viên Việt Nam rất nhiều niềm tin.
ກ່າວຄຳເຫັນທີ່ງານພົບປະ, ໃນນາມລັດຖະບານ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຝຸກ ໄດ້ອວຍພອນທ່ານພັນເອກພິເສດ ຮວ່າງຊວນວິງ ແລະເນັ້ນໜັກວ່າ: ທ່ານພັນເອກພິເສດ ຮວ່າງຊວນວິງ ຍາດໄດ້ 1 ຫຼຽນຄໍາ ແລະ 1 ຫຼຽນເງິນ ທີ່ໂອລີມປິກ ຣີໂອ ໄດ້ນໍາເອົາຄວາມເບີກບານມ່ວນຊື່ນ, ຄວາມເອກອ້າງທະນົງໃຈມາໃຫ້ກິລາຫວຽດນາມ.	Phát biểu chỉ đạo buổi làm việc, thay mặt Chính phủ, Thủ tướng Chính phủ Nguyễn Xuân Phúc chúc mừng Đại tá đặc công Hoàng Xuân Vinh và nhấn mạnh, Đại tá đặc công Hoàng Xuân Vinh đã giành 1 HCV, 1 HCB tại Olympic Rio.
ພ້ອມກັນນັ້ນ, ຜົນງານຂອງນັກກິລາຍິງປືນ ຮວ່າງຊວນວິງ ກໍ່ເປັນຜົນງານລວມຂອງຄະນະນັກກິລາ ຫວຽດນາມ ທີ່ໂອລີມປິກ ຣີໂອ 2016.	Đồng thời, thành tích của Hoàng Xuân Vinh là thành tích chung của đội tuyển Việt Nam tại Olympic Rio 2016.
ນີ້ແມ່ນຂີດໝາຍທີ່ສໍາຄັນ, ເປັນກໍາລັງໜູນທີ່ໃຫຍ່ຫຼວງເພື່ອໃຫ້ກິລາຫວຽດນາມສືບຕໍ່ບືນຕົວຂຶ້ນ.	Đây là dấu mốc quan trọng, là động lực to lớn để thể thao Việt Nam tiếp tục thăng hoa.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຝຸກ ຖ່າຍຮູບເປັນທີ່ລະນຶກກັບບັນດາຜູ້ແທນທີ່ການພົບປະ.	Thủ tướng Nguyễn Xuân Phúc chụp ảnh lưu niệm với các đại biểu.
ພາບ: ຫາຍດັງ	Ảnh: Mũi hếch
ສ່ວນນັກກິລາ ຮວ່າງຊວນວິງ ກໍ່ສະແດງຄວາມປິຕິຊົມຊື່ນ ແລະເປັນກຽດຢ່າງສູງທີ່ໄດ້ຕາງໜ້າໃຫ້ຄະນະນັກກິລາ ຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ການພົບປະອັນສະຫງ່າລາສີນີ້ ແລະເວົ້າວ່າຜົນງານທີ່ພວກຂ້າພະເຈົ້າຍາດມາໄດ້ທີ່ໂອລີມປິກຣີໂອ 2016 ແມ່ນຜົນງານຂອງໝູ່ຄະນະທີມຍິງປືນແຫ່ງຊາດ ແລະຄະນະນັກກິລາ ຫວຽດນາມ ພ້ອມກັບຄວາມເອົາໃຈໃສ່ຂອງພັກ, ລັດຖະບານ ແລະປະຊາຊົນ.	Hoàng Xuân Vinh bày tỏ sự vui mừng và vinh dự khi được đại diện cho đội tuyển Việt Nam tại buổi gặp mặt vinh quang này và cho rằng thành tích của chúng ta tại Olympic Rio 2016 là công lao của Đội tuyển súng trường quốc gia và Đảng, Chính phủ nhân dân Việt Nam.
ຄະນະນັກກິລາ ຫວຽດນາມ ໄດ້ນໍາຄວາມສະຫງ່າລາສີມາໃຫ້ປະເທດຊາດ.	Đoàn Việt Nam đã mang vinh quang về cho dân tộc.
ແປໂດຍ: ຮວ່າງເຈື່ອງ.	Người dịch: Hoàng Trường.
