ກປ.ອອນໄລ - ວັນທີ 22 ທັນວາ 2018 ໄດ້ເປັນຂີດໝາຍແຫ່ງວັນສ້າງຕັ້ງສາຍພົວພັນທາງການທູດ ຫວຽດນາມ-ອາຟະລິກາໃຕ້ ຄົບຮອບ 25 ປີ.	Ngày 22/12/2018 đánh dấu kỷ niệm 25 năm thiết lập quan hệ ngoại giao giữa Việt Nam và Nam Phi.
ໃນຕະຫຼອດ 25 ປີຜ່ານມາ, ການພົວພັນລະຫວ່າງສອງປະເທດ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດແມ່ນໜຶ່ງໃນບັນດາຂົງເຂດ ເຊິ່ງສອງຝ່າຍລ້ວນແຕ່ຖືການຊຸກຍູ້ເປັນສຳຄັນ.	Trong 25 năm qua, quan hệ hai nước, hợp tác quốc phòng là một trong những lĩnh vực hai bên hết sức coi trọng thúc đẩy lẫn nhau.
ພ້ອມກັບການຄ້າ, ການຮ່ວມມືໃນຂົງເຂດປ້ອງກັນຊາດ ຫວຽດນາມ-ອາຟະລິກາໃຕ້ ໄດ້ຮັບການຕີລາຄາວ່າມີຄວາມສາມາດບົ່ມຊ້ອນພັດທະນາຫຼາຍຢ່າງ.	Cùng với thương mại, hợp tác quốc phòng Việt Nam - Nam Phi được đánh giá là có nhiều tiềm năng phát triển.
ຜົນງານພົ້ນເດັ່ນໃນການຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງຫວຽດນາມ-ອາຟະລິກາໃຕ້ ນັ້ນແມ່ນສອງປະເທດໄດ້ສ້າງກົນໄກເຈລະຈານະໂຍບາຍປ້ອງກັນຊາດຂັ້ນຮອງລັດຖະມົນຕີ (DPD) ຢ່າງເປັນທາງການ.	Một thành tựu nổi bật trong hợp tác quốc phòng giữa Việt Nam và Nam Phi là hai nước đã chính thức thiết lập Cơ chế Đối thoại Chính sách Quốc phòng cấp Thứ trưởng (DPD).
ມາຮອດປັດຈຸບັນ, ສອງຝ່າຍໄດ້ຈັດຕັ້ງ DPD ສອງຄັ້ງ ໃນປີ 2015 ແລະ ປີ 2017.	Đến nay, hai bên đã tổ chức hai cuộc họp DPD vào năm 2015 và 2017.
ທີ່ DPD 2015, ສອງປະເທດກໍານົດບັນດາຈຸດສຸມໃນການຮ່ວມມືດ້ານປ້ອງກັນຊາດລວມມີຊຸກຍູ້ການແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂ້ັນ, ບໍາລຸງສ້າງພະນັກງານ, ແບ່ງປັນບົດຮຽນໃນການເຄື່ອນໄຫວຮັກສາສັນຕິພາບຂອງສະຫະປະຊາຊາດ (ສປຊ).	Tại DPD 2015, hai nước đặt ra các ưu tiên cho hợp tác quốc phòng, bao gồm thúc đẩy trao đổi đoàn các cấp, đào tạo nhân sự và chia sẻ bài học kinh nghiệm từ hoạt động gìn giữ hòa bình của Liên hợp quốc (LHQ).
ສອງຝ່າຍກໍ່ກໍານົດຊຸກຍູ້ການຮ່ວມມືກ່ຽວກັບອຸດສາຫະກໍາປ້ອງກັນຊາດບົນພື້ນຖານບັນດາທ່າແຮງຂອງສອງປະເທດ.	Hai bên nhất trí đẩy mạnh hợp tác công nghiệp quốc phòng dựa trên tiềm năng của hai nước.
ທີ່ DPD ຄັ້ງທີ 2 ປີ 2017, ບັນດາເນື້ອໃນບຸລິມະສິດໃນການຮ່ວມມືລະຫວ່າງສອງຝ່າຍໄດ້ກໍານົດໃນ DPD 2015 ສືບຕໍ່ໄດ້ຮັບການເນັ້ນໜັກ.	Tại DPD lần thứ hai năm 2017, các ưu tiên hợp tác giữa hai bên được đề ra trong DPD 2015 tiếp tục được nhấn mạnh.
ພິເສດ, ຂົງເຂດການຮ່ວມມືໃນການເຂົ້າຮ່ວມສັກສາສັນຕິພາບຂອງ ສປຊ ໄດ້ຮັບການເນ້ັນໜັກຍ້ອນວ່າ ອາຟະລິກາໃຕ້ ແມ່ນປະເທດທີ່ມີຫຼາຍບົດຮຽນໃນຂົງເຂດນີ້ ແລະສາມາດແບ່ງປັນກັບຫວຽດນາມໃຫ້ໄດ້.	Đặc biệt, lĩnh vực hợp tác trong sứ mệnh gìn giữ hòa bình của Liên hợp quốc được nhấn mạnh vì Nam Phi có nhiều bài học kinh nghiệm trong lĩnh vực này và có thể chia sẻ với Việt Nam.
ໂດຍໄດ້ຮູ້ແລ້ວວ່າ, ກອງທັບອາຟະລິກາໃຕ້ ມີເຫຼົ່າຮົບເສນາຮັກສະເພາະທີ່ຈັດສົ່ງກໍາລັງເຂົ້າຮ່ວມບັນດາຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບຂອງ ສປຊ.	Điều này được hiểu rằng Quân đội Nam Phi đã triển khai các lực lượng đặc biệt tham gia lực lượng gìn giữ hòa bình của Liên Hợp Quốc.
ໃນສະພາວະ ຫວຽດນາມ ຫາກໍ່ຜັນຂະຫຍາຍໂຮງໝໍສະໜາມຂັ້ນ 2 ເລກ 1 ເຂົ້າຮ່ວມຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບຂອງ ສປຊ ຢູ່ຊູດັງໃຕ້, ເລື່ອງຊຸກຍູ້ການຮ່ວມມືກັບອາຟະລິກາໃຕ້ ໃນຂົງເຂດຮັກສາສັນຕິພາບຂອງ ສປຊ ຈະມີຄວາມໝາຍທີ່ສຸດ.	Trong bối cảnh Việt Nam vừa triển khai Đền thờ số 2 tham gia phái bộ gìn giữ hòa bình LHQ tại Nam Sudan, việc thúc đẩy hợp tác với Nam Phi trong lĩnh vực gìn giữ hòa bình LHQ sẽ là vô cùng nghiêm túc.
